timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-61.830399,455,,,
910,-63.745519,455,,,
1365,-61.437156,455,,,
1820,-62.398113,455,,,
2275,-59.72545,455,,,
2730,-62.866694,455,,,
3185,-57.259168,455,,,
3640,-61.339685,455,,,
4095,-58.82906,455,0.02282792329788208,6.399363374710083,4.2664828389883045
4550,-56.269008,455,,,
5005,-57.529625,455,,,
5460,-66.976541,455,,,
5915,-61.311386,455,0.1561090350151062,6.426828050613404,2.181217038631439
6370,-69.769114,455,,,
6825,-56.854276,455,,,
7280,-67.434328,455,,,
7735,-57.251587,455,,,
8190,-59.223004,455,0.3022494316101074,6.454072219133377,3.3636021971702577
8645,-67.353732,455,,,
9100,-72.250725,455,,,
9555,-64.002474,455,,,
10010,-67.7545,455,0.204828143119812,6.468298822641373,3.808188182115555
10465,-56.937482,455,,,
10920,-56.968516,455,,,
11375,-56.972168,455,,,
11830,-55.671816,455,,,
12285,-60.810216,455,0.32372790575027466,6.486729407310486,5.752707445621491
12740,-58.656577,455,,,
13195,-58.012365,455,,,
13650,-60.470529,455,,,
14105,-58.298021,455,0.4969775676727295,6.5090910494327545,2.496009831130505
14560,-69.037996,455,,,
15015,-69.368895,455,,,
15470,-61.325909,455,,,
15925,-59.044849,455,,,
16380,-69.380496,455,0.6834728717803955,6.537967664003372,1.570182639360428
16835,-78.803412,455,,,
17290,-58.894211,455,,,
17745,-58.483988,455,,,
18200,-66.991618,455,0.524325966835022,6.556249189376831,3.7954191476106645
18655,-59.63148,455,,,
19110,-69.852482,455,,,
19565,-55.71856,455,,,
20020,-56.608582,455,,,
20475,-67.443697,455,0.68352210521698,6.554233777523041,2.9373821780085563
20930,-53.904983,455,,,
21385,-62.524642,455,,,
21840,-58.505648,455,,,
22295,-68.617836,455,0.7101438641548157,6.562012922763825,3.5495260804891586
22750,-57.420247,455,,,
23205,-58.008976,455,,,
23660,-63.857724,455,,,
24115,-57.47334,455,,,
24570,-62.667602,455,0.7871576547622681,6.581367880105972,2.2787133678793907
25025,-74.061696,455,,,
25480,-62.873303,455,,,
25935,-72.671511,455,,,
26390,-57.855536,455,0.8394533395767212,6.600755953788758,1.872497272491455
26845,-49.057109,455,,,
27300,-70.93143,455,,,
27755,-59.275063,455,,,
28210,-80.943462,455,,,
28665,-62.023081,455,0.8012605905532837,6.628583717346191,3.0773166716098785
29120,-51.071619,455,,,
29575,-69.095283,455,,,
30030,-56.049574,455,,,
30485,-60.343182,455,0.8084837794303894,6.642904263734818,3.434576651453972
30940,-56.578063,455,,,
31395,-70.191532,455,,,
31850,-72.724448,455,,,
32305,-53.458042,455,,,
32760,-56.524694,455,0.8607792854309082,6.66610153913498,1.730210417509079
33215,-68.963729,455,,,
33670,-54.018681,455,,,
34125,-76.462072,455,,,
34580,-69.3799,455,0.892842173576355,6.685862797498703,1.6901043236255646
35035,-52.93526,455,,,
35490,-52.71125,455,,,
35945,-55.885397,455,,,
36400,-73.106087,455,,,
36855,-51.801054,455,0.852249026298523,6.6933016896247866,2.3406426936388014
37310,-71.78125,455,,,
37765,-53.906602,455,,,
38220,-56.091856,455,,,
38675,-61.142776,455,0.9305996894836426,6.705592465400696,0.9143511585891246
39130,-55.03385,455,,,
39585,-54.071733,455,,,
40040,-55.071516,455,,,
40495,-65.411906,455,,,
40950,-56.70897,455,0.8988751173019409,6.714303213357925,1.3682373002171517
41405,-50.709627,455,,,
41860,-53.517215,455,,,
42315,-64.669034,455,,,
42770,-51.440323,455,0.9353288412094116,6.724981135129928,0.8295261606574058
43225,-54.573847,455,,,
43680,-57.623673,455,,,
44135,-57.385998,455,,,
44590,-51.87582,455,,,
45045,-53.303475,455,0.9296889305114746,6.744479018449783,0.8812934756278992
45500,-53.333587,455,,,
45955,-71.244212,455,,,
46410,-80.862101,455,,,
46865,-49.984794,455,0.939026951789856,6.778102475404739,0.7865022026002407
47320,-54.608842,455,,,
47775,-66.074719,455,,,
48230,-49.890619,455,,,
48685,-63.252369,455,,,
49140,-52.216316,455,0.8984466791152954,6.80236406326294,1.3236350290477277
49595,-52.645096,455,,,
50050,-50.889754,455,,,
50505,-53.053126,455,,,
