timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-71.331231,455,,,
910,-77.36402,455,,,
1365,-84.414945,455,,,
1820,-71.282764,455,,,
2275,-70.143761,455,,,
2730,-72.051271,455,,,
3185,-71.141295,455,,,
3640,-72.274822,455,,,
4095,-68.383684,455,-0.01797163486480713,6.397642642259598,4.751898789405823
4550,-70.664344,455,,,
5005,-72.701735,455,,,
5460,-75.172266,455,,,
5915,-72.303789,455,0.26267099380493164,6.4205675482749935,1.8640142410993576
6370,-74.064004,455,,,
6825,-69.571121,455,,,
7280,-75.127346,455,,,
7735,-68.977706,455,,,
8190,-67.557866,455,0.31228744983673096,6.446370720863342,3.051771414279938
8645,-74.930633,455,,,
9100,-79.638566,455,,,
9555,-70.212279,455,,,
10010,-80.723722,455,0.18119770288467407,6.456439971923828,3.70232569873333
10465,-70.355893,455,,,
10920,-70.99585,455,,,
11375,-69.569101,455,,,
11830,-72.767488,455,,,
12285,-67.719737,455,0.19523930549621582,6.465704792737961,5.914015465974808
12740,-66.528168,455,,,
13195,-69.547221,455,,,
13650,-67.119848,455,,,
14105,-68.730533,455,0.45865654945373535,6.502772134542465,2.5727829918265344
14560,-65.112375,455,,,
15015,-76.896801,455,,,
15470,-67.428555,455,,,
15925,-67.409477,455,,,
16380,-75.876305,455,0.7793035507202148,6.552086520195007,1.0745291985571384
16835,-77.413886,455,,,
17290,-66.257837,455,,,
17745,-66.632605,455,,,
18200,-80.613256,455,0.5372759103775024,6.584960722923279,4.5022827088832855
18655,-65.552316,455,,,
19110,-82.595403,455,,,
19565,-72.248778,455,,,
20020,-73.738046,455,,,
20475,-80.88932,455,0.6425755023956299,6.612390255928039,3.7807880520820616
20930,-61.486549,455,,,
21385,-81.146046,455,,,
21840,-66.400427,455,,,
22295,-80.553319,455,0.5996151566505432,6.632782036066056,5.039998000860214
22750,-64.483076,455,,,
23205,-63.012618,455,,,
23660,-75.969558,455,,,
24115,-62.621484,455,,,
24570,-76.157905,455,0.6979082822799683,6.639196336269379,3.616977682709694
25025,-85.418694,455,,,
25480,-84.126383,455,,,
25935,-86.315382,455,,,
26390,-60.62703,455,0.7663898468017578,6.657875782251358,3.1320372715592386
26845,-76.399356,455,,,
27300,-82.216228,455,,,
27755,-73.16761,455,,,
28210,-77.96636,455,,,
28665,-79.696661,455,0.68133544921875,6.678023570775986,4.404055830836296
29120,-58.964233,455,,,
29575,-67.426808,455,,,
30030,-63.981046,455,,,
30485,-74.793488,455,0.6549665331840515,6.701006275415421,5.255662116408348
30940,-63.479594,455,,,
31395,-70.690372,455,,,
31850,-68.476858,455,,,
32305,-62.609179,455,,,
32760,-63.227315,455,0.8181524872779846,6.711617267131805,2.3451183080673217
33215,-85.415319,455,,,
33670,-60.146413,455,,,
34125,-63.469943,455,,,
34580,-59.459607,455,0.869691789150238,6.7311320304870605,2.0732228338718413
35035,-58.499277,455,,,
35490,-57.912506,455,,,
35945,-62.525233,455,,,
36400,-69.307715,455,,,
36855,-57.455162,455,0.8242769241333008,6.742693322896957,2.6827962413430213
37310,-67.088775,455,,,
37765,-60.889716,455,,,
38220,-62.516328,455,,,
38675,-71.975442,455,0.9265865683555603,6.737434679269791,0.98102757781744
39130,-60.712314,455,,,
39585,-60.838961,455,,,
40040,-58.878367,455,,,
40495,-65.499163,455,,,
40950,-59.824604,455,0.8812538981437683,6.752336436510086,1.7597694471478462
41405,-57.391845,455,,,
41860,-59.240541,455,,,
42315,-73.450625,455,,,
42770,-57.602478,455,0.9402254819869995,6.779081034660339,0.8380106195807457
43225,-59.131651,455,,,
43680,-58.831211,455,,,
44135,-84.893443,455,,,
44590,-55.341254,455,,,
45045,-54.976048,455,0.9345302581787109,6.791292977333069,0.8452915802598
45500,-58.646317,455,,,
45955,-75.300997,455,,,
46410,-65.980683,455,,,
46865,-55.26675,455,0.9257556200027466,6.804353910684585,0.9087134249508381
47320,-59.014577,455,,,
47775,-67.227911,455,,,
48230,-56.546035,455,,,
48685,-69.557502,455,,,
49140,-58.319885,455,0.8943707346916199,6.822171157598495,1.6281215026974678
49595,-66.3206,455,,,
50050,-55.005929,455,,,
50505,-56.36092,455,,,
50960,-70.222935,455,0.9076745510101318,6.841271489858627,1.5309345334768296
51415,-54.970519,455,,,
51870,-58.583985,455,,,
52325,-56.453356,455,,,
52780,-55.564727,455,,,
53235,-55.256935,455,0.9077454209327698,6.848340177536011,1.4938128024339676
53690,-77.001246,455,,,
54145,-56.609322,455,,,
54600,-68.459131,455,,,
55055,-71.732086,455,0.9426600337028503,6.863420104980468,0.7725259866565466
55510,-67.775872,455,,,
55965,-54.914596,455,,,
