timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-57.902827,455,,,
910,-49.5662,455,,,
1365,-50.550037,455,,,
1820,-48.756911,455,,,
2275,-55.806385,455,,,
2730,-55.548626,455,,,
3185,-51.622305,455,,,
3640,-56.455406,455,,,
4095,-53.364338,455,-0.007712244987487793,6.406545960903168,8.470659285783768
4550,-53.237986,455,,,
5005,-56.141982,455,,,
5460,-54.522381,455,,,
5915,-54.82322,455,0.2049221396446228,6.41600312590599,3.6790087699890135
6370,-51.164229,455,,,
6825,-53.497674,455,,,
7280,-53.06898,455,,,
7735,-52.207331,455,,,
8190,-54.083137,455,0.44473958015441895,6.408642238378524,5.223789566755295
8645,-47.866686,455,,,
9100,-56.511966,455,,,
9555,-44.74849,455,,,
10010,-53.05231,455,0.6064718961715698,6.42887601852417,5.613635447621346
10465,-54.045526,455,,,
10920,-52.751984,455,,,
11375,-54.620778,455,,,
11830,-54.803705,455,,,
12285,-55.288111,455,0.4886184334754944,6.436016720533371,7.430296796560287
12740,-53.322727,455,,,
13195,-54.879734,455,,,
13650,-54.537888,455,,,
14105,-54.298384,455,0.8170967698097229,6.437802082300186,3.533325606584549
14560,-58.856525,455,,,
15015,-45.665048,455,,,
15470,-52.072787,455,,,
15925,-51.655336,455,,,
16380,-42.653222,455,0.8904677033424377,6.443632769584656,2.203633891046047
16835,-51.706752,455,,,
17290,-51.133195,455,,,
17745,-52.044468,455,,,
18200,-55.812208,455,0.8073863983154297,6.457693004608155,4.379963579773903
18655,-52.783057,455,,,
19110,-47.670184,455,,,
19565,-52.426884,455,,,
20020,-45.951994,455,,,
20475,-47.888163,455,0.8687212467193604,6.477507489919662,3.4692234665155413
20930,-50.165279,455,,,
21385,-53.046436,455,,,
21840,-52.945473,455,,,
22295,-50.934705,455,0.8014503717422485,6.49149123430252,3.83336364030838
22750,-51.002944,455,,,
23205,-53.558992,455,,,
23660,-41.513291,455,,,
24115,-49.534647,455,,,
24570,-55.268233,455,0.8767896890640259,6.490576803684235,2.796299433708191
25025,-50.887375,455,,,
25480,-49.870376,455,,,
25935,-50.07898,455,,,
26390,-51.745732,455,0.909824550151825,6.482619774341583,2.6209858298301696
26845,-50.260456,455,,,
27300,-44.017901,455,,,
27755,-41.106986,455,,,
28210,-48.34976,455,,,
28665,-40.93274,455,0.8507827520370483,6.492809355258942,3.5362621545791626
29120,-51.570786,455,,,
29575,-49.02423,455,,,
30030,-54.963187,455,,,
30485,-56.519494,455,0.819749116897583,6.514250987768174,3.9335321515798567
30940,-53.682227,455,,,
31395,-48.690089,455,,,
31850,-50.623313,455,,,
32305,-52.526141,455,,,
32760,-52.657255,455,0.9146643877029419,6.525778216123581,2.4496848315000532
33215,-47.619528,455,,,
33670,-51.788213,455,,,
34125,-49.655191,455,,,
34580,-57.258019,455,0.9319567680358887,6.5368934094905855,2.0517343893647193
35035,-49.63162,455,,,
35490,-52.20795,455,,,
35945,-53.324711,455,,,
36400,-47.056523,455,,,
36855,-49.886034,455,0.8988007307052612,6.548447996377945,2.8726317077875136
37310,-55.715266,455,,,
37765,-52.545845,455,,,
38220,-55.249287,455,,,
38675,-47.078877,455,0.9615200757980347,6.559260421991349,1.378217201679945
39130,-50.735231,455,,,
39585,-55.138826,455,,,
40040,-51.356067,455,,,
40495,-45.850846,455,,,
40950,-54.864378,455,0.9411479830741882,6.570517349243164,2.0119305521249773
41405,-51.374358,455,,,
41860,-53.086798,455,,,
42315,-43.000506,455,,,
42770,-49.620497,455,0.9666745066642761,6.591693729162216,1.299056664854288
43225,-52.516225,455,,,
43680,-55.871282,455,,,
44135,-58.701883,455,,,
44590,-49.142194,455,,,
45045,-50.282059,455,0.970426619052887,6.623766374588013,1.1310385830700398
45500,-51.316338,455,,,
45955,-53.082071,455,,,
46410,-39.695027,455,,,
46865,-51.311866,455,0.9722198843955994,6.659030437469482,1.0813081212341786
47320,-51.804324,455,,,
47775,-51.935943,455,,,
48230,-50.721724,455,,,
48685,-54.553312,455,,,
49140,-51.240141,455,0.9457074403762817,6.6809380650520325,1.8367714419960977
49595,-58.201921,455,,,
50050,-51.044796,455,,,
50505,-50.848591,455,,,
50960,-58.022504,455,0.9567798376083374,6.681700509786606,1.8108016416430472
51415,-51.493783,455,,,
51870,-61.312542,455,,,
52325,-49.721998,455,,,
52780,-50.041566,455,,,
53235,-49.365302,455,0.9601790904998779,6.6926719665527346,1.6550528839230538
53690,-58.335843,455,,,
54145,-50.041758,455,,,
54600,-42.40105,455,,,
55055,-60.340295,455,0.979454517364502,6.70872408747673,0.9427524618804455
55510,-50.642562,455,,,
55965,-51.208988,455,,,
56420,-49.49715,455,,,
56875,-53.352202,455,,,
57330,-59.946354,455,0.9228603839874268,6.725787216424942,2.2503993824124335
57785,-48.007109,455,,,
58240,-52.839355,455,,,
58695,-56.371588,455,,,
59150,-46.264059,455,0.954524576663971,6.750035750865936,1.7399990245699883
59605,-48.467819,455,,,
60060,-51.115322,455,,,
60515,-46.851183,455,,,
60970,-51.152585,455,,,
61425,-52.149596,455,0.9466590881347656,6.767809647321701,1.8255786657333375
61880,-53.328093,455,,,
62335,-49.319257,455,,,
62790,-50.335048,455,,,
63245,-47.356964,455,0.984344482421875,6.787382555007935,0.7718249674886465
63700,-53.63572,455,,,
64155,-45.918702,455,,,
64610,-52.797357,455,,,
65065,-45.541048,455,,,
65520,-54.266536,455,0.9754599332809448,6.820836770534515,1.1069594778120517
65975,-50.461969,455,,,
66430,-47.027934,455,,,
66885,-48.413471,455,,,
67340,-46.775333,455,0.9537263512611389,6.834060990810395,1.529500575363636
67795,-53.318861,455,,,
68250,-47.319544,455,,,
68705,-52.485066,455,,,
69160,-55.275704,455,,,
69615,-52.478994,455,0.9620346426963806,6.837502771615982,1.4561144970357418
70070,-49.672083,455,,,
70525,-57.194952,455,,,
70980,-47.328557,455,,,
71435,-50.660979,455,0.9378113746643066,6.847396826744079,2.046159891784191
71890,-58.729038,455,,,
72345,-44.080306,455,,,
72800,-62.049762,455,,,
73255,-45.814175,455,,,
73710,-52.465993,455,0.9809947609901428,6.860962057113648,1.0008665509521961
74165,-35.607287,455,,,
74620,-44.423648,455,,,
75075,-46.900213,455,,,
75530,-46.598441,455,0.9338822960853577,6.8928718090057375,2.1830869197845457
75985,-44.726163,455,,,
76440,-46.071045,455,,,
76895,-44.432959,455,,,
77350,-45.630355,455,,,
77805,-49.492281,455,0.9646658301353455,6.912716370820999,1.425807873904705
78260,-44.929513,455,,,
78715,-46.179562,455,,,
79170,-47.437867,455,,,
79625,-45.216656,455,0.9805970191955566,6.932522773742676,0.9781948685646057
80080,-43.17188,455,,,
80535,-48.942907,455,,,
80990,-43.123414,455,,,
81445,-45.814482,455,,,
81900,-45.205634,455,0.9747655987739563,6.975188273191452,1.2063222452998161
82355,-41.623966,455,,,
82810,-50.788326,455,,,
83265,-45.729122,455,,,
83720,-42.626287,455,0.9969589114189148,7.046900761127472,0.2117263225838542
84175,-46.659004,455,,,
84630,-45.485968,455,,,
85085,-51.944684,455,,,
85540,-43.903737,455,,,
85995,-47.347943,455,0.9696778059005737,7.091460877656937,1.296176828444004
86450,-42.998117,455,,,
86905,-58.021187,455,,,
87360,-43.732843,455,,,
87815,-44.643741,455,0.9724451303482056,7.109345835447312,1.3108486250042914
88270,-58.268841,455,,,
88725,-45.05626,455,,,
89180,-44.074155,455,,,
89635,-35.876985,455,,,
90090,-40.889755,455,0.9817456603050232,7.151665729284287,0.9090122573077679
90545,-41.203069,455,,,
91000,-44.167821,455,,,
91455,-30.711278,455,,,
91910,-46.610786,455,0.9807854294776917,7.199495124816894,0.9774267405271531
92365,-43.054128,455,,,
92820,-59.087003,455,,,
93275,-37.379792,455,,,
93730,-39.264264,455,,,
94185,-40.45715,455,0.9707102179527283,7.238184082508087,1.2624038875102996
94640,-38.68901,455,,,
95095,-46.810884,455,,,
95550,-41.285233,455,,,
96005,-47.983246,455,0.9862823486328125,7.26286610364914,0.6768297500908375
96460,-37.552807,455,,,
