timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-79.525706,455,,,
910,-59.647255,455,,,
1365,-54.735424,455,,,
1820,-52.197753,455,,,
2275,-76.740454,455,,,
2730,-78.556773,455,,,
3185,-80.781799,455,,,
3640,-78.357748,455,,,
4095,-74.003011,455,0.10359114408493042,6.412838035821915,6.204744416475296
4550,-75.128358,455,,,
5005,-78.328104,455,,,
5460,-63.898235,455,,,
5915,-79.547624,455,0.13586366176605225,6.443453121185303,2.0467216417193415
6370,-67.7359,455,,,
6825,-77.285383,455,,,
7280,-53.689226,455,,,
7735,-73.833874,455,,,
8190,-73.169863,455,0.17850524187088013,6.455404794216156,4.8503688901662825
8645,-61.410862,455,,,
9100,-58.837603,455,,,
9555,-54.176095,455,,,
10010,-51.761948,455,0.37635689973831177,6.4478414297103885,3.754967275261879
10465,-76.798742,455,,,
10920,-76.165797,455,,,
11375,-75.494418,455,,,
11830,-48.867337,455,,,
12285,-79.018196,455,0.4911652207374573,6.455565321445465,6.150342983007431
12740,-77.592567,455,,,
13195,-77.676411,455,,,
13650,-76.332618,455,,,
14105,-75.61795,455,0.5562863945960999,6.477584278583526,3.4254513412714003
14560,-58.638905,455,,,
15015,-55.8435,455,,,
15470,-72.861851,455,,,
15925,-78.525382,455,,,
16380,-57.027883,455,0.5934475660324097,6.510906982421875,2.5316114321351053
16835,-52.807484,455,,,
17290,-75.449313,455,,,
17745,-74.17643,455,,,
18200,-52.497916,455,0.8073980212211609,6.526923501491547,3.6210490077733994
18655,-76.777429,455,,,
19110,-52.904384,455,,,
19565,-75.052275,455,,,
20020,-62.947292,455,,,
20475,-52.726379,455,0.8557039499282837,6.533243405818939,2.911111128330231
20930,-72.287414,455,,,
21385,-42.938128,455,,,
21840,-75.056832,455,,,
22295,-54.645795,455,0.8320555090904236,6.5544084966182705,4.879735267162323
22750,-74.308543,455,,,
23205,-75.511924,455,,,
23660,-62.611503,455,,,
24115,-71.950302,455,,,
24570,-54.212571,455,0.8897620439529419,6.582427054643631,2.702883690595627
25025,-56.946466,455,,,
25480,-57.283227,455,,,
25935,-47.137478,455,,,
26390,-74.186092,455,0.8997352719306946,6.613165533542633,2.8113976776599885
26845,-43.595194,455,,,
27300,-48.945074,455,,,
27755,-46.575553,455,,,
28210,-59.294137,455,,,
28665,-41.456824,455,0.8962214589118958,6.617242532968521,3.7407246053218843
29120,-71.500682,455,,,
29575,-47.194244,455,,,
30030,-74.709593,455,,,
30485,-47.646873,455,0.8811981678009033,6.613943040370941,4.176405993103981
30940,-76.112347,455,,,
31395,-55.878061,455,,,
31850,-45.005179,455,,,
32305,-72.668489,455,,,
32760,-72.987443,455,0.939132034778595,6.616722232103347,1.857648104429245
33215,-48.64632,455,,,
33670,-71.158363,455,,,
34125,-64.477227,455,,,
34580,-44.56371,455,0.9321144819259644,6.620542764663696,2.120520456135273
35035,-73.726874,455,,,
35490,-68.053346,455,,,
35945,-71.830804,455,,,
36400,-62.216766,455,,,
36855,-69.781192,455,0.9214083552360535,6.632019990682602,2.737067547440529
37310,-50.138932,455,,,
37765,-72.212604,455,,,
38220,-71.940029,455,,,
38675,-57.341959,455,0.944900631904602,6.644880586862564,1.2406559579074383
39130,-69.442845,455,,,
39585,-70.71899,455,,,
40040,-72.115366,455,,,
40495,-52.863415,455,,,
40950,-72.53688,455,0.9320723414421082,6.669833236932755,2.1146670788526536
41405,-69.024191,455,,,
41860,-72.133188,455,,,
42315,-46.112974,455,,,
42770,-71.456078,455,0.9653151631355286,6.685021752119065,0.9169866412878036
43225,-74.846482,455,,,
43680,-74.599656,455,,,
44135,-47.452581,455,,,
44590,-67.509604,455,,,
45045,-67.360638,455,0.9561635851860046,6.702313476800919,0.9923188842833042
45500,-65.618367,455,,,
45955,-60.12868,455,,,
46410,-46.709475,455,,,
46865,-70.039613,455,0.960081160068512,6.716447293758392,1.0666648991405965
47320,-67.693468,455,,,
47775,-66.962086,455,,,
48230,-71.836493,455,,,
48685,-61.396289,455,,,
49140,-67.577071,455,0.9455065727233887,6.736177635192871,1.6865497902035713
49595,-55.251591,455,,,
50050,-66.743022,455,,,
50505,-66.230274,455,,,
50960,-49.006086,455,0.9423285722732544,6.7532697975635525,1.8125978887081147
51415,-68.660373,455,,,
51870,-51.121259,455,,,
52325,-68.065749,455,,,
52780,-68.591321,455,,,
53235,-64.270744,455,0.9495725631713867,6.759177339076996,1.5911550849676133
53690,-53.827729,455,,,
54145,-67.746725,455,,,
54600,-48.109809,455,,,
55055,-47.635183,455,0.9565402269363403,6.779009544849396,1.0042922981083393
55510,-53.899611,455,,,
55965,-68.384727,455,,,
56420,-68.514683,455,,,
56875,-57.361979,455,,,
57330,-64.602388,455,0.9302300214767456,6.794963622093201,2.4517172083258627
57785,-66.666529,455,,,
58240,-48.250687,455,,,
58695,-52.547797,455,,,
59150,-43.041164,455,0.9451493620872498,6.7969999492168425,1.777361737191677
59605,-64.425469,455,,,
60060,-70.899036,455,,,
60515,-66.891708,455,,,
60970,-67.332339,455,,,
61425,-52.063748,455,0.9420328140258789,6.798414397239685,2.259014318883419
61880,-50.825217,455,,,
62335,-65.075864,455,,,
62790,-68.652239,455,,,
63245,-67.170559,455,0.9645431041717529,6.807153099775315,0.8831488415598869
63700,-56.349429,455,,,
64155,-62.797343,455,,,
64610,-72.889682,455,,,
65065,-64.504095,455,,,
65520,-46.524687,455,0.9565137028694153,6.814166992902756,1.1879321768879891
65975,-63.586158,455,,,
66430,-66.366503,455,,,
66885,-48.608807,455,,,
67340,-67.112188,455,0.9273977279663086,6.811437547206879,2.10224294513464
67795,-51.568391,455,,,
68250,-64.186557,455,,,
68705,-55.566649,455,,,
69160,-52.689864,455,,,
69615,-48.513886,455,0.9478973746299744,6.8103110015392305,1.6946451351046563
70070,-65.462327,455,,,
70525,-61.979788,455,,,
70980,-64.079251,455,,,
71435,-68.113813,455,0.9443380236625671,6.819881427288055,1.9802844822406769
71890,-57.319067,455,,,
72345,-62.333044,455,,,
72800,-50.141696,455,,,
73255,-41.647463,455,,,
73710,-50.655704,455,0.9538190364837646,6.830914807319641,1.1416564665734767
74165,-59.257745,455,,,
74620,-62.396759,455,,,
75075,-66.079803,455,,,
75530,-54.5069,455,0.9475312829017639,6.842040377855301,1.9856653928756713
75985,-44.288173,455,,,
76440,-63.791404,455,,,
76895,-60.366737,455,,,
77350,-61.43888,455,,,
77805,-49.93352,455,0.9506621360778809,6.844170218706131,1.5528940588235856
78260,-62.574176,455,,,
78715,-43.854249,455,,,
79170,-48.615753,455,,,
79625,-64.885481,455,0.9680436849594116,6.857547408342361,0.8734340161085129
80080,-63.751572,455,,,
80535,-66.929395,455,,,
80990,-63.031292,455,,,
81445,-63.685659,455,,,
81900,-64.235258,455,0.9611364603042603,6.877768087387085,1.2509930066764354
82355,-58.686415,455,,,
82810,-59.003678,455,,,
83265,-44.02055,455,,,
83720,-62.676606,455,0.9773849844932556,6.904923450946808,0.3034689262509346
84175,-65.076649,455,,,
84630,-55.345131,455,,,
85085,-54.149962,455,,,
85540,-59.723846,455,,,
85995,-61.440244,455,0.9336623549461365,6.941160422563553,1.2350798912346364
86450,-60.224574,455,,,
86905,-35.834131,455,,,
87360,-60.511046,455,,,
87815,-65.567006,455,0.9431928396224976,6.97087436914444,1.2197590805590153
88270,-48.613526,455,,,
88725,-64.068764,455,,,
89180,-61.38043,455,,,
89635,-52.937906,455,,,
90090,-59.606432,455,0.946022629737854,6.993838703632354,1.063877997547388
90545,-58.479557,455,,,
91000,-57.644584,455,,,
91455,-46.553839,455,,,
91910,-52.025942,455,0.9663078784942627,7.008820122480392,0.7631358496844769
