timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,39.224973,455,,,
910,40.308666,455,,,
1365,46.586622,455,,,
1820,37.875722,455,,,
2275,33.356485,455,,,
2730,40.929934,455,,,
3185,49.679709,455,,,
3640,40.965154,455,,,
4095,39.005984,455,0.0001780390739440918,6.39672737121582,10.451798212528228
4550,35.745087,455,,,
5005,37.295399,455,,,
5460,41.716405,455,,,
5915,35.56897,455,0.1677781343460083,6.40723506808281,8.323754000663758
6370,59.487472,455,,,
6825,50.444135,455,,,
7280,48.563203,455,,,
7735,41.453419,455,,,
8190,46.640289,455,0.33260995149612427,6.393404030799866,7.675261932611465
8645,44.551944,455,,,
9100,37.146095,455,,,
9555,46.968532,455,,,
10010,46.274252,455,0.4478108882904053,6.3725826978683475,6.219434559345245
10465,42.09986,455,,,
10920,34.146191,455,,,
11375,50.799757,455,,,
11830,44.847392,455,,,
12285,41.878059,455,0.5545620322227478,6.363755375146866,6.329104363918304
12740,42.737934,455,,,
13195,39.622873,455,,,
13650,50.062043,455,,,
14105,53.754999,455,0.5809118747711182,6.366153883934021,5.684748911857605
14560,29.111264,455,,,
15015,40.018085,455,,,
15470,41.159584,455,,,
15925,42.541269,455,,,
16380,33.580933,455,0.663749098777771,6.357174921035766,5.541428485512734
16835,31.743803,455,,,
17290,33.297356,455,,,
17745,38.610839,455,,,
18200,49.773329,455,0.6892164349555969,6.340000122785568,4.613401183485985
18655,36.344726,455,,,
19110,46.883191,455,,,
19565,41.499811,455,,,
20020,38.487224,455,,,
20475,27.736484,455,0.770173192024231,6.33751305937767,4.58015264570713
20930,45.096388,455,,,
21385,34.754222,455,,,
21840,47.753009,455,,,
22295,24.236366,455,0.7576631307601929,6.338292676210403,4.911102452874184
22750,40.348489,455,,,
23205,46.500704,455,,,
23660,58.701459,455,,,
24115,51.560279,455,,,
24570,42.555344,455,0.8013714551925659,6.332049483060837,4.311714369058609
25025,38.934475,455,,,
25480,42.659708,455,,,
25935,41.413436,455,,,
26390,39.628575,455,0.7882317304611206,6.326185929775238,4.000942641496659
26845,41.831196,455,,,
27300,36.054215,455,,,
27755,32.954668,455,,,
28210,35.590804,455,,,
28665,40.914668,455,0.8247358202934265,6.327996104955673,3.594581362605095
29120,48.540068,455,,,
29575,42.083334,455,,,
30030,31.391916,455,,,
30485,49.374328,455,0.8183918595314026,6.333951139450074,2.9014299541711805
30940,48.31333,455,,,
31395,36.796794,455,,,
31850,50.926341,455,,,
32305,36.996812,455,,,
32760,37.890942,455,0.8181667923927307,6.332102805376053,4.151996350288391
33215,49.482436,455,,,
33670,36.057753,455,,,
34125,46.457904,455,,,
34580,46.504051,455,0.8294330835342407,6.3251850485801695,3.0855353087186814
35035,39.138398,455,,,
35490,39.546184,455,,,
35945,44.525081,455,,,
36400,45.032968,455,,,
36855,52.166822,455,0.8480666875839233,6.3256073772907255,3.321655036509037
37310,37.242201,455,,,
37765,36.355768,455,,,
38220,45.696791,455,,,
38675,37.695688,455,0.8384519815444946,6.326726704835892,3.139712083339691
39130,49.712343,455,,,
39585,43.561999,455,,,
40040,42.551026,455,,,
40495,24.902307,455,,,
40950,31.66166,455,0.8386529684066772,6.315537983179093,3.1028709292411802
41405,40.536412,455,,,
41860,35.226844,455,,,
42315,35.573992,455,,,
42770,42.001075,455,0.8211392164230347,6.316393488645554,3.2053126215934755
43225,41.449192,455,,,
43680,38.917953,455,,,
44135,37.857479,455,,,
44590,49.51173,455,,,
45045,40.306364,455,0.8467080593109131,6.322021400928497,3.036596515774727
45500,41.897902,455,,,
45955,36.305101,455,,,
46410,49.221871,455,,,
46865,35.836355,455,0.8417534828186035,6.337156993150711,3.0511664658784867
47320,39.579264,455,,,
47775,39.237906,455,,,
48230,40.140276,455,,,
48685,45.797772,455,,,
49140,40.545643,455,0.8515716195106506,6.353502339124679,2.980844685435295
49595,48.587877,455,,,
50050,41.478479,455,,,
50505,47.885999,455,,,
50960,36.48506,455,0.8553517460823059,6.3738502025604244,2.614652469754219
51415,44.832755,455,,,
51870,54.702782,455,,,
52325,34.473777,455,,,
52780,31.295672,455,,,
53235,49.868703,455,0.8683539032936096,6.384896904230118,2.8453302681446075
53690,46.892347,455,,,
54145,28.880074,455,,,
54600,54.421126,455,,,
55055,35.206251,455,0.8375852704048157,6.389149349927902,2.8379872515797615
55510,45.821269,455,,,
55965,43.696585,455,,,
56420,43.049217,455,,,
56875,51.921335,455,,,
57330,46.184122,455,0.8647280335426331,6.39192111492157,2.930461326241493
57785,39.234354,455,,,
58240,39.972605,455,,,
58695,41.889074,455,,,
59150,38.193408,455,0.8583051562309265,6.402970343828201,2.913672375679016
59605,54.571204,455,,,
60060,36.287914,455,,,
60515,45.731802,455,,,
60970,51.053812,455,,,
61425,48.587836,455,0.8758137822151184,6.411329758167267,3.2641521811485292
61880,47.842025,455,,,
62335,42.339549,455,,,
62790,42.657368,455,,,
63245,39.878762,455,0.870036244392395,6.4010158479213715,2.3059018328785896
63700,44.961691,455,,,
64155,42.504316,455,,,
64610,53.940422,455,,,
65065,29.060475,455,,,
65520,39.279439,455,0.8789803981781006,6.397832155227661,2.3828159019351007
65975,46.720266,455,,,
66430,55.194074,455,,,
66885,45.483536,455,,,
67340,42.208337,455,0.8676883578300476,6.404452270269394,2.667390276491642
67795,42.558939,455,,,
68250,40.36873,455,,,
68705,33.998734,455,,,
69160,45.964061,455,,,
69615,42.43424,455,0.8652445673942566,6.3880099892616276,2.6736639738082886
70070,43.586753,455,,,
70525,50.423287,455,,,
70980,41.046404,455,,,
71435,37.495857,455,0.8491388559341431,6.38434026837349,2.4967387318611145
71890,51.275769,455,,,
72345,33.803145,455,,,
72800,46.610451,455,,,
73255,47.856392,455,,,
73710,43.116045,455,0.8842056393623352,6.391766041517258,2.625461158156395
74165,51.60039,455,,,
74620,33.864065,455,,,
75075,48.102315,455,,,
75530,32.503044,455,0.8653641939163208,6.396731388568878,2.4262452095746996
75985,40.207141,455,,,
76440,50.409173,455,,,
76895,49.521758,455,,,
77350,40.709717,455,,,
77805,45.408518,455,0.8784400820732117,6.401699441671371,2.655658057332039
78260,43.758723,455,,,
78715,54.190312,455,,,
79170,34.595948,455,,,
79625,32.358722,455,0.8784573674201965,6.394267892837524,2.448902016878128
80080,47.069646,455,,,
80535,44.674292,455,,,
80990,43.829464,455,,,
81445,48.15445,455,,,
81900,44.364461,455,0.8767440319061279,6.380806112289429,2.510227844119072
82355,46.480091,455,,,
82810,51.037149,455,,,
83265,54.667372,455,,,
83720,40.692812,455,0.8741630911827087,6.369134646654129,2.4973926812410356
84175,49.011955,455,,,
84630,39.611216,455,,,
85085,59.782486,455,,,
85540,50.065265,455,,,
85995,41.630203,455,0.8761894106864929,6.3516739964485165,2.6012934729456902
86450,49.453016,455,,,
86905,52.276528,455,,,
87360,44.277459,455,,,
87815,45.346598,455,0.8638007044792175,6.3512456059455875,2.6884777724742888
88270,41.811093,455,,,
88725,52.991199,455,,,
89180,51.638258,455,,,
89635,36.43695,455,,,
90090,45.448634,455,0.8954270482063293,6.359741646051407,2.4608776420354843
90545,44.868132,455,,,
91000,47.748571,455,,,
91455,50.623028,455,,,
91910,32.579555,455,0.886680543422699,6.367841786146164,2.500230647623539
92365,47.135089,455,,,
92820,48.641462,455,,,
93275,39.948076,455,,,
93730,50.941087,455,,,
94185,45.630058,455,0.8881827592849731,6.383214175701141,2.381927043199539
94640,51.595374,455,,,
95095,51.594485,455,,,
95550,47.630442,455,,,
96005,45.336301,455,0.9011189937591553,6.386892086267471,2.0363301619887353
96460,46.925407,455,,,
96915,53.402843,455,,,
97370,55.253949,455,,,
97825,51.16256,455,,,
98280,48.216246,455,0.8756512403488159,6.3926452696323395,2.7200067043304443
98735,56.065503,455,,,
99190,44.124294,455,,,
99645,57.597789,455,,,
100100,57.551946,455,0.8842275142669678,6.4120680570602415,2.0429929450154303
100555,47.242814,455,,,
101010,36.997844,455,,,
101465,47.622278,455,,,
101920,44.886348,455,,,
102375,55.080985,455,0.8889070749282837,6.416663855314255,2.24354480355978
102830,45.271668,455,,,
103285,34.950652,455,,,
103740,53.163481,455,,,
104195,48.161151,455,0.8649082779884338,6.4408205389976505,2.381492908298969
104650,56.719813,455,,,
105105,53.390788,455,,,
105560,55.538564,455,,,
106015,46.907607,455,,,
106470,42.217031,455,0.8904712796211243,6.452265679836273,2.386516849696636
106925,49.018691,455,,,
107380,43.451012,455,,,
107835,43.955771,455,,,
108290,46.361697,455,0.8902460336685181,6.45071564912796,2.132582260668278
