timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,16.602244,455,,,
910,30.794971,455,,,
1365,22.588019,455,,,
1820,17.478553,455,,,
2275,14.329614,455,,,
2730,14.992827,455,,,
3185,25.538856,455,,,
3640,24.138333,455,,,
4095,19.377205,455,-0.007716536521911621,6.403472453355789,3.900175166130066
4550,21.362584,455,,,
5005,21.500791,455,,,
5460,40.24112,455,,,
5915,27.442714,455,0.28607380390167236,6.412681317329406,3.225967526435852
6370,36.913791,455,,,
6825,30.96391,455,,,
7280,28.478685,455,,,
7735,29.49929,455,,,
8190,29.976596,455,0.42286378145217896,6.419437146186828,3.176787665486336
8645,35.878751,455,,,
9100,26.50404,455,,,
9555,32.675758,455,,,
10010,30.33356,455,0.5929852724075317,6.428173798322677,2.69478367716074
10465,24.288188,455,,,
10920,24.268834,455,,,
11375,36.531422,455,,,
11830,26.910716,455,,,
12285,31.909393,455,0.6647915840148926,6.420527172088623,2.515060791373253
12740,32.493024,455,,,
13195,29.440069,455,,,
13650,18.456427,455,,,
14105,28.177941,455,0.77683025598526,6.411967569589615,2.253817658126354
14560,24.596253,455,,,
15015,19.775709,455,,,
15470,28.014314,455,,,
15925,21.854065,455,,,
16380,32.544813,455,0.7962450981140137,6.421763515472412,2.366655296087265
16835,19.994722,455,,,
17290,26.179772,455,,,
17745,30.328138,455,,,
18200,25.205367,455,0.8358242511749268,6.439366698265076,2.191994886100292
18655,25.729763,455,,,
19110,36.817582,455,,,
19565,23.267719,455,,,
20020,28.606151,455,,,
20475,32.399653,455,0.8064784407615662,6.453790628910065,2.7870829492807387
20930,31.186946,455,,,
21385,37.723259,455,,,
21840,18.30941,455,,,
22295,34.829329,455,0.8419371843338013,6.457838243246078,2.202938610315323
22750,32.313953,455,,,
23205,28.670058,455,,,
23660,21.566466,455,,,
24115,23.756443,455,,,
24570,34.555178,455,0.813616156578064,6.451709645986557,2.241347223520279
25025,21.129631,455,,,
25480,25.112714,455,,,
25935,40.414055,455,,,
26390,39.887878,455,0.8592255115509033,6.445214039087295,2.1750496730208395
26845,38.620001,455,,,
27300,26.702115,455,,,
27755,32.33793,455,,,
28210,26.514638,455,,,
28665,27.045937,455,0.856286883354187,6.436080873012543,2.351306326687336
29120,28.842429,455,,,
29575,25.107954,455,,,
30030,31.940895,455,,,
30485,34.1802,455,0.8848639726638794,6.433949214220047,2.0201352521777154
30940,32.868299,455,,,
31395,29.757845,455,,,
31850,23.569001,455,,,
32305,28.001721,455,,,
32760,33.894719,455,0.8852038979530334,6.436793279647827,1.926345919072628
33215,30.697744,455,,,
33670,14.891909,455,,,
34125,37.67984,455,,,
34580,25.95791,455,0.9018011093139648,6.457404100894928,1.8502961426973343
35035,26.398898,455,,,
35490,32.877607,455,,,
35945,20.59922,455,,,
36400,34.850446,455,,,
36855,28.494064,455,0.8815280199050903,6.476192444562912,1.999103957414627
37310,42.719129,455,,,
37765,28.237604,455,,,
38220,23.52174,455,,,
38675,21.287589,455,0.9012781977653503,6.4915276110172275,1.9587922409176826
39130,29.88685,455,,,
39585,28.025725,455,,,
40040,28.525068,455,,,
40495,19.281757,455,,,
40950,24.213449,455,0.9034472107887268,6.4974317133426664,1.7623475581407546
41405,40.338798,455,,,
41860,31.171615,455,,,
42315,34.670767,455,,,
42770,32.629034,455,0.9052606225013733,6.5125928819179535,2.016612546145916
43225,39.758885,455,,,
43680,16.859398,455,,,
44135,35.540909,455,,,
44590,29.331004,455,,,
45045,22.700643,455,0.9001908898353577,6.523081278800964,1.9027004525065423
45500,27.425089,455,,,
45955,32.254089,455,,,
46410,25.650751,455,,,
46865,25.604931,455,0.8987976908683777,6.5279734313488005,1.662931038439274
47320,22.65026,455,,,
47775,38.564485,455,,,
48230,31.725187,455,,,
48685,35.036667,455,,,
49140,34.582725,455,0.8943696022033691,6.5254084169864655,1.597571112215519
49595,27.738698,455,,,
50050,18.736431,455,,,
50505,30.202857,455,,,
50960,34.990169,455,0.9008653163909912,6.509709674119949,1.710477489233017
51415,37.549233,455,,,
51870,29.317218,455,,,
52325,33.730568,455,,,
52780,28.868121,455,,,
53235,39.584675,455,0.8908380270004272,6.498304772377014,1.6886044532060622
53690,34.742026,455,,,
54145,30.342738,455,,,
54600,23.171959,455,,,
55055,28.222711,455,0.8878158330917358,6.497635769844055,1.5449074402451515
55510,31.66196,455,,,
55965,34.081163,455,,,
56420,28.452509,455,,,
56875,17.406728,455,,,
57330,25.818222,455,0.8865382671356201,6.491388690471649,1.6130843490362168
57785,30.647396,455,,,
58240,37.298998,455,,,
58695,29.857448,455,,,
59150,27.236751,455,0.8776927590370178,6.4889349937438965,1.6826699450612068
59605,13.953283,455,,,
60060,28.093679,455,,,
60515,29.452296,455,,,
60970,27.58928,455,,,
61425,17.505908,455,0.8551765084266663,6.485456418991089,1.823109421133995
61880,30.542179,455,,,
62335,29.559601,455,,,
62790,35.439468,455,,,
63245,27.711495,455,0.8845276832580566,6.472015738487244,1.9191392734646797
63700,28.350681,455,,,
64155,38.748362,455,,,
64610,40.956208,455,,,
65065,28.730002,455,,,
65520,24.032039,455,0.8755578994750977,6.472855806350708,1.719865158200264
65975,36.764742,455,,,
66430,33.44226,455,,,
66885,12.513361,455,,,
67340,19.491103,455,0.8834131956100464,6.492011082172394,1.651336106657982
67795,36.199973,455,,,
68250,44.791897,455,,,
68705,25.996088,455,,,
69160,38.454909,455,,,
69615,22.133287,455,0.8605247139930725,6.501589322090149,1.7550313621759415
70070,34.537958,455,,,
70525,30.483906,455,,,
70980,26.446717,455,,,
71435,31.300278,455,0.887174665927887,6.504050397872925,1.6230360820889473
71890,28.074287,455,,,
72345,32.223668,455,,,
72800,32.398162,455,,,
73255,31.949668,455,,,
73710,33.865403,455,0.8791697025299072,6.5171082556247715,2.1145655810832977
74165,32.547071,455,,,
74620,23.099966,455,,,
75075,29.613798,455,,,
