timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,24.53147,455,,,
910,26.770703,455,,,
1365,23.538034,455,,,
1820,26.531259,455,,,
2275,32.355098,455,,,
2730,31.793653,455,,,
3185,18.633231,455,,,
3640,30.359031,455,,,
4095,26.150403,455,0.0008071660995483398,6.398351430892944,10.354241204261779
4550,29.745685,455,,,
5005,24.070268,455,,,
5460,21.319207,455,,,
5915,22.053911,455,0.20849609375,6.411122667789459,8.284922540187836
6370,22.069921,455,,,
6825,21.832725,455,,,
7280,30.911838,455,,,
7735,17.678508,455,,,
8190,20.626779,455,0.42577946186065674,6.401972258090973,6.604867494106292
8645,24.861448,455,,,
9100,27.225639,455,,,
9555,24.154064,455,,,
10010,33.023339,455,0.6094034314155579,6.390419459342956,6.001112532615662
10465,22.84224,455,,,
10920,30.315684,455,,,
11375,28.901361,455,,,
11830,28.010404,455,,,
12285,23.741755,455,0.6881726384162903,6.394656229019165,5.268067100644112
12740,22.005547,455,,,
13195,26.231441,455,,,
13650,31.328943,455,,,
14105,20.194801,455,0.7546350955963135,6.3871362745761875,4.630810236930847
14560,16.710005,455,,,
15015,34.440165,455,,,
15470,34.940005,455,,,
15925,18.696114,455,,,
16380,26.969656,455,0.7827135324478149,6.386605310440063,4.231895342469215
16835,37.486218,455,,,
17290,29.423547,455,,,
17745,20.858873,455,,,
18200,37.669728,455,0.7918748259544373,6.381680035591126,4.4031682908535
18655,21.93173,455,,,
19110,31.016109,455,,,
19565,14.836175,455,,,
20020,20.325404,455,,,
20475,29.017829,455,0.7893428206443787,6.372882217168808,4.4418489813804625
20930,22.468601,455,,,
21385,11.32058,455,,,
21840,20.720063,455,,,
22295,22.664682,455,0.8201150298118591,6.371330255270005,4.0195690959692
22750,35.355724,455,,,
23205,32.977457,455,,,
23660,31.263063,455,,,
24115,23.073007,455,,,
24570,31.235353,455,0.8230680227279663,6.375884091854095,3.635373091697693
25025,34.238692,455,,,
25480,25.162719,455,,,
25935,20.173773,455,,,
26390,27.630589,455,0.8319449424743652,6.378883665800094,3.922871243953705
26845,25.235259,455,,,
27300,14.964494,455,,,
27755,32.981633,455,,,
28210,21.130793,455,,,
28665,29.211735,455,0.8173093199729919,6.371228051185608,3.8349672675132753
29120,20.138518,455,,,
29575,30.833964,455,,,
30030,28.130109,455,,,
30485,8.150648,455,0.8258136510848999,6.363627189397812,3.7441067904233933
30940,30.055244,455,,,
31395,32.571708,455,,,
31850,20.172721,455,,,
32305,21.538424,455,,,
32760,25.811352,455,0.8308460712432861,6.348161894083023,3.6917159080505373
33215,41.208471,455,,,
33670,19.63081,455,,,
34125,31.270296,455,,,
34580,33.46395,455,0.832990825176239,6.350851142406464,3.749790835380554
35035,34.980181,455,,,
35490,29.566278,455,,,
35945,21.33168,455,,,
36400,21.770259,455,,,
36855,40.691583,455,0.836040198802948,6.3524131119251255,3.1543621897697447
37310,28.063191,455,,,
37765,31.684658,455,,,
38220,24.528777,455,,,
38675,24.48262,455,0.8245945572853088,6.352499812841415,3.578363335132599
39130,32.65736,455,,,
39585,23.966559,455,,,
40040,17.961462,455,,,
40495,19.441216,455,,,
40950,25.433789,455,0.822163462638855,6.354503858089447,3.357251951098442
41405,36.15931,455,,,
41860,30.093692,455,,,
42315,39.330018,455,,,
42770,34.543896,455,0.8418360352516174,6.351030659675598,3.129747140407562
43225,28.383468,455,,,
43680,18.752439,455,,,
44135,30.788473,455,,,
