timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,21.230701,455,,,
910,12.075783,455,,,
1365,15.703714,455,,,
1820,18.740532,455,,,
2275,27.31647,455,,,
2730,10.783939,455,,,
3185,12.344752,455,,,
3640,7.734383,455,,,
4095,15.96868,455,0.006694972515106201,6.407194972038269,7.163452172279358
4550,8.689503,455,,,
5005,24.013258,455,,,
5460,7.099449,455,,,
5915,22.060484,455,0.380454957485199,6.431048285961151,5.499954286217689
6370,2.012198,455,,,
6825,1.795383,455,,,
7280,15.199047,455,,,
7735,11.766986,455,,,
8190,12.954551,455,0.665120005607605,6.439524757862091,4.77072337269783
8645,8.010705,455,,,
9100,11.244145,455,,,
9555,15.055076,455,,,
10010,16.491426,455,0.765471339225769,6.4387782454490665,3.962902030348778
10465,15.594046,455,,,
10920,18.617651,455,,,
11375,21.757487,455,,,
11830,19.43886,455,,,
12285,12.70981,455,0.8353942632675171,6.440959537029267,3.6423065215349197
12740,9.346117,455,,,
13195,11.031525,455,,,
13650,15.281885,455,,,
14105,7.513737,455,0.8576427698135376,6.451596260070801,3.464143106341362
14560,11.525239,455,,,
15015,12.794684,455,,,
15470,12.756106,455,,,
15925,21.775073,455,,,
16380,10.820377,455,0.8774943947792053,6.452238321304321,3.459210702776909
16835,14.266654,455,,,
17290,12.161937,455,,,
17745,11.373345,455,,,
18200,15.502655,455,0.8855120539665222,6.445072096586228,3.141315075755119
18655,7.502065,455,,,
19110,16.69665,455,,,
19565,26.836444,455,,,
20020,4.758883,455,,,
20475,14.577413,455,0.9029114842414856,6.442662155628204,3.143546962738037
20930,9.288991,455,,,
21385,24.92134,455,,,
21840,15.642177,455,,,
22295,15.048502,455,0.9038069844245911,6.4463054895401,2.9547328293323516
22750,18.715953,455,,,
23205,16.76736,455,,,
23660,5.433216,455,,,
24115,10.866067,455,,,
24570,15.416304,455,0.9223855137825012,6.449173545837402,2.809014391899109
25025,13.914934,455,,,
25480,12.199284,455,,,
25935,24.448501,455,,,
26390,20.979331,455,0.9212195873260498,6.446826708316803,2.504235118627548
26845,22.665622,455,,,
27300,19.616285,455,,,
27755,22.382015,455,,,
28210,8.705056,455,,,
28665,25.39096,455,0.9188454747200012,6.439383256435394,2.841915029287338
29120,6.851549,455,,,
29575,21.176426,455,,,
30030,17.138066,455,,,
30485,19.217464,455,0.9195288419723511,6.4369663298130035,2.6451013520359994
30940,22.412638,455,,,
31395,12.819991,455,,,
31850,24.876795,455,,,
32305,17.548904,455,,,
32760,19.420658,455,0.9245874285697937,6.434822452068329,2.6733466178178786
33215,18.787486,455,,,
33670,7.965636,455,,,
34125,4.099919,455,,,
34580,24.423717,455,0.9226295948028564,6.433030092716217,2.3478438913822175
35035,29.580493,455,,,
35490,18.476954,455,,,
35945,16.60461,455,,,
36400,7.68719,455,,,
36855,26.699864,455,0.925797700881958,6.4397265136241915,2.467791590094566
37310,19.657238,455,,,
37765,21.925173,455,,,
38220,-2.392329,455,,,
38675,10.592087,455,0.9210887551307678,6.441910529136658,2.5771045476198196
39130,20.823773,455,,,
39585,11.909677,455,,,
40040,7.877464,455,,,
40495,16.784472,455,,,
40950,21.2986,455,0.9214153289794922,6.442352616786957,2.6374714493751528
41405,14.250135,455,,,
41860,24.246891,455,,,
42315,22.244949,455,,,
42770,16.41899,455,0.9263859391212463,6.45128613114357,2.34948366433382
43225,16.734269,455,,,
43680,16.861081,455,,,
44135,21.27335,455,,,
44590,18.419863,455,,,
45045,13.410052,455,0.9300006031990051,6.461620724201202,2.363592530786991
45500,11.277477,455,,,
45955,10.039461,455,,,
46410,23.739561,455,,,
46865,17.197453,455,0.9324358105659485,6.467352521419525,2.2223768174648284
47320,19.387097,455,,,
47775,5.991727,455,,,
48230,22.265708,455,,,
48685,10.980243,455,,,
49140,29.180768,455,0.9360933899879456,6.475199627876282,2.5531413450837137
49595,15.238812,455,,,
50050,12.665871,455,,,
50505,19.067441,455,,,
50960,22.408223,455,0.9339555501937866,6.479681104421616,2.362492136657238
51415,25.270576,455,,,
51870,19.847831,455,,,
52325,23.815099,455,,,
52780,22.773227,455,,,
53235,24.167051,455,0.9328010082244873,6.479777330160141,2.4633142456412314
53690,18.593961,455,,,
54145,19.813146,455,,,
54600,21.45883,455,,,
55055,22.982123,455,0.9259753823280334,6.50479028224945,2.2301663026213645
55510,14.984532,455,,,
55965,31.676325,455,,,
56420,21.33448,455,,,
56875,12.376775,455,,,
57330,4.888639,455,0.9327060580253601,6.520500510931015,2.2597078397870063
57785,7.169518,455,,,
58240,21.07483,455,,,
58695,18.542669,455,,,
59150,24.821366,455,0.9280257821083069,6.505165326595306,2.4218723267316817
59605,11.716644,455,,,
60060,22.732406,455,,,
60515,25.218056,455,,,
60970,21.907453,455,,,
61425,18.928388,455,0.9283309578895569,6.49985494017601,2.6065035328269004
61880,19.056725,455,,,
62335,26.507677,455,,,
62790,16.006273,455,,,
63245,13.306914,455,0.937755286693573,6.500118666887284,1.9912094473838806
63700,13.03085,455,,,
64155,19.876846,455,,,
64610,11.213972,455,,,
65065,20.796448,455,,,
65520,23.65712,455,0.9394544959068298,6.4898462235927585,2.3059067517518996
65975,5.505041,455,,,
66430,13.16804,455,,,
66885,19.720496,455,,,
67340,15.051184,455,0.9365394115447998,6.479458594322205,2.0822383612394333
67795,19.049148,455,,,
68250,27.768868,455,,,
68705,15.278899,455,,,
69160,18.338672,455,,,
69615,18.760184,455,0.9438843131065369,6.476683223247528,2.0537247210741043
70070,20.598635,455,,,
70525,8.945751,455,,,
70980,24.60044,455,,,
71435,16.856476,455,0.9362580180168152,6.487926995754242,2.269272518157959
71890,13.147321,455,,,
72345,7.438692,455,,,
72800,19.234357,455,,,
73255,26.926088,455,,,
73710,19.172484,455,0.9345801472663879,6.498659074306488,2.114257176220417
74165,9.27146,455,,,
74620,29.854311,455,,,
75075,28.80395,455,,,
75530,16.107872,455,0.9379277229309082,6.504854929447174,2.065171982347965
75985,25.652701,455,,,
76440,15.697753,455,,,
76895,5.569961,455,,,
77350,15.554551,455,,,
77805,19.041393,455,0.9340888857841492,6.505974477529525,2.3426003485918043
78260,23.427053,455,,,
78715,28.044139,455,,,
79170,23.573367,455,,,
79625,20.763192,455,0.9406282305717468,6.499716955423355,1.7277472779154777
80080,20.929775,455,,,
80535,22.495981,455,,,
80990,14.481899,455,,,
81445,9.485927,455,,,
81900,20.77355,455,0.9347857236862183,6.500515401363373,2.1087969318032265
82355,17.793314,455,,,
82810,14.242606,455,,,
83265,25.495241,455,,,
83720,34.980343,455,0.9399693012237549,6.504006940126419,1.9502452597022057
84175,20.029533,455,,,
84630,18.295628,455,,,
85085,18.118979,455,,,
85540,19.431888,455,,,
85995,21.828349,455,0.9286136031150818,6.511237478256225,2.251550278067589
86450,21.902241,455,,,
86905,38.309846,455,,,
87360,22.973051,455,,,
87815,15.373083,455,0.9276793599128723,6.5073413968086244,1.8387602761387825
88270,23.420566,455,,,
88725,28.640357,455,,,
89180,25.212234,455,,,
89635,16.1366,455,,,
90090,16.796343,455,0.9331114292144775,6.514675223827362,2.1622218787670135
90545,25.908494,455,,,
91000,21.982659,455,,,
91455,24.537815,455,,,
91910,18.343909,455,0.9330484867095947,6.531181645393372,2.5771276876330376
92365,27.557154,455,,,
92820,17.053626,455,,,
93275,21.25418,455,,,
93730,41.262913,455,,,
94185,27.364006,455,0.9343909025192261,6.538205879926681,1.9482640743255615
94640,25.475241,455,,,
95095,21.333762,455,,,
95550,25.273601,455,,,
96005,29.954551,455,0.9344909191131592,6.543652069568634,2.1574158787727358
96460,19.005665,455,,,
96915,16.471543,455,,,
97370,17.808696,455,,,
97825,25.816565,455,,,
98280,14.642172,455,0.941287100315094,6.54274753332138,1.8730343714356423
98735,19.58874,455,,,
99190,39.243303,455,,,
99645,19.102599,455,,,
100100,18.19163,455,0.92806077003479,6.540033769607544,2.072749395668507
100555,27.485764,455,,,
101010,23.711039,455,,,
101465,23.151996,455,,,
101920,27.881832,455,,,
