timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,14.204447,139,,,
278,13.602045,139,,,
417,16.600193,139,,,
556,19.128393,139,,,
695,20.51356,139,,,
834,23.65998,139,,,
973,19.470789,139,,,
1112,15.122769,139,,,
1251,19.732104,139,,,
1390,23.988327,139,,,
1529,14.60386,139,,,
1668,20.671982,139,,,
1807,11.231135,139,,,
1946,14.197374,139,,,
2085,19.013419,139,,,
2224,13.321999,139,,,
2363,13.961402,139,,,
2502,20.531683,139,,,
2641,21.288969,139,,,
2780,30.002952,139,,,
2919,21.875063,139,,,
3058,9.02056,139,,,
3197,19.168713,139,,,
3336,16.377389,139,,,
3475,18.973171,139,,,
3614,18.994957,139,,,
3753,10.192554,139,,,
3892,24.038507,139,,,
4031,21.177423,139,-0.003642559051513672,3.5009177207946776,12.670268440246582
4170,20.908679,139,,,
4309,22.783637,139,,,
4448,9.782505,139,,,
4587,16.739304,139,,,
4726,24.228044,139,,,
4865,14.437373,139,,,
5004,18.950365,139,,,
5143,15.190761,139,,,
5282,14.813721,139,,,
5421,20.540049,139,,,
5560,17.866336,139,,,
5699,23.90848,139,,,
5838,8.49958,139,,,
5977,13.387309,139,,,
6116,25.833919,139,0.008361995220184326,3.5179030328989027,12.613908696174622
6255,11.539515,139,,,
6394,25.687398,139,,,
6533,20.206312,139,,,
6672,16.447686,139,,,
6811,12.747445,139,,,
6950,16.871648,139,,,
7089,13.5111,139,,,
7228,21.990028,139,,,
7367,6.221251,139,,,
7506,14.447744,139,,,
7645,20.577759,139,,,
7784,23.185098,139,,,
7923,17.771089,139,,,
8062,19.961608,139,0.0879373550415039,3.5160731792449953,10.455790609121323
8201,17.902397,139,,,
8340,14.226978,139,,,
8479,19.128543,139,,,
8618,17.053176,139,,,
8757,16.152635,139,,,
8896,15.119515,139,,,
9035,16.177581,139,,,
9174,20.281393,139,,,
9313,24.71432,139,,,
9452,17.821482,139,,,
9591,21.27919,139,,,
9730,8.110258,139,,,
