timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-2.234934,455,,,
910,-12.777651,455,,,
1365,2.33307,455,,,
1820,-3.281029,455,,,
2275,-5.683889,455,,,
2730,8.53549,455,,,
3185,-8.800239,455,,,
3640,-6.713361,455,,,
4095,2.382161,455,0.010420262813568115,6.385334324836731,7.626508295536041
4550,-1.753773,455,,,
5005,0.555893,455,,,
5460,1.912467,455,,,
5915,-2.133573,455,0.412293016910553,6.380956089496612,5.582610404491424
6370,3.078588,455,,,
6825,-3.571089,455,,,
7280,4.379255,455,,,
7735,-2.559979,455,,,
8190,-2.837313,455,0.6188395023345947,6.369747489690781,4.794609627127647
8645,6.374364,455,,,
9100,-6.739284,455,,,
9555,9.153855,455,,,
10010,-4.869889,455,0.7651838064193726,6.347789418697357,3.7000487953424455
10465,-1.719472,455,,,
10920,-6.07662,455,,,
11375,-1.459809,455,,,
11830,-0.090342,455,,,
12285,-1.496018,455,0.8302944898605347,6.341908490657806,3.8598538517951964
12740,8.56913,455,,,
13195,2.992893,455,,,
13650,5.529893,455,,,
14105,-1.711482,455,0.86092209815979,6.345032638311386,3.5386618971824646
14560,4.601463,455,,,
15015,-11.227669,455,,,
15470,1.572431,455,,,
15925,-1.46409,455,,,
16380,-6.185256,455,0.8728687167167664,6.34556919336319,3.697679966688156
16835,-3.692316,455,,,
17290,1.36017,455,,,
17745,6.621996,455,,,
18200,-3.125479,455,0.8846558332443237,6.348987567424774,3.470949709415436
18655,3.727373,455,,,
19110,3.120034,455,,,
19565,-2.080824,455,,,
20020,-1.661535,455,,,
20475,5.797611,455,0.8949700593948364,6.358517146110534,3.34415525496006
20930,-2.340054,455,,,
21385,3.831187,455,,,
21840,-2.293452,455,,,
22295,6.808226,455,0.8925093412399292,6.358717912435532,3.275108504295349
22750,3.330357,455,,,
23205,3.642315,455,,,
23660,-6.595858,455,,,
24115,-0.708072,455,,,
24570,-5.668985,455,0.9083324670791626,6.362220531702041,3.2743801176548004
25025,-2.709107,455,,,
25480,4.583135,455,,,
25935,-12.84648,455,,,
26390,-12.980509,455,0.9067361354827881,6.362338197231293,3.1198234498500823
26845,0.693925,455,,,
27300,8.381034,455,,,
27755,-3.662673,455,,,
28210,8.160291,455,,,
28665,-0.906599,455,0.9118853211402893,6.360226631164551,3.100128856301308
29120,-4.391912,455,,,
29575,-3.628766,455,,,
30030,-6.135455,455,,,
30485,2.617979,455,0.9104613065719604,6.3677931189537045,2.822430044412613
30940,-5.328782,455,,,
31395,5.303167,455,,,
31850,1.390526,455,,,
32305,-0.755048,455,,,
32760,-0.739035,455,0.9158366322517395,6.3690549552440645,2.906391817331314
33215,-1.033411,455,,,
33670,-4.756074,455,,,
34125,7.180495,455,,,
34580,-8.060815,455,0.9203128814697266,6.386763048171997,2.397867223620415
35035,-1.771217,455,,,
35490,-2.088642,455,,,
35945,5.866823,455,,,
36400,10.026456,455,,,
36855,-3.697329,455,0.9193958044052124,6.410139578580856,2.720666205883026
37310,-2.863575,455,,,
37765,-1.874661,455,,,
38220,0.723996,455,,,
38675,-7.294633,455,0.919935941696167,6.417847138643265,2.90948725938797
39130,-2.736359,455,,,
39585,3.082439,455,,,
40040,-6.098715,455,,,
40495,-7.897437,455,,,
40950,-6.512741,455,0.9289693236351013,6.412577998638153,2.5987704277038572
41405,-4.651662,455,,,
41860,1.466677,455,,,
42315,2.158145,455,,,
42770,-4.164686,455,0.9273748397827148,6.40651428103447,2.2183081239461897
43225,-29.752324,455,,,
43680,-7.327163,455,,,
44135,1.412042,455,,,
44590,-4.848084,455,,,
45045,4.152405,455,0.9291999936103821,6.411171072721482,2.380402612686157
45500,-2.168195,455,,,
45955,1.845594,455,,,
46410,-1.999148,455,,,
46865,1.214818,455,0.922014057636261,6.436799931526184,2.6902674227952956
47320,2.475028,455,,,
47775,8.605723,455,,,
48230,0.723532,455,,,
48685,8.947118,455,,,
49140,5.760961,455,0.9348667860031128,6.449754995107651,2.373810590803623
49595,-2.054597,455,,,
50050,-2.05391,455,,,
50505,-8.437703,455,,,
50960,-4.460702,455,0.9298226833343506,6.450170081853867,2.1927254140377044
51415,1.756441,455,,,
51870,2.973535,455,,,
52325,-0.23148,455,,,
52780,-4.810365,455,,,
53235,11.364272,455,0.9309825301170349,6.464979106187821,2.4290466606616974
53690,-3.460245,455,,,
54145,6.692081,455,,,
54600,3.284156,455,,,
55055,-6.269025,455,0.9357149004936218,6.4873280107975,2.092924524843693
55510,-2.527881,455,,,
55965,-12.691094,455,,,
56420,-6.926218,455,,,
56875,6.231635,455,,,
57330,2.224069,455,0.9308262467384338,6.500620836019516,2.280942177772522
57785,-8.429288,455,,,
58240,-2.24707,455,,,
58695,4.204676,455,,,
59150,-6.008717,455,0.9335091710090637,6.513387846946716,2.2148106202483175
59605,4.238191,455,,,
60060,11.187605,455,,,
60515,-0.119112,455,,,
60970,1.570973,455,,,
61425,-3.883185,455,0.9413810968399048,6.5283786118030545,2.192648169398308
61880,0.096724,455,,,
62335,-0.76652,455,,,
62790,3.65268,455,,,
63245,-7.238956,455,0.9410566091537476,6.534007602930069,2.0144707024097444
63700,-6.641889,455,,,
64155,-6.420928,455,,,
64610,10.138143,455,,,
65065,13.53561,455,,,
65520,-4.300566,455,0.9383783340454102,6.537889277935028,2.276171883940697
65975,0.265563,455,,,
66430,0.485567,455,,,
66885,3.367929,455,,,
67340,10.736622,455,0.9391070008277893,6.548119175434112,2.111218291521072
67795,-9.915224,455,,,
68250,6.483786,455,,,
68705,8.939085,455,,,
69160,-2.451355,455,,,
69615,-12.498483,455,0.9465063810348511,6.565116542577743,2.0831744760274886
70070,6.671295,455,,,
70525,0.819352,455,,,
70980,8.45489,455,,,
71435,-0.022121,455,0.9424883127212524,6.56709833741188,2.1109469920396804
71890,4.770079,455,,,
72345,-2.419631,455,,,
72800,3.793331,455,,,
73255,0.054573,455,,,
73710,-13.026425,455,0.9429834485054016,6.571149295568466,2.097383959591389
74165,2.775137,455,,,
74620,-12.325145,455,,,
75075,4.83809,455,,,
75530,-2.597049,455,0.9380607604980469,6.575932508707046,1.9707192942500114
