timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.391561,139,,,
278,13.242042,139,,,
417,15.30563,139,,,
556,21.727059,139,,,
695,12.708067,139,,,
834,12.922708,139,,,
973,12.198976,139,,,
1112,13.974797,139,,,
1251,22.95971,139,,,
1390,17.129367,139,,,
1529,14.493698,139,,,
1668,19.328971,139,,,
1807,16.188544,139,,,
1946,16.76971,139,,,
2085,13.365512,139,,,
2224,8.679599,139,,,
2363,7.290422,139,,,
2502,13.140231,139,,,
2641,26.038462,139,,,
2780,27.162286,139,,,
2919,19.675627,139,,,
3058,23.556774,139,,,
3197,23.049058,139,,,
3336,15.643903,139,,,
3475,18.575978,139,,,
3614,24.368936,139,,,
3753,17.78318,139,,,
3892,13.037527,139,,,
4031,17.357613,139,0.0010685324668884277,3.475078910589218,11.239988589286805
