timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.391598,139,,,
278,13.242004,139,,,
417,15.305474,139,,,
556,21.727185,139,,,
695,12.708121,139,,,
834,12.922607,139,,,
973,12.198929,139,,,
1112,13.974813,139,,,
1251,22.959741,139,,,
1390,17.129522,139,,,
1529,14.493681,139,,,
1668,19.328976,139,,,
1807,16.188548,139,,,
1946,16.769615,139,,,
2085,13.365976,139,,,
2224,8.681514,139,,,
2363,7.289554,139,,,
2502,13.143248,139,,,
2641,26.036426,139,,,
2780,27.164293,139,,,
2919,19.676968,139,,,
3058,23.557008,139,,,
3197,23.049429,139,,,
3336,15.646488,139,,,
3475,18.574924,139,,,
3614,24.371128,139,,,
3753,17.786251,139,,,
3892,13.037114,139,,,
4031,17.359602,139,0.0010685324668884277,3.47507885992527,11.239989793300628
