timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,21.658342,139,,,
278,4.24817,139,,,
417,23.924921,139,,,
556,13.510316,139,,,
695,17.003486,139,,,
834,18.899736,139,,,
973,14.468776,139,,,
1112,14.109491,139,,,
1251,22.410613,139,,,
1390,23.231002,139,,,
1529,15.119349,139,,,
1668,15.780738,139,,,
1807,15.366158,139,,,
1946,13.783227,139,,,
2085,12.86337,139,,,
2224,10.741875,139,,,
2363,11.507654,139,,,
2502,24.435823,139,,,
2641,13.902715,139,,,
2780,24.729,139,,,
2919,19.662726,139,,,
3058,13.474253,139,,,
3197,11.577658,139,,,
3336,14.455901,139,,,
3475,15.365102,139,,,
3614,17.756736,139,,,
3753,12.484328,139,,,
3892,26.150381,139,,,
4031,12.53114,139,-0.0004944801330566406,3.485985577106476,13.919352686405182
4170,11.931294,139,,,
4309,14.30526,139,,,
4448,20.3978,139,,,
4587,16.438087,139,,,
4726,13.636143,139,,,
4865,22.793284,139,,,
5004,23.600998,139,,,
5143,13.03668,139,,,
5282,19.572102,139,,,
5421,16.132197,139,,,
5560,26.75527,139,,,
5699,23.971371,139,,,
5838,16.455406,139,,,
5977,12.725931,139,,,
6116,22.060496,139,0.050039589405059814,3.480824199318886,13.00623561143875
6255,20.504821,139,,,
6394,16.688543,139,,,
6533,25.679221,139,,,
6672,21.435501,139,,,
6811,21.359831,139,,,
6950,17.402116,139,,,
7089,4.645982,139,,,
7228,14.197441,139,,,
7367,19.949019,139,,,
7506,24.479734,139,,,
7645,15.858263,139,,,
7784,22.710085,139,,,
7923,23.970851,139,,,
8062,18.285177,139,0.20952653884887695,3.4734175592660903,10.143225449323655
8201,8.977102,139,,,
8340,12.824432,139,,,
8479,17.953032,139,,,
8618,30.374912,139,,,
8757,18.652431,139,,,
8896,20.174143,139,,,
9035,28.530527,139,,,
9174,23.962382,139,,,
9313,14.530169,139,,,
9452,13.469239,139,,,
9591,23.554222,139,,,
9730,10.167678,139,,,
9869,12.489081,139,,,
10008,14.769444,139,,,
10147,16.521521,139,0.5320588946342468,3.4769372224807737,6.95858308672905
10286,24.63145,139,,,
10425,24.325518,139,,,
10564,26.535106,139,,,
