timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,11.380618,139,,,
278,11.367367,139,,,
417,15.081104,139,,,
556,20.575073,139,,,
695,6.938188,139,,,
834,16.408646,139,,,
973,12.447012,139,,,
1112,13.604597,139,,,
1251,10.441092,139,,,
1390,14.03044,139,,,
1529,16.405093,139,,,
1668,15.469013,139,,,
1807,20.088656,139,,,
1946,14.464627,139,,,
2085,12.614691,139,,,
2224,10.351099,139,,,
2363,11.341793,139,,,
2502,16.322457,139,,,
2641,17.285139,139,,,
2780,14.9744,139,,,
2919,15.090763,139,,,
3058,19.338466,139,,,
3197,14.947714,139,,,
3336,16.535765,139,,,
3475,24.48983,139,,,
3614,19.702371,139,,,
3753,9.775359,139,,,
3892,16.374338,139,,,
4031,21.238506,139,-1.9669532775878906e-05,3.503846827149391,13.690307629108428
4170,18.617679,139,,,
4309,7.907033,139,,,
4448,17.595055,139,,,
4587,18.354112,139,,,
4726,13.533799,139,,,
4865,21.069761,139,,,
5004,22.306673,139,,,
5143,28.912922,139,,,
5282,6.167582,139,,,
5421,15.04965,139,,,
5560,19.999312,139,,,
5699,11.056173,139,,,
5838,15.964483,139,,,
5977,24.731944,139,,,
6116,10.563273,139,-0.0013141632080078125,3.509226605296135,12.16403865814209
6255,16.045642,139,,,
6394,13.372679,139,,,
6533,12.166783,139,,,
6672,20.165474,139,,,
6811,14.878149,139,,,
6950,29.076623,139,,,
7089,11.610566,139,,,
7228,11.852581,139,,,
7367,18.180443,139,,,
7506,8.725394,139,,,
7645,24.469069,139,,,
7784,25.05907,139,,,
7923,15.236702,139,,,
8062,18.79123,139,0.0017385482788085938,3.4878534853458403,12.274924778938294
8201,18.948494,139,,,
8340,8.697947,139,,,
8479,15.325383,139,,,
8618,9.250563,139,,,
8757,12.084229,139,,,
8896,22.256914,139,,,
9035,15.245365,139,,,
9174,25.191493,139,,,
9313,18.445283,139,,,
9452,18.902687,139,,,
9591,20.848555,139,,,
9730,16.43253,139,,,
9869,10.939196,139,,,
10008,17.347694,139,,,
10147,13.916711,139,-0.0009312629699707031,3.493381443619728,12.799082744121552
10286,16.769594,139,,,
10425,21.666771,139,,,
10564,22.530328,139,,,
10703,13.820027,139,,,
10842,19.222095,139,,,
10981,16.798104,139,,,
11120,21.470575,139,,,
11259,18.668425,139,,,
11398,13.913664,139,,,
11537,15.702208,139,,,
11676,17.253827,139,,,
11815,12.876941,139,,,
11954,10.531611,139,,,
12093,16.932923,139,,,
12232,7.599854,139,0.0015287995338439941,3.501685693860054,11.94260939359665
12371,11.847377,139,,,
12510,13.680628,139,,,
12649,9.827127,139,,,
12788,7.625041,139,,,
12927,19.091928,139,,,
13066,12.963024,139,,,
13205,17.29017,139,,,
13344,15.057748,139,,,
13483,18.346459,139,,,
13622,11.308933,139,,,
13761,13.735707,139,,,
13900,14.460948,139,,,
14039,21.031273,139,,,
14178,15.182809,139,,,
14317,23.482722,139,-0.003121495246887207,3.5216526836156845,12.278393113613129
14456,15.055547,139,,,
14595,15.315391,139,,,
14734,23.320143,139,,,
14873,24.681537,139,,,
15012,11.625266,139,,,
15151,9.540226,139,,,
15290,12.115974,139,,,
15429,19.606368,139,,,
15568,7.100397,139,,,
15707,18.429167,139,,,
15846,12.061664,139,,,
15985,17.731644,139,,,
16124,12.053996,139,,,
16263,10.05409,139,-0.0014989376068115234,3.5429840952157976,14.228685677051544
16402,20.836152,139,,,
16541,8.770961,139,,,
16680,17.981938,139,,,
16819,15.833874,139,,,
16958,9.171635,139,,,
17097,20.836344,139,,,
17236,13.456,139,,,
17375,16.438642,139,,,
17514,20.495786,139,,,
17653,19.73928,139,,,
17792,26.58357,139,,,
17931,7.024093,139,,,
18070,21.758577,139,,,
18209,23.129118,139,,,
18348,17.528431,139,-0.0004837512969970703,3.5560959368944167,13.431504821777343
18487,10.777121,139,,,
18626,17.951645,139,,,
18765,17.211516,139,,,
18904,15.031799,139,,,
19043,15.437276,139,,,
19182,23.335702,139,,,
19321,14.287797,139,,,
19460,17.283022,139,,,
19599,20.927934,139,,,
19738,21.866107,139,,,
19877,20.044083,139,,,
20016,18.235482,139,,,
20155,17.811435,139,,,
20294,9.150356,139,,,
20433,14.130137,139,0.0006918907165527344,3.565770688652992,12.804975807666779
20572,17.479997,139,,,
20711,17.774276,139,,,
20850,14.494158,139,,,
20989,16.665576,139,,,
