timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-70.315452,455,,,
910,-70.639799,455,,,
1365,-71.039723,455,,,
1820,-71.393049,455,,,
2275,-77.603045,455,,,
2730,-73.781129,455,,,
3185,-75.515992,455,,,
3640,-81.102985,455,,,
4095,-71.439465,455,0.009226202964782715,6.403363519906998,8.261864477396012
4550,-81.855153,455,,,
5005,-62.415323,455,,,
5460,-79.696017,455,,,
5915,-87.07852,455,0.1799306869506836,6.400229835510254,8.385617232322693
6370,-68.947045,455,,,
6825,-79.789851,455,,,
7280,-82.809944,455,,,
7735,-67.606239,455,,,
8190,-77.836443,455,0.4274597764015198,6.386368387937546,7.184202969074249
8645,-71.098903,455,,,
9100,-76.773837,455,,,
9555,-68.653825,455,,,
10010,-74.768562,455,0.5719834566116333,6.404144197702408,6.726575928926468
10465,-79.05481,455,,,
10920,-65.983634,455,,,
11375,-59.775311,455,,,
11830,-62.080307,455,,,
12285,-77.373052,455,0.6788307428359985,6.426226776838303,5.955253106355667
12740,-87.897019,455,,,
13195,-78.42866,455,,,
13650,-80.297375,455,,,
14105,-75.935537,455,0.7878134250640869,6.440016943216324,5.145477339625359
14560,-75.373036,455,,,
15015,-77.272223,455,,,
15470,-66.599346,455,,,
15925,-70.113149,455,,,
16380,-67.653676,455,0.7898034453392029,6.4372750401496885,5.683539706468582
16835,-72.785864,455,,,
17290,-67.057669,455,,,
17745,-73.238126,455,,,
18200,-75.535107,455,0.8494943380355835,6.444343483448028,4.710490870475769
18655,-79.043901,455,,,
19110,-77.077472,455,,,
19565,-64.163448,455,,,
20020,-75.107964,455,,,
20475,-66.563678,455,0.8489553332328796,6.469418442249298,4.9494048863649365
20930,-75.026173,455,,,
21385,-82.761502,455,,,
21840,-68.490383,455,,,
22295,-70.29882,455,0.8833255171775818,6.484023672342301,3.941560390591621
22750,-65.122818,455,,,
23205,-69.342401,455,,,
23660,-66.670834,455,,,
24115,-67.200216,455,,,
24570,-72.885749,455,0.8729981184005737,6.492240250110626,4.59141472876072
25025,-73.244374,455,,,
25480,-69.773527,455,,,
25935,-70.647127,455,,,
26390,-65.784139,455,0.9054074883460999,6.511512595415115,4.015849277377129
26845,-66.882883,455,,,
27300,-63.020251,455,,,
27755,-73.342217,455,,,
28210,-72.829336,455,,,
28665,-59.135977,455,0.8974770903587341,6.547182792425156,4.1580388128757475
29120,-75.129329,455,,,
29575,-73.316988,455,,,
30030,-65.898921,455,,,
30485,-67.72366,455,0.9209490418434143,6.570974707603455,3.4409711331129076
30940,-76.185677,455,,,
31395,-74.791606,455,,,
31850,-84.67427,455,,,
32305,-74.757331,455,,,
32760,-87.285197,455,0.9077647924423218,6.576763528585434,3.6651869088411333
33215,-67.436664,455,,,
33670,-68.924557,455,,,
34125,-69.108432,455,,,
34580,-81.614775,455,0.91132652759552,6.570198929309845,3.8671861737966537
35035,-62.053201,455,,,
35490,-70.285545,455,,,
35945,-67.930413,455,,,
36400,-69.94925,455,,,
36855,-68.807229,455,0.9132107496261597,6.581125873327255,3.385231027007103
37310,-66.450137,455,,,
37765,-68.317974,455,,,
38220,-73.917116,455,,,
38675,-64.833116,455,0.9342145919799805,6.586218100786209,2.8254147946834562
39130,-72.65768,455,,,
39585,-51.377332,455,,,
40040,-65.600519,455,,,
40495,-64.830782,455,,,
40950,-63.236036,455,0.9308826923370361,6.579562324285507,3.129681792855263
41405,-62.935962,455,,,
41860,-80.330841,455,,,
42315,-70.393018,455,,,
42770,-79.07519,455,0.9432132840156555,6.588001090288162,2.6005732625722886
43225,-65.579469,455,,,
43680,-78.784138,455,,,
44135,-70.921845,455,,,
44590,-71.330763,455,,,
45045,-67.531415,455,0.9461942911148071,6.612022548913956,2.874219837784767
45500,-75.513694,455,,,
45955,-89.66709,455,,,
46410,-69.648946,455,,,
46865,-71.906869,455,0.947049617767334,6.622767478227615,2.8514606446027755
47320,-69.616838,455,,,
47775,-62.991416,455,,,
48230,-72.774119,455,,,
48685,-86.342304,455,,,
49140,-77.74435,455,0.9431551694869995,6.625159615278244,3.0109850794076918
49595,-74.208979,455,,,
50050,-76.873487,455,,,
50505,-73.158427,455,,,
50960,-73.781274,455,0.9453531503677368,6.6257044792175295,2.967220076918602
51415,-66.772148,455,,,
51870,-67.6572,455,,,
52325,-73.190123,455,,,
52780,-76.801024,455,,,
53235,-69.823823,455,0.9502149820327759,6.627559328079224,2.686653119325638
53690,-76.043097,455,,,
54145,-63.013702,455,,,
54600,-66.643116,455,,,
55055,-65.45189,455,0.9552227854728699,6.642412006855011,2.3935100704431536
55510,-64.687905,455,,,
55965,-66.420856,455,,,
56420,-64.071792,455,,,
56875,-66.804232,455,,,
57330,-71.421897,455,0.9504582285881042,6.6733601808547975,2.654126900434494
57785,-58.400999,455,,,
58240,-67.894177,455,,,
58695,-60.021435,455,,,
59150,-68.110697,455,0.9599286317825317,6.696213513612747,2.3666447520256044
59605,-66.004615,455,,,
60060,-70.383358,455,,,
60515,-73.524337,455,,,
60970,-74.981091,455,,,
61425,-68.804435,455,0.9558950066566467,6.717660808563233,2.313494923710823
61880,-69.957926,455,,,
62335,-68.400353,455,,,
62790,-63.197241,455,,,
63245,-73.796832,455,0.9636099338531494,6.7564593851566315,2.176589895784855
63700,-61.683804,455,,,
64155,-67.524944,455,,,
64610,-57.930417,455,,,
65065,-60.625451,455,,,
65520,-70.374924,455,0.9558191895484924,6.775413072109222,2.535611402988434
65975,-65.867758,455,,,
66430,-63.783893,455,,,
66885,-68.066855,455,,,
67340,-66.265863,455,0.9646344184875488,6.785213494300843,2.119167909026146
67795,-63.222972,455,,,
68250,-55.59535,455,,,
68705,-67.635877,455,,,
69160,-65.00691,455,,,
69615,-72.314094,455,0.9619705080986023,6.79469530582428,2.128576050698757
70070,-64.101136,455,,,
70525,-73.49001,455,,,
70980,-69.193333,455,,,
71435,-68.202636,455,0.9594129323959351,6.793301379680633,2.231659746170044
71890,-63.432541,455,,,
72345,-62.99235,455,,,
72800,-68.613333,455,,,
73255,-67.492345,455,,,
73710,-50.601454,455,0.9633101224899292,6.7948132157325745,2.308576080203056
74165,-66.023322,455,,,
74620,-70.811906,455,,,
75075,-62.435258,455,,,
75530,-61.707473,455,0.9613563418388367,6.801760470867157,2.301523196697235
75985,-54.392752,455,,,
76440,-67.316116,455,,,
76895,-58.586743,455,,,
77350,-53.157566,455,,,
77805,-64.406855,455,0.9637104868888855,6.791698163747787,2.256972794234753
78260,-69.560977,455,,,
78715,-53.18356,455,,,
79170,-65.454585,455,,,
79625,-78.686615,455,0.967147946357727,6.794419467449188,2.103425905108452
80080,-77.284494,455,,,
80535,-60.587037,455,,,
80990,-49.545377,455,,,
81445,-74.145885,455,,,
81900,-67.302075,455,0.9638221859931946,6.82016322016716,2.3612500563263894
82355,-54.269706,455,,,
82810,-62.576065,455,,,
83265,-66.231428,455,,,
83720,-69.532918,455,0.9678078889846802,6.826997590065003,2.187897154688835
84175,-48.964376,455,,,
84630,-67.038894,455,,,
85085,-65.866902,455,,,
85540,-64.368239,455,,,
85995,-58.798311,455,0.9654639363288879,6.834134805202484,2.3246912881731987
86450,-61.394861,455,,,
86905,-68.68459,455,,,
87360,-56.935057,455,,,
87815,-53.282774,455,0.9697372317314148,6.848356187343597,2.2211757108569143
88270,-57.437718,455,,,
88725,-71.460709,455,,,
89180,-49.56193,455,,,
89635,-50.472863,455,,,
90090,-71.304603,455,0.9688085317611694,6.849241226911545,2.22242089509964
90545,-66.938554,455,,,
91000,-65.662384,455,,,
91455,-74.042798,455,,,
91910,-68.757279,455,0.9631776809692383,6.853152930736542,2.480489096045494
92365,-59.462393,455,,,
92820,-69.060166,455,,,
93275,-63.02972,455,,,
93730,-71.015388,455,,,
94185,-55.106089,455,0.9658288955688477,6.871563202142715,2.3299483612179754
94640,-78.525755,455,,,
95095,-59.016766,455,,,
95550,-69.768347,455,,,
96005,-54.81304,455,0.9635536670684814,6.884665679931641,2.3221975758671762
96460,-68.94558,455,,,
96915,-56.274259,455,,,
97370,-55.667078,455,,,
97825,-60.565362,455,,,
98280,-62.368396,455,0.9666344523429871,6.889824175834656,2.157763271033764
98735,-64.141239,455,,,
99190,-62.536093,455,,,
99645,-59.489858,455,,,
100100,-66.221081,455,0.9681023955345154,6.899551022052765,2.036146083474159
100555,-66.565801,455,,,
101010,-66.955028,455,,,
101465,-54.871511,455,,,
101920,-65.169524,455,,,
102375,-57.145269,455,0.9694176316261292,6.912154430150986,2.03933227956295
102830,-72.332891,455,,,
103285,-64.966746,455,,,
103740,-65.602633,455,,,
104195,-55.417656,455,0.9718739986419678,6.9196644723415375,2.0741569459438325
104650,-53.174068,455,,,
105105,-54.110171,455,,,
105560,-65.896297,455,,,
106015,-65.857901,455,,,
106470,-60.741317,455,0.9702332615852356,6.922339451313019,2.01553086489439
106925,-72.719314,455,,,
107380,-65.11626,455,,,
107835,-70.480913,455,,,
108290,-59.010473,455,0.9704629182815552,6.924495434761047,2.0927365973591803
108745,-52.069859,455,,,
109200,-62.311923,455,,,
109655,-68.539949,455,,,
110110,-60.499223,455,,,
110565,-72.474777,455,0.9697469472885132,6.937337630987168,2.173193295300007
111020,-67.848709,455,,,
111475,-50.603482,455,,,
111930,-56.701935,455,,,
112385,-58.134319,455,0.9686561822891235,6.948587280511856,2.314932072162628
112840,-70.199709,455,,,
113295,-54.197078,455,,,
113750,-51.448336,455,,,
114205,-65.282284,455,,,
114660,-65.166093,455,0.970388650894165,6.9543400466442105,2.0745312586426734
115115,-58.68812,455,,,
115570,-63.834684,455,,,
116025,-60.084129,455,,,
116480,-51.963839,455,0.9714150428771973,6.963840979337692,2.1066051319241526
116935,-63.094067,455,,,
117390,-57.396558,455,,,
117845,-57.625264,455,,,
118300,-71.322429,455,,,
118755,-67.388513,455,0.9733198881149292,6.9775972127914425,1.8801463201642037
119210,-63.507517,455,,,
119665,-57.390323,455,,,
120120,-60.691611,455,,,
120575,-65.403516,455,0.9738947749137878,6.975321274995804,1.9965106844902039
121030,-63.985153,455,,,
121485,-64.124042,455,,,
121940,-64.743977,455,,,
122395,-63.084484,455,,,
122850,-68.133851,455,0.9726377725601196,6.982073295116424,2.1086451381444933
123305,-61.466098,455,,,
123760,-45.191592,455,,,
124215,-69.056807,455,,,
124670,-70.383434,455,0.9726272225379944,7.006190234422684,2.118929499387741
125125,-63.242133,455,,,
125580,-76.919997,455,,,
126035,-67.765273,455,,,
126490,-59.991811,455,,,
126945,-62.065197,455,0.9715186953544617,7.022275167703628,2.3255562081933023
127400,-59.281605,455,,,
127855,-58.627944,455,,,
128310,-61.694447,455,,,
128765,-61.755324,455,0.9759325981140137,7.045549261569977,1.8221935421228408
129220,-39.015442,455,,,
129675,-61.600697,455,,,
130130,-52.214757,455,,,
130585,-61.047009,455,,,
131040,-58.610101,455,0.9730258584022522,7.070571166276932,1.7548976182937621
131495,-61.873238,455,,,
131950,-57.540983,455,,,
132405,-59.249421,455,,,
132860,-63.666245,455,0.973960280418396,7.094816434383392,2.0275336280465126
133315,-58.857746,455,,,
133770,-56.119445,455,,,
134225,-64.724794,455,,,
134680,-48.907384,455,,,
135135,-45.710431,455,0.9698638319969177,7.117456465959549,2.0648641690611838
135590,-64.730778,455,,,
136045,-60.724827,455,,,
136500,-57.50285,455,,,
136955,-53.163874,455,0.9714468717575073,7.138691425323486,1.9026435643434525
137410,-59.759499,455,,,
137865,-56.404434,455,,,
138320,-48.133957,455,,,
138775,-55.395462,455,,,
139230,-62.377137,455,0.9691953659057617,7.15100245475769,2.0140417546033857
139685,-51.602651,455,,,
140140,-44.696004,455,,,
140595,-58.446347,455,,,
141050,-74.72566,455,0.9710386395454407,7.1519838035106655,1.7993260204792023
141505,-58.01223,455,,,
141960,-72.753757,455,,,
142415,-59.259045,455,,,
142870,-54.469848,455,,,
143325,-66.732734,455,0.9674033522605896,7.149228829145431,1.9965791404247284
143780,-50.314096,455,,,
144235,-58.20203,455,,,
144690,-54.205658,455,,,
145145,-50.03173,455,0.9656212329864502,7.164351254701614,1.882132889330387
145600,-51.288772,455,,,
146055,-65.120489,455,,,
146510,-67.349946,455,,,
146965,-62.730502,455,,,
147420,-58.814297,455,0.9704938530921936,7.180356258153916,1.7878437995910645
147875,-52.762449,455,,,
148330,-55.51583,455,,,
148785,-54.447595,455,,,
149240,-47.348986,455,0.9709876179695129,7.195528918504715,2.027760361135006
149695,-54.342896,455,,,
150150,-53.173288,455,,,
150605,-56.640922,455,,,
151060,-57.037578,455,,,
151515,-60.078646,455,0.970865786075592,7.197804617881775,2.1341830834746363
151970,-50.794957,455,,,
152425,-56.783901,455,,,
152880,-55.677971,455,,,
153335,-48.720257,455,0.9692298173904419,7.205033415555954,2.0147550642490386
153790,-48.179843,455,,,
154245,-64.344266,455,,,
154700,-55.563388,455,,,
155155,-57.469865,455,,,
155610,-54.124407,455,0.9688723087310791,7.219270247220993,2.0291299864649774
156065,-58.128341,455,,,
156520,-65.465401,455,,,
156975,-59.344139,455,,,
157430,-64.825851,455,0.9717392921447754,7.229426169395447,1.8023548528552056
157885,-55.500499,455,,,
158340,-59.523888,455,,,
158795,-47.020286,455,,,
159250,-52.528568,455,,,
159705,-48.688262,455,0.9729310870170593,7.245891016721726,1.9451200112700462
160160,-62.220232,455,,,
160615,-57.162179,455,,,
161070,-58.558758,455,,,
161525,-64.09002,455,0.9706574082374573,7.280837547779083,1.9454272150993348
161980,-57.997816,455,,,
162435,-43.211917,455,,,
162890,-50.979233,455,,,
163345,-53.686867,455,,,
163800,-43.221202,455,0.9732336401939392,7.327022540569305,1.9056759178638458
164255,-56.699645,455,,,
164710,-42.170198,455,,,
165165,-63.910637,455,,,
165620,-48.743641,455,0.9744197726249695,7.34555606842041,1.656864969432354
166075,-52.08583,455,,,
166530,-52.529127,455,,,
166985,-45.998183,455,,,
167440,-64.12823,455,,,
167895,-49.4492,455,0.9679781198501587,7.363428270816803,1.9996026843786239
168350,-62.354529,455,,,
168805,-50.823769,455,,,
169260,-59.110236,455,,,
169715,-51.684996,455,0.9705578088760376,7.380675834417343,1.9137994676828385
170170,-48.71516,455,,,
170625,-53.774688,455,,,
171080,-64.870451,455,,,
171535,-40.452513,455,,,
171990,-57.630887,455,0.9692374467849731,7.402785980701447,1.8596107497811318
172445,-51.7075,455,,,
172900,-43.391212,455,,,
173355,-66.401424,455,,,
173810,-53.285615,455,0.9703251123428345,7.435298097133637,2.0159423470497133
174265,-54.69083,455,,,
174720,-49.672665,455,,,
175175,-40.815742,455,,,
175630,-56.327121,455,,,
176085,-58.763622,455,0.9710313677787781,7.444461297988892,1.9634116053581239
176540,-44.258224,455,,,
176995,-63.967682,455,,,
177450,-54.506012,455,,,
177905,-48.74412,455,0.9704697728157043,7.4507894039154055,2.0581217631697655
178360,-51.56221,455,,,
178815,-38.272862,455,,,
179270,-58.211191,455,,,
179725,-56.035293,455,,,
180180,-55.174053,455,0.9727649092674255,7.4576457142829895,2.360593578219414
180635,-46.64236,455,,,
181090,-58.994586,455,,,
181545,-52.796965,455,,,
182000,-52.89941,455,0.9751890301704407,7.452085185050964,2.1213926777243612
182455,-51.446905,455,,,
182910,-61.536896,455,,,
183365,-44.847598,455,,,
183820,-51.699388,455,,,
184275,-54.333702,455,0.9750128388404846,7.457692211866378,2.2504935950040816
184730,-32.617896,455,,,
185185,-52.118606,455,,,
185640,-44.863783,455,,,
186095,-51.867799,455,0.9775423407554626,7.472159612178802,1.9278677523136138
186550,-54.358935,455,,,
187005,-48.433649,455,,,
187460,-50.513884,455,,,
187915,-43.570441,455,,,
188370,-59.979147,455,0.9698480367660522,7.480956798791885,2.7597739160060883
188825,-49.436195,455,,,
189280,-44.390834,455,,,
189735,-59.567669,455,,,
190190,-40.247084,455,0.9766846895217896,7.507355171442032,1.8214146956801414
190645,-44.602238,455,,,
191100,-55.782661,455,,,
191555,-48.453881,455,,,
192010,-47.01673,455,,,
192465,-53.426995,455,0.9699051380157471,7.5218911409378055,2.041709880530834
192920,-35.220334,455,,,
193375,-38.634638,455,,,
193830,-42.332487,455,,,
194285,-44.108669,455,0.9731756448745728,7.521482276916504,1.764237752556801
194740,-50.018665,455,,,
195195,-51.271451,455,,,
195650,-52.503835,455,,,
196105,-47.399096,455,,,
196560,-42.332826,455,0.9713219404220581,7.524045670032502,1.8122398778796196
197015,-42.873105,455,,,
197470,-53.89549,455,,,
197925,-58.521873,455,,,
198380,-49.265034,455,0.9719424247741699,7.5092458486557,1.7867268189787864
198835,-40.60738,455,,,
199290,-42.568334,455,,,
199745,-39.642464,455,,,
200200,-52.476404,455,,,
200655,-47.86565,455,0.9708245396614075,7.518605273962021,2.0123136311769487
