timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-73.344012,455,,,
910,-84.13564,455,,,
1365,-68.019082,455,,,
1820,-73.9182,455,,,
2275,-77.315347,455,,,
2730,-64.903324,455,,,
3185,-79.116715,455,,,
3640,-79.079197,455,,,
4095,-67.892475,455,0.012347161769866943,6.389718359708786,9.607263857126236
4550,-72.036267,455,,,
5005,-72.382571,455,,,
5460,-69.86149,455,,,
5915,-74.512593,455,0.23646211624145508,6.390845483541488,7.240706795454026
6370,-66.67597,455,,,
6825,-74.264194,455,,,
7280,-64.853348,455,,,
7735,-73.121819,455,,,
8190,-73.349872,455,0.46363216638565063,6.384615856409073,7.037254065275192
8645,-63.176525,455,,,
9100,-77.649371,455,,,
9555,-61.261506,455,,,
10010,-74.55504,455,0.6593489646911621,6.369102692604065,5.99437894821167
10465,-72.968237,455,,,
10920,-76.63603,455,,,
11375,-71.947788,455,,,
11830,-70.02635,455,,,
12285,-72.830984,455,0.7524998784065247,6.3737148463726045,5.854100239276886
12740,-62.248678,455,,,
13195,-68.302968,455,,,
13650,-66.329262,455,,,
14105,-71.628767,455,0.7940346002578735,6.386134421825409,5.146928286552429
14560,-65.47282,455,,,
15015,-81.892778,455,,,
15470,-68.684971,455,,,
15925,-72.117131,455,,,
16380,-75.321958,455,0.8069446682929993,6.385307383537293,5.072128173708916
16835,-73.088946,455,,,
17290,-70.042566,455,,,
17745,-64.552899,455,,,
18200,-73.533117,455,0.8352972865104675,6.385321444272995,4.758356803655625
18655,-66.518259,455,,,
19110,-65.594878,455,,,
19565,-70.263878,455,,,
20020,-71.070121,455,,,
20475,-63.419552,455,0.8365737199783325,6.401718479394913,4.620024916529656
20930,-69.709752,455,,,
21385,-66.576515,455,,,
21840,-72.336365,455,,,
22295,-64.322059,455,0.8505240678787231,6.4123293340206144,4.249994999170303
22750,-66.93511,455,,,
23205,-66.133722,455,,,
23660,-77.200892,455,,,
24115,-69.75481,455,,,
24570,-75.787104,455,0.8557916283607483,6.425113779306412,4.277960896492004
25025,-74.912829,455,,,
25480,-65.530682,455,,,
25935,-84.423701,455,,,
26390,-81.898718,455,0.8862581253051758,6.435086715221405,3.7639579296112062
26845,-68.355769,455,,,
27300,-60.569687,455,,,
27755,-73.783193,455,,,
28210,-60.305877,455,,,
28665,-68.30464,455,0.8924081325531006,6.435619854927063,3.9351462095975878
29120,-70.323236,455,,,
29575,-72.833731,455,,,
30030,-75.883171,455,,,
30485,-65.398214,455,0.8994014859199524,6.448707693815232,3.1643794298172
30940,-75.965269,455,,,
31395,-63.046732,455,,,
31850,-68.090984,455,,,
32305,-68.555346,455,,,
32760,-69.19817,455,0.9026972651481628,6.453454530239105,3.483495929837227
33215,-69.257784,455,,,
33670,-72.545189,455,,,
34125,-61.042257,455,,,
34580,-77.775391,455,0.9193418622016907,6.4746011912822725,2.8245649129152297
35035,-69.272862,455,,,
35490,-68.695647,455,,,
35945,-61.436276,455,,,
36400,-57.962976,455,,,
36855,-70.974646,455,0.9174501895904541,6.494218325614929,3.218917781114578
37310,-72.963951,455,,,
37765,-70.503866,455,,,
38220,-68.169337,455,,,
38675,-76.020664,455,0.915757417678833,6.512604320049286,3.1157746374607087
39130,-70.755476,455,,,
39585,-66.771126,455,,,
40040,-75.895735,455,,,
40495,-76.584636,455,,,
40950,-76.645166,455,0.9273692965507507,6.518394130468368,3.1137261748313905
41405,-72.677186,455,,,
41860,-68.920031,455,,,
42315,-64.927751,455,,,
42770,-70.469674,455,0.9329016208648682,6.521963977813721,2.7455752700567246
43225,-98.342886,455,,,
43680,-79.645621,455,,,
44135,-67.196692,455,,,
44590,-71.979343,455,,,
45045,-63.742964,455,0.9217426776885986,6.553027719259262,3.32311652302742
45500,-71.010494,455,,,
45955,-66.598808,455,,,
46410,-70.48868,455,,,
46865,-66.993546,455,0.9323099255561829,6.589020878076553,3.146311855316162
47320,-67.740432,455,,,
47775,-61.679607,455,,,
48230,-68.070029,455,,,
48685,-61.613133,455,,,
49140,-63.390197,455,0.9399566054344177,6.615132582187653,2.9013826847076416
49595,-70.874903,455,,,
50050,-70.029966,455,,,
50505,-75.868935,455,,,
50960,-73.348113,455,0.9430245757102966,6.6317047595977785,2.537408548593521
51415,-67.140066,455,,,
51870,-65.233453,455,,,
52325,-68.98119,455,,,
52780,-74.186309,455,,,
53235,-56.629594,455,0.9478178024291992,6.649952924251556,2.8478671252727508
53690,-71.001046,455,,,
54145,-61.446615,455,,,
54600,-64.527209,455,,,
55055,-75.1988,455,0.9491865634918213,6.683937895298004,2.4512000381946564
55510,-70.465467,455,,,
55965,-80.701159,455,,,
56420,-72.010098,455,,,
56875,-62.369186,455,,,
57330,-66.913864,455,0.9499349594116211,6.707889211177826,2.7779307305812835
57785,-73.764811,455,,,
58240,-70.0551,455,,,
58695,-64.338898,455,,,
59150,-71.438368,455,0.9505953788757324,6.734490203857422,2.5478016316890715
59605,-63.45312,455,,,
60060,-59.579852,455,,,
60515,-68.98278,455,,,
60970,-67.500403,455,,,
61425,-73.338819,455,0.9548392295837402,6.753502547740936,2.645560821890831
61880,-67.85035,455,,,
62335,-68.162749,455,,,
62790,-65.868739,455,,,
63245,-74.421922,455,0.9559276103973389,6.779460477828979,2.374977645277977
63700,-73.921356,455,,,
64155,-72.709982,455,,,
64610,-58.488796,455,,,
65065,-53.537917,455,,,
65520,-71.108853,455,0.9530210494995117,6.803307121992111,2.518719230592251
65975,-66.69081,455,,,
66430,-67.740007,455,,,
66885,-63.855134,455,,,
67340,-56.957912,455,0.9545190334320068,6.812403988838196,2.496676889061928
67795,-76.124029,455,,,
68250,-63.406964,455,,,
68705,-58.879818,455,,,
69160,-70.086121,455,,,
69615,-80.216983,455,0.9582244157791138,6.828988748788833,2.2933332547545433
70070,-62.989881,455,,,
70525,-69.015301,455,,,
70980,-62.050239,455,,,
71435,-69.406613,455,0.9591506719589233,6.843980783224106,2.229375298321247
71890,-66.898377,455,,,
72345,-70.57971,455,,,
72800,-65.736093,455,,,
73255,-64.914435,455,,,
73710,-79.202161,455,0.9552938938140869,6.855219453573227,2.6378739893436434
74165,-65.510044,455,,,
74620,-79.254832,455,,,
75075,-63.627165,455,,,
75530,-69.96394,455,0.9581329226493835,6.85662305355072,2.3750525444746016
75985,-75.556616,455,,,
76440,-69.749452,455,,,
76895,-66.592013,455,,,
77350,-63.933466,455,,,
77805,-67.52094,455,0.9578127861022949,6.867598748207092,2.319718512892723
78260,-64.286896,455,,,
78715,-70.358556,455,,,
79170,-75.274228,455,,,
79625,-66.346222,455,0.9606940746307373,6.877093261480331,2.0107313722372053
80080,-67.508444,455,,,
80535,-65.226227,455,,,
80990,-59.802097,455,,,
81445,-75.519345,455,,,
81900,-65.023518,455,0.9582382440567017,6.893404728174209,2.3262251526117326
82355,-60.241533,455,,,
82810,-70.815547,455,,,
83265,-77.671588,455,,,
83720,-63.503055,455,0.9598870873451233,6.9247800529003145,2.1900666102766992
84175,-74.401745,455,,,
84630,-56.507484,455,,,
85085,-69.802663,455,,,
85540,-71.228662,455,,,
85995,-62.985416,455,0.9599801301956177,6.946594303846359,2.3687847331166267
86450,-67.708946,455,,,
86905,-63.286952,455,,,
87360,-68.09953,455,,,
87815,-54.779476,455,0.9589552879333496,6.975099128484726,2.2442186564207076
88270,-64.638174,455,,,
88725,-68.19232,455,,,
89180,-67.535564,455,,,
89635,-65.184195,455,,,
90090,-72.797516,455,0.9625868201255798,6.991175884008408,2.3668158158659933
90545,-70.460471,455,,,
91000,-65.130046,455,,,
91455,-67.02146,455,,,
91910,-50.304878,455,0.9685451984405518,7.001508593559265,1.9474883437156678
92365,-72.536614,455,,,
92820,-62.239311,455,,,
93275,-59.38612,455,,,
93730,-72.089733,455,,,
94185,-74.693179,455,0.9570541977882385,7.007053679227829,2.307437025010586
94640,-64.947051,455,,,
95095,-60.901934,455,,,
95550,-59.791822,455,,,
96005,-49.494129,455,0.9627707004547119,7.011608928442001,2.145181934535503
96460,-64.127297,455,,,
96915,-62.266184,455,,,
97370,-64.229462,455,,,
97825,-60.379479,455,,,
98280,-70.328968,455,0.9585548639297485,7.007133710384369,2.1273746713995934
98735,-57.899986,455,,,
99190,-59.815673,455,,,
99645,-60.36033,455,,,
100100,-55.157496,455,0.9602568745613098,7.002642214298248,1.9613900050520896
100555,-59.878269,455,,,
101010,-63.505629,455,,,
101465,-66.073046,455,,,
101920,-65.851957,455,,,
102375,-71.52586,455,0.9586129784584045,6.999138045310974,2.1373728632926943
102830,-69.651548,455,,,
103285,-68.131782,455,,,
103740,-51.666576,455,,,
104195,-65.078536,455,0.9612094163894653,7.007566845417022,1.9612608850002289
104650,-63.773914,455,,,
105105,-54.241367,455,,,
105560,-62.277858,455,,,
106015,-63.033517,455,,,
