timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-79.329161,455,,,
910,-77.131613,455,,,
1365,-84.046696,455,,,
1820,-70.912305,455,,,
2275,-83.978645,455,,,
2730,-78.854479,455,,,
3185,-84.77784,455,,,
3640,-78.78838,455,,,
4095,-75.341422,455,-0.031441450119018555,6.400091427564621,6.161397588253021
4550,-74.444471,455,,,
5005,-83.198118,455,,,
5460,-74.154774,455,,,
5915,-73.304926,455,0.1643429398536682,6.419965505599976,7.572563129663467
6370,-73.472093,455,,,
6825,-75.751835,455,,,
7280,-73.514032,455,,,
7735,-78.16368,455,,,
8190,-71.226212,455,0.3238999843597412,6.437576842308045,5.763364669680596
8645,-74.759169,455,,,
9100,-80.026806,455,,,
9555,-70.578248,455,,,
10010,-80.687493,455,0.3768693208694458,6.444615375995636,6.858177155256271
10465,-72.276343,455,,,
10920,-80.842227,455,,,
11375,-79.302662,455,,,
11830,-73.043584,455,,,
12285,-80.114469,455,0.4798240065574646,6.458792376518249,6.1441544651985165
12740,-69.270314,455,,,
13195,-71.031871,455,,,
13650,-80.406808,455,,,
14105,-73.55924,455,0.4412344694137573,6.482203078269959,8.028740602731705
14560,-64.326529,455,,,
15015,-77.446211,455,,,
15470,-85.312185,455,,,
15925,-79.227754,455,,,
16380,-76.351301,455,0.5716735124588013,6.491019743680954,6.182048803567886
16835,-78.119642,455,,,
17290,-79.714654,455,,,
17745,-81.460577,455,,,
18200,-82.081126,455,0.5577665567398071,6.48976793885231,6.237660804390908
18655,-78.990447,455,,,
19110,-82.777394,455,,,
19565,-66.949563,455,,,
20020,-73.675005,455,,,
20475,-82.97536,455,0.6080923080444336,6.499977511167526,5.2888818174600605
20930,-79.905329,455,,,
21385,-82.314889,455,,,
21840,-67.517987,455,,,
22295,-81.575844,455,0.669855535030365,6.514215725660324,5.085693639516831
22750,-82.758034,455,,,
23205,-76.696078,455,,,
23660,-78.215449,455,,,
24115,-70.932128,455,,,
24570,-78.816754,455,0.7409020662307739,6.5258822560310366,3.938863089680672
25025,-86.220829,455,,,
25480,-85.248142,455,,,
25935,-86.020916,455,,,
26390,-68.677962,455,0.7768823504447937,6.54070742726326,3.5763787269592284
26845,-76.592391,455,,,
27300,-82.948425,455,,,
27755,-72.686647,455,,,
28210,-77.634354,455,,,
28665,-80.264393,455,0.8168125152587891,6.5463033497333525,3.302056762576103
29120,-69.115873,455,,,
29575,-67.565846,455,,,
30030,-75.193116,455,,,
30485,-74.681087,455,0.8225265741348267,6.563961738348008,3.125070294737816
30940,-80.973347,455,,,
31395,-69.318447,455,,,
31850,-66.917106,455,,,
32305,-78.79495,455,,,
32760,-69.669096,455,0.8249146938323975,6.573642885684967,3.0179320961236953
33215,-85.046753,455,,,
33670,-69.176576,455,,,
34125,-63.66254,455,,,
34580,-61.430413,455,0.810203492641449,6.589123374223709,3.6253953248262407
35035,-75.748538,455,,,
35490,-80.062362,455,,,
35945,-77.686216,455,,,
36400,-69.610779,455,,,
36855,-79.520427,455,0.8462371826171875,6.605843752622604,2.734020271897316
37310,-67.07784,455,,,
37765,-82.261067,455,,,
38220,-71.468552,455,,,
38675,-74.508813,455,0.8498834371566772,6.600654327869416,2.9765242129564284
39130,-63.549278,455,,,
39585,-71.393322,455,,,
40040,-72.304305,455,,,
40495,-65.166329,455,,,
40950,-69.022686,455,0.8629606366157532,6.607495337724686,2.892896232008934
41405,-80.268605,455,,,
41860,-69.316672,455,,,
42315,-72.967513,455,,,
42770,-75.901555,455,0.8937249779701233,6.620745325088501,2.3812675386667252
43225,-71.786352,455,,,
43680,-74.111634,455,,,
44135,-83.905912,455,,,
44590,-56.284456,455,,,
45045,-67.545362,455,0.8885858654975891,6.624919122457504,2.2601661905646324
45500,-75.172953,455,,,
45955,-72.14399,455,,,
46410,-65.131224,455,,,
46865,-78.673573,455,0.8851116895675659,6.637417870759964,2.687728077173233
47320,-62.900604,455,,,
47775,-63.156217,455,,,
48230,-62.640682,455,,,
48685,-65.073646,455,,,
49140,-69.093232,455,0.8881558179855347,6.648890978097915,2.4588303968310354
49595,-63.898761,455,,,
50050,-72.113154,455,,,
50505,-64.419834,455,,,
50960,-66.692769,455,0.8925018310546875,6.668782818317413,2.3333919912576677
51415,-81.87454,455,,,
51870,-55.842998,455,,,
52325,-75.952742,455,,,
52780,-71.921813,455,,,
53235,-66.847841,455,0.8976638913154602,6.698855847120285,2.115754672884941
53690,-75.216752,455,,,
54145,-75.90921,455,,,
54600,-65.978589,455,,,
55055,-67.023779,455,0.9034528732299805,6.726604753732682,2.272926430404186
55510,-65.040728,455,,,
55965,-75.553569,455,,,
56420,-66.565045,455,,,
56875,-74.513857,455,,,
57330,-73.597091,455,0.9149860739707947,6.7528255641460415,2.067405381798744
57785,-67.7304,455,,,
58240,-79.281433,455,,,
58695,-77.171352,455,,,
59150,-68.695456,455,0.9125955104827881,6.7723832607269285,2.179745689034462
59605,-71.713341,455,,,
60060,-61.557029,455,,,
60515,-60.509084,455,,,
60970,-67.669683,455,,,
61425,-75.718028,455,0.9121454358100891,6.786493074893952,1.8945833906531333
61880,-63.099955,455,,,
62335,-69.131296,455,,,
62790,-63.034842,455,,,
63245,-74.221524,455,0.9064335823059082,6.785390138626099,2.2719192802906036
63700,-62.970589,455,,,
