timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-75.227063,455,,,
910,-69.712321,455,,,
1365,-72.340553,455,,,
1820,-78.357712,455,,,
2275,-71.483034,455,,,
2730,-69.799917,455,,,
3185,-73.324159,455,,,
3640,-74.40996,455,,,
4095,-73.123399,455,0.005375504493713379,6.418042677640915,9.20970252752304
4550,-74.613636,455,,,
5005,-78.169048,455,,,
5460,-74.208125,455,,,
5915,-82.606294,455,0.12884998321533203,6.444795036315918,9.056496578454972
6370,-67.158521,455,,,
6825,-79.111193,455,,,
7280,-71.657338,455,,,
7735,-73.695275,455,,,
8190,-67.208309,455,0.34476226568222046,6.46369971036911,7.92087230682373
8645,-68.631962,455,,,
9100,-64.281376,455,,,
9555,-55.788645,455,,,
10010,-74.171737,455,0.5845748782157898,6.498944973945617,7.260176467895508
10465,-59.016999,455,,,
10920,-67.993065,455,,,
11375,-67.366049,455,,,
11830,-80.144011,455,,,
12285,-78.789178,455,0.6681963801383972,6.514026892185211,6.925176757574081
12740,-68.047716,455,,,
13195,-80.267061,455,,,
13650,-70.685552,455,,,
14105,-65.412411,455,0.8125694394111633,6.536374670267105,6.007270163297653
14560,-67.949437,455,,,
15015,-73.456125,455,,,
15470,-69.709454,455,,,
15925,-63.903457,455,,,
16380,-66.880577,455,0.8458326458930969,6.566834819316864,5.304461449384689
16835,-79.641437,455,,,
17290,-60.215937,455,,,
17745,-72.784056,455,,,
18200,-85.660317,455,0.8739289045333862,6.560595029592514,5.030290311574936
18655,-67.25451,455,,,
19110,-74.389202,455,,,
19565,-72.775189,455,,,
20020,-60.28129,455,,,
20475,-67.608359,455,0.8762794733047485,6.568114703893661,4.839451932907105
20930,-69.378964,455,,,
21385,-64.072792,455,,,
21840,-69.647263,455,,,
22295,-89.957549,455,0.8985310792922974,6.602798944711685,4.290901750326157
22750,-66.809033,455,,,
23205,-50.875049,455,,,
23660,-62.700588,455,,,
24115,-63.883417,455,,,
24570,-79.145122,455,0.8875715136528015,6.617768877744675,4.523383325338363
25025,-72.778776,455,,,
25480,-71.25721,455,,,
25935,-70.040414,455,,,
26390,-60.587799,455,0.9145169258117676,6.6192456662654875,4.23858417570591
26845,-72.025551,455,,,
27300,-66.031821,455,,,
27755,-65.736004,455,,,
28210,-75.455886,455,,,
28665,-60.231902,455,0.9108147621154785,6.618586295843125,3.9874337792396544
29120,-67.316847,455,,,
29575,-62.236892,455,,,
30030,-76.819559,455,,,
30485,-67.593109,455,0.9306957125663757,6.627996635437012,3.523693782091141
30940,-75.842968,455,,,
31395,-68.132054,455,,,
31850,-68.742277,455,,,
32305,-65.484011,455,,,
32760,-64.130014,455,0.9327429533004761,6.647988265752792,3.4878822356462478
33215,-70.026173,455,,,
33670,-62.482,455,,,
34125,-63.045601,455,,,
34580,-72.819651,455,0.9416606426239014,6.6509935557842255,3.3895680099725722
35035,-62.803952,455,,,
35490,-58.87001,455,,,
35945,-55.915054,455,,,
36400,-69.384788,455,,,
36855,-61.580167,455,0.9411203265190125,6.645774620771408,3.2016054421663283
37310,-64.295232,455,,,
37765,-70.893496,455,,,
38220,-71.317401,455,,,
38675,-68.740549,455,0.9521334767341614,6.643959701061249,2.9785036593675613
39130,-68.786287,455,,,
39585,-73.832245,455,,,
40040,-63.165521,455,,,
40495,-67.95778,455,,,
40950,-61.124643,455,0.9546872973442078,6.649334180355072,2.810655301809311
41405,-60.901459,455,,,
41860,-72.116306,455,,,
42315,-66.068866,455,,,
42770,-60.382791,455,0.9570562839508057,6.650955873727798,2.718539819121361
43225,-78.181821,455,,,
43680,-67.580051,455,,,
44135,-72.665779,455,,,
44590,-69.649611,455,,,
45045,-64.769213,455,0.9599487781524658,6.652492773532868,2.6529440134763718
45500,-62.218934,455,,,
45955,-61.728651,455,,,
46410,-71.705334,455,,,
46865,-59.630837,455,0.9602164626121521,6.653697186708451,2.7585062593221665
47320,-64.939677,455,,,
47775,-69.093476,455,,,
48230,-60.2346,455,,,
48685,-58.232863,455,,,
49140,-67.877688,455,0.9584532380104065,6.649763458967209,2.558202511072159
49595,-68.537442,455,,,
50050,-66.092171,455,,,
50505,-60.672556,455,,,
50960,-70.167647,455,0.9580304026603699,6.650569522380829,2.604428818821907
51415,-62.015101,455,,,
51870,-56.163621,455,,,
52325,-67.5871,455,,,
52780,-60.936322,455,,,
53235,-63.113263,455,0.9577917456626892,6.6463700354099275,2.313956117630005
53690,-75.857621,455,,,
54145,-73.613256,455,,,
54600,-71.570247,455,,,
55055,-63.302641,455,0.9584463238716125,6.651543670892716,2.532237523794174
55510,-62.639323,455,,,
55965,-69.496095,455,,,
56420,-66.812324,455,,,
56875,-61.655721,455,,,
57330,-67.286933,455,0.9547461867332458,6.669281303882599,2.7620691478252413
57785,-56.970337,455,,,
58240,-64.600262,455,,,
58695,-72.78476,455,,,
59150,-54.680103,455,0.964518666267395,6.699312460422516,2.3670196354389192
59605,-62.291317,455,,,
60060,-64.048528,455,,,
60515,-67.172691,455,,,
60970,-68.690378,455,,,
61425,-70.481039,455,0.9631072282791138,6.722577458620071,2.3446770891547204
61880,-65.639391,455,,,
62335,-66.031842,455,,,
62790,-71.72578,455,,,
63245,-70.912871,455,0.9674667119979858,6.753237056732178,2.1693814173340797
63700,-70.328796,455,,,
64155,-55.580073,455,,,
64610,-56.739232,455,,,
65065,-63.298913,455,,,
65520,-64.804251,455,0.9664627313613892,6.7713585793972015,2.3438042536377908
65975,-71.643986,455,,,
66430,-72.637338,455,,,
66885,-64.816085,455,,,
67340,-67.713191,455,0.9696687459945679,6.780641204118728,2.350319656729698
67795,-74.610562,455,,,
68250,-69.120971,455,,,
68705,-60.251896,455,,,
69160,-75.385668,455,,,
69615,-61.452189,455,0.967598557472229,6.793913006782532,2.2930104181170465
