timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-54.543688,455,,,
910,-40.612605,455,,,
1365,-47.783254,455,,,
1820,-53.218819,455,,,
2275,-57.022204,455,,,
2730,-57.934282,455,,,
3185,-44.188296,455,,,
3640,-47.639565,455,,,
4095,-50.49794,455,-0.0033271312713623047,6.414651042222976,4.475794982910156
4550,-48.252461,455,,,
5005,-51.003405,455,,,
5460,-31.228128,455,,,
5915,-44.196369,455,0.1647915244102478,6.435853201150894,4.320894879102707
6370,-32.487427,455,,,
6825,-39.390372,455,,,
7280,-40.858543,455,,,
7735,-40.899907,455,,,
8190,-40.660863,455,0.2562370300292969,6.4507997870445255,4.003198251128197
8645,-33.194458,455,,,
9100,-44.092884,455,,,
9555,-36.311276,455,,,
10010,-39.622323,455,0.351104736328125,6.473240095376968,3.732894426584244
10465,-46.562694,455,,,
10920,-45.899811,455,,,
11375,-33.853875,455,,,
11830,-43.166568,455,,,
12285,-40.20114,455,0.4879224896430969,6.472762858867645,3.077647352218628
12740,-38.087547,455,,,
13195,-40.549644,455,,,
13650,-52.491269,455,,,
14105,-41.533251,455,0.6347353458404541,6.471237033605576,2.920107774436474
14560,-45.703355,455,,,
15015,-50.392033,455,,,
15470,-41.766536,455,,,
15925,-48.202515,455,,,
16380,-36.100621,455,0.6848883628845215,6.48433963060379,2.7395125299692156
16835,-49.580652,455,,,
17290,-45.101909,455,,,
17745,-39.957711,455,,,
18200,-45.01406,455,0.7726243138313293,6.5077275216579435,2.5583076804876326
18655,-44.255156,455,,,
19110,-33.697111,455,,,
19565,-44.747901,455,,,
20020,-40.703509,455,,,
20475,-38.322358,455,0.7581758499145508,6.522922170162201,3.0054294377565385
20930,-37.436861,455,,,
21385,-32.393004,455,,,
21840,-51.406658,455,,,
22295,-35.422707,455,0.812018871307373,6.52620775103569,2.206074023246765
22750,-37.926722,455,,,
23205,-40.370633,455,,,
23660,-49.870455,455,,,
24115,-44.758415,455,,,
24570,-34.942317,455,0.8073735237121582,6.5345037341117855,2.572157530486584
25025,-50.530166,455,,,
25480,-45.245123,455,,,
25935,-31.928499,455,,,
26390,-29.213155,455,0.8241087794303894,6.539763963222503,2.2603518784046175
26845,-29.750967,455,,,
27300,-43.635093,455,,,
27755,-37.931553,455,,,
28210,-42.84897,455,,,
28665,-40.644422,455,0.8175426721572876,6.542306184768677,2.5104598686099053
29120,-38.987047,455,,,
29575,-45.334079,455,,,
30030,-38.707296,455,,,
30485,-33.763852,455,0.8511373400688171,6.549424153566361,2.1313723146915438
30940,-39.137669,455,,,
31395,-40.292357,455,,,
31850,-45.716441,455,,,
32305,-41.536323,455,,,
32760,-35.287994,455,0.8321160078048706,6.560936284065247,2.155418026447296
33215,-39.945181,455,,,
33670,-52.749027,455,,,
34125,-32.064156,455,,,
34580,-44.165687,455,0.8728166818618774,6.581086039543152,2.00945016592741
35035,-41.359024,455,,,
35490,-35.387002,455,,,
35945,-48.74605,455,,,
36400,-32.92929,455,,,
36855,-38.562664,455,0.8082424402236938,6.605516791343689,2.0641879245638846
37310,-27.68148,455,,,
37765,-41.820519,455,,,
38220,-45.805356,455,,,
38675,-47.651703,455,0.8533912897109985,6.631408244371414,1.7736527413129806
39130,-39.594863,455,,,
39585,-42.300406,455,,,
40040,-41.104316,455,,,
40495,-49.789629,455,,,
40950,-45.45893,455,0.8474398255348206,6.648046207427979,1.894648265838623
41405,-29.428266,455,,,
41860,-38.066721,455,,,
42315,-34.353246,455,,,
42770,-35.969334,455,0.8696941137313843,6.667835390567779,1.944123136997223
43225,-30.723851,455,,,
43680,-55.648577,455,,,
44135,-33.886279,455,,,
44590,-38.624061,455,,,
45045,-45.069488,455,0.8537272214889526,6.6900605142116545,2.098714102804661
45500,-42.777946,455,,,
45955,-36.342765,455,,,
46410,-41.4907,455,,,
46865,-44.252117,455,0.8550170660018921,6.707683670520782,1.8985835075378419
47320,-48.371462,455,,,
47775,-31.270005,455,,,
48230,-36.337435,455,,,
48685,-35.374791,455,,,
49140,-35.245593,455,0.8470398187637329,6.721642923355103,1.886792902648449
49595,-40.454858,455,,,
50050,-48.60803,455,,,
50505,-37.084542,455,,,
50960,-33.6352,455,0.8773806095123291,6.721745163202286,1.7522596716880798
