timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-3.330042,139,,,
278,-5.871343,139,,,
417,-3.456716,139,,,
556,0.941954,139,,,
695,-4.978761,139,,,
834,-5.994465,139,,,
973,-6.823362,139,,,
1112,-4.404219,139,,,
1251,3.657064,139,,,
1390,-2.345715,139,,,
1529,-4.125513,139,,,
1668,0.68493,139,,,
1807,-3.654367,139,,,
1946,-3.077913,139,,,
2085,-5.988713,139,,,
2224,-9.67125,139,,,
2363,-11.353519,139,,,
2502,-4.732659,139,,,
2641,6.5678,139,,,
2780,7.582093,139,,,
2919,0.736202,139,,,
3058,4.477407,139,,,
3197,4.516239,139,,,
3336,-2.325472,139,,,
3475,-0.499865,139,,,
3614,5.025847,139,,,
3753,0.386011,139,,,
3892,-5.366714,139,,,
4031,-2.55288,139,0.00033861398696899414,3.4770914196968077,10.810566544532776
4170,-6.8233,139,,,
4309,-3.420529,139,,,
4448,-8.649391,139,,,
4587,-5.396938,139,,,
4726,-2.417063,139,,,
4865,5.08786,139,,,
5004,-9.726572,139,,,
5143,-3.079227,139,,,
5282,-4.78793,139,,,
5421,3.894685,139,,,
5560,-4.588139,139,,,
5699,-6.740114,139,,,
5838,3.542049,139,,,
5977,-2.47178,139,,,
6116,-6.316014,139,0.19359397888183594,3.472187355160713,9.149010574817657
6255,-6.185084,139,,,
6394,-5.876197,139,,,
6533,-4.372261,139,,,
6672,1.123555,139,,,
6811,-11.057577,139,,,
6950,-1.109902,139,,,
7089,-8.504083,139,,,
7228,-8.395985,139,,,
7367,0.750898,139,,,
7506,-3.311613,139,,,
7645,5.880008,139,,,
7784,3.510798,139,,,
7923,1.91089,139,,,
8062,-7.142419,139,0.5250411033630371,3.4847158402204514,6.580572032928467
8201,-3.743398,139,,,
8340,-10.534855,139,,,
8479,-2.749055,139,,,
8618,-1.443866,139,,,
8757,-1.402565,139,,,
8896,-8.592615,139,,,
9035,-0.740008,139,,,
9174,-1.572813,139,,,
9313,-8.178266,139,,,
9452,1.466819,139,,,
9591,3.687997,139,,,
9730,8.250744,139,,,
9869,1.376406,139,,,
10008,-6.433442,139,,,
10147,-4.913205,139,0.6770220994949341,3.5084663361310957,5.989358460903167
10286,0.452824,139,,,
10425,-10.39518,139,,,
10564,2.675373,139,,,
10703,-1.392027,139,,,
10842,-16.493873,139,,,
10981,-4.519077,139,,,
11120,-2.869791,139,,,
11259,-5.623497,139,,,
11398,-1.267952,139,,,
11537,-10.815438,139,,,
11676,-1.730043,139,,,
11815,0.101667,139,,,
11954,-5.404428,139,,,
12093,0.065977,139,,,
12232,-5.622013,139,0.753950297832489,3.5285747945308685,4.825278803706169
12371,-4.311921,139,,,
12510,-11.325503,139,,,
12649,-4.411509,139,,,
12788,-4.859668,139,,,
12927,-1.922897,139,,,
13066,-3.64536,139,,,
13205,-2.300848,139,,,
13344,-0.853654,139,,,
13483,1.14515,139,,,
13622,-1.116486,139,,,
13761,-6.487585,139,,,
13900,-7.180377,139,,,
14039,2.700999,139,,,
14178,5.717313,139,,,
14317,-4.628516,139,0.7659205198287964,3.5397816777229307,4.968361476063729
14456,-6.800961,139,,,
14595,7.593238,139,,,
14734,-5.641022,139,,,
14873,-6.714017,139,,,
15012,-0.516138,139,,,
15151,-0.434181,139,,,
15290,4.120339,139,,,
15429,7.983261,139,,,
15568,8.53476,139,,,
15707,0.149405,139,,,
15846,-4.09002,139,,,
15985,-3.532938,139,,,
16124,-3.061974,139,,,
16263,2.758384,139,0.7963181138038635,3.5552892059087755,4.253731524944305
16402,-3.554835,139,,,
16541,-6.551717,139,,,
16680,0.68697,139,,,
16819,7.327573,139,,,
16958,3.522385,139,,,
17097,-6.047795,139,,,
17236,-2.769511,139,,,
17375,-0.871751,139,,,
17514,-2.708559,139,,,
17653,-7.807638,139,,,
17792,0.96304,139,,,
17931,10.503871,139,,,
18070,1.056048,139,,,
18209,-1.740081,139,,,
18348,-0.626504,139,0.7740126848220825,3.5681570172309875,4.331936684250832
18487,-0.425666,139,,,
18626,2.180243,139,,,
18765,0.327044,139,,,
18904,1.444667,139,,,
19043,-5.400259,139,,,
19182,3.521252,139,,,
19321,-15.347115,139,,,
19460,-3.591897,139,,,
19599,1.483902,139,,,
19738,-0.772525,139,,,
19877,5.375388,139,,,
20016,3.202567,139,,,
20155,2.802059,139,,,
20294,-0.934348,139,,,
20433,1.934776,139,0.7923240661621094,3.571332260966301,4.0553731441497805
20572,3.370704,139,,,
20711,2.73258,139,,,
20850,-3.099382,139,,,
20989,0.055781,139,,,
21128,-4.351731,139,,,
21267,-8.844365,139,,,
21406,-2.268425,139,,,
21545,-0.491957,139,,,
21684,0.457592,139,,,
21823,-11.197148,139,,,
21962,6.332907,139,,,
22101,7.429235,139,,,
22240,2.671662,139,,,
22379,3.485846,139,,,
22518,-6.510437,139,0.8185421824455261,3.580498969554901,3.798573765158653
22657,5.605113,139,,,
22796,-4.711345,139,,,
22935,-1.374529,139,,,
23074,2.028615,139,,,
23213,-12.862462,139,,,
23352,3.687123,139,,,
23491,-3.997827,139,,,
23630,0.060692,139,,,
23769,4.278395,139,,,
23908,5.165589,139,,,
24047,2.06926,139,,,
24186,-0.697212,139,,,
24325,-0.026746,139,,,
24464,-1.653574,139,0.8388404846191406,3.5963463097810746,3.492766726016998
24603,5.018753,139,,,
24742,-0.033227,139,,,
24881,-3.027694,139,,,
25020,-0.436897,139,,,
25159,-4.346165,139,,,
25298,4.932135,139,,,
25437,4.602084,139,,,
25576,5.318613,139,,,
25715,-2.67584,139,,,
25854,-0.880136,139,,,
25993,9.724264,139,,,
26132,1.919736,139,,,
26271,1.253984,139,,,
26410,3.638039,139,,,
26549,-0.914373,139,0.8493205308914185,3.6075202852487562,3.267712342739105
26688,-5.138625,139,,,
26827,2.538698,139,,,
26966,6.613489,139,,,
27105,2.585788,139,,,
27244,2.444815,139,,,
27383,-1.546869,139,,,
27522,-9.288174,139,,,
27661,0.212461,139,,,
27800,-4.495279,139,,,
27939,1.271846,139,,,
28078,8.45404,139,,,
28217,7.186759,139,,,
28356,-1.132239,139,,,
28495,2.481137,139,,,
28634,3.446639,139,0.8546202778816223,3.6192278385162355,3.0750003904104233
28773,0.976023,139,,,
28912,0.366577,139,,,
29051,-5.261591,139,,,
29190,2.006651,139,,,
29329,-1.712953,139,,,
29468,0.893301,139,,,
29607,1.295338,139,,,
29746,-3.430998,139,,,
29885,6.992196,139,,,
30024,12.066582,139,,,
30163,5.753855,139,,,
30302,-2.138534,139,,,
30441,6.5716,139,,,
30580,11.904712,139,,,
30719,-3.59105,139,0.8456193804740906,3.6293821781873703,3.462812700867653
30858,-0.732067,139,,,
30997,5.615432,139,,,
31136,3.610681,139,,,
31275,3.217367,139,,,
31414,2.324687,139,,,
31553,1.880565,139,,,
31692,-0.350508,139,,,
31831,10.295126,139,,,
31970,3.380936,139,,,
32109,8.94815,139,,,
32248,-1.911541,139,,,
32387,0.351368,139,,,
32526,-1.235959,139,,,
32665,4.674142,139,0.8610433340072632,3.6438615709543227,3.187000423669815
32804,4.877852,139,,,
32943,10.643951,139,,,
33082,10.503225,139,,,
33221,0.016559,139,,,
33360,6.244259,139,,,
33499,0.997843,139,,,
33638,2.798532,139,,,
33777,-8.070462,139,,,
