timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-3.330131,139,,,
278,-5.871401,139,,,
417,-3.456689,139,,,
556,0.941657,139,,,
695,-4.978881,139,,,
834,-5.994589,139,,,
973,-6.823366,139,,,
1112,-4.404295,139,,,
1251,3.657172,139,,,
1390,-2.345819,139,,,
1529,-4.125483,139,,,
1668,0.684823,139,,,
1807,-3.654388,139,,,
1946,-3.077936,139,,,
2085,-5.997677,139,,,
2224,-9.655173,139,,,
2363,-11.34958,139,,,
2502,-4.72,139,,,
2641,6.596746,139,,,
2780,7.618714,139,,,
2919,0.760046,139,,,
3058,4.488294,139,,,
3197,4.553638,139,,,
3336,-2.319231,139,,,
3475,-0.480517,139,,,
3614,5.058222,139,,,
3753,0.403364,139,,,
3892,-5.349457,139,,,
4031,-2.549463,139,0.00033861398696899414,3.4771317929029464,10.811284768581391
