timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-13.557818,455,,,
910,-45.148914,455,,,
1365,-40.494276,455,,,
1820,-39.939462,455,,,
2275,-10.248107,455,,,
2730,-27.91433,455,,,
3185,-10.36434,455,,,
3640,0.841296,455,,,
4095,-1.15709,455,0.005674839019775391,6.3712827324867245,8.591423046588897
4550,-16.605926,455,,,
5005,-18.928516,455,,,
5460,-37.117171,455,,,
5915,-13.032714,455,0.014452934265136719,6.370493334531784,3.606348180770874
6370,-29.163548,455,,,
6825,-0.792442,455,,,
7280,-29.780625,455,,,
7735,-10.919426,455,,,
8190,1.411034,455,0.1861446499824524,6.389836090803146,4.511863413453102
8645,-24.922678,455,,,
9100,-49.326488,455,,,
9555,-33.088525,455,,,
10010,-47.087896,455,0.31232750415802,6.394487476348877,4.971923884749413
10465,-15.738774,455,,,
10920,-3.041169,455,,,
11375,4.646853,455,,,
11830,-31.729458,455,,,
12285,-0.944339,455,0.24199038743972778,6.411835777759552,7.361969459056854
12740,-9.870914,455,,,
13195,-13.423624,455,,,
13650,2.487475,455,,,
14105,-10.136158,455,0.5942235589027405,6.430148416757584,3.823965522646904
14560,-35.041382,455,,,
15015,-24.234381,455,,,
15470,-2.665339,455,,,
15925,-38.975316,455,,,
16380,-30.030763,455,0.6464278697967529,6.426976019144059,2.141593913733959
16835,-26.7835,455,,,
17290,-20.043183,455,,,
17745,-4.693951,455,,,
18200,-33.613674,455,0.5580775737762451,6.427499639987945,4.92383503317833
18655,-10.238756,455,,,
19110,-35.894754,455,,,
19565,-0.253704,455,,,
20020,-34.367366,455,,,
20475,-33.914374,455,0.603561282157898,6.439632540941238,3.7588694363832476
20930,-1.711484,455,,,
21385,-39.205359,455,,,
21840,-5.162759,455,,,
22295,-34.336927,455,0.657586932182312,6.453684276342392,4.558197873830795
22750,-25.640266,455,,,
23205,-9.07516,455,,,
23660,-28.000294,455,,,
24115,-7.951403,455,,,
24570,-36.786018,455,0.7369053363800049,6.4624538779258724,3.6002781331539153
25025,-39.410079,455,,,
25480,-44.279968,455,,,
25935,-38.679469,455,,,
26390,-0.153906,455,0.7604182362556458,6.469822078943253,3.5844379723072053
26845,-32.662124,455,,,
27300,-39.356731,455,,,
27755,-30.621889,455,,,
28210,-23.797857,455,,,
28665,-35.905372,455,0.6961022019386292,6.476322364807129,3.9140225499868393
29120,2.459181,455,,,
29575,-41.511064,455,,,
30030,-10.241613,455,,,
30485,-39.336143,455,0.7483086585998535,6.473953437805176,4.660686820745468
30940,1.461832,455,,,
31395,-35.172132,455,,,
31850,-36.32185,455,,,
32305,-2.955254,455,,,
32760,5.793567,455,0.694362998008728,6.475740450620651,3.389713707566261
33215,-31.031124,455,,,
33670,1.303472,455,,,
34125,-38.248408,455,,,
34580,-34.593455,455,0.7736676931381226,6.480935251712799,2.83194343149662
35035,-4.070365,455,,,
35490,10.282127,455,,,
35945,3.176287,455,,,
36400,-29.344433,455,,,
36855,-11.029098,455,0.7495929002761841,6.476450127363205,3.3069763869047164
37310,-35.831017,455,,,
37765,-27.813553,455,,,
38220,15.534291,455,,,
38675,-35.725184,455,0.7441167235374451,6.489190739393234,2.8356557592749594
39130,-21.084886,455,,,
39585,8.137129,455,,,
40040,-20.782962,455,,,
40495,-36.334059,455,,,
40950,4.185859,455,0.8695259094238281,6.506036388874054,3.1038262456655503
41405,18.584637,455,,,
41860,5.105079,455,,,
42315,-25.819587,455,,,
42770,-1.541767,455,0.7867338061332703,6.527884811162949,2.453632727265358
43225,0.930135,455,,,
43680,0.64377,455,,,
44135,-29.42279,455,,,
44590,-3.793374,455,,,
45045,-16.941947,455,0.7797105312347412,6.548746871948242,2.754485657811165
45500,10.438604,455,,,
45955,-21.860947,455,,,
46410,-22.813554,455,,,
46865,-22.194063,455,0.7614362239837646,6.565385806560516,2.4940074935555456
47320,8.325543,455,,,
47775,-31.444992,455,,,
48230,-5.33608,455,,,
48685,-36.369843,455,,,
49140,-16.905493,455,0.8242980241775513,6.578287863731385,2.682475693523884
49595,-34.334728,455,,,
50050,-36.416427,455,,,
50505,3.574629,455,,,
50960,-35.711597,455,0.840492844581604,6.596043109893799,2.7850565731525423
51415,14.134887,455,,,
51870,-28.323941,455,,,
52325,-2.888321,455,,,
52780,2.342164,455,,,
53235,-2.75439,455,0.878099262714386,6.600900828838348,2.638147567212582
53690,-23.540855,455,,,
54145,15.05809,455,,,
54600,-27.343503,455,,,
55055,-36.971117,455,0.8223356604576111,6.604394763708115,2.2313589632511137
55510,-32.095323,455,,,
55965,19.207386,455,,,
56420,7.791833,455,,,
56875,-44.716372,455,,,
57330,-29.274811,455,0.8993661999702454,6.612201941013336,3.079973664879799
57785,-14.907578,455,,,
58240,-28.93265,455,,,
58695,-38.368989,455,,,
59150,-33.004185,455,0.8648431301116943,6.6284814298152925,2.6207439824938774
59605,10.195601,455,,,
60060,3.446508,455,,,
60515,-19.074305,455,,,
60970,8.79572,455,,,
61425,-27.537768,455,0.8572241067886353,6.63736829161644,2.528895874321461
61880,-28.731905,455,,,
62335,5.048288,455,,,
62790,-8.466634,455,,,
63245,7.035236,455,0.8252965211868286,6.642731881141662,2.0382199034094812
63700,-35.098803,455,,,
64155,-15.588069,455,,,
64610,-0.743055,455,,,
65065,6.393344,455,,,
65520,-40.514102,455,0.853427529335022,6.6555490553379055,2.264439769089222
65975,-32.927999,455,,,
66430,-31.894948,455,,,
66885,-28.680197,455,,,
67340,-16.510582,455,0.8026948571205139,6.676128774881363,2.969078354537487
67795,-16.813907,455,,,
68250,6.343063,455,,,
68705,-30.932775,455,,,
69160,-26.426356,455,,,
69615,-37.133741,455,0.8481097221374512,6.689467823505401,2.638738840818405
70070,3.295958,455,,,
70525,-32.811569,455,,,
70980,-9.442556,455,,,
71435,12.410604,455,0.8827919960021973,6.70322373509407,3.022904944419861
71890,-29.700165,455,,,
72345,-3.207053,455,,,
72800,-47.229847,455,,,
73255,-22.570863,455,,,
73710,-27.082068,455,0.7912838459014893,6.715488350391388,2.0426475182175636
74165,-23.028965,455,,,
74620,-9.418434,455,,,
75075,-7.922528,455,,,
75530,-21.221987,455,0.8436596989631653,6.724931448698044,2.7279424205422402
75985,-24.790555,455,,,
76440,-5.221536,455,,,
76895,-1.196931,455,,,
77350,-5.537875,455,,,
77805,-24.49451,455,0.8541494607925415,6.728507661819458,2.580265848338604
78260,-3.12973,455,,,
78715,-31.289741,455,,,
79170,-34.588096,455,,,
79625,-2.065839,455,0.7670116424560547,6.739836817979812,2.337233290076256
80080,-6.965829,455,,,
80535,-2.214856,455,,,
80990,10.211294,455,,,
81445,10.746384,455,,,
81900,-3.383598,455,0.8768261075019836,6.768088060617447,2.231645706295967
82355,-8.790784,455,,,
82810,-27.505002,455,,,
83265,-22.551424,455,,,
83720,-17.848569,455,0.7701190114021301,6.792774415016174,1.8890933319926262
84175,-4.184402,455,,,
84630,-36.883731,455,,,
85085,-40.154194,455,,,
85540,8.207923,455,,,
85995,6.071268,455,0.8028057217597961,6.8143278658390045,2.2144121915102004
86450,-6.012944,455,,,
