timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-99.463076,455,,,
910,-14.325295,455,,,
1365,-12.524516,455,,,
1820,-10.907265,455,,,
2275,-101.817362,455,,,
2730,-102.073864,455,,,
3185,-99.827364,455,,,
3640,-104.433333,455,,,
4095,-95.116199,455,0.0011425614356994629,6.378022760152817,6.595147657394409
4550,-96.199001,455,,,
5005,-101.713643,455,,,
5460,-25.497926,455,,,
5915,-98.420068,455,0.03632324934005737,6.363158464431763,9.11333817243576
6370,-16.129285,455,,,
6825,-98.951102,455,,,
7280,1.276117,455,,,
7735,-92.669178,455,,,
8190,-96.6579,455,0.09165030717849731,6.382007539272308,8.211605119705201
8645,-13.996986,455,,,
9100,-15.012798,455,,,
9555,-18.15357,455,,,
10010,-20.285766,455,0.3930373191833496,6.415492153167724,7.264658790826798
10465,-97.35984,455,,,
10920,-100.92117,455,,,
11375,-96.436082,455,,,
11830,-11.857852,455,,,
12285,-94.571783,455,0.6452232599258423,6.448084753751755,4.079647359251976
12740,-97.132393,455,,,
13195,-92.526014,455,,,
13650,-96.130225,455,,,
14105,-92.943519,455,0.53249192237854,6.473011690378189,7.532040530443192
14560,-10.438328,455,,,
15015,-12.369423,455,,,
15470,-95.410498,455,,,
15925,-92.654934,455,,,
16380,-17.879294,455,0.5832557678222656,6.498014581203461,7.162819331884384
16835,-9.767416,455,,,
17290,-96.421011,455,,,
17745,-93.345872,455,,,
18200,-17.011721,455,0.8110940456390381,6.515302908420563,4.6316560238599775
18655,-96.947099,455,,,
19110,-17.041089,455,,,
19565,-96.24443,455,,,
20020,-22.674133,455,,,
20475,-24.810104,455,0.8352527618408203,6.518339496850968,4.598208737373352
20930,-92.80156,455,,,
21385,-24.227878,455,,,
21840,-93.452461,455,,,
22295,-10.201755,455,0.8403252959251404,6.52874076962471,3.4312451779842377
22750,-94.247059,455,,,
23205,-89.465278,455,,,
23660,-18.744167,455,,,
24115,-92.83396,455,,,
24570,-18.387552,455,0.8644766807556152,6.543226128816604,4.454816257953643
25025,-14.868978,455,,,
25480,-15.995537,455,,,
25935,-9.935849,455,,,
26390,-91.565864,455,0.8777346611022949,6.555812966823578,3.8024442195892334
26845,0.495924,455,,,
27300,-17.270941,455,,,
27755,-13.81758,455,,,
28210,-21.656943,455,,,
28665,-10.651191,455,0.875373899936676,6.56235179901123,3.095414233207703
29120,-87.637756,455,,,
29575,-14.582393,455,,,
30030,-91.105858,455,,,
30485,-19.767309,455,0.8100166320800781,6.583270615339279,2.45646697729826
30940,-91.33497,455,,,
31395,-23.848646,455,,,
31850,-5.668266,455,,,
32305,-96.863404,455,,,
32760,-88.234976,455,0.9045224189758301,6.593034195899963,3.0664946347475053
33215,-7.138832,455,,,
33670,-90.765804,455,,,
34125,-9.872214,455,,,
34580,-23.088946,455,0.9016266465187073,6.607229387760162,2.9174781262874605
35035,-90.058212,455,,,
35490,-89.232588,455,,,
35945,-93.596596,455,,,
36400,-16.429073,455,,,
36855,-86.72165,455,0.9160007834434509,6.623554146289825,2.721811389923096
37310,-12.081127,455,,,
37765,-91.590894,455,,,
38220,-87.82581,455,,,
38675,-22.34798,455,0.9165834784507751,6.646300512552261,2.704061448574066
39130,-92.671434,455,,,
39585,-88.698486,455,,,
40040,-89.163214,455,,,
40495,-12.167516,455,,,
40950,-92.98422,455,0.9233934879302979,6.672889888286591,2.5454549878835677
41405,-92.938054,455,,,
41860,-96.731691,455,,,
42315,-14.906621,455,,,
42770,-91.158463,455,0.9350022077560425,6.695346069335938,1.9899073258042335
43225,-94.693945,455,,,
43680,-99.716344,455,,,
44135,-16.961747,455,,,
44590,-93.465999,455,,,
45045,-90.263176,455,0.9185954928398132,6.698723101615906,2.9337105810642243
45500,-94.007716,455,,,
45955,-10.369276,455,,,
46410,-17.297694,455,,,
46865,-93.539596,455,0.9340611696243286,6.692001718282699,2.5921295434236526
47320,-89.844724,455,,,
47775,-17.409378,455,,,
48230,-94.471854,455,,,
48685,-18.982777,455,,,
49140,-89.548645,455,0.9504387974739075,6.696324759721756,2.071537744998932
49595,-12.4625,455,,,
50050,-95.787287,455,,,
50505,-93.687013,455,,,
50960,-13.131759,455,0.9458937644958496,6.696847051382065,1.973173226416111
51415,-87.900178,455,,,
51870,-11.323591,455,,,
52325,-90.391585,455,,,
52780,-89.587625,455,,,
53235,-88.950318,455,0.9345138072967529,6.711294585466385,1.93748087733984
53690,-12.991342,455,,,
54145,-92.247705,455,,,
54600,-11.931121,455,,,
55055,-18.535067,455,0.9430946707725525,6.733139514923096,2.1508323058485983
55510,-6.369941,455,,,
55965,-87.272685,455,,,
56420,-85.738284,455,,,
56875,-22.937993,455,,,
57330,-2.067953,455,0.9379791021347046,6.74412556886673,2.141851407289505
57785,-87.20053,455,,,
58240,-10.755585,455,,,
58695,-9.748587,455,,,
59150,-15.122514,455,0.9523271918296814,6.756817269325256,1.8450687274336814
59605,-86.607259,455,,,
60060,-89.267014,455,,,
60515,-82.707265,455,,,
60970,-87.454643,455,,,
61425,-13.945781,455,0.9541414380073547,6.7888856112957,2.000066915154457
61880,-13.327993,455,,,
62335,-82.450909,455,,,
62790,-87.478332,455,,,
63245,-82.844028,455,0.9636279344558716,6.808653163909912,1.6281935796141624
63700,-6.443552,455,,,
64155,-84.547789,455,,,
64610,-83.036149,455,,,
65065,-84.849794,455,,,
65520,-20.427412,455,0.962395429611206,6.817032134532928,1.5663359597325326
65975,-17.165184,455,,,
66430,-84.666592,455,,,
66885,-4.614661,455,,,
67340,-79.824969,455,0.9639674425125122,6.8340136229991915,1.4754573777318
67795,-21.287186,455,,,
68250,-83.601276,455,,,
68705,-27.242455,455,,,
69160,-16.011558,455,,,
69615,-16.318645,455,0.9507185816764832,6.855421608686447,1.8987006649374962
70070,-83.411738,455,,,
70525,-7.385616,455,,,
70980,-86.561705,455,,,
71435,-83.53984,455,0.9497896432876587,6.877185881137848,1.5240145489573478
71890,-16.728421,455,,,
72345,-80.837798,455,,,
72800,-11.142188,455,,,
73255,-11.880213,455,,,
73710,-10.489767,455,0.9577926993370056,6.8982336044311525,1.6021449148654938
74165,-9.238589,455,,,
74620,-78.588071,455,,,
75075,-76.901456,455,,,
75530,-13.672668,455,0.9537360668182373,6.91566830277443,1.6888996183872222
75985,5.524505,455,,,
76440,-73.113537,455,,,
76895,-80.676721,455,,,
77350,-79.82283,455,,,
77805,4.913661,455,0.9596657752990723,6.917216670513153,1.5827714860439301
78260,-82.186828,455,,,
78715,-8.342138,455,,,
79170,-11.055834,455,,,
79625,-82.660223,455,0.9698596596717834,6.922043180465698,1.429977896809578
80080,-76.994416,455,,,
80535,-82.590386,455,,,
80990,-80.624936,455,,,
81445,-79.756798,455,,,
81900,-84.243895,455,0.9744630455970764,6.933775824308396,1.4895659044384957
82355,-74.702393,455,,,
82810,-10.69831,455,,,
83265,-11.943267,455,,,
83720,-76.059711,455,0.9663970470428467,6.939050620794296,1.092568278312683
84175,-84.94938,455,,,
84630,-15.039726,455,,,
85085,-6.212465,455,,,
85540,-75.696902,455,,,
85995,-75.392208,455,0.9758679866790771,6.94306373000145,1.4914280414581298
86450,-82.570602,455,,,
86905,-8.734137,455,,,
87360,-75.183133,455,,,
87815,-77.986352,455,0.9618349671363831,6.966770821809769,1.264674212783575
88270,-8.428069,455,,,
88725,-82.547071,455,,,
89180,-80.167071,455,,,
89635,-9.366382,455,,,
90090,-74.206362,455,0.9706283807754517,7.010078597068786,1.3315191395580768
90545,-79.369216,455,,,
91000,-79.923434,455,,,
91455,-4.68229,455,,,
91910,2.42858,455,0.9714699983596802,7.044675934314728,1.255785880982876
92365,-77.611169,455,,,
92820,0.36064,455,,,
93275,-78.057661,455,,,
93730,-79.972713,455,,,
94185,-75.025852,455,0.9741606712341309,7.065780621767044,1.3264467418193817
94640,-6.85471,455,,,
95095,6.688791,455,,,
95550,-83.633266,455,,,
96005,-6.270555,455,0.975557804107666,7.089047306776047,1.0367975950241088
96460,-7.174309,455,,,
96915,-10.785075,455,,,
97370,-78.669725,455,,,
97825,-4.863966,455,,,
98280,-7.196171,455,0.9371231198310852,7.108511114120484,1.7450662702322006
98735,-70.309945,455,,,
99190,-8.406203,455,,,
99645,-76.093764,455,,,
100100,-70.732947,455,0.9541528820991516,7.13234236240387,1.3690073892474175
100555,-72.538166,455,,,
101010,-1.148874,455,,,
101465,-4.310936,455,,,
101920,-14.64821,455,,,
102375,-74.1519,455,0.9644801020622253,7.153129035234452,1.2012884132564068
102830,-76.956425,455,,,
103285,-11.18965,455,,,
103740,-8.722459,455,,,
104195,-70.293883,455,0.9652765393257141,7.165380817651749,1.417575752735138
104650,-8.005986,455,,,
105105,-73.589196,455,,,
105560,-8.565503,455,,,
106015,-71.084601,455,,,
106470,-69.205156,455,0.9705328345298767,7.19851016998291,1.2407146275043488
106925,-12.090981,455,,,
107380,-71.747431,455,,,
107835,-1.271072,455,,,
108290,-71.093465,455,0.9729599356651306,7.2264065623283384,1.156341239064932
108745,-17.336238,455,,,
109200,-74.912894,455,,,
109655,3.767811,455,,,
110110,-71.316894,455,,,
110565,-71.935606,455,0.9672485589981079,7.235991114377976,1.2405506297945976
111020,-9.309713,455,,,
111475,-67.85827,455,,,
111930,-70.473525,455,,,
112385,-72.445317,455,0.9781548380851746,7.238080161809921,0.9832936242222786
112840,-66.611241,455,,,
113295,4.432656,455,,,
113750,-64.609513,455,,,
114205,-4.247175,455,,,
114660,-10.11548,455,0.9762199521064758,7.237551206350327,0.9236589051783085
115115,-71.232815,455,,,
115570,-64.777289,455,,,
116025,2.641447,455,,,
116480,-2.048001,455,0.9642122387886047,7.2566657900810245,1.3512730710208416
116935,-67.771385,455,,,
117390,12.398077,455,,,
117845,-65.436617,455,,,
118300,-63.333094,455,,,
118755,-62.242714,455,0.9803265929222107,7.30055337548256,1.0510881900787354
119210,3.818597,455,,,
119665,-55.928493,455,,,
120120,-2.551881,455,,,
120575,1.045845,455,0.9721450209617615,7.326167899370193,1.0294690899550916
121030,-1.277585,455,,,
121485,-60.425656,455,,,
121940,-0.58035,455,,,
122395,5.87569,455,,,
122850,-6.265491,455,0.9568050503730774,7.344054275751114,1.4130608677864074
123305,-64.04517,455,,,
123760,-62.526652,455,,,
124215,0.4759,455,,,
124670,-65.084653,455,0.9619728326797485,7.373115146160126,1.267276943475008
125125,-61.317901,455,,,
125580,-59.163106,455,,,
126035,-61.955868,455,,,
126490,6.349619,455,,,
126945,-63.238132,455,0.9751594066619873,7.404236376285553,0.8697457060217857
127400,-62.331347,455,,,
127855,-59.572067,455,,,
128310,-58.49663,455,,,
128765,-62.383556,455,0.9819221496582031,7.428777712583542,0.7921651661396026
129220,6.919445,455,,,
129675,-60.888467,455,,,
130130,-62.243597,455,,,
130585,1.703492,455,,,
131040,-57.476658,455,0.979500949382782,7.451780927181244,0.8623494297266007
131495,-55.728806,455,,,
131950,2.083263,455,,,
132405,-3.190358,455,,,
132860,-4.82395,455,0.9751711487770081,7.470670813322068,1.072952640801668
133315,0.361019,455,,,
133770,-5.478482,455,,,
134225,2.990856,455,,,
134680,-64.73228,455,,,
135135,1.261699,455,0.9415621757507324,7.469506508111953,1.6372561231255531
135590,-58.503532,455,,,
136045,-58.335897,455,,,
136500,-57.934035,455,,,
136955,-56.38061,455,0.9564662575721741,7.471135699748993,1.3088094398379326
137410,-59.265482,455,,,
137865,7.699542,455,,,
138320,-58.279256,455,,,
138775,-60.569615,455,,,
139230,-60.629744,455,0.9808889031410217,7.483772253990173,0.762708629667759
139685,-52.424942,455,,,
140140,-56.549988,455,,,
140595,-63.173062,455,,,
141050,-1.692447,455,0.9761688709259033,7.495986545085907,0.8460898876190186
141505,-1.825942,455,,,
141960,-0.93287,455,,,
142415,-52.94114,455,,,
142870,4.69828,455,,,
143325,-59.930638,455,0.9798097014427185,7.510195851325989,1.1256802156567574
143780,-5.60302,455,,,
144235,-55.759736,455,,,
144690,-8.370798,455,,,
145145,-5.754259,455,0.9676509499549866,7.513840806484223,1.2488171324133872
145600,-56.787383,455,,,
146055,-56.409558,455,,,
146510,-11.873021,455,,,
146965,-54.719636,455,,,
147420,5.059279,455,0.9716057181358337,7.525832265615463,1.1765414960682392
147875,-54.369914,455,,,
148330,6.883353,455,,,
148785,4.569127,455,,,
149240,-58.856256,455,0.9697191119194031,7.563667571544647,1.1055878169834614
149695,12.73546,455,,,
150150,-3.890049,455,,,
150605,-57.946438,455,,,
151060,-2.950327,455,,,
151515,-51.186435,455,0.9729585647583008,7.583925706148148,1.291499212384224
151970,0.999385,455,,,
152425,3.488161,455,,,
152880,-53.96234,455,,,
153335,-51.648165,455,0.9747216701507568,7.598227465152741,1.1085423558950425
153790,-50.988573,455,,,
154245,-0.857517,455,,,
154700,-47.468026,455,,,
155155,-2.138483,455,,,
155610,-51.947642,455,0.9736801981925964,7.613363856077195,1.2649149723351
156065,-54.743391,455,,,
156520,-62.827833,455,,,
156975,-53.526728,455,,,
