timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-45.202763,455,,,
910,-44.59883,455,,,
1365,-46.682682,455,,,
1820,-44.060533,455,,,
2275,-46.719401,455,,,
2730,-44.179403,455,,,
3185,-41.640924,455,,,
3640,-50.453543,455,,,
4095,-41.682307,455,-0.00346982479095459,6.394566559791565,11.109756553173066
4550,-44.304646,455,,,
5005,-44.430696,455,,,
5460,-50.33753,455,,,
5915,-43.820164,455,0.11541801691055298,6.417502999305725,8.86553927063942
6370,-47.419681,455,,,
6825,-41.019785,455,,,
7280,-38.507636,455,,,
7735,-38.242374,455,,,
8190,-41.80559,455,0.38885289430618286,6.427552956342697,7.309752243757248
8645,-44.95762,455,,,
9100,-44.383752,455,,,
9555,-45.645456,455,,,
10010,-36.60352,455,0.5521981716156006,6.418913239240647,7.126626682281494
10465,-49.228718,455,,,
10920,-40.431644,455,,,
11375,-45.128633,455,,,
11830,-42.816223,455,,,
12285,-43.317703,455,0.4151288866996765,6.424551659822464,8.390226030349732
12740,-38.091575,455,,,
13195,-43.730625,455,,,
13650,-45.552675,455,,,
14105,-45.23809,455,0.7161115407943726,6.431746906042099,5.144658598303795
14560,-53.805757,455,,,
15015,-36.170548,455,,,
15470,-45.76526,455,,,
15925,-48.008237,455,,,
16380,-43.035163,455,0.7988550662994385,6.442931038141251,3.770965722203255
16835,-33.686405,455,,,
17290,-41.804228,455,,,
17745,-45.24248,455,,,
18200,-34.536863,455,0.6664745211601257,6.442232048511505,5.851744842529297
18655,-36.938109,455,,,
19110,-40.614021,455,,,
19565,-40.641579,455,,,
20020,-49.835127,455,,,
20475,-41.545096,455,0.7741325497627258,6.430085819959641,4.190366113185883
20930,-37.765998,455,,,
21385,-59.21924,455,,,
21840,-48.342101,455,,,
22295,-49.954347,455,0.7323381900787354,6.442044490575791,4.8653098285198215
22750,-45.247812,455,,,
23205,-38.444577,455,,,
23660,-40.107077,455,,,
24115,-38.34289,455,,,
24570,-40.041078,455,0.8075117468833923,6.460521960258484,3.8161335468292235
25025,-39.240823,455,,,
25480,-44.554915,455,,,
25935,-51.582815,455,,,
26390,-43.334641,455,0.8002504110336304,6.474616062641144,3.4836084246635437
26845,-43.858258,455,,,
27300,-54.79408,455,,,
27755,-36.583683,455,,,
28210,-47.722186,455,,,
28665,-39.229212,455,0.7826993465423584,6.487987446784973,3.93942329287529
29120,-38.57146,455,,,
29575,-40.16483,455,,,
30030,-37.958705,455,,,
30485,-61.061477,455,0.7873877882957458,6.489274179935455,4.392323115468026
30940,-32.292273,455,,,
31395,-38.066538,455,,,
31850,-49.936522,455,,,
32305,-34.053864,455,,,
32760,-35.641813,455,0.8632795214653015,6.485775113105774,3.5004279792308806
33215,-30.292115,455,,,
33670,-37.964075,455,,,
34125,-40.509278,455,,,
34580,-39.405041,455,0.8804863691329956,6.494879096746445,3.1034748673439028
35035,-38.725816,455,,,
35490,-34.099794,455,,,
35945,-37.807653,455,,,
36400,-46.548242,455,,,
36855,-36.052231,455,0.8769064545631409,6.506214183568955,3.022183766961098
37310,-43.948022,455,,,
37765,-33.184718,455,,,
38220,-33.911636,455,,,
38675,-46.620635,455,0.9059868454933167,6.515341430902481,2.443250508606434
39130,-38.526593,455,,,
39585,-36.180614,455,,,
40040,-38.852638,455,,,
40495,-50.947439,455,,,
40950,-38.174662,455,0.8948275446891785,6.519331789016723,2.537549874186516
41405,-28.71473,455,,,
41860,-39.333496,455,,,
42315,-31.491407,455,,,
42770,-34.314661,455,0.9266919493675232,6.521253037452698,1.808542050421238
43225,-33.905964,455,,,
43680,-42.224879,455,,,
44135,-42.035808,455,,,
44590,-30.169111,455,,,
45045,-37.98169,455,0.9188941121101379,6.527256673574447,2.2246470257639883
45500,-37.061917,455,,,
45955,-45.06607,455,,,
46410,-33.222132,455,,,
46865,-33.098728,455,0.9191166162490845,6.544687324762345,1.8712823405861854
47320,-35.699509,455,,,
47775,-46.304585,455,,,
48230,-32.488122,455,,,
48685,-34.415772,455,,,
49140,-36.92728,455,0.9106931686401367,6.564379274845123,2.507549598813057
49595,-41.34924,455,,,
50050,-34.626956,455,,,
50505,-36.008524,455,,,
50960,-47.867628,455,0.904172420501709,6.5754769206047055,2.6646804422140122
51415,-31.760263,455,,,
51870,-42.79985,455,,,
52325,-31.937041,455,,,
52780,-31.171362,455,,,
53235,-32.344103,455,0.9127079248428345,6.588337701559067,2.0262230157852175
53690,-35.996624,455,,,
54145,-31.746901,455,,,
54600,-47.931656,455,,,
55055,-53.974899,455,0.9335640072822571,6.605806440114975,1.6068291194736957
55510,-44.379028,455,,,
55965,-31.188563,455,,,
56420,-27.251342,455,,,
56875,-51.780768,455,,,
57330,-49.348474,455,0.8895900249481201,6.622071695327759,2.777490508556366
57785,-25.89634,455,,,
58240,-41.957978,455,,,
58695,-38.341004,455,,,
59150,-52.935584,455,0.910198450088501,6.647171658277512,2.3598356366157534
59605,-23.00951,455,,,
60060,-33.915401,455,,,
60515,-34.62469,455,,,
60970,-35.265556,455,,,
61425,-44.890834,455,0.9084519743919373,6.673369103670121,2.3916952461004257
61880,-42.214126,455,,,
62335,-25.517844,455,,,
62790,-32.617919,455,,,
63245,-32.466988,455,0.9239739775657654,6.702892410755157,1.48601935505867
63700,-49.690309,455,,,
64155,-25.862606,455,,,
64610,-30.266294,455,,,
65065,-28.107253,455,,,
65520,-53.978713,455,0.9241292476654053,6.723895907402039,2.0344969287514685
65975,-45.341266,455,,,
66430,-30.142469,455,,,
66885,-29.267621,455,,,
