timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-21.405118,455,,,
910,-45.123777,455,,,
1365,-40.430188,455,,,
1820,-39.897668,455,,,
2275,-15.174198,455,,,
2730,-45.772862,455,,,
3185,4.459746,455,,,
3640,-15.900691,455,,,
4095,-12.841884,455,0.003488004207611084,6.376485991477966,9.101776194572448
4550,-0.68443,455,,,
5005,-23.962086,455,,,
5460,-37.117146,455,,,
5915,3.020626,455,-0.0021092891693115234,6.382957512140274,3.3722820788621903
6370,-29.21763,455,,,
6825,-15.730284,455,,,
7280,-29.77807,455,,,
7735,-13.789785,455,,,
8190,-0.322027,455,0.15846294164657593,6.394997954368591,5.467988780140876
8645,-25.90732,455,,,
9100,-49.253111,455,,,
9555,-33.239051,455,,,
10010,-47.707069,455,0.2659740447998047,6.386651867628098,5.625606629252434
10465,-2.604589,455,,,
10920,-15.10852,455,,,
11375,-7.358388,455,,,
11830,-31.912864,455,,,
12285,-11.232544,455,0.13749080896377563,6.405024927854538,8.34899960756302
12740,6.505798,455,,,
13195,-12.317833,455,,,
13650,-10.461916,455,,,
14105,11.008012,455,0.5627032518386841,6.429213464260101,3.5000520557165147
14560,-35.639729,455,,,
15015,-25.135358,455,,,
15470,-7.337766,455,,,
15925,-20.568586,455,,,
16380,-30.438075,455,0.7412018775939941,6.429917484521866,2.0248544186353685
16835,-27.227046,455,,,
17290,-9.459046,455,,,
17745,3.768511,455,,,
18200,-34.038844,455,0.559384822845459,6.433460849523544,5.585749617218971
18655,3.718244,455,,,
19110,-36.348526,455,,,
19565,11.196148,455,,,
20020,-34.777245,455,,,
20475,-34.664507,455,0.7913911938667297,6.441549128293991,3.533804139494896
20930,-4.745245,455,,,
21385,-39.705269,455,,,
21840,-18.949712,455,,,
22295,-34.641561,455,0.6523395776748657,6.447257077693939,5.820285946130753
22750,-5.406109,455,,,
23205,16.384405,455,,,
23660,-28.603651,455,,,
24115,-15.62609,455,,,
24570,-37.069984,455,0.7322654724121094,6.461130225658417,4.2292324781417845
25025,-39.564224,455,,,
25480,-44.457006,455,,,
25935,-40.099846,455,,,
26390,-9.849976,455,0.6714690923690796,6.464270466566086,3.79825082719326
26845,-33.449261,455,,,
27300,-40.434419,455,,,
27755,-31.955748,455,,,
28210,-24.833484,455,,,
28665,-36.698742,455,0.7451084852218628,6.466795736551285,4.067046916484832
29120,-23.310175,455,,,
29575,-41.979355,455,,,
30030,-1.980094,455,,,
30485,-40.06134,455,0.7092008590698242,6.461451703310013,5.335726827383041
30940,-3.801222,455,,,
31395,-35.752376,455,,,
31850,-37.752994,455,,,
32305,-12.928721,455,,,
32760,4.805805,455,0.8175703287124634,6.466013896465301,3.9412237763404847
33215,-31.520911,455,,,
33670,-36.232919,455,,,
34125,-38.753337,455,,,
34580,-34.848127,455,0.8076518177986145,6.474936002492905,3.2684036999940873
35035,-2.693814,455,,,
35490,11.153722,455,,,
35945,-9.494579,455,,,
36400,-29.867952,455,,,
36855,-5.942288,455,0.8241211175918579,6.480208140611649,3.900661811232567
37310,-36.491492,455,,,
37765,0.472683,455,,,
38220,-2.680578,455,,,
38675,-36.872202,455,0.7494347095489502,6.498146909475326,2.9074041336774825
39130,-16.38282,455,,,
39585,-0.682921,455,,,
40040,-9.180637,455,,,
40495,-37.181381,455,,,
40950,-7.93783,455,0.7318567037582397,6.517309904098511,2.828571990132332
41405,5.269168,455,,,
41860,0.94632,455,,,
42315,-28.054553,455,,,
42770,-20.616938,455,0.6736059188842773,6.541626667976379,2.38622791916132
43225,-4.418647,455,,,
43680,2.283392,455,,,
44135,-30.688978,455,,,
44590,-12.520143,455,,,
45045,1.262688,455,0.7502064108848572,6.555752384662628,2.3275054559111594
45500,5.514808,455,,,
45955,-23.022036,455,,,
46410,-23.965927,455,,,
46865,0.976012,455,0.7081543803215027,6.565557676553726,2.6792464345693587
47320,-16.060396,455,,,
47775,-32.939884,455,,,
48230,-16.838684,455,,,
48685,-38.363061,455,,,
49140,-9.09731,455,0.7847082614898682,6.572428601980209,3.1566617250442506
49595,-35.043224,455,,,
50050,-12.548043,455,,,
50505,-20.443486,455,,,
50960,-35.882254,455,0.7642389535903931,6.582504230737686,2.8740017861127853
51415,11.351334,455,,,
51870,-28.485089,455,,,
52325,-7.756751,455,,,
52780,13.592366,455,,,
53235,-8.960508,455,0.8475744724273682,6.580974358320236,2.7745236605405807
53690,-24.264958,455,,,
54145,-12.9068,455,,,
54600,-27.668761,455,,,
55055,-38.673697,455,0.7429102659225464,6.577219945192337,2.7346598848700525
55510,-33.091687,455,,,
55965,15.406643,455,,,
56420,2.167059,455,,,
56875,-43.316334,455,,,
57330,-29.320843,455,0.8401147723197937,6.575305843353272,3.2929006189107897
57785,4.109674,455,,,
58240,-29.431346,455,,,
58695,-38.266298,455,,,
59150,-32.46595,455,0.86308354139328,6.584448653459549,2.89108993858099
59605,-9.931651,455,,,
60060,0.719585,455,,,
60515,6.656143,455,,,
60970,-7.769506,455,,,
61425,-26.028989,455,0.8317897319793701,6.597652024030685,2.8073917239904405
61880,-27.552965,455,,,
62335,-17.79915,455,,,
62790,-1.771631,455,,,
63245,-23.770525,455,0.8325896859169006,6.604944849014283,2.560573956370354
63700,-34.22878,455,,,
64155,-24.356174,455,,,
64610,-16.167008,455,,,
65065,3.096795,455,,,
65520,-40.191871,455,0.791605532169342,6.608814066648483,2.2832192689180375
65975,-31.938011,455,,,
66430,17.01665,455,,,
66885,-27.747843,455,,,
67340,-9.205047,455,0.7934520244598389,6.621071010828018,2.4211972832679747
67795,-15.248868,455,,,
68250,-10.499942,455,,,
68705,-31.032342,455,,,
69160,-27.879109,455,,,
69615,-36.675957,455,0.8686925768852234,6.635187554359436,2.9683892518281936
70070,3.564336,455,,,
70525,-32.376765,455,,,
70980,-8.487728,455,,,
71435,-21.885979,455,0.8108506202697754,6.645894646644592,3.3143719494342805
71890,-28.457129,455,,,
72345,-14.964289,455,,,
72800,-46.842959,455,,,
73255,-22.511609,455,,,
73710,-24.78865,455,0.862028956413269,6.651976937055588,2.4114033430814743
74165,-21.995391,455,,,
74620,2.308069,455,,,
75075,5.277281,455,,,
75530,-20.408816,455,0.8638964891433716,6.6543802380561825,2.9767446368932724
75985,-22.161583,455,,,
76440,-22.464839,455,,,
76895,-11.724412,455,,,
77350,-7.569957,455,,,
77805,-21.200389,455,0.8637962341308594,6.657625126838684,2.424910506606102
78260,-22.030893,455,,,
78715,-28.969371,455,,,
79170,-32.902974,455,,,
79625,-6.025008,455,0.8217474222183228,6.662754726409912,2.1585507705807685
80080,3.2837,455,,,
80535,14.206303,455,,,
80990,-7.391057,455,,,
81445,-16.702726,455,,,
81900,-4.329957,455,0.8592284917831421,6.668999201059341,2.5577093079686164
82355,-6.093581,455,,,
82810,-27.474683,455,,,
83265,-24.933763,455,,,
83720,-0.488524,455,0.29824507236480713,6.6666589140892025,2.5785607188940047
84175,6.80916,455,,,
84630,-37.504103,455,,,
85085,-39.660425,455,,,
85540,-1.705556,455,,,
85995,-5.593552,455,0.717278242111206,6.668222218751907,2.6477453485131264
86450,-19.454205,455,,,
86905,-36.848082,455,,,
87360,-0.785938,455,,,
