timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-33.079465,455,,,
910,-36.853914,455,,,
1365,-35.535478,455,,,
1820,-39.189722,455,,,
2275,-32.826654,455,,,
2730,-32.793887,455,,,
3185,-35.431391,455,,,
3640,-39.867642,455,,,
4095,-34.603504,455,0.014155149459838867,6.386840260028839,4.967962050437928
4550,-18.28207,455,,,
5005,-40.417732,455,,,
5460,-41.912124,455,,,
5915,-44.8176,455,0.04143702983856201,6.384349131584168,3.0155208349227904
6370,-34.744525,455,,,
6825,-26.083393,455,,,
7280,-33.552,455,,,
7735,-40.403679,455,,,
8190,-33.285265,455,0.21430492401123047,6.388825780153274,3.6235675543546675
8645,-36.266508,455,,,
9100,-31.807547,455,,,
9555,-42.358729,455,,,
10010,-38.46798,455,0.29276055097579956,6.397674345970154,3.4251559376716614
10465,-24.09587,455,,,
10920,-49.36916,455,,,
11375,-47.458376,455,,,
11830,-38.156212,455,,,
12285,-18.518245,455,0.18679773807525635,6.424953073263168,4.71746235191822
12740,-22.331756,455,,,
13195,-27.70627,455,,,
13650,-25.968647,455,,,
14105,-20.198605,455,0.5108904242515564,6.442847335338593,3.4254528492689134
14560,-29.413016,455,,,
15015,-45.143877,455,,,
15470,-28.941169,455,,,
15925,-37.702748,455,,,
16380,-32.823571,455,0.46732962131500244,6.465592259168625,2.8739526867866516
16835,-39.657509,455,,,
17290,-44.788082,455,,,
17745,-16.780515,455,,,
18200,-37.959039,455,0.5932279825210571,6.485836094617843,2.7573507994413378
18655,-40.657749,455,,,
19110,-35.029764,455,,,
19565,-24.140193,455,,,
20020,-36.236664,455,,,
20475,-37.939841,455,0.7092821598052979,6.4930800020694734,2.9293460607528687
20930,-23.605965,455,,,
21385,-28.076424,455,,,
21840,-35.462516,455,,,
22295,-31.671484,455,0.563858151435852,6.508333349227906,3.9674494743347166
22750,-36.417882,455,,,
23205,-30.419375,455,,,
23660,-36.674275,455,,,
24115,-31.578739,455,,,
24570,-41.344981,455,0.7632816433906555,6.525835037231445,2.7159861236810685
25025,-40.841212,455,,,
25480,-26.751397,455,,,
25935,-34.539872,455,,,
26390,-24.563743,455,0.8047976493835449,6.546684336662293,2.2862948909401895
26845,-38.442214,455,,,
27300,-40.555018,455,,,
27755,-38.926258,455,,,
28210,-34.033387,455,,,
28665,-42.818257,455,0.7970994114875793,6.555222541093826,2.7637235522270203
29120,-38.372066,455,,,
29575,-40.423608,455,,,
30030,-21.30461,455,,,
30485,-31.08015,455,0.8440970778465271,6.561338663101196,2.514617945253849
30940,-19.257288,455,,,
31395,-39.457648,455,,,
31850,-36.280793,455,,,
32305,-43.520398,455,,,
32760,-23.472945,455,0.8240047693252563,6.559350740909577,2.6632602900266646
33215,-39.355016,455,,,
33670,-16.246439,455,,,
34125,-39.542115,455,,,
34580,-33.860727,455,0.7970567345619202,6.5515995681285855,2.4729077354073525
35035,-41.110248,455,,,
35490,-17.192106,455,,,
35945,-24.048095,455,,,
36400,-38.089211,455,,,
36855,-31.804153,455,0.8576704263687134,6.558092564344406,2.3000360295176505
37310,-37.658884,455,,,
37765,-36.534816,455,,,
38220,-28.324934,455,,,
