timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-45.704294,455,,,
910,-84.323418,455,,,
1365,-68.314569,455,,,
1820,-74.119493,455,,,
2275,-44.556434,455,,,
2730,-48.631217,455,,,
3185,-42.6283,455,,,
3640,-45.675436,455,,,
4095,-42.843726,455,0.0058637261390686035,6.394073641300201,7.154920035600663
4550,-41.135092,455,,,
5005,-44.507866,455,,,
5460,-71.347187,455,,,
5915,-45.180359,455,0.31495368480682373,6.397695648670196,1.8616147547960282
6370,-67.730447,455,,,
6825,-44.484772,455,,,
7280,-66.464343,455,,,
7735,-40.687736,455,,,
8190,-44.103731,455,0.4236636161804199,6.385818207263947,3.9863777637481688
8645,-65.40784,455,,,
9100,-79.690343,455,,,
9555,-63.079747,455,,,
10010,-76.252275,455,0.6680153608322144,6.38935135602951,3.1224180206656458
10465,-45.515623,455,,,
10920,-43.83735,455,,,
11375,-41.885996,455,,,
11830,-71.668664,455,,,
12285,-44.079584,455,0.6124924421310425,6.401428323984146,6.384225732088089
12740,-42.210355,455,,,
13195,-43.481251,455,,,
13650,-43.747159,455,,,
14105,-41.8739,455,0.8543497323989868,6.428756135702133,2.239120526611805
14560,-65.989639,455,,,
15015,-82.15101,455,,,
15470,-43.232122,455,,,
15925,-42.494388,455,,,
16380,-76.255753,455,0.9021050930023193,6.459309548139572,1.6350869715213776
16835,-72.572306,455,,,
17290,-43.637458,455,,,
17745,-41.379405,455,,,
18200,-74.15174,455,0.8647208213806152,6.480923748016357,3.4299732118844988
18655,-42.922524,455,,,
19110,-66.784299,455,,,
19565,-39.626483,455,,,
20020,-70.998097,455,,,
20475,-64.046071,455,0.9036505818367004,6.498875463008881,2.723716935515404
20930,-41.073086,455,,,
21385,-67.781249,455,,,
21840,-42.418583,455,,,
22295,-63.796689,455,0.8874965906143188,6.50773640871048,3.8702331990003587
22750,-40.412439,455,,,
23205,-39.513602,455,,,
23660,-77.321272,455,,,
24115,-37.102116,455,,,
24570,-76.156803,455,0.9054744243621826,6.513629919290542,2.7256744623184206
25025,-73.314793,455,,,
25480,-65.436892,455,,,
25935,-84.635083,455,,,
26390,-38.959598,455,0.9181750416755676,6.516829311847687,2.7188925996422766
26845,-68.401185,455,,,
27300,-62.041879,455,,,
27755,-74.965952,455,,,
28210,-60.995235,455,,,
28665,-69.11893,455,0.8920790553092957,6.51413853764534,4.09817670583725
29120,-38.07953,455,,,
29575,-73.874645,455,,,
30030,-40.483059,455,,,
30485,-66.753311,455,0.8891150951385498,6.519911992549896,3.9545399725437163
30940,-41.167766,455,,,
31395,-64.286567,455,,,
31850,-68.697432,455,,,
32305,-39.395259,455,,,
32760,-39.812483,455,0.9366405010223389,6.519002991914749,2.0552517026662827
33215,-70.43121,455,,,
33670,-38.230679,455,,,
34125,-60.147351,455,,,
34580,-79.572365,455,0.9450222253799438,6.529095876216888,1.8626581713557244
35035,-37.187306,455,,,
35490,-36.786791,455,,,
35945,-38.88919,455,,,
36400,-59.288028,455,,,
36855,-37.462359,455,0.9246346354484558,6.546184086799622,2.8364616692066194
37310,-71.141941,455,,,
37765,-37.769079,455,,,
38220,-38.455645,455,,,
38675,-76.477268,455,0.9646188020706177,6.55890309214592,1.1296257182955742
39130,-39.116942,455,,,
39585,-38.963833,455,,,
40040,-37.587954,455,,,
40495,-76.630723,455,,,
40950,-38.521923,455,0.9494472146034241,6.570915216207505,1.748907734453678
41405,-36.610527,455,,,
41860,-40.020937,455,,,
42315,-64.406171,455,,,
42770,-33.994896,455,0.9730135202407837,6.571844458580017,0.8738677084445954
43225,-37.944681,455,,,
43680,-41.600708,455,,,
44135,-65.293125,455,,,
44590,-34.90238,455,,,
45045,-35.203696,455,0.9693217277526855,6.590270072221756,1.0290919795632363
45500,-35.201384,455,,,
45955,-64.807521,455,,,
46410,-69.066778,455,,,
46865,-34.746513,455,0.9726696014404297,6.6266034007072445,0.9707626566290856
47320,-34.368202,455,,,
47775,-61.82671,455,,,
48230,-34.422025,455,,,
48685,-62.132218,455,,,
49140,-36.284648,455,0.9591308236122131,6.647333532571793,1.638781489431858
49595,-68.899477,455,,,
50050,-34.728089,455,,,
50505,-34.446792,455,,,
50960,-71.389212,455,0.9615631699562073,6.6626442790031435,1.5730371177196503
51415,-36.355943,455,,,
