timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-50.34139,455,,,
910,-70.818944,455,,,
1365,-71.376879,455,,,
1820,-71.613817,455,,,
2275,-53.127431,455,,,
2730,-53.475388,455,,,
3185,-47.383431,455,,,
3640,-50.100558,455,,,
4095,-49.036446,455,0.007314443588256836,6.390754133462906,6.002331763505936
4550,-48.666153,455,,,
5005,-49.485863,455,,,
5460,-80.536538,455,,,
5915,-50.65224,455,0.2527437210083008,6.394570684432983,2.0617362186312675
6370,-69.63639,455,,,
6825,-50.250573,455,,,
7280,-84.062104,455,,,
7735,-48.818778,455,,,
8190,-49.998308,455,0.4538072943687439,6.387650471925736,3.4086157351732256
8645,-71.483645,455,,,
9100,-77.766748,455,,,
9555,-69.413644,455,,,
10010,-75.922841,455,0.6266399025917053,6.393435245752334,3.74849151968956
10465,-49.736261,455,,,
10920,-48.574303,455,,,
11375,-48.595212,455,,,
11830,-63.227678,455,,,
12285,-49.776706,455,0.5768396854400635,6.4263680398464205,6.318648427724838
12740,-50.109862,455,,,
13195,-46.911578,455,,,
13650,-48.369767,455,,,
14105,-48.442014,455,0.8571096062660217,6.448414385318756,2.2699215367436407
14560,-76.545823,455,,,
15015,-78.794832,455,,,
15470,-50.077125,455,,,
15925,-48.921536,455,,,
16380,-68.852816,455,0.9172078967094421,6.442902857065201,1.401521099358797
16835,-73.909479,455,,,
17290,-52.131908,455,,,
17745,-48.61832,455,,,
18200,-77.328168,455,0.8346189260482788,6.425098133087158,3.3186939120292664
18655,-48.221445,455,,,
19110,-77.916648,455,,,
19565,-46.978852,455,,,
20020,-75.281312,455,,,
20475,-66.835551,455,0.8826107382774353,6.429524147510529,2.90006328523159
20930,-46.745956,455,,,
21385,-83.014644,455,,,
21840,-48.256448,455,,,
22295,-70.747653,455,0.8877220749855042,6.446581906080246,3.580169051885605
22750,-48.767217,455,,,
23205,-47.973159,455,,,
23660,-67.451704,455,,,
24115,-47.93187,455,,,
24570,-72.599075,455,0.9010412096977234,6.463813179731369,2.820895458757877
25025,-73.517949,455,,,
25480,-69.120848,455,,,
25935,-71.545238,455,,,
26390,-46.946404,455,0.9296458959579468,6.4923929393291475,2.4216618552803992
26845,-66.886334,455,,,
27300,-63.825195,455,,,
27755,-75.70934,455,,,
28210,-74.00384,455,,,
28665,-60.100408,455,0.8702521920204163,6.5139760136604306,4.381757408380508
29120,-45.474748,455,,,
29575,-73.840974,455,,,
30030,-49.012615,455,,,
30485,-68.378,455,0.8718512654304504,6.5294863164424894,4.525601616501808
30940,-47.731024,455,,,
31395,-74.178054,455,,,
31850,-85.965271,455,,,
32305,-48.73444,455,,,
32760,-45.792926,455,0.9422221779823303,6.532635277509689,1.9999201640486717
33215,-66.542618,455,,,
33670,-45.838582,455,,,
34125,-69.366109,455,,,
34580,-80.848956,455,0.9421828985214233,6.533546435832977,2.452962748706341
35035,-45.797212,455,,,
35490,-43.900275,455,,,
35945,-42.76482,455,,,
36400,-70.316328,455,,,
36855,-45.422362,455,0.9223361015319824,6.545832628011704,2.7072533786296846
37310,-66.27906,455,,,
37765,-46.156882,455,,,
38220,-45.26868,455,,,
38675,-66.85342,455,0.9709705710411072,6.541048467159271,1.0874085232615471
39130,-44.00103,455,,,
39585,-46.012285,455,,,
40040,-46.698936,455,,,
40495,-65.216873,455,,,
40950,-45.55301,455,0.9432054758071899,6.53210020661354,1.9805444285273552
41405,-44.417788,455,,,
41860,-45.468177,455,,,
42315,-71.996778,455,,,
42770,-44.92625,455,0.974821150302887,6.548671156167984,0.924816682189703
43225,-46.121645,455,,,
43680,-49.557574,455,,,
44135,-72.175575,455,,,
44590,-45.887317,455,,,
45045,-42.27128,455,0.9687803387641907,6.57953513264656,1.0434305593371391
45500,-46.117777,455,,,
45955,-91.066128,455,,,
46410,-70.046573,455,,,
46865,-43.471834,455,0.9741146564483643,6.599386018514633,1.0511072978377343
47320,-43.962619,455,,,
47775,-65.908275,455,,,
48230,-44.162613,455,,,
48685,-87.101604,455,,,
49140,-43.393112,455,0.9543283581733704,6.602067172527313,1.8391892939805985
49595,-76.230938,455,,,
50050,-45.485611,455,,,
50505,-44.820776,455,,,
50960,-75.321698,455,0.9617951512336731,6.604538917541504,1.7685595989227294
51415,-43.875101,455,,,
51870,-69.096766,455,,,
52325,-43.445718,455,,,
52780,-43.836114,455,,,
53235,-42.831553,455,0.9581712484359741,6.619689404964447,1.7539979636669158
53690,-76.870923,455,,,
54145,-44.773069,455,,,
54600,-68.598838,455,,,
55055,-66.331335,455,0.9790317416191101,6.634681981801987,0.9669997565448284
55510,-66.944627,455,,,
55965,-42.730188,455,,,
56420,-39.659688,455,,,
56875,-69.993817,455,,,
57330,-74.891184,455,0.9486632943153381,6.6543623328208925,2.7898824512958527
57785,-37.564832,455,,,
58240,-70.011778,455,,,
58695,-62.289859,455,,,
59150,-70.560029,455,0.9634200930595398,6.6746562123298645,1.785038174688816
59605,-40.372078,455,,,
60060,-43.642985,455,,,
60515,-41.214033,455,,,
60970,-45.122768,455,,,
61425,-71.439259,455,0.9588045477867126,6.690205240249634,1.9828710347414016
61880,-71.180219,455,,,
62335,-41.66663,455,,,
62790,-44.768819,455,,,
63245,-44.447483,455,0.9805798530578613,6.702466660737992,0.7826570875942707
63700,-64.275382,455,,,
64155,-39.304685,455,,,
64610,-40.880891,455,,,
65065,-40.416863,455,,,
65520,-71.748473,455,0.9727219343185425,6.715645521879196,1.2765909880399704
65975,-68.684389,455,,,
66430,-41.46781,455,,,
66885,-70.415254,455,,,
67340,-38.9014,455,0.9758716821670532,6.733819615840912,1.0464761443436146
67795,-66.920154,455,,,
68250,-41.117785,455,,,
68705,-70.165318,455,,,
69160,-68.337279,455,,,
69615,-73.412486,455,0.9715416431427002,6.740992450714112,1.8453893437981606
70070,-41.56224,455,,,
70525,-74.005235,455,,,
70980,-40.336171,455,,,
71435,-38.431938,455,0.9573478102684021,6.745558178424835,2.3355509653687476
71890,-65.182407,455,,,
72345,-39.777987,455,,,
72800,-70.897022,455,,,
73255,-69.092537,455,,,
73710,-52.872595,455,0.9796630144119263,6.766992354393006,0.9823694050312042
74165,-68.15507,455,,,
74620,-37.561996,455,,,
75075,-36.044442,455,,,
75530,-65.167024,455,0.9554826021194458,6.7888575971126555,2.5187671333551407
75985,-57.332045,455,,,
76440,-38.757075,455,,,
76895,-37.146736,455,,,
77350,-35.509511,455,,,
77805,-67.594756,455,0.9703773856163025,6.792217421531677,1.6273265436291695
78260,-34.79058,455,,,
78715,-55.49935,455,,,
79170,-69.242111,455,,,
79625,-35.709988,455,0.9777723550796509,6.801940393447876,0.9420925371348858
80080,-35.28868,455,,,
80535,-37.61177,455,,,
80990,-33.399626,455,,,
81445,-35.969276,455,,,
81900,-34.256682,455,0.9735894203186035,6.818313711881638,1.3287784360349177
82355,-34.572665,455,,,
82810,-64.5513,455,,,
83265,-67.53362,455,,,
83720,-31.970337,455,0.9949032068252563,6.845512199401855,0.23306612400338053
84175,-35.745409,455,,,
84630,-68.330573,455,,,
85085,-63.04905,455,,,
85540,-33.225262,455,,,
85995,-34.798453,455,0.9745281338691711,6.867216658592224,1.315888449549675
86450,-34.306437,455,,,
86905,-71.24768,455,,,
87360,-32.424014,455,,,
87815,-35.211627,455,0.978780210018158,6.8702560544013975,1.1885007195174695
88270,-58.183307,455,,,
88725,-35.11402,455,,,
89180,-33.576298,455,,,
89635,-53.897477,455,,,
90090,-31.548216,455,0.9813240766525269,6.868128538131714,0.9974234335124492
90545,-33.340981,455,,,
91000,-35.81322,455,,,
91455,-75.139729,455,,,
91910,-72.895296,455,0.9769226312637329,6.8791963994503025,0.8773734323680401
92365,-31.344836,455,,,
92820,-73.068089,455,,,
93275,-32.819728,455,,,
93730,-32.246368,455,,,
94185,-32.416844,455,0.9736912846565247,6.908087819814682,1.203750655055046
94640,-78.595492,455,,,
95095,-60.013675,455,,,
95550,-35.463251,455,,,
96005,-58.533754,455,0.9830600023269653,6.917596876621246,0.665797258913517
96460,-68.999808,455,,,
96915,-59.799976,455,,,
97370,-35.723615,455,,,
97825,-64.693433,455,,,
98280,-62.292794,455,0.9637924432754517,6.918882876634598,2.067057280242443
98735,-31.357721,455,,,
99190,-65.717645,455,,,
99645,-31.629586,455,,,
100100,-32.73204,455,0.9634235501289368,6.929794073104858,1.8679587826132775
100555,-34.462887,455,,,
101010,-66.509796,455,,,
101465,-57.965555,455,,,
101920,-67.821364,455,,,
102375,-32.65155,455,0.9839752316474915,6.943319535255432,0.6575100075453519
102830,-32.707611,455,,,
103285,-66.400485,455,,,
103740,-63.609243,455,,,
104195,-29.265322,455,0.9717108011245728,6.958839672803879,1.685414433479309
104650,-55.839939,455,,,
105105,-32.121578,455,,,
105560,-66.193354,455,,,
106015,-35.249635,455,,,
106470,-31.546464,455,0.9740848541259766,6.966433894634247,1.4041998624801635
106925,-73.695797,455,,,
107380,-29.060117,455,,,
107835,-72.147086,455,,,
108290,-32.912839,455,0.9778977036476135,6.973184281587601,0.8809942170977593
108745,-53.156005,455,,,
109200,-30.884485,455,,,
109655,-69.676986,455,,,
110110,-28.512571,455,,,
110565,-29.911154,455,0.9738569259643555,6.989186698198319,1.5126381143927574
111020,-68.494348,455,,,
111475,-29.213269,455,,,
111930,-29.56262,455,,,
112385,-28.543213,455,0.9803805947303772,7.008440738916397,0.9692870587110519
112840,-27.412737,455,,,
113295,-53.299211,455,,,
113750,-29.984334,455,,,
114205,-67.757297,455,,,
114660,-65.775994,455,0.9835243821144104,7.044081497192383,0.7204371348023415
115115,-28.500441,455,,,
115570,-27.988569,455,,,
116025,-62.691439,455,,,
116480,-55.928009,455,0.973473072052002,7.0722638130187985,1.67110366076231
116935,-28.248562,455,,,
117390,-59.126298,455,,,
117845,-26.784315,455,,,
118300,-28.174741,455,,,
118755,-26.763383,455,0.9766024351119995,7.087584441900253,1.0750710152089595
119210,-64.406578,455,,,
119665,-23.962909,455,,,
120120,-64.381118,455,,,
120575,-67.592185,455,0.9851740598678589,7.103395247459412,0.7999616988003254
121030,-64.854817,455,,,
121485,-27.095046,455,,,
121940,-66.670696,455,,,
122395,-62.606119,455,,,
122850,-71.160168,455,0.9675246477127075,7.118737059831619,1.9542230099439621
123305,-28.722202,455,,,
123760,-24.507457,455,,,
124215,-68.089956,455,,,
124670,-27.267271,455,0.9641731977462769,7.132735466957092,2.0318406730890275
125125,-26.850467,455,,,
125580,-26.596685,455,,,
126035,-23.07597,455,,,
126490,-61.297913,455,,,
126945,-26.703164,455,0.9860267043113708,7.153133904933929,0.6127114426344633
127400,-22.874515,455,,,
127855,-25.226156,455,,,
128310,-26.261056,455,,,
128765,-25.161312,455,0.9869709610939026,7.189005482196808,0.5772371593862772
129220,-40.821843,455,,,
129675,-23.600411,455,,,
130130,-21.793363,455,,,
130585,-61.011701,455,,,
131040,-21.141845,455,0.9881356358528137,7.2225118517875675,0.5727522663772107
131495,-21.373448,455,,,
131950,-58.54868,455,,,
132405,-59.616256,455,,,
132860,-65.887023,455,0.9758724570274353,7.2539321959018705,0.9924150452017784
133315,-60.950264,455,,,
133770,-59.473238,455,,,
134225,-68.778263,455,,,
134680,-21.10816,455,,,
135135,-48.828996,455,0.9687509536743164,7.281945306062698,2.030572201311588
135590,-23.394964,455,,,
136045,-19.251921,455,,,
136500,-21.118575,455,,,
136955,-20.814752,455,0.9685242772102356,7.303796100616455,1.8196619883179665
137410,-20.926101,455,,,
137865,-58.652637,455,,,
138320,-21.070792,455,,,
138775,-23.647479,455,,,
139230,-20.123991,455,0.9939368367195129,7.33161028623581,0.21640039440244435
139685,-18.626495,455,,,
140140,-18.388828,455,,,
140595,-21.716887,455,,,
141050,-74.886447,455,0.9884812831878662,7.360065400600433,0.7649897579103708
141505,-57.491091,455,,,
141960,-78.333997,455,,,
142415,-18.082161,455,,,
142870,-55.769646,455,,,
143325,-19.234273,455,0.9837189316749573,7.382258468866349,0.963861146569252
143780,-56.173671,455,,,
144235,-14.173395,455,,,
144690,-59.12148,455,,,
145145,-55.162213,455,0.9720272421836853,7.413441359996796,1.4709490641951561
145600,-14.626552,455,,,
146055,-14.372242,455,,,
146510,-69.668035,455,,,
146965,-14.152964,455,,,
147420,-63.622971,455,0.9707005023956299,7.446481442451477,1.6945034176111222
147875,-9.790638,455,,,
148330,-57.61091,455,,,
148785,-55.04891,455,,,
149240,-13.224328,455,0.9805219173431396,7.458414626121521,1.2787873931229115
149695,-57.983201,455,,,
150150,-57.678747,455,,,
150605,-10.611336,455,,,
151060,-61.109656,455,,,
151515,-10.41762,455,0.9784241914749146,7.4596354246139525,1.603878752887249
151970,-49.851955,455,,,
152425,-52.06452,455,,,
152880,-10.120104,455,,,
153335,-9.792783,455,0.9758462905883789,7.45809172987938,1.6776643246412277
153790,-10.365393,455,,,
154245,-68.589474,455,,,
154700,-10.399618,455,,,
155155,-59.032887,455,,,
155610,-10.797921,455,0.9774530529975891,7.474270778894424,1.315118495374918
156065,-8.528618,455,,,
156520,-13.27887,455,,,
156975,-13.471096,455,,,
157430,-67.768179,455,0.9827086925506592,7.4842113077640535,1.2540901198983192
157885,-55.2654,455,,,
158340,-10.105107,455,,,
158795,-49.527053,455,,,
159250,-11.825044,455,,,
159705,-7.519997,455,0.9849157929420471,7.4918168663978575,1.041168113797903
160160,-63.497561,455,,,
160615,-13.509925,455,,,
161070,-10.12222,455,,,
161525,-64.49681,455,0.9807710647583008,7.524938446283341,0.99823102876544
161980,-58.10484,455,,,
162435,-6.826503,455,,,
162890,-8.391788,455,,,
163345,-53.983934,455,,,
163800,-44.129173,455,0.9776976704597473,7.5534463107585905,1.6561583027243614
164255,-7.089899,455,,,
164710,-4.156747,455,,,
165165,-65.718033,455,,,
165620,-52.03565,455,0.9780997037887573,7.572572058439254,1.5912109032273292
166075,-53.523573,455,,,
166530,-54.759136,455,,,
166985,-5.612936,455,,,
167440,-65.773932,455,,,
167895,-3.833928,455,0.978458046913147,7.575684797763825,1.6290035173296928
168350,-64.680217,455,,,
168805,-54.650777,455,,,
169260,-66.979255,455,,,
169715,-58.094105,455,0.9761413931846619,7.574010264873505,1.707912227511406
170170,-3.015813,455,,,
170625,-2.362522,455,,,
171080,-3.989003,455,,,
171535,-47.016479,455,,,
171990,-60.998079,455,0.9590792655944824,7.605038505792618,2.366076408326626
172445,-2.775597,455,,,
172900,-48.705662,455,,,
173355,-75.590052,455,,,
173810,-61.844142,455,0.9841049909591675,7.639303660392761,1.180252916365862
174265,-3.084656,455,,,
174720,-56.227397,455,,,
175175,0.743064,455,,,
175630,-1.926765,455,,,
176085,-62.36147,455,0.9714626669883728,7.659268271923065,2.018403697013855
176540,-46.01596,455,,,
176995,1.22854,455,,,
177450,-2.00963,455,,,
