timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-104.215508,455,,,
910,-70.718361,455,,,
1365,-76.080738,455,,,
1820,-82.343932,455,,,
2275,-103.571861,455,,,
2730,-99.951713,455,,,
3185,-113.495765,455,,,
3640,-73.341139,455,,,
4095,-102.645321,455,-0.02317190170288086,6.380740290880203,7.625757884979248
4550,-94.329993,455,,,
5005,-105.108376,455,,,
5460,-73.000068,455,,,
5915,-102.388513,455,0.024106502532958984,6.380140310525894,9.697293454408646
6370,-63.945222,455,,,
6825,-72.19403,455,,,
7280,-83.703638,455,,,
7735,-109.204539,455,,,
8190,-104.003714,455,0.06437051296234131,6.398732513189316,8.620466148853302
8645,-75.470795,455,,,
9100,-69.188302,455,,,
9555,-82.756151,455,,,
10010,-78.754849,455,0.052051007747650146,6.416195595264435,9.46050293445587
10465,-81.086066,455,,,
10920,-106.349253,455,,,
11375,-111.786088,455,,,
11830,-74.508852,455,,,
12285,-102.199014,455,0.0055741071701049805,6.420555555820465,8.8690001308918
12740,-101.145797,455,,,
13195,-96.330191,455,,,
13650,-97.442099,455,,,
14105,-97.623259,455,0.06537139415740967,6.421532785892486,8.26027734875679
14560,-68.19515,455,,,
15015,-66.687587,455,,,
15470,-72.562939,455,,,
15925,-114.641813,455,,,
16380,-70.840746,455,0.06909799575805664,6.439313149452209,8.668490278720856
16835,-67.578473,455,,,
17290,-79.630421,455,,,
17745,-97.365593,455,,,
18200,-69.308665,455,0.22365176677703857,6.457007473707199,8.212502771615982
18655,-86.814619,455,,,
19110,-73.004182,455,,,
19565,-101.70024,455,,,
20020,-69.717107,455,,,
20475,-74.915675,455,0.6876012086868286,6.4600168585777284,5.223586177825927
20930,-102.264779,455,,,
21385,-79.400638,455,,,
21840,-84.027681,455,,,
22295,-75.893685,455,0.5793631076812744,6.467728751897812,5.9164977192878725
22750,-91.87748,455,,,
23205,-91.275186,455,,,
23660,-77.030177,455,,,
24115,-84.056317,455,,,
24570,-73.316216,455,0.6611156463623047,6.4793368697166445,5.166781234741211
25025,-85.071629,455,,,
25480,-75.581799,455,,,
25935,-74.408589,455,,,
26390,-90.650016,455,0.655105710029602,6.492875236272812,5.567296808958053
26845,-79.97179,455,,,
27300,-74.338282,455,,,
27755,-71.245846,455,,,
28210,-63.781948,455,,,
28665,-75.479435,455,0.7400204539299011,6.487411081790924,5.932054781913758
29120,-79.769039,455,,,
29575,-66.463214,455,,,
30030,-82.019058,455,,,
30485,-76.145671,455,0.8537796139717102,6.471673315763473,4.040076807141304
30940,-96.636928,455,,,
31395,-71.992077,455,,,
31850,-72.729024,455,,,
32305,-97.83711,455,,,
32760,-88.823837,455,0.6977880001068115,6.472769570350647,5.490516400337219
33215,-71.509343,455,,,
33670,-96.332357,455,,,
34125,-77.790822,455,,,
34580,-72.962642,455,0.7524343729019165,6.480723655223846,5.274192780256271
35035,-81.094304,455,,,
35490,-90.870907,455,,,
35945,-94.596948,455,,,
36400,-79.920447,455,,,
36855,-78.741858,455,0.8238187432289124,6.492861157655716,3.991772872209549
37310,-69.282737,455,,,
37765,-103.208451,455,,,
38220,-88.908718,455,,,
38675,-66.821473,455,0.8296593427658081,6.488689112663269,5.074440079927444
39130,-99.998686,455,,,
39585,-99.846055,455,,,
40040,-104.484575,455,,,
40495,-79.99198,455,,,
40950,-71.812219,455,0.8108540773391724,6.484974128007889,2.84687874764204
41405,-98.729478,455,,,
41860,-104.772321,455,,,
42315,-73.714338,455,,,
42770,-116.471549,455,0.7781069874763489,6.480399978160858,4.9330927461385725
43225,-78.26303,455,,,
43680,-119.835721,455,,,
44135,-74.308079,455,,,
44590,-108.438505,455,,,
45045,-99.184327,455,0.8209080696105957,6.47475014925003,2.809448003768921
45500,-89.644852,455,,,
45955,-63.850444,455,,,
46410,-75.672313,455,,,
46865,-96.794797,455,0.8196738362312317,6.4678575694561005,4.155073988437652
47320,-88.476536,455,,,
47775,-79.990863,455,,,
48230,-110.519301,455,,,
48685,-80.968081,455,,,
49140,-104.111365,455,0.8688522577285767,6.4641182839870455,2.8244344532489776
49595,-70.959218,455,,,
50050,-95.260072,455,,,
50505,-103.058374,455,,,
50960,-70.629678,455,0.8689111471176147,6.4635499835014345,3.9890664994716643
51415,-111.109977,455,,,
51870,-68.783835,455,,,
52325,-85.915165,455,,,
52780,-93.364746,455,,,
53235,-91.434123,455,0.8592197299003601,6.461683440208435,2.5622829377651213
53690,-76.869522,455,,,
54145,-113.592927,455,,,
54600,-69.805543,455,,,
55055,-77.76642,455,0.7044442892074585,6.464176654815674,4.497400525212288
55510,-65.805106,455,,,
55965,-100.408361,455,,,
56420,-103.979103,455,,,
56875,-79.096619,455,,,
57330,-80.047697,455,0.9039243459701538,6.470308464765549,2.571179910004139
57785,-75.624731,455,,,
58240,-80.968335,455,,,
58695,-70.886449,455,,,
59150,-74.626822,455,0.8898904323577881,6.479382336139679,2.94649795293808
59605,-80.318516,455,,,
60060,-63.315985,455,,,
60515,-71.844685,455,,,
60970,-89.537567,455,,,
61425,-64.545088,455,0.8831441402435303,6.482928228378296,3.1545766681432723
61880,-78.037794,455,,,
62335,-92.171335,455,,,
62790,-93.994548,455,,,
