timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-65.61047,455,,,
910,-36.952373,455,,,
1365,-35.668614,455,,,
1820,-39.411239,455,,,
2275,-66.691838,455,,,
2730,-67.883663,455,,,
3185,-63.911995,455,,,
3640,-66.828019,455,,,
4095,-63.250864,455,0.00379788875579834,6.38441309928894,4.942524200677871
4550,-62.184193,455,,,
5005,-66.435864,455,,,
5460,-42.632918,455,,,
5915,-64.916028,455,0.15879952907562256,6.379091662168503,3.8115405231714248
6370,-35.434458,455,,,
6825,-62.817392,455,,,
7280,-34.072641,455,,,
7735,-63.879675,455,,,
8190,-64.164754,455,0.3071403503417969,6.394093978404999,3.924857032299042
8645,-37.393457,455,,,
9100,-33.715904,455,,,
9555,-43.678921,455,,,
10010,-40.195943,455,0.4590113162994385,6.408495485782623,3.7940908849239348
10465,-65.882553,455,,,
10920,-63.040251,455,,,
11375,-63.792188,455,,,
11830,-39.348801,455,,,
12285,-65.505837,455,0.4206482768058777,6.421768999099731,3.962091302871704
12740,-63.771769,455,,,
13195,-63.069882,455,,,
13650,-63.98478,455,,,
14105,-62.60582,455,0.5968230962753296,6.446202600002289,3.3802647680044173
14560,-31.533514,455,,,
15015,-46.526209,455,,,
15470,-62.942686,455,,,
15925,-63.809778,455,,,
16380,-33.749594,455,0.6767771244049072,6.465987265110016,2.683275991678238
16835,-41.158296,455,,,
17290,-63.656198,455,,,
17745,-62.178786,455,,,
18200,-38.283607,455,0.7372100949287415,6.48434761762619,2.989247725903988
18655,-63.830967,455,,,
19110,-35.811731,455,,,
19565,-60.041555,455,,,
20020,-36.678012,455,,,
20475,-39.491535,455,0.788482666015625,6.487883132696152,2.2655393913388253
20930,-60.800823,455,,,
21385,-28.72542,455,,,
21840,-63.21368,455,,,
22295,-32.201008,455,0.833212673664093,6.49237625002861,2.6178589940071104
22750,-60.6569,455,,,
23205,-61.418597,455,,,
23660,-36.726373,455,,,
24115,-62.453108,455,,,
24570,-41.936997,455,0.8720259070396423,6.505724638700485,1.836074921488762
25025,-41.604276,455,,,
25480,-27.585333,455,,,
25935,-35.46421,455,,,
26390,-62.084912,455,0.8985263705253601,6.529878717660904,1.873338434100151
26845,-38.467845,455,,,
27300,-40.059814,455,,,
27755,-38.550175,455,,,
28210,-34.160063,455,,,
28665,-44.299625,455,0.882563054561615,6.541518187522888,2.208280934393406
29120,-59.480184,455,,,
29575,-40.829652,455,,,
30030,-63.137084,455,,,
30485,-29.59335,455,0.8976169228553772,6.54543114900589,2.2349823877215385
30940,-62.110504,455,,,
31395,-40.808877,455,,,
31850,-36.92976,455,,,
32305,-57.364412,455,,,
32760,-61.409342,455,0.9150259494781494,6.550095349550247,1.4977364629507064
