timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-75.87979,455,,,
910,-30.985887,455,,,
1365,-23.796983,455,,,
1820,-32.865299,455,,,
2275,-76.32932,455,,,
2730,-79.569717,455,,,
3185,-76.737063,455,,,
3640,-77.311217,455,,,
4095,-74.615392,455,-0.012358427047729492,6.393736976385116,10.4689453125
4550,-72.188827,455,,,
5005,-81.228074,455,,,
5460,-30.500406,455,,,
5915,-75.826701,455,0.15744394063949585,6.410584217309951,10.2507996737957
6370,-10.707421,455,,,
6825,-79.791551,455,,,
7280,-21.953692,455,,,
7735,-75.043022,455,,,
8190,-73.848716,455,0.34692472219467163,6.426965469121933,10.402041572332383
8645,-26.509419,455,,,
9100,-35.031009,455,,,
9555,-24.1507,455,,,
10010,-24.444859,455,0.5378063917160034,6.423311698436737,8.092376893758773
10465,-73.921478,455,,,
10920,-76.44267,455,,,
11375,-80.934918,455,,,
11830,-24.584321,455,,,
12285,-80.071815,455,0.35738617181777954,6.432692903280258,6.968367850780487
12740,-75.313806,455,,,
13195,-76.776888,455,,,
13650,-76.462083,455,,,
14105,-71.91776,455,0.6708419322967529,6.452095836400986,6.3293006181716915
14560,-43.769349,455,,,
15015,-32.789403,455,,,
15470,-74.38356,455,,,
15925,-69.674019,455,,,
16380,-36.536981,455,0.7961031198501587,6.465545934438706,4.833977457880974
16835,-38.500116,455,,,
17290,-75.690308,455,,,
17745,-76.050664,455,,,
18200,-22.083007,455,0.714787483215332,6.45154709815979,5.069111108779907
18655,-74.044128,455,,,
19110,-24.917789,455,,,
19565,-70.636296,455,,,
20020,-31.89307,455,,,
20475,-42.334831,455,0.7875873446464539,6.442073792219162,5.135362884402275
20930,-71.490876,455,,,
21385,-37.081769,455,,,
21840,-75.738663,455,,,
22295,-47.215436,455,0.7744396924972534,6.457639753818512,4.543413734436035
22750,-73.837517,455,,,
23205,-65.19208,455,,,
23660,-14.273946,455,,,
24115,-68.644281,455,,,
24570,-29.499113,455,0.8408178091049194,6.481335747241974,4.150843694806099
25025,-34.552147,455,,,
25480,-29.455566,455,,,
25935,-31.522264,455,,,
26390,-73.961912,455,0.8588312864303589,6.498690891265869,3.635811558365822
26845,-30.055662,455,,,
27300,-35.596143,455,,,
27755,-39.680475,455,,,
28210,-37.120524,455,,,
28665,-29.819093,455,0.829130232334137,6.512871634960175,3.615804469585419
29120,-68.217736,455,,,
29575,-27.648745,455,,,
30030,-70.586212,455,,,
30485,-21.530934,455,0.8006209135055542,6.522362506389618,3.655222275853157
30940,-73.616202,455,,,
31395,-34.812375,455,,,
31850,-20.861983,455,,,
32305,-70.597464,455,,,
32760,-68.094233,455,0.8764145374298096,6.535902917385101,2.939880056679249
33215,-20.769578,455,,,
33670,-69.944035,455,,,
34125,-23.991272,455,,,
34580,-24.301025,455,0.8790684938430786,6.541075652837753,2.8500212699174883
35035,-70.880319,455,,,
35490,-66.158676,455,,,
35945,-66.323289,455,,,
36400,-25.824233,455,,,
36855,-64.14434,455,0.8937910795211792,6.548572593927384,2.7969871789216993
37310,-30.897621,455,,,
37765,-72.867294,455,,,
38220,-64.074335,455,,,
38675,-31.166807,455,0.9263929128646851,6.574629342555999,2.099724967777729
39130,-68.011146,455,,,
39585,-72.885139,455,,,
40040,-63.447772,455,,,
40495,-44.267873,455,,,
40950,-71.910519,455,0.9278085827827454,6.587538731098175,2.4475220412015917
41405,-69.382787,455,,,
41860,-70.150665,455,,,
42315,-34.900349,455,,,
