timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-17.00093,455,,,
910,-44.502068,455,,,
1365,-46.614568,455,,,
1820,-44.175281,455,,,
2275,-43.878671,455,,,
2730,-33.413152,455,,,
3185,-7.327585,455,,,
3640,-5.353888,455,,,
4095,-28.853118,455,0.008621394634246826,6.408891481161118,9.299664479494094
4550,-31.855235,455,,,
5005,-36.694321,455,,,
5460,-49.947343,455,,,
5915,-21.484655,455,0.09837454557418823,6.428673601150512,3.3111746102571487
6370,-47.086152,455,,,
6825,-19.237862,455,,,
7280,-38.323252,455,,,
7735,-32.073695,455,,,
8190,-28.038794,455,0.267436683177948,6.43727388381958,5.866235482692718
8645,-44.489064,455,,,
9100,-44.211566,455,,,
9555,-45.344939,455,,,
10010,-36.354471,455,0.35403329133987427,6.446674793958664,6.1618481278419495
10465,-25.123155,455,,,
10920,-25.581442,455,,,
11375,-23.014238,455,,,
11830,-42.726849,455,,,
12285,-31.72511,455,0.25033098459243774,6.455875396728516,9.209707856178284
12740,-28.767775,455,,,
13195,-22.614522,455,,,
13650,-30.827241,455,,,
14105,-27.020321,455,0.6616034507751465,6.459882247447967,3.610950541496277
14560,-53.054902,455,,,
15015,-36.53584,455,,,
15470,-26.319197,455,,,
15925,-28.353254,455,,,
16380,-43.677742,455,0.8169698715209961,6.466679167747498,2.1510990664362906
16835,-34.101554,455,,,
17290,-13.736834,455,,,
17745,-4.468192,455,,,
18200,-35.173175,455,0.6509388089179993,6.475993275642395,5.5212270498275755
18655,-29.082387,455,,,
19110,-41.730349,455,,,
19565,3.228064,455,,,
20020,-50.432727,455,,,
20475,-42.44013,455,0.7167426347732544,6.472541475296021,4.171096459031105
20930,-17.452387,455,,,
21385,-59.85925,455,,,
21840,-36.935387,455,,,
22295,-50.332789,455,0.7532763481140137,6.480442899465561,4.9496931552886965
22750,-6.090367,455,,,
23205,-7.104123,455,,,
23660,-41.382425,455,,,
24115,-12.940641,455,,,
24570,-41.672987,455,0.7881592512130737,6.49837172627449,3.556834751367569
25025,-40.845438,455,,,
25480,-45.971333,455,,,
25935,-52.974235,455,,,
26390,-14.922568,455,0.8054888248443604,6.50576833486557,3.595085072517395
26845,-45.682854,455,,,
27300,-56.723447,455,,,
27755,-38.146491,455,,,
28210,-49.124613,455,,,
