timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-53.075359,455,,,
910,-63.690731,455,,,
1365,-61.33627,455,,,
1820,-62.214661,455,,,
2275,-51.718568,455,,,
2730,-55.266621,455,,,
3185,-50.823307,455,,,
3640,-52.107657,455,,,
4095,-49.053605,455,0.006113827228546143,6.383416217565537,7.7299077868461605
4550,-47.610164,455,,,
5005,-51.167931,455,,,
5460,-67.634846,455,,,
5915,-51.663698,455,0.15691912174224854,6.372896075248718,7.166915825009346
6370,-69.945824,455,,,
6825,-49.795142,455,,,
7280,-67.673723,455,,,
7735,-50.619474,455,,,
8190,-46.944867,455,0.4984428286552429,6.36513797044754,5.681741642951965
8645,-67.262949,455,,,
9100,-72.028787,455,,,
9555,-64.09381,455,,,
10010,-67.810319,455,0.6337565183639526,6.3683171510696415,5.594279664754867
10465,-52.143798,455,,,
10920,-46.426352,455,,,
11375,-45.701757,455,,,
11830,-55.445792,455,,,
12285,-47.783926,455,0.6004455089569092,6.380857682228088,5.285873499512673
12740,-49.694958,455,,,
13195,-49.389009,455,,,
13650,-48.414582,455,,,
14105,-48.877343,455,0.7442499399185181,6.397442036867142,3.8455564215779305
14560,-68.873936,455,,,
15015,-70.212795,455,,,
15470,-46.568283,455,,,
15925,-45.192479,455,,,
16380,-69.643559,455,0.8298791646957397,6.411093729734421,3.727135932445526
16835,-79.823409,455,,,
17290,-43.374371,455,,,
17745,-43.905242,455,,,
18200,-67.415767,455,0.8213600516319275,6.417927569150924,3.71769480407238
18655,-45.775187,455,,,
19110,-70.178603,455,,,
19565,-44.129809,455,,,
20020,-56.192078,455,,,
20475,-67.544611,455,0.8663719296455383,6.428741180896759,3.7313258051872253
20930,-47.254254,455,,,
21385,-62.146546,455,,,
21840,-45.019147,455,,,
22295,-67.941825,455,0.8388381004333496,6.447347193956375,3.1065857470035554
22750,-44.861804,455,,,
23205,-49.474925,455,,,
23660,-64.875667,455,,,
24115,-48.869661,455,,,
24570,-62.776686,455,0.8956780433654785,6.460005539655685,3.287255507707596
25025,-74.316559,455,,,
25480,-62.702768,455,,,
25935,-70.690756,455,,,
26390,-46.287842,455,0.8985202312469482,6.468029028177261,2.9077890276908875
26845,-47.956937,455,,,
27300,-69.489235,455,,,
27755,-59.236628,455,,,
28210,-79.568587,455,,,
28665,-61.661789,455,0.8606935739517212,6.483420592546463,3.1831572502851486
29120,-42.521443,455,,,
29575,-68.083064,455,,,
30030,-44.018271,455,,,
30485,-59.201432,455,0.8406467437744141,6.495805811882019,2.9124260395765305
30940,-45.299724,455,,,
31395,-69.546352,455,,,
31850,-71.004837,455,,,
32305,-44.775238,455,,,
32760,-44.90238,455,0.9176251888275146,6.515766417980194,2.676664797961712
33215,-66.799516,455,,,
33670,-40.505427,455,,,
34125,-75.171486,455,,,
34580,-67.49326,455,0.9289430379867554,6.527494788169861,2.1584889709949495
35035,-44.321752,455,,,
35490,-45.651839,455,,,
35945,-44.954585,455,,,
36400,-72.691563,455,,,
36855,-43.517218,455,0.9101324677467346,6.533467668294906,2.7830019757151603
37310,-72.640097,455,,,
