timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-65.410115,455,,,
910,-36.83781,455,,,
1365,-24.031278,455,,,
1820,-39.611989,455,,,
2275,-65.048516,455,,,
2730,-68.241241,455,,,
3185,-66.418691,455,,,
3640,-66.188902,455,,,
4095,-66.527821,455,0.007194817066192627,6.393048751354217,10.290633684396743
4550,-66.381643,455,,,
5005,-67.395013,455,,,
5460,-23.576827,455,,,
5915,-67.204643,455,0.18349075317382812,6.390114313364029,7.0096720397472385
6370,-30.700627,455,,,
6825,-62.773853,455,,,
7280,-25.707814,455,,,
7735,-65.78596,455,,,
8190,-63.679889,455,0.5733192563056946,6.402751070261002,6.132916575670242
8645,-35.088812,455,,,
9100,-26.685639,455,,,
9555,-31.87373,455,,,
10010,-32.797965,455,0.7313993573188782,6.4312330961227415,6.855480656027794
10465,-65.339391,455,,,
10920,-66.660489,455,,,
11375,-66.686516,455,,,
11830,-28.871211,455,,,
12285,-66.248813,455,0.6726298928260803,6.438211977481842,6.820009922981262
12740,-66.392703,455,,,
13195,-66.775305,455,,,
13650,-67.264506,455,,,
14105,-65.579741,455,0.8274783492088318,6.443913799524307,4.067641878128052
14560,-30.461306,455,,,
15015,-45.735987,455,,,
15470,-65.112294,455,,,
15925,-66.909354,455,,,
16380,-45.164199,455,0.8879941701889038,6.461275595426559,2.799215643107891
16835,-26.81194,455,,,
17290,-67.818519,455,,,
17745,-68.107842,455,,,
18200,-40.420862,455,0.8944003582000732,6.483732783794403,4.285223984718323
18655,-66.238289,455,,,
19110,-27.423069,455,,,
19565,-63.622127,455,,,
20020,-29.314619,455,,,
20475,-50.113229,455,0.9216415286064148,6.495497560501098,3.6564247220754624
20930,-62.38807,455,,,
21385,-30.152059,455,,,
21840,-66.517336,455,,,
22295,-34.935999,455,0.9081208109855652,6.5130887746810915,3.6277923405170442
22750,-62.620211,455,,,
23205,-63.656037,455,,,
23660,-17.661117,455,,,
24115,-62.893668,455,,,
24570,-41.618213,455,0.9308013916015625,6.52791628241539,3.0704079076647757
25025,-24.387988,455,,,
25480,-23.359716,455,,,
25935,-32.917148,455,,,
26390,-63.994176,455,0.9445809125900269,6.543077051639557,3.025916674733162
26845,-24.036424,455,,,
27300,-24.192615,455,,,
27755,-29.190717,455,,,
28210,-35.35271,455,,,
28665,-23.719649,455,0.9200664162635803,6.552100545167923,2.9656215012073517
29120,-63.301347,455,,,
29575,-19.922037,455,,,
30030,-66.254242,455,,,
30485,-35.547638,455,0.8710943460464478,6.557684206962586,3.548114758729935
30940,-64.180203,455,,,
31395,-21.548668,455,,,
31850,-22.371576,455,,,
32305,-61.923847,455,,,
32760,-65.733466,455,0.9499488472938538,6.5794636607170105,2.5026823759078978
33215,-31.915956,455,,,
33670,-63.072197,455,,,
34125,-34.155345,455,,,
34580,-27.876608,455,0.9662579298019409,6.598552691936493,2.07269281744957
35035,-60.763627,455,,,
35490,-62.968824,455,,,
35945,-62.707584,455,,,
36400,-26.718672,455,,,
36855,-60.553303,455,0.9450810551643372,6.601417356729508,2.6956152752041818
37310,-35.638216,455,,,
37765,-63.708776,455,,,
38220,-64.569859,455,,,
38675,-26.481052,455,0.9774219393730164,6.6234758913517,1.4978175297379495
39130,-61.607633,455,,,
39585,-65.041972,455,,,
40040,-64.433896,455,,,
40495,-32.353169,455,,,
40950,-61.206304,455,0.9683090448379517,6.65063716173172,1.9824677214026452
41405,-59.548009,455,,,
41860,-63.018663,455,,,
42315,-22.303595,455,,,
42770,-59.485045,455,0.9808274507522583,6.677181977033615,1.3812616035342216
43225,-58.604874,455,,,
43680,-63.866279,455,,,
44135,-29.000628,455,,,
44590,-59.529827,455,,,
45045,-57.74617,455,0.9809908866882324,6.701949656009674,1.4394146338105203
45500,-58.477906,455,,,
45955,-23.211833,455,,,
46410,-34.658331,455,,,
46865,-58.454463,455,0.9867579936981201,6.727946621179581,1.030915627628565
47320,-61.030911,455,,,
47775,-28.125952,455,,,
48230,-57.580859,455,,,
48685,-33.531676,455,,,
49140,-58.993026,455,0.9736148715019226,6.740789932012558,1.6558778196573258
49595,-22.106893,455,,,
50050,-61.389234,455,,,
50505,-59.965921,455,,,
50960,-39.810717,455,0.9762647747993469,6.7450321316719055,1.7287147760391235
51415,-57.141998,455,,,
51870,-36.438135,455,,,
52325,-58.075231,455,,,
52780,-58.751154,455,,,
53235,-55.96513,455,0.9743738770484924,6.75435454249382,1.6389971137046815
53690,-20.667824,455,,,
54145,-58.868085,455,,,
54600,-32.756094,455,,,
55055,-23.758083,455,0.9874473214149475,6.7714403688907625,0.9773581273853779
55510,-37.083791,455,,,
55965,-60.362706,455,,,
56420,-55.127555,455,,,
56875,-26.536972,455,,,
57330,-28.96804,455,0.9507852792739868,6.793674552440644,2.226596711575985
57785,-52.518189,455,,,
58240,-19.652449,455,,,
58695,-26.343515,455,,,
59150,-17.861599,455,0.9720851182937622,6.814188760519028,1.8443771034479142
59605,-55.100556,455,,,
60060,-56.338937,455,,,
60515,-55.824372,455,,,
60970,-55.368966,455,,,
61425,-30.970268,455,0.9626310467720032,6.827289193868637,2.056368911266327
61880,-37.077473,455,,,
62335,-54.098853,455,,,
62790,-56.349772,455,,,
63245,-53.735202,455,0.9878113269805908,6.824080157279968,0.9674562387168407
63700,-26.314792,455,,,
64155,-48.338433,455,,,
64610,-52.16712,455,,,
65065,-52.417695,455,,,
