timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-28.841023,455,,,
910,-37.416754,455,,,
1365,-28.936838,455,,,
1820,-40.128922,455,,,
2275,-18.691483,455,,,
2730,-33.856243,455,,,
3185,-15.743692,455,,,
3640,-21.170004,455,,,
4095,-22.098505,455,0.004324436187744141,6.401868212223053,8.35775733590126
4550,-33.823345,455,,,
5005,-35.349058,455,,,
5460,-41.817429,455,,,
5915,-15.840382,455,-0.07361960411071777,6.423673629760742,4.334222012758255
6370,-36.464624,455,,,
6825,-12.889037,455,,,
7280,-39.86859,455,,,
7735,-25.459558,455,,,
8190,-9.896462,455,0.15913128852844238,6.434285455942154,7.437887209653854
8645,-48.684198,455,,,
9100,-44.192197,455,,,
9555,-45.94344,455,,,
10010,-37.8686,455,0.32235652208328247,6.443231171369552,5.0728401184082035
10465,-3.409165,455,,,
10920,-35.553144,455,,,
11375,-20.81486,455,,,
11830,-50.481768,455,,,
12285,-27.518744,455,0.10709428787231445,6.462875682115555,9.822394853830337
12740,-44.978018,455,,,
13195,-17.033822,455,,,
13650,-40.160651,455,,,
14105,-23.104373,455,0.5904918313026428,6.468105089664459,4.576509517431259
14560,-37.209996,455,,,
15015,-46.683198,455,,,
15470,-42.608756,455,,,
15925,-19.993372,455,,,
16380,-38.79233,455,0.6643506288528442,6.486627250909805,4.423691937327385
16835,-43.007681,455,,,
17290,-44.905186,455,,,
17745,-32.415555,455,,,
18200,-41.755326,455,0.6604136228561401,6.511076146364212,6.054567474126816
18655,-18.69953,455,,,
19110,-38.357729,455,,,
19565,-17.959422,455,,,
20020,-32.752025,455,,,
20475,-39.461543,455,0.7063891291618347,6.511676239967346,4.8416942179203035
20930,-29.656767,455,,,
21385,-50.484354,455,,,
21840,-36.310075,455,,,
22295,-43.362341,455,0.5827018022537231,6.515252250432968,5.314607253670692
22750,-27.106065,455,,,
23205,-9.420082,455,,,
23660,-40.578088,455,,,
24115,-27.7055,455,,,
24570,-42.284437,455,0.7496208548545837,6.5278165400028225,4.826542055606842
25025,-28.434451,455,,,
25480,-39.376841,455,,,
25935,-49.181417,455,,,
26390,-25.92887,455,0.6234577894210815,6.554551774263382,4.731758880615234
26845,-33.199085,455,,,
27300,-36.828313,455,,,
27755,-45.69456,455,,,
28210,-37.403599,455,,,
28665,-40.830785,455,0.7393021583557129,6.565941399335861,5.203717413544655
29120,-33.985227,455,,,
29575,-34.418852,455,,,
30030,-27.008844,455,,,
30485,-50.060812,455,0.6652383208274841,6.5783448100090025,4.459786146879196
30940,-26.587998,455,,,
31395,-24.62025,455,,,
31850,-35.332121,455,,,
32305,-16.154061,455,,,
32760,-13.434509,455,0.8253908157348633,6.600763374567032,3.7641226202249527
