timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-83.277396,455,,,
910,-44.561629,455,,,
1365,-46.782774,455,,,
1820,-44.066168,455,,,
2275,-83.857355,455,,,
2730,-84.446126,455,,,
3185,-80.231828,455,,,
3640,-84.96005,455,,,
4095,-80.723003,455,0.004700958728790283,6.402548813819886,9.58441902399063
4550,-81.349348,455,,,
5005,-84.781085,455,,,
5460,-50.225017,455,,,
5915,-83.929507,455,0.2058272361755371,6.417244988679886,5.556189143657685
6370,-47.281423,455,,,
6825,-84.016643,455,,,
7280,-39.323613,455,,,
7735,-82.299747,455,,,
8190,-83.779293,455,0.31446373462677,6.422725003957749,6.278515887260437
8645,-45.173704,455,,,
9100,-43.951853,455,,,
9555,-45.069398,455,,,
10010,-36.646335,455,0.5068319439888,6.437962406873703,6.938264548778534
10465,-84.133417,455,,,
10920,-81.090133,455,,,
11375,-81.698136,455,,,
11830,-42.475717,455,,,
12285,-82.9634,455,0.5572158694267273,6.450719326734543,7.3551842212677006
12740,-80.775577,455,,,
13195,-81.801659,455,,,
13650,-83.825654,455,,,
14105,-81.358551,455,0.7049528360366821,6.448652118444443,4.944668185710907
14560,-53.889037,455,,,
15015,-36.136788,455,,,
15470,-81.341905,455,,,
15925,-83.746196,455,,,
16380,-42.944841,455,0.7347842454910278,6.457353574037552,3.2648512035608293
16835,-33.185252,455,,,
17290,-82.49263,455,,,
17745,-81.854254,455,,,
18200,-34.33528,455,0.8163541555404663,6.470279365777969,4.672833117842674
18655,-82.043073,455,,,
19110,-40.016351,455,,,
19565,-80.694172,455,,,
20020,-49.60958,455,,,
20475,-41.090504,455,0.843186616897583,6.478737270832061,3.658504018187523
20930,-81.122127,455,,,
21385,-58.270749,455,,,
21840,-82.404485,455,,,
22295,-48.918553,455,0.8620010614395142,6.488159912824631,3.9374855160713196
22750,-82.35013,455,,,
23205,-80.209679,455,,,
23660,-40.795551,455,,,
24115,-80.532134,455,,,
24570,-39.789014,455,0.8940517902374268,6.492864298820495,2.8992498457431792
25025,-38.972106,455,,,
25480,-45.730413,455,,,
25935,-51.965145,455,,,
26390,-76.851252,455,0.907122015953064,6.499746841192246,2.9510354578495024
26845,-44.384466,455,,,
27300,-55.158043,455,,,
27755,-37.029056,455,,,
28210,-47.679203,455,,,
28665,-39.528627,455,0.8847636580467224,6.509330612421036,3.381126791238785
29120,-77.475663,455,,,
29575,-40.583804,455,,,
30030,-80.98106,455,,,
30485,-60.374034,455,0.8579095005989075,6.514766818284988,3.7707404524087904
30940,-83.114636,455,,,
31395,-39.010906,455,,,
31850,-50.524755,455,,,
32305,-80.419052,455,,,
32760,-79.435523,455,0.9169654250144958,6.510403352975845,2.6712639525532724
33215,-29.917749,455,,,
33670,-79.239187,455,,,
34125,-39.914441,455,,,
34580,-38.879841,455,0.9291732311248779,6.516364800930023,2.361556741595268
35035,-79.232198,455,,,
35490,-78.346975,455,,,
35945,-77.27863,455,,,
36400,-46.788135,455,,,
36855,-75.682108,455,0.9259712100028992,6.524503284692765,2.575739088654518
37310,-43.015831,455,,,
37765,-79.650649,455,,,
38220,-78.873363,455,,,
38675,-46.5681,455,0.9550603032112122,6.546735268831253,1.3994052544236184
39130,-78.830382,455,,,
39585,-82.107974,455,,,
40040,-78.932377,455,,,
40495,-50.713303,455,,,
40950,-81.345443,455,0.9448480010032654,6.557636123895645,1.9355439886450767
41405,-77.834433,455,,,
41860,-79.843804,455,,,
42315,-30.81259,455,,,
42770,-76.933908,455,0.9650915265083313,6.56486942768097,1.17024514824152
43225,-80.758452,455,,,
43680,-81.351884,455,,,
44135,-41.53999,455,,,
44590,-76.682957,455,,,
45045,-77.954932,455,0.9525871276855469,6.580844593048096,1.421834084391594
45500,-80.718123,455,,,
45955,-43.980763,455,,,
46410,-33.628883,455,,,
46865,-76.01346,455,0.9677050709724426,6.596348375082016,1.0744236961007119
47320,-78.63816,455,,,
47775,-45.431399,455,,,
48230,-79.154789,455,,,
48685,-35.091714,455,,,
49140,-78.963869,455,0.9590721130371094,6.610811406373978,1.7319004282355308
49595,-41.473039,455,,,
50050,-76.010245,455,,,
50505,-78.372052,455,,,
50960,-48.113768,455,0.9568992853164673,6.629661196470261,1.8508939012885093
51415,-77.901559,455,,,
51870,-42.514725,455,,,
52325,-76.744163,455,,,
52780,-77.389977,455,,,
53235,-76.598609,455,0.9613925218582153,6.658073908090591,1.567580945789814
53690,-35.342823,455,,,
54145,-79.720443,455,,,
54600,-47.511552,455,,,
55055,-53.334758,455,0.9717628955841064,6.685862857103348,1.0476822890341282
55510,-45.270925,455,,,
55965,-77.456648,455,,,
56420,-74.647228,455,,,
56875,-50.844505,455,,,
57330,-50.253596,455,0.9288192391395569,6.701305311918259,2.7223767027258874
57785,-73.853269,455,,,
58240,-43.265954,455,,,
58695,-37.641136,455,,,
59150,-52.259143,455,0.9584543108940125,6.720395541191101,1.867316724359989
59605,-74.178687,455,,,
60060,-77.100177,455,,,
60515,-78.236651,455,,,
60970,-76.376889,455,,,
61425,-45.259488,455,0.947983980178833,6.748110711574554,2.1396722555160523
61880,-41.756998,455,,,
62335,-73.856454,455,,,
62790,-76.428843,455,,,
63245,-76.570215,455,0.9748803973197937,6.782077878713608,0.937005465477705
63700,-47.970169,455,,,
64155,-74.731791,455,,,
64610,-75.459913,455,,,
65065,-74.252166,455,,,
65520,-53.797008,455,0.9707900285720825,6.814008074998855,1.1512413695454597
65975,-45.420055,455,,,
66430,-77.860249,455,,,
66885,-26.302497,455,,,
67340,-76.114933,455,0.9684114456176758,6.825786763429642,1.2567459747195244
67795,-41.224715,455,,,
68250,-74.815764,455,,,
68705,-37.557415,455,,,
69160,-41.915893,455,,,
69615,-49.645184,455,0.9512907266616821,6.8262940645217896,1.9711068227887154
70070,-75.915161,455,,,
70525,-35.831517,455,,,
70980,-76.593741,455,,,
71435,-75.685469,455,0.9435092210769653,6.833971410989761,2.304380053281784
71890,-45.847857,455,,,
72345,-72.139186,455,,,
72800,-48.786178,455,,,
73255,-44.162044,455,,,
73710,-53.664968,455,0.9709802865982056,6.857789570093155,1.1018596343696117
74165,-31.835421,455,,,
74620,-72.738367,455,,,
75075,-72.768605,455,,,
75530,-32.567109,455,0.9414966106414795,6.866383427381516,2.513477033376694
75985,-49.395452,455,,,
76440,-76.340835,455,,,
76895,-72.667248,455,,,
77350,-73.880053,455,,,
77805,-46.786602,455,0.958275556564331,6.873150855302811,1.682471390068531
78260,-73.334528,455,,,
78715,-35.322241,455,,,
79170,-29.915276,455,,,
79625,-72.100245,455,0.9753053188323975,6.886989176273346,1.140364396572113
80080,-75.206767,455,,,
80535,-75.73567,455,,,
80990,-72.385295,455,,,
81445,-74.079105,455,,,
81900,-73.942873,455,0.9648852348327637,6.905069506168365,1.4376834861934185
82355,-68.897112,455,,,
82810,-26.11281,455,,,
83265,-34.372019,455,,,
83720,-74.152158,455,0.9911631941795349,6.922906935214996,0.2809580286964774
84175,-73.743376,455,,,
84630,-45.827382,455,,,
85085,-35.113478,455,,,
85540,-70.752711,455,,,
85995,-72.088501,455,0.9677864909172058,6.945494794845581,1.4201709367334843
86450,-73.067018,455,,,
86905,-44.984827,455,,,
87360,-73.02029,455,,,
87815,-74.390674,455,0.9689379334449768,6.9492518424987795,1.3631800532341003
88270,-35.454057,455,,,
88725,-70.466104,455,,,
89180,-73.094582,455,,,
89635,-41.766641,455,,,
