timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-20.021753,455,,,
910,-36.115211,455,,,
1365,-23.684097,455,,,
1820,-39.745361,455,,,
2275,-9.462922,455,,,
2730,-24.826686,455,,,
3185,11.341408,455,,,
3640,-24.416914,455,,,
4095,-0.730649,455,0.0009277462959289551,6.387244099378586,9.041558396816253
4550,-5.009214,455,,,
5005,-0.950603,455,,,
5460,-24.599063,455,,,
5915,-3.00645,455,0.06553524732589722,6.376202744245529,3.866434505581856
6370,-31.212607,455,,,
6825,-35.004885,455,,,
7280,-26.426776,455,,,
7735,-21.220398,455,,,
8190,-16.35219,455,0.37027430534362793,6.366744309663773,5.262191033363342
8645,-35.445455,455,,,
9100,-26.738283,455,,,
9555,-32.50701,455,,,
10010,-32.912739,455,0.3217754364013672,6.369530761241913,6.100632536411285
10465,-14.475935,455,,,
10920,7.946169,455,,,
11375,-26.881716,455,,,
11830,-29.016414,455,,,
12285,-0.657643,455,0.241285502910614,6.3740172505378725,8.228777366876603
12740,-21.495841,455,,,
13195,-7.027261,455,,,
13650,-15.390701,455,,,
14105,-6.607657,455,0.5026460886001587,6.386775553226471,3.833850786089897
14560,-29.925359,455,,,
15015,-45.643022,455,,,
15470,0.61073,455,,,
15925,-28.431695,455,,,
16380,-44.563432,455,0.5293682813644409,6.408816409111023,2.6141900971531866
16835,-26.602069,455,,,
17290,23.324851,455,,,
17745,8.794752,455,,,
18200,-40.796164,455,0.5859725475311279,6.425361013412475,6.021261247992515
18655,-17.758529,455,,,
19110,-27.436126,455,,,
19565,-15.026755,455,,,
20020,-30.329581,455,,,
20475,-51.314674,455,0.8105703592300415,6.440779554843902,3.94084056019783
20930,-20.309394,455,,,
21385,-31.722001,455,,,
21840,-16.892626,455,,,
22295,-36.209111,455,0.7521044015884399,6.466445451974868,4.289790982007981
22750,-12.530796,455,,,
23205,-34.903911,455,,,
23660,-18.694119,455,,,
24115,-11.822124,455,,,
24570,-42.887701,455,0.8075360655784607,6.487579870223999,3.521540918946266
25025,-25.902572,455,,,
25480,-23.233957,455,,,
25935,-33.577326,455,,,
26390,-49.153467,455,0.7617884278297424,6.512129300832749,3.9864392250776293
26845,-26.767071,455,,,
27300,-24.421064,455,,,
27755,-28.999715,455,,,
28210,-35.863999,455,,,
28665,-24.502969,455,0.798639178276062,6.513234174251556,3.716364696621895
29120,-30.184642,455,,,
29575,-23.339093,455,,,
30030,-12.600631,455,,,
30485,-37.214788,455,0.8019653558731079,6.514639848470688,4.146155059337616
30940,-3.077881,455,,,
31395,-24.499874,455,,,
31850,-23.612187,455,,,
32305,-15.250954,455,,,
32760,-23.965632,455,0.839501678943634,6.520805209875107,3.029047302901745
33215,-33.044735,455,,,
33670,-11.028814,455,,,
34125,-36.511309,455,,,
34580,-30.242594,455,0.8474044799804688,6.525344043970108,3.11829774081707
35035,5.515655,455,,,
35490,-15.839172,455,,,
35945,-9.020223,455,,,
36400,-29.82729,455,,,
36855,-3.998046,455,0.8374291658401489,6.527151119709015,3.346215322613716
37310,-39.315231,455,,,
37765,-10.178344,455,,,
38220,-13.490472,455,,,
38675,-29.101273,455,0.8306046724319458,6.52617449760437,2.6775242000818253
39130,-8.256583,455,,,
39585,-23.742659,455,,,
40040,-29.875242,455,,,
40495,-35.755174,455,,,
40950,-14.561794,455,0.8599506616592407,6.525836008787155,2.567113700509071
41405,-22.652948,455,,,
41860,-12.408003,455,,,
42315,-25.367236,455,,,
42770,-26.779537,455,0.8665542602539062,6.541092467308045,2.4591139778494835
43225,-23.211083,455,,,
43680,-5.594654,455,,,
44135,-32.765096,455,,,
44590,0.958794,455,,,
45045,15.566852,455,0.807148814201355,6.557286393642426,2.7952001959085466
45500,-12.439293,455,,,
45955,-26.160293,455,,,
46410,-39.187894,455,,,
46865,-13.503576,455,0.838305652141571,6.573174059391022,2.3672669127583505
47320,10.577008,455,,,
47775,-29.437526,455,,,
48230,-0.587253,455,,,
48685,-37.288541,455,,,
49140,-16.039132,455,0.8833796381950378,6.586880546808243,2.489593556523323
49595,-23.836229,455,,,
50050,-12.538643,455,,,
50505,-3.232435,455,,,
50960,-41.389179,455,0.8873962759971619,6.586042195558548,2.714867988228798
51415,-7.231659,455,,,
51870,-39.439579,455,,,
52325,-5.821219,455,,,
52780,-2.563902,455,,,
53235,-4.765862,455,0.8628263473510742,6.585471230745315,2.6928670436143873
53690,-27.310402,455,,,
54145,-5.949413,455,,,
54600,-35.855746,455,,,
55055,-26.450059,455,0.8867069482803345,6.5959200978279116,2.180589014291763
55510,-40.599481,455,,,
55965,-3.027701,455,,,
56420,-9.899081,455,,,
56875,-30.904117,455,,,
57330,-33.545641,455,0.8527204990386963,6.602091228961944,2.9926161229610444
57785,17.179395,455,,,
58240,-22.378702,455,,,
58695,-31.544346,455,,,
59150,-23.322471,455,0.8758653998374939,6.6070852994918825,2.6228503584861755
59605,-14.044458,455,,,
60060,-15.804189,455,,,
60515,-1.347824,455,,,
60970,-16.950669,455,,,
61425,-34.634622,455,0.8456352353096008,6.605494207143783,2.685444603860378
61880,-42.475664,455,,,
62335,-9.212505,455,,,
62790,7.336348,455,,,
63245,-2.581794,455,0.8798339366912842,6.6055060744285585,2.214237156510353
63700,-32.835629,455,,,
64155,6.724519,455,,,
64610,-0.779444,455,,,
65065,-19.430526,455,,,
65520,-39.582197,455,0.897251307964325,6.599253863096237,2.046467676758766
65975,-19.429031,455,,,
66430,-4.36562,455,,,
66885,-35.449302,455,,,
67340,-10.754319,455,0.9043695330619812,6.5916291117668155,2.5374681860208512
67795,-20.90163,455,,,
68250,-8.150271,455,,,
68705,-27.911667,455,,,
69160,-34.343127,455,,,
69615,-25.962126,455,0.861939549446106,6.601928305625916,2.5969530567526817
70070,-25.182186,455,,,
70525,-27.03401,455,,,
70980,-21.548339,455,,,
71435,-0.96765,455,0.9232608079910278,6.605667233467102,2.3728318974375724
71890,-33.08194,455,,,
72345,-18.954753,455,,,
72800,-29.576411,455,,,
73255,-30.968813,455,,,
73710,-25.358224,455,0.8958326578140259,6.608022141456604,1.6729010194540024
74165,-40.822176,455,,,
74620,-22.915227,455,,,
75075,-23.298493,455,,,
75530,-29.814438,455,0.8900143504142761,6.608404916524887,3.122850289940834
75985,-36.340299,455,,,
76440,-22.091802,455,,,
76895,-13.658152,455,,,
77350,-7.395941,455,,,
