timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-36.84969,455,,,
910,-40.762582,455,,,
1365,-48.047298,455,,,
1820,-53.48789,455,,,
2275,-39.674727,455,,,
2730,-45.242062,455,,,
3185,-34.223436,455,,,
3640,-37.474911,455,,,
4095,-34.749261,455,0.01525789499282837,6.398997735977173,7.570469915866852
4550,-34.7403,455,,,
5005,-37.365155,455,,,
5460,-31.507991,455,,,
5915,-35.889612,455,0.2592899203300476,6.414897060394287,7.030759382247925
6370,-33.553349,455,,,
6825,-38.265137,455,,,
7280,-42.120354,455,,,
7735,-36.03443,455,,,
8190,-37.081064,455,0.6820465922355652,6.426813787221908,5.017546358704567
8645,-34.695047,455,,,
9100,-45.4714,455,,,
9555,-37.795057,455,,,
10010,-40.58239,455,0.7725156545639038,6.444394052028656,4.515044882893562
10465,-33.361828,455,,,
10920,-35.795898,455,,,
11375,-39.161304,455,,,
11830,-43.360846,455,,,
12285,-39.504741,455,0.711198091506958,6.458251518011093,3.138760566711426
12740,-32.565171,455,,,
13195,-37.451267,455,,,
13650,-36.187014,455,,,
14105,-36.132772,455,0.8491586446762085,6.460939180850983,3.458636163175106
14560,-48.699943,455,,,
15015,-53.871699,455,,,
15470,-38.17025,455,,,
15925,-39.866896,455,,,
16380,-39.264942,455,0.8809521794319153,6.462416154146195,3.5866997122764586
16835,-53.091244,455,,,
17290,-35.045757,455,,,
17745,-34.654212,455,,,
18200,-50.422693,455,0.8584574460983276,6.465013933181763,3.1471356421709062
18655,-34.940795,455,,,
19110,-36.957126,455,,,
19565,-32.286624,455,,,
20020,-43.41548,455,,,
20475,-43.15043,455,0.8908589482307434,6.482118332386017,3.2255357265472413
20930,-33.06245,455,,,
21385,-36.579547,455,,,
21840,-38.342132,455,,,
22295,-39.894289,455,0.8552335500717163,6.503137904405594,2.4203536555171015
22750,-34.587463,455,,,
23205,-34.234133,455,,,
23660,-52.688996,455,,,
24115,-32.101288,455,,,
24570,-37.667321,455,0.8996986746788025,6.515732795000076,3.0300129145383834
25025,-52.890874,455,,,
25480,-48.376809,455,,,
25935,-35.979799,455,,,
26390,-33.129152,455,0.8944560289382935,6.530294704437256,2.57849507778883
26845,-33.843804,455,,,
27300,-46.502225,455,,,
27755,-42.83963,455,,,
28210,-46.272441,455,,,
28665,-44.998874,455,0.8676683902740479,6.5404306054115295,2.472728632390499
29120,-29.586528,455,,,
29575,-47.571517,455,,,
30030,-32.138412,455,,,
30485,-35.505329,455,0.8475279211997986,6.545917278528213,2.123412476480007
30940,-35.395425,455,,,
31395,-43.876032,455,,,
31850,-48.000308,455,,,
32305,-31.342642,455,,,
32760,-33.846688,455,0.9143366813659668,6.55496272444725,2.651671771705151
33215,-42.429856,455,,,
33670,-34.007428,455,,,
34125,-35.266052,455,,,
34580,-48.887632,455,0.9251828193664551,6.564559155702591,2.0451646253466604
35035,-35.190147,455,,,
35490,-32.112912,455,,,
35945,-34.42086,455,,,
36400,-37.072719,455,,,
36855,-32.742399,455,0.9020354747772217,6.5771976709365845,2.478705643117428
37310,-29.562568,455,,,
37765,-31.153495,455,,,
38220,-31.539962,455,,,
38675,-50.004832,455,0.9382031559944153,6.606753307580948,2.0945465795695783
39130,-30.137632,455,,,
39585,-31.096289,455,,,
40040,-31.302595,455,,,
40495,-52.420443,455,,,
40950,-33.908878,455,0.9357236623764038,6.6307537913322445,2.2821583807468415
41405,-26.740313,455,,,
41860,-35.70528,455,,,
42315,-35.687363,455,,,
42770,-29.817128,455,0.9420261383056641,6.646826660633087,1.981909654289484
43225,-29.23226,455,,,
43680,-32.549074,455,,,
44135,-38.661425,455,,,
44590,-28.490115,455,,,
45045,-32.456581,455,0.9506396055221558,6.64576689004898,1.8292713552713393
45500,-30.437319,455,,,
45955,-38.106366,455,,,
46410,-46.525252,455,,,
46865,-27.340688,455,0.9562256932258606,6.654471606016159,1.4707355737686156
47320,-29.483989,455,,,
47775,-33.991159,455,,,
48230,-25.358408,455,,,
48685,-37.51092,455,,,
49140,-31.23388,455,0.9485676288604736,6.678023838996888,1.9572277173399926
49595,-42.111287,455,,,
50050,-27.752084,455,,,
50505,-30.718367,455,,,
50960,-35.589226,455,0.9465644955635071,6.6879870116710665,1.406344424188137
51415,-26.926334,455,,,
51870,-41.436665,455,,,
52325,-27.727125,455,,,
52780,-27.672984,455,,,
53235,-27.280206,455,0.9550647139549255,6.6999287545681,1.722567068785429
53690,-37.641956,455,,,
54145,-25.761141,455,,,
54600,-47.182847,455,,,
55055,-41.185967,455,0.9687129259109497,6.7258228123188015,1.1412396863102914
55510,-39.507611,455,,,
55965,-25.730768,455,,,
56420,-25.945053,455,,,
56875,-52.499827,455,,,
57330,-46.103402,455,0.9157731533050537,6.73884150981903,1.7002041667699814
57785,-22.656181,455,,,
58240,-33.304289,455,,,
58695,-39.849285,455,,,
59150,-42.51622,455,0.9523577690124512,6.7577704131603245,1.5026084192097187
59605,-23.081826,455,,,
60060,-24.804358,455,,,
60515,-26.189582,455,,,
60970,-26.170215,455,,,
61425,-52.334634,455,0.939561665058136,6.778283631801605,1.7596055462956428
61880,-37.488492,455,,,
62335,-28.069748,455,,,
62790,-27.232247,455,,,
63245,-25.831187,455,0.9721238613128662,6.790105628967285,1.0715783175081015
63700,-40.623658,455,,,
64155,-24.462765,455,,,
64610,-25.368763,455,,,
65065,-21.869673,455,,,
65520,-44.403499,455,0.969030499458313,6.800765836238861,1.3641641385853291
65975,-33.23621,455,,,
66430,-21.23759,455,,,
66885,-55.855016,455,,,
67340,-20.777903,455,0.9750731587409973,6.810423058271408,1.067742609977722
67795,-33.011437,455,,,
68250,-24.143573,455,,,
68705,-40.891661,455,,,
69160,-32.363172,455,,,
69615,-47.100533,455,0.9566832780838013,6.811946177482605,1.3163704559206963
70070,-23.075404,455,,,
70525,-41.19126,455,,,
70980,-24.619721,455,,,
71435,-25.90065,455,0.9396635293960571,6.827185171842575,1.3791849464178085
71890,-42.315185,455,,,
72345,-22.146173,455,,,
72800,-38.225041,455,,,
73255,-32.669383,455,,,
73710,-35.603439,455,0.9746916890144348,6.862285721302032,0.9623230941593647
74165,-34.560969,455,,,
74620,-20.592866,455,,,
75075,-22.365339,455,,,
75530,-30.318248,455,0.9455435276031494,6.8898900806903836,1.3923261858522893
75985,-29.389085,455,,,
76440,-20.521468,455,,,
76895,-21.771895,455,,,
77350,-24.262347,455,,,
77805,-39.84074,455,0.9578857421875,6.893653905391693,1.136050319671631
78260,-21.660499,455,,,
78715,-44.934841,455,,,
79170,-34.347551,455,,,
79625,-26.693347,455,0.9795470237731934,6.922189462184906,0.8907282501459122
80080,-20.799171,455,,,
80535,-23.124478,455,,,
80990,-17.724638,455,,,
81445,-18.825036,455,,,
81900,-20.544204,455,0.9719687700271606,6.9726295351982115,1.0809523813426494
82355,-19.164536,455,,,
82810,-42.269973,455,,,
83265,-51.0401,455,,,
83720,-21.898683,455,0.9888854622840881,7.00659408569336,0.5281519511714577
84175,-19.714964,455,,,
84630,-38.593738,455,,,
85085,-32.896244,455,,,
85540,-21.618826,455,,,
85995,-21.314835,455,0.9693117141723633,7.037475889921188,1.0617800302803517
86450,-16.526705,455,,,
86905,-30.542928,455,,,
87360,-18.571191,455,,,
87815,-18.071696,455,0.9731104373931885,7.062510132789612,0.8840308845043182
88270,-42.032546,455,,,
88725,-18.41928,455,,,
89180,-19.673413,455,,,
89635,-42.231627,455,,,
90090,-13.428517,455,0.9778644442558289,7.088772165775299,0.901644816994667
90545,-13.833581,455,,,
91000,-17.32789,455,,,
91455,-31.394481,455,,,
91910,-43.543999,455,0.9831231236457825,7.113317000865936,0.6426271095871925
92365,-12.485357,455,,,
92820,-51.322703,455,,,
93275,-12.855268,455,,,
93730,-10.56083,455,,,
