timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.668626,455,,,
910,-70.51029,455,,,
1365,-70.839226,455,,,
1820,-71.317563,455,,,
2275,-63.424257,455,,,
2730,-63.729395,455,,,
3185,-60.452325,455,,,
3640,-62.286564,455,,,
4095,-62.894102,455,0.02957528829574585,6.404567277431488,7.813033241033554
4550,-64.33079,455,,,
5005,-65.843806,455,,,
5460,-79.206524,455,,,
5915,-56.615269,455,0.25443291664123535,6.412831997871399,5.651436284184456
6370,-68.373509,455,,,
6825,-61.817124,455,,,
7280,-83.146871,455,,,
7735,-61.040627,455,,,
8190,-65.203161,455,0.5342164039611816,6.4071082174777985,5.905406761169433
8645,-71.961204,455,,,
9100,-77.228867,455,,,
9555,-70.036501,455,,,
10010,-75.862357,455,0.5370280742645264,6.4022401034832,6.771470683813095
10465,-58.878429,455,,,
10920,-58.600331,455,,,
11375,-63.469826,455,,,
11830,-63.646785,455,,,
12285,-64.719958,455,0.2975786328315735,6.415082710981369,7.650380069017411
12740,-61.698578,455,,,
13195,-58.900964,455,,,
13650,-61.297871,455,,,
14105,-59.876496,455,0.8166938424110413,6.441247236728668,4.886664763092995
14560,-76.485632,455,,,
15015,-78.090515,455,,,
15470,-56.172771,455,,,
15925,-63.381014,455,,,
16380,-69.289241,455,0.8745192289352417,6.451485764980316,3.46967356801033
16835,-73.301695,455,,,
17290,-58.457747,455,,,
17745,-57.985132,455,,,
18200,-76.384265,455,0.7733676433563232,6.446827518939972,4.91738086938858
18655,-58.949299,455,,,
19110,-77.870119,455,,,
19565,-59.199824,455,,,
20020,-75.061814,455,,,
20475,-66.541678,455,0.8525875806808472,6.440144264698029,4.549143499135971
20930,-59.501138,455,,,
21385,-83.727811,455,,,
21840,-59.233135,455,,,
22295,-71.67442,455,0.8315808176994324,6.451673990488052,4.447236925363541
22750,-62.150816,455,,,
23205,-58.376067,455,,,
23660,-67.773163,455,,,
24115,-52.630128,455,,,
24570,-73.014155,455,0.8976213932037354,6.465597200393677,3.8466140180826187
25025,-73.948871,455,,,
25480,-69.080065,455,,,
25935,-71.696016,455,,,
26390,-51.160485,455,0.9016929864883423,6.492783159017563,3.3798126190900804
26845,-67.168525,455,,,
27300,-64.410134,455,,,
27755,-76.135122,455,,,
28210,-74.283003,455,,,
28665,-60.791021,455,0.8659337162971497,6.52416296005249,5.028174766898156
29120,-56.881316,455,,,
29575,-74.199363,455,,,
30030,-59.772514,455,,,
30485,-68.791909,455,0.8528662919998169,6.545735532045365,4.940514421463012
30940,-63.716479,455,,,
31395,-74.347324,455,,,
31850,-85.76143,455,,,
32305,-52.463064,455,,,
32760,-57.894747,455,0.8872635960578918,6.551098138093948,3.018993353843689
33215,-66.342356,455,,,
33670,-54.849642,455,,,
34125,-68.736572,455,,,
34580,-79.900961,455,0.8825271129608154,6.555259615182877,3.3662498980760573
35035,-54.921249,455,,,
35490,-52.539007,455,,,
35945,-54.323894,455,,,
36400,-69.520269,455,,,
36855,-59.032424,455,0.9053559303283691,6.564705789089203,3.3120670288801195
37310,-66.229345,455,,,
37765,-53.991108,455,,,
38220,-57.654057,455,,,
38675,-64.801415,455,0.939374566078186,6.568484956026078,2.0800214812159536
39130,-54.38625,455,,,
39585,-58.988004,455,,,
40040,-55.130798,455,,,
40495,-64.622861,455,,,
40950,-53.186466,455,0.9390514492988586,6.574433207511902,2.7240233302116392
41405,-56.584689,455,,,
41860,-57.496555,455,,,
42315,-70.118833,455,,,
42770,-56.357863,455,0.9483743906021118,6.600083953142166,1.7168732449412345
43225,-58.66322,455,,,
43680,-57.354014,455,,,
44135,-70.794657,455,,,
44590,-53.095093,455,,,
45045,-53.767462,455,0.9389364719390869,6.637834340333939,1.9021708264946937
