timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-96.59879,455,,,
910,-40.71791,455,,,
1365,-47.819511,455,,,
1820,-53.279475,455,,,
2275,-100.637383,455,,,
2730,-98.582949,455,,,
3185,-90.133965,455,,,
3640,-93.14782,455,,,
4095,-96.978761,455,-0.004625439643859863,6.407456439733505,6.662870961427688
4550,-91.843402,455,,,
5005,-96.188537,455,,,
5460,-30.751615,455,,,
5915,-92.193045,455,0.09634542465209961,6.422746503353119,7.7813947856426235
6370,-31.814776,455,,,
6825,-91.785824,455,,,
7280,-41.523582,455,,,
7735,-87.457372,455,,,
8190,-96.761239,455,0.2592308521270752,6.414983588457107,6.952075523138046
8645,-34.676934,455,,,
9100,-45.960052,455,,,
9555,-37.59439,455,,,
10010,-40.037416,455,0.39114755392074585,6.423518937826157,7.4000927925109865
10465,-92.363462,455,,,
10920,-85.245524,455,,,
11375,-92.947673,455,,,
11830,-43.889508,455,,,
12285,-96.07439,455,0.4138562083244324,6.426144617795944,4.997686213254928
12740,-88.717344,455,,,
13195,-93.947184,455,,,
13650,-91.184347,455,,,
14105,-92.592939,455,0.4890437722206116,6.435557073354721,6.269177842140198
14560,-47.797174,455,,,
15015,-52.798232,455,,,
15470,-94.345205,455,,,
15925,-87.622002,455,,,
16380,-37.543659,455,0.5143299102783203,6.444837373495102,6.377981799840927
16835,-52.645224,455,,,
17290,-86.408267,455,,,
17745,-89.590002,455,,,
18200,-45.011873,455,0.7188481092453003,6.448912471532822,4.164750897884369
18655,-89.316511,455,,,
19110,-37.263374,455,,,
19565,-89.334277,455,,,
20020,-43.350163,455,,,
20475,-39.486716,455,0.7587158679962158,6.473864179849625,4.67290469110012
20930,-89.247,455,,,
21385,-34.065058,455,,,
21840,-87.138982,455,,,
22295,-36.207109,455,0.796497106552124,6.496663761138916,3.223632788658142
22750,-88.458802,455,,,
23205,-89.109572,455,,,
23660,-52.205218,455,,,
24115,-87.787982,455,,,
24570,-35.419993,455,0.8156213164329529,6.508075308799744,3.480608010292053
25025,-51.75501,455,,,
25480,-45.691718,455,,,
25935,-33.256224,455,,,
26390,-89.451896,455,0.8424740433692932,6.53262552022934,3.2120808392763136
26845,-30.586872,455,,,
27300,-45.69387,455,,,
27755,-39.770307,455,,,
28210,-44.499132,455,,,
28665,-43.737603,455,0.8331431150436401,6.549275612831115,2.800413179397583
29120,-86.933516,455,,,
29575,-49.066549,455,,,
30030,-86.522352,455,,,
30485,-35.596126,455,0.8354236483573914,6.552974754571915,2.0904495805501937
30940,-88.779788,455,,,
31395,-41.299805,455,,,
31850,-47.968871,455,,,
32305,-89.155836,455,,,
32760,-85.212363,455,0.8591616153717041,6.556504225730896,3.4260913908481596
33215,-41.619705,455,,,
33670,-90.244474,455,,,
34125,-34.031751,455,,,
34580,-46.72867,455,0.883094847202301,6.560530412197113,2.751513509452343
35035,-87.738412,455,,,
35490,-87.426047,455,,,
35945,-84.545844,455,,,
36400,-35.181736,455,,,
36855,-81.985728,455,0.8648414611816406,6.574452221393585,2.710825252532959
37310,-30.617434,455,,,
37765,-86.753088,455,,,
38220,-83.899696,455,,,
38675,-48.284293,455,0.881145179271698,6.5899863839149475,2.441976121068001
39130,-86.363819,455,,,
39585,-89.142885,455,,,
40040,-85.908883,455,,,
40495,-51.236518,455,,,
40950,-87.74588,455,0.9046609997749329,6.585252058506012,2.2134129464626313
41405,-83.063783,455,,,
41860,-86.393882,455,,,
42315,-36.638261,455,,,
42770,-83.882036,455,0.88863605260849,6.602564132213592,2.382086397707462
43225,-84.36906,455,,,
43680,-89.895473,455,,,
44135,-35.488843,455,,,
44590,-83.747407,455,,,
45045,-81.276577,455,0.9120031595230103,6.628881847858429,2.096838262677193
45500,-87.400884,455,,,
45955,-38.366704,455,,,
46410,-45.588578,455,,,
46865,-79.174785,455,0.9266139268875122,6.6440189480781555,1.6706022277474404
47320,-88.246089,455,,,
47775,-34.562993,455,,,
48230,-84.844886,455,,,
48685,-38.365834,455,,,
49140,-88.501814,455,0.9299067258834839,6.662123638391495,1.7906925469636916
49595,-42.545587,455,,,
50050,-79.016465,455,,,
50505,-83.432963,455,,,
50960,-37.493751,455,0.9210399985313416,6.673320645093918,1.9522525548934937
51415,-86.16655,455,,,
51870,-41.421556,455,,,
52325,-82.299851,455,,,
52780,-86.860637,455,,,
53235,-81.713703,455,0.9379201531410217,6.678337299823761,1.859564620256424
53690,-37.129032,455,,,
54145,-84.270717,455,,,
54600,-48.238963,455,,,
55055,-42.156049,455,0.9333634376525879,6.677809983491898,1.5224429085850715
55510,-40.202668,455,,,
55965,-83.622657,455,,,
56420,-79.897606,455,,,
