timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-31.203707,455,,,
910,-40.740881,455,,,
1365,-34.186493,455,,,
1820,-37.834099,455,,,
2275,-28.148179,455,,,
2730,-33.093744,455,,,
3185,-23.175485,455,,,
3640,-30.981192,455,,,
4095,-26.476102,455,0.021232664585113525,6.415826851129532,6.7299941897392275
4550,-27.089603,455,,,
5005,-31.907421,455,,,
5460,-50.970395,455,,,
5915,-30.354389,455,0.23189657926559448,6.445168071985245,5.510886088013649
6370,-49.178397,455,,,
6825,-32.653222,455,,,
7280,-39.419033,455,,,
7735,-30.298021,455,,,
8190,-32.787847,455,0.5460512042045593,6.4593955218791965,5.050497132539749
8645,-33.904782,455,,,
9100,-43.113957,455,,,
9555,-35.711167,455,,,
10010,-31.653688,455,0.7248141765594482,6.493965095281601,4.072848457098007
10465,-27.970044,455,,,
10920,-26.696955,455,,,
11375,-32.144337,455,,,
11830,-48.810403,455,,,
12285,-29.468477,455,0.39808011054992676,6.505748629570007,5.0326211810112
12740,-36.134264,455,,,
13195,-34.2035,455,,,
13650,-29.210584,455,,,
14105,-30.301875,455,0.8688239455223083,6.49848895072937,3.1513568252325057
14560,-39.741108,455,,,
15015,-44.973401,455,,,
15470,-32.620208,455,,,
15925,-28.804759,455,,,
16380,-50.523585,455,0.9056963920593262,6.503978532552719,2.86575093716383
16835,-46.301679,455,,,
17290,-28.489052,455,,,
17745,-30.388774,455,,,
18200,-44.974099,455,0.8593298196792603,6.514668315649033,2.64917231798172
18655,-26.952811,455,,,
19110,-51.494663,455,,,
19565,-27.514586,455,,,
20020,-43.315508,455,,,
20475,-46.17553,455,0.8764526844024658,6.522544479370117,2.8743175715208054
20930,-28.303386,455,,,
21385,-41.557284,455,,,
21840,-28.719993,455,,,
22295,-50.649529,455,0.8818788528442383,6.531639963388443,2.570688420534134
22750,-24.555339,455,,,
23205,-26.163685,455,,,
23660,-36.590736,455,,,
24115,-28.284225,455,,,
24570,-47.741167,455,0.9141325950622559,6.54281792640686,2.4316454753279686
25025,-51.144761,455,,,
25480,-41.750568,455,,,
25935,-49.115831,455,,,
26390,-28.878186,455,0.8821842074394226,6.561126327514648,2.454327401518822
26845,-40.996854,455,,,
27300,-35.626805,455,,,
27755,-38.912497,455,,,
28210,-36.421843,455,,,
28665,-38.385656,455,0.8836593627929688,6.574031960964203,2.4450305223464968
29120,-27.966361,455,,,
29575,-39.81842,455,,,
30030,-30.423448,455,,,
30485,-53.727485,455,0.8363102078437805,6.60081439614296,2.3718924179673193
30940,-26.573383,455,,,
31395,-41.02524,455,,,
