timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-100.726311,455,,,
910,-69.657811,455,,,
1365,-72.257026,455,,,
1820,-78.301401,455,,,
2275,-94.267117,455,,,
2730,-79.516666,455,,,
3185,-110.927593,455,,,
3640,-87.510016,455,,,
4095,-84.408105,455,-0.020778417587280273,6.410677999258041,9.017938989400864
4550,-94.7517,455,,,
5005,-101.259812,455,,,
5460,-74.705603,455,,,
5915,-101.566743,455,0.04909694194793701,6.424499583244324,7.510647088289261
6370,-67.61208,455,,,
6825,-98.294188,455,,,
7280,-72.367833,455,,,
7735,-87.132885,455,,,
8190,-86.859738,455,0.10938096046447754,6.4417549729347225,9.57770819067955
8645,-69.489007,455,,,
9100,-65.114295,455,,,
9555,-57.123906,455,,,
10010,-75.808135,455,0.15927797555923462,6.488234376907348,8.715267658233643
10465,-103.949574,455,,,
10920,-90.499887,455,,,
11375,-94.402043,455,,,
11830,-81.269957,455,,,
12285,-87.2477,455,0.24528473615646362,6.509352022409439,9.522510755062104
12740,-87.778527,455,,,
13195,-89.521341,455,,,
13650,-90.834385,455,,,
14105,-86.066097,455,0.4883124828338623,6.513564175367355,7.176182240247726
14560,-67.229245,455,,,
15015,-75.340861,455,,,
15470,-102.747011,455,,,
15925,-86.968529,455,,,
16380,-68.130651,455,0.71556156873703,6.526446902751923,4.809266167879104
16835,-81.276851,455,,,
17290,-106.069678,455,,,
17745,-101.463229,455,,,
18200,-85.431928,455,0.5649012327194214,6.543590754270554,6.81339715719223
18655,-94.645933,455,,,
19110,-76.492531,455,,,
19565,-96.099899,455,,,
20020,-63.24773,455,,,
20475,-70.623725,455,0.7159919738769531,6.539759284257888,6.717357337474823
20930,-102.621731,455,,,
21385,-66.182185,455,,,
21840,-92.650512,455,,,
22295,-90.835609,455,0.710035502910614,6.548934686183929,5.611894029378891
22750,-99.599411,455,,,
23205,-89.350613,455,,,
23660,-64.93119,455,,,
24115,-101.122406,455,,,
24570,-81.223761,455,0.7823216915130615,6.554281985759735,5.256152373552323
25025,-75.441967,455,,,
25480,-73.398881,455,,,
25935,-71.737471,455,,,
26390,-100.799531,455,0.7145378589630127,6.574353581666946,7.969000995159149
26845,-74.142497,455,,,
27300,-69.6709,455,,,
27755,-69.017928,455,,,
28210,-77.997808,455,,,
28665,-63.435859,455,0.785391092300415,6.583629775047302,6.472383099794388
29120,-87.286268,455,,,
29575,-64.61196,455,,,
30030,-95.666967,455,,,
30485,-70.499897,455,0.8796131610870361,6.586141097545624,5.497259747982025
30940,-111.107605,455,,,
31395,-69.198378,455,,,
31850,-73.13724,455,,,
32305,-87.484375,455,,,
32760,-101.39057,455,0.8314106464385986,6.604825282096863,5.392412573099136
33215,-71.384634,455,,,
33670,-115.622076,455,,,
34125,-65.800282,455,,,
34580,-75.972689,455,0.8334631323814392,6.624246746301651,4.994054067134857
35035,-98.173877,455,,,
35490,-70.32817,455,,,
35945,-69.170034,455,,,
36400,-72.516467,455,,,
36855,-112.840936,455,0.8574084043502808,6.635410922765732,4.920613026618957
37310,-65.688561,455,,,
37765,-84.760952,455,,,
38220,-88.577094,455,,,
38675,-70.537709,455,0.8351081609725952,6.634032064676285,4.851750066876411
39130,-105.660499,455,,,
39585,-86.40117,455,,,
40040,-91.047615,455,,,
40495,-68.02828,455,,,
40950,-97.860622,455,0.9063209295272827,6.6345053791999815,3.323871600627899
41405,-108.970104,455,,,
41860,-97.266195,455,,,
42315,-66.978312,455,,,
42770,-109.039543,455,0.8419111967086792,6.6358549177646635,4.7705913990736
43225,-78.466806,455,,,
43680,-99.573088,455,,,
44135,-74.406794,455,,,
44590,-76.642278,455,,,
45045,-88.650023,455,0.8230892419815063,6.63902525305748,5.226290130615235
45500,-94.475269,455,,,
45955,-63.50806,455,,,
46410,-71.39192,455,,,
46865,-100.031149,455,0.8198323249816895,6.647177356481552,4.185668107867241
47320,-77.513621,455,,,
47775,-70.570505,455,,,
48230,-83.282332,455,,,
48685,-61.993951,455,,,
49140,-95.670872,455,0.8766705989837646,6.649833983182907,3.7375691413879393
49595,-70.411756,455,,,
50050,-77.322908,455,,,
50505,-82.898187,455,,,
50960,-71.733376,455,0.8656481504440308,6.6499384343624115,4.477288058400154
51415,-101.707838,455,,,
51870,-58.168312,455,,,
52325,-123.591645,455,,,
52780,-89.592868,455,,,
53235,-102.489904,455,0.8532005548477173,6.65259820818901,4.905097687244416
53690,-78.846294,455,,,
54145,-82.869855,455,,,
54600,-73.725568,455,,,
55055,-65.894934,455,0.8492765426635742,6.666402792930603,3.9715074777603148
55510,-65.567362,455,,,
55965,-103.60924,455,,,
56420,-67.805712,455,,,
56875,-61.997042,455,,,
57330,-69.337178,455,0.9204760789871216,6.6788697898387905,3.8883608788251878
57785,-86.157318,455,,,
58240,-64.044868,455,,,
58695,-73.329269,455,,,
59150,-55.192043,455,0.894630491733551,6.692903065681458,4.404059651494026
59605,-77.328133,455,,,
60060,-97.303651,455,,,
60515,-89.450711,455,,,
60970,-85.227249,455,,,
61425,-69.057885,455,0.9342994689941406,6.722453236579895,3.360848328471184
61880,-65.546555,455,,,
62335,-105.250344,455,,,
62790,-76.796518,455,,,
63245,-100.826228,455,0.8019879460334778,6.749124276638031,4.876783016324043
63700,-72.292429,455,,,
64155,-105.063433,455,,,
64610,-95.001171,455,,,
65065,-106.605905,455,,,
65520,-67.022113,455,0.8238866925239563,6.766373479366303,2.999577221274376
65975,-72.035202,455,,,
66430,-112.183481,455,,,
66885,-66.318657,455,,,
67340,-84.288872,455,0.7958649396896362,6.782950502634049,5.297600826621055
67795,-76.8343,455,,,
68250,-88.254637,455,,,
68705,-63.409717,455,,,
69160,-77.154589,455,,,
69615,-63.256468,455,0.8899861574172974,6.793255418539047,3.7513112664222716
70070,-88.279507,455,,,
70525,-71.9231,455,,,
70980,-106.103413,455,,,
71435,-120.270159,455,0.9444798827171326,6.799802249670028,3.256579118967056
71890,-78.811681,455,,,
72345,-92.709682,455,,,
72800,-67.518944,455,,,
73255,-60.445406,455,,,
73710,-65.090651,455,0.8346274495124817,6.822043019533157,3.10895274579525
74165,-59.776668,455,,,
74620,-91.662952,455,,,
75075,-62.714736,455,,,
