timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-83.371698,455,,,
910,-44.561414,455,,,
1365,-46.782543,455,,,
1820,-44.066401,455,,,
2275,-83.842367,455,,,
2730,-84.466257,455,,,
3185,-80.03356,455,,,
3640,-84.855665,455,,,
4095,-80.753929,455,0.004626870155334473,6.40314057469368,9.582978975772857
4550,-81.367553,455,,,
5005,-84.852277,455,,,
5460,-50.183542,455,,,
5915,-83.883806,455,0.20616686344146729,6.416877937316895,5.551251912117005
6370,-47.131364,455,,,
6825,-83.890654,455,,,
7280,-39.066167,455,,,
7735,-82.164297,455,,,
8190,-83.625944,455,0.31553399562835693,6.42188640832901,6.276042956113815
8645,-44.952519,455,,,
9100,-43.764885,455,,,
9555,-44.880267,455,,,
10010,-36.634189,455,0.5068269371986389,6.436834746599198,6.9380701899528505
10465,-84.208475,455,,,
10920,-81.28329,455,,,
11375,-81.986829,455,,,
11830,-42.349237,455,,,
12285,-83.283355,455,0.5577136278152466,6.448436903953552,7.418947386741638
12740,-81.251778,455,,,
13195,-82.142827,455,,,
13650,-84.209489,455,,,
14105,-81.708408,455,0.6761583089828491,6.444224423170089,5.212013930082321
14560,-53.504399,455,,,
15015,-36.097961,455,,,
15470,-81.572706,455,,,
15925,-83.981643,455,,,
16380,-42.631547,455,0.731560468673706,6.45390562415123,3.142220640182495
16835,-32.983352,455,,,
17290,-82.063891,455,,,
17745,-81.647849,455,,,
18200,-33.643795,455,0.8246564865112305,6.465328675508499,4.600173836946487
18655,-82.016163,455,,,
19110,-39.523561,455,,,
19565,-80.492853,455,,,
20020,-49.186536,455,,,
20475,-40.529404,455,0.8553797006607056,6.475126475095749,3.6938546776771544
20930,-81.026752,455,,,
21385,-58.102895,455,,,
21840,-82.432937,455,,,
22295,-49.152859,455,0.8740128874778748,6.493742901086807,3.912748008966446
22750,-82.387592,455,,,
23205,-80.355889,455,,,
23660,-40.146177,455,,,
24115,-80.486921,455,,,
24570,-39.899286,455,0.9082289934158325,6.501415681838989,2.9184556186199186
25025,-38.970996,455,,,
25480,-45.404614,455,,,
25935,-51.125841,455,,,
26390,-76.268183,455,0.910454273223877,6.511038148403168,3.0534394085407257
26845,-43.330955,455,,,
27300,-55.465606,455,,,
27755,-36.766744,455,,,
28210,-47.785758,455,,,
28665,-39.397373,455,0.8859701156616211,6.520662689208985,3.533365774154663
29120,-77.462607,455,,,
29575,-40.676785,455,,,
30030,-80.91224,455,,,
30485,-60.393432,455,0.8591654896736145,6.528827315568924,3.952947971224785
30940,-82.757567,455,,,
31395,-37.443369,455,,,
31850,-50.918787,455,,,
32305,-80.157532,455,,,
32760,-79.193823,455,0.9202819466590881,6.529802852869034,2.7028251737356186
33215,-30.278079,455,,,
33670,-78.539471,455,,,
34125,-39.510592,455,,,
34580,-39.123123,455,0.9247130155563354,6.5446483254432675,2.5530170649290085
35035,-78.733688,455,,,
35490,-77.832902,455,,,
35945,-76.39081,455,,,
36400,-46.475824,455,,,
36855,-74.932068,455,0.9210454821586609,6.555822241306305,2.8348860487341883
37310,-42.79381,455,,,
37765,-79.286739,455,,,
38220,-78.197622,455,,,
38675,-46.954874,455,0.9415876865386963,6.574269038438797,1.6700594455003739
39130,-78.442026,455,,,
39585,-81.470742,455,,,
40040,-78.489927,455,,,
40495,-50.657084,455,,,
40950,-80.880005,455,0.9408827424049377,6.573633080720901,2.0833186745643615
41405,-77.098971,455,,,
41860,-79.395428,455,,,
42315,-31.111075,455,,,
42770,-76.385265,455,0.9613742828369141,6.571254575252533,1.2404629558324813
43225,-80.750758,455,,,
43680,-80.642865,455,,,
44135,-42.259296,455,,,
44590,-76.236738,455,,,
45045,-77.311444,455,0.9555303454399109,6.580404031276703,1.364832953363657
45500,-80.133693,455,,,
45955,-44.235392,455,,,
46410,-33.423473,455,,,
46865,-75.626615,455,0.9672418832778931,6.5906129598617555,1.1283990398049355
47320,-78.574817,455,,,
47775,-45.429495,455,,,
48230,-79.097295,455,,,
48685,-34.050359,455,,,
49140,-78.648884,455,0.9584146738052368,6.60332310795784,1.7320879012346269
49595,-40.916829,455,,,
50050,-75.539148,455,,,
50505,-78.214865,455,,,
50960,-49.209185,455,0.9603371620178223,6.623764306306839,1.79195346981287
51415,-77.715645,455,,,
51870,-42.857388,455,,,
52325,-76.22307,455,,,
52780,-77.081045,455,,,
53235,-76.365642,455,0.9632982611656189,6.662872475385666,1.5927401721477508
53690,-34.012559,455,,,
54145,-79.083065,455,,,
54600,-45.759569,455,,,
55055,-53.670049,455,0.9729598760604858,6.694444090127945,1.0389625586569309
55510,-43.465889,455,,,
55965,-76.787613,455,,,
56420,-73.902426,455,,,
56875,-50.96262,455,,,
57330,-47.2468,455,0.9312554001808167,6.713491141796112,2.6906700029969217
57785,-73.059358,455,,,
58240,-43.577998,455,,,
58695,-36.696893,455,,,
59150,-52.18384,455,0.9570788741111755,6.739787727594376,1.9183439776301383
59605,-73.370643,455,,,
60060,-76.409749,455,,,
60515,-77.567603,455,,,
60970,-75.810679,455,,,
61425,-46.365605,455,0.9487795829772949,6.768301767110825,2.296634142100811
61880,-41.225037,455,,,
62335,-73.243426,455,,,
62790,-75.631193,455,,,
63245,-76.30703,455,0.9733505249023438,6.802100592851639,1.0238023310899735
63700,-47.791633,455,,,
64155,-73.911776,455,,,
64610,-75.033595,455,,,
65065,-73.64693,455,,,
65520,-53.019937,455,0.969779908657074,6.826472008228302,1.1440186448395253
65975,-47.167837,455,,,
66430,-77.230759,455,,,
66885,-27.453414,455,,,
67340,-75.978765,455,0.9689330458641052,6.838609385490417,1.3102630101144315
67795,-42.220682,455,,,
68250,-74.617056,455,,,
68705,-38.983737,455,,,
69160,-41.774963,455,,,
69615,-49.813297,455,0.9500271081924438,6.840380018949508,2.0114037200808523
70070,-75.695979,455,,,
70525,-36.616938,455,,,
70980,-76.587293,455,,,
71435,-75.551389,455,0.9407669305801392,6.848460012674332,2.5839732885360718
71890,-47.256016,455,,,
72345,-72.456793,455,,,
72800,-50.368645,455,,,
73255,-45.325474,455,,,
73710,-54.889925,455,0.9716758131980896,6.858275127410889,1.1163043066859246
74165,-34.197295,455,,,
74620,-73.465545,455,,,
75075,-73.956338,455,,,
75530,-34.704126,455,0.9444701671600342,6.865272015333176,2.6020076513290404
75985,-50.24522,455,,,
76440,-76.999217,455,,,
76895,-72.780099,455,,,
77350,-74.387026,455,,,
77805,-49.53892,455,0.9586174488067627,6.876197355985641,1.7220630437135696
78260,-74.192,455,,,
78715,-37.361867,455,,,
79170,-31.632061,455,,,
79625,-72.590125,455,0.975601315498352,6.895443767309189,1.1123412266373633
80080,-75.940502,455,,,
80535,-76.624928,455,,,
80990,-72.92349,455,,,
81445,-74.457418,455,,,
81900,-74.841299,455,0.9642133712768555,6.913273501396179,1.5082370892167092
82355,-69.86534,455,,,
82810,-29.503115,455,,,
83265,-37.938122,455,,,
83720,-75.321562,455,0.9910597801208496,6.923297154903412,0.48664855286479
84175,-75.484659,455,,,
84630,-48.065126,455,,,
85085,-37.754479,455,,,
85540,-71.728076,455,,,
85995,-73.146129,455,0.9663969874382019,6.937062978744507,1.4815314076840878
86450,-74.323906,455,,,
86905,-48.16321,455,,,
87360,-74.249361,455,,,
87815,-75.463003,455,0.9682089686393738,6.941743016242981,1.43321133852005
88270,-39.103531,455,,,
88725,-72.201652,455,,,
89180,-74.440732,455,,,
89635,-43.870672,455,,,
90090,-73.440103,455,0.9711282849311829,6.9290810346603395,1.0219039916992188
90545,-70.181092,455,,,
91000,-73.627832,455,,,
91455,-34.22188,455,,,
91910,-36.609459,455,0.9745597243309021,6.920176392793655,1.0324924405664206
92365,-70.489471,455,,,
92820,-46.662972,455,,,
93275,-69.408222,455,,,
93730,-73.778984,455,,,
94185,-72.010019,455,0.9710471034049988,6.931619554758072,1.2708218820393085
94640,-34.482665,455,,,
95095,-45.58276,455,,,
95550,-72.920896,455,,,
96005,-45.441196,455,0.979968786239624,6.9627248585224155,0.8149871651083231
96460,-34.354561,455,,,
96915,-39.956746,455,,,
97370,-72.843439,455,,,
97825,-31.976858,455,,,
98280,-38.489189,455,0.945544958114624,6.985575187206268,2.167554685473442
98735,-72.245094,455,,,
99190,-48.324014,455,,,
99645,-69.262987,455,,,
100100,-70.554913,455,0.9550011157989502,6.992474299669266,2.011513611674309
100555,-72.843326,455,,,
101010,-43.327896,455,,,
101465,-45.5481,455,,,
101920,-42.298321,455,,,
102375,-70.000801,455,0.978381872177124,7.0061903417110445,0.7870038192719221
102830,-68.857513,455,,,
103285,-44.993325,455,,,
103740,-27.958613,455,,,
104195,-68.21622,455,0.9609189033508301,7.030367594957352,1.722095748782158
104650,-43.196983,455,,,
105105,-68.377346,455,,,
105560,-33.663056,455,,,
106015,-71.197706,455,,,
