timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-77.610808,455,,,
910,-70.776373,455,,,
1365,-76.516989,455,,,
1820,-82.629368,455,,,
2275,-77.965375,455,,,
2730,-76.344066,455,,,
3185,-76.089068,455,,,
3640,-78.200561,455,,,
4095,-76.670757,455,-0.0082932710647583,6.370444810390472,6.034128078818322
4550,-75.615517,455,,,
5005,-78.159567,455,,,
5460,-72.016492,455,,,
5915,-77.61007,455,0.060304462909698486,6.365291661024093,3.9818410843610765
6370,-64.094264,455,,,
6825,-76.095517,455,,,
7280,-83.542107,455,,,
7735,-77.587362,455,,,
8190,-74.717261,455,0.22020071744918823,6.3889621019363405,4.873344507813454
8645,-75.261575,455,,,
9100,-68.419206,455,,,
9555,-82.143773,455,,,
10010,-77.743597,455,0.4296361804008484,6.404098612070084,4.319695165753364
10465,-79.467043,455,,,
10920,-77.525291,455,,,
11375,-76.279238,455,,,
11830,-73.946192,455,,,
12285,-77.999653,455,0.45053035020828247,6.4050839960575106,6.112574362754822
12740,-77.712843,455,,,
13195,-76.965555,455,,,
13650,-74.926193,455,,,
14105,-76.86357,455,0.6832406520843506,6.404114907979965,2.978936031460762
14560,-69.318012,455,,,
15015,-65.755525,455,,,
15470,-77.147932,455,,,
15925,-74.449717,455,,,
16380,-71.734861,455,0.8053295612335205,6.4287345051765445,1.8592780366539956
16835,-67.046043,455,,,
17290,-76.238958,455,,,
17745,-76.853608,455,,,
18200,-68.777953,455,0.8076249957084656,6.455518639087677,3.452402111887932
18655,-75.752317,455,,,
19110,-73.020745,455,,,
19565,-73.35024,455,,,
20020,-70.260776,455,,,
20475,-74.602914,455,0.8579028844833374,6.473766851425171,2.5594562515616417
20930,-72.322436,455,,,
21385,-79.343313,455,,,
21840,-74.766554,455,,,
22295,-74.939179,455,0.8637295365333557,6.482784450054169,2.9371384352445604
22750,-74.027435,455,,,
23205,-73.517409,455,,,
23660,-76.918919,455,,,
24115,-74.372391,455,,,
24570,-74.031142,455,0.8801494240760803,6.474890112876892,2.326740653812885
25025,-85.994168,455,,,
25480,-74.714967,455,,,
25935,-75.331753,455,,,
26390,-73.73571,455,0.9133317470550537,6.4717859625816345,2.1416519030928614
26845,-80.590106,455,,,
27300,-74.63111,455,,,
27755,-71.923296,455,,,
28210,-63.718453,455,,,
28665,-76.213055,455,0.8690098524093628,6.475720196962357,2.7704126119613646
29120,-71.849989,455,,,
29575,-67.347829,455,,,
30030,-74.642341,455,,,
30485,-75.928522,455,0.8781240582466125,6.474642658233643,3.169029578566551
30940,-73.174858,455,,,
31395,-71.71272,455,,,
31850,-73.45966,455,,,
32305,-73.206173,455,,,
32760,-73.805729,455,0.9219399094581604,6.478146666288376,1.6480626150965692
33215,-70.332483,455,,,
33670,-73.329085,455,,,
34125,-76.730605,455,,,
34580,-73.999945,455,0.9464316964149475,6.491362607479095,1.4584380224347115
35035,-69.765259,455,,,
35490,-71.171989,455,,,
35945,-72.238693,455,,,
36400,-77.769585,455,,,
36855,-70.473711,455,0.9212270379066467,6.501562595367432,2.0887313708662987
37310,-70.079601,455,,,
37765,-70.591028,455,,,
38220,-70.957199,455,,,
38675,-66.48977,455,0.9635430574417114,6.506428396701812,1.080816914141178
39130,-71.721248,455,,,
39585,-73.775596,455,,,
40040,-72.44353,455,,,
40495,-78.707716,455,,,
40950,-72.30095,455,0.9517835378646851,6.517655295133591,1.3497110545635223
41405,-72.739018,455,,,
41860,-74.873166,455,,,
42315,-73.140707,455,,,
42770,-71.219368,455,0.9687685966491699,6.5290355563163756,0.9190672628581524
43225,-69.608941,455,,,
43680,-76.172549,455,,,
44135,-72.484479,455,,,
44590,-69.23361,455,,,
45045,-68.836597,455,0.9684232473373413,6.539998733997345,0.7786517813801765
45500,-68.818864,455,,,
45955,-63.284951,455,,,
46410,-72.680179,455,,,
46865,-70.69649,455,0.9702860116958618,6.546147561073303,0.8883213214576244
47320,-72.374853,455,,,
47775,-76.446596,455,,,
48230,-71.134853,455,,,
48685,-79.210626,455,,,
49140,-72.774033,455,0.9524531364440918,6.56138813495636,1.3167352452874184
49595,-67.088741,455,,,
50050,-68.918607,455,,,
50505,-70.815086,455,,,
50960,-67.195018,455,0.9614527225494385,6.574860978126526,1.2131131708621978
51415,-70.885515,455,,,
51870,-63.150568,455,,,
52325,-71.588258,455,,,
52780,-71.876176,455,,,
53235,-72.128603,455,0.9615378379821777,6.58188248872757,1.1108090206980705
53690,-76.647482,455,,,
54145,-71.601399,455,,,
54600,-67.228059,455,,,
55055,-74.127003,455,0.9761576652526855,6.6020422041416165,0.6526590634137392
55510,-63.176372,455,,,
55965,-71.303136,455,,,
56420,-67.918995,455,,,
56875,-76.588696,455,,,
57330,-75.686889,455,0.9423609375953674,6.617106413841247,1.8756556436419487
57785,-69.672831,455,,,
58240,-79.021889,455,,,
58695,-69.947273,455,,,
59150,-71.590699,455,0.9585275053977966,6.624286824464798,1.385372194647789
59605,-70.01209,455,,,
60060,-69.602295,455,,,
60515,-69.596692,455,,,
60970,-68.631352,455,,,
61425,-61.42843,455,0.9479570984840393,6.628676998615265,1.6108658015727997
61880,-74.823253,455,,,
62335,-68.055367,455,,,
62790,-72.226603,455,,,
63245,-69.787293,455,0.9837161898612976,6.633804607391357,0.5081507757306098
63700,-78.584004,455,,,
64155,-66.761127,455,,,
64610,-68.261243,455,,,
65065,-67.819117,455,,,
65520,-61.820987,455,0.9778141975402832,6.654979342222214,0.70191735252738
65975,-63.702012,455,,,
66430,-69.72864,455,,,
66885,-70.079461,455,,,
67340,-66.825328,455,0.9736199378967285,6.666793698072434,0.7864695854485035
67795,-70.240751,455,,,
68250,-69.925766,455,,,
68705,-69.126926,455,,,
69160,-62.494587,455,,,
69615,-60.058224,455,0.9649240374565125,6.687113493680954,1.1170203372836114
70070,-65.269066,455,,,
70525,-79.537002,455,,,
70980,-67.422807,455,,,
71435,-70.990448,455,0.9565044641494751,6.723184412717819,1.601673586666584
71890,-82.397999,455,,,
72345,-65.879951,455,,,
72800,-77.203052,455,,,
73255,-52.603926,455,,,
73710,-70.989299,455,0.9759193658828735,6.746454572677612,0.7804691694676876
74165,-67.733036,455,,,
74620,-65.998521,455,,,
75075,-64.439926,455,,,
75530,-73.93153,455,0.957421064376831,6.770987182855606,1.6354054912924767
75985,-61.269038,455,,,
76440,-65.560049,455,,,
76895,-64.330499,455,,,
77350,-64.486761,455,,,
77805,-62.935281,455,0.9679225087165833,6.804833149909973,1.0631272800266742
78260,-64.226493,455,,,
78715,-72.032335,455,,,
79170,-75.725533,455,,,
79625,-65.116775,455,0.9783667325973511,6.840987741947174,0.6826658040285111
80080,-63.198991,455,,,
80535,-64.781406,455,,,
80990,-62.743911,455,,,
81445,-65.1449,455,,,
81900,-64.8748,455,0.9646801352500916,6.874302381277085,0.8425031132996083
82355,-61.741541,455,,,
82810,-61.049535,455,,,
83265,-75.93771,455,,,
83720,-62.129525,455,0.9957211017608643,6.923865342140198,0.13103812225162983
84175,-62.130912,455,,,
84630,-65.869595,455,,,
85085,-68.257641,455,,,
85540,-61.282139,455,,,
85995,-61.305993,455,0.969329297542572,6.960726791620255,0.8754460133612156
86450,-61.834285,455,,,
86905,-70.115627,455,,,
87360,-61.169789,455,,,
87815,-65.350876,455,0.9740907549858093,6.96985165476799,0.8189583271741867
88270,-67.791826,455,,,
88725,-61.041053,455,,,
89180,-63.021006,455,,,
89635,-67.332981,455,,,
90090,-59.730973,455,0.9766478538513184,6.986740529537201,0.572399590536952
90545,-58.943908,455,,,
91000,-62.593126,455,,,
91455,-62.759743,455,,,
91910,-53.088514,455,0.9741191267967224,7.007286906242371,0.748259150236845
92365,-59.816337,455,,,
92820,-72.315063,455,,,
93275,-59.613364,455,,,
93730,-59.643211,455,,,
94185,-59.987331,455,0.9707533717155457,7.029895132780075,0.7363380432128906
94640,-62.408539,455,,,
95095,-70.75579,455,,,
95550,-59.397904,455,,,
96005,-61.217939,455,0.9798669815063477,7.053470224142075,0.4300560191273689
96460,-62.098967,455,,,
96915,-62.343184,455,,,
97370,-61.460927,455,,,
97825,-60.666912,455,,,
98280,-64.340623,455,0.9564359188079834,7.077995103597641,1.7405890941619873
98735,-57.958619,455,,,
99190,-59.077983,455,,,
99645,-56.224405,455,,,
100100,-55.832719,455,0.9623355269432068,7.098876702785492,1.3967453449964524
100555,-58.344662,455,,,
101010,-58.250592,455,,,
101465,-66.24264,455,,,
101920,-72.492399,455,,,
102375,-58.985589,455,0.9808371067047119,7.1380986869335175,0.42494034171104433
102830,-56.522371,455,,,
103285,-65.699608,455,,,
103740,-62.03128,455,,,
104195,-57.416322,455,0.9696486592292786,7.165454381704331,1.0789385356009007
104650,-77.885903,455,,,
105105,-56.098171,455,,,
105560,-57.818494,455,,,
106015,-60.019317,455,,,
106470,-57.688275,455,0.9729398488998413,7.16614054441452,0.9243258170783519
106925,-61.124681,455,,,
107380,-56.315669,455,,,
107835,-62.361549,455,,,
108290,-58.39408,455,0.976446270942688,7.1622877538204195,0.65098179243505
108745,-67.861548,455,,,
109200,-53.05606,455,,,
109655,-56.746533,455,,,
110110,-55.574681,455,,,
110565,-56.166777,455,0.9719986319541931,7.18436586856842,0.891379538178444
111020,-71.26556,455,,,
111475,-53.276237,455,,,
111930,-55.046011,455,,,
112385,-56.241466,455,0.9773994088172913,7.235128200054168,0.5782510802149773
112840,-54.211068,455,,,
113295,-77.057075,455,,,
113750,-55.763103,455,,,
114205,-62.743698,455,,,
114660,-60.105916,455,0.9800763130187988,7.2809036552906035,0.3909269178286195
115115,-50.5156,455,,,
115570,-54.242055,455,,,
116025,-63.646134,455,,,
116480,-58.77724,455,0.9706389307975769,7.308469378948212,1.2405508153140545
116935,-52.230018,455,,,
117390,-59.82914,455,,,
117845,-51.68616,455,,,
118300,-54.400109,455,,,
118755,-54.510989,455,0.9760328531265259,7.3186331510543825,0.7610177800059319
119210,-60.141625,455,,,
119665,-49.198438,455,,,
120120,-58.909966,455,,,
120575,-66.172126,455,0.9846957325935364,7.355652093887329,0.4120804473757744
121030,-67.019464,455,,,
121485,-52.76263,455,,,
121940,-72.771262,455,,,
122395,-68.051028,455,,,
122850,-71.593079,455,0.9666701555252075,7.394582968950272,1.2287263840436935
123305,-51.635814,455,,,
123760,-52.484374,455,,,
124215,-61.793305,455,,,
124670,-50.665747,455,0.9649613499641418,7.404027533531189,1.3326119661331177
125125,-50.236107,455,,,
125580,-52.246191,455,,,
126035,-50.722362,455,,,
126490,-60.072861,455,,,
126945,-48.295066,455,0.9826635122299194,7.421998757123947,0.43425557799637315
127400,-50.570551,455,,,
127855,-50.331354,455,,,
128310,-51.041397,455,,,
128765,-50.579216,455,0.9841214418411255,7.4371350646018985,0.43265390396118164
129220,-67.279553,455,,,
129675,-50.957794,455,,,
130130,-49.746314,455,,,
130585,-56.089471,455,,,
131040,-48.095427,455,0.990531861782074,7.492555660009384,0.2058915670029819
131495,-47.039424,455,,,
131950,-60.047305,455,,,
132405,-70.194962,455,,,
132860,-63.94824,455,0.9804924130439758,7.5511633336544035,0.5828299552202225
133315,-59.471532,455,,,
133770,-52.971582,455,,,
134225,-53.91063,455,,,
134680,-48.79593,455,,,
135135,-54.097415,455,0.9719120860099792,7.587511187791824,1.084720614552498
135590,-46.291624,455,,,
136045,-48.35387,455,,,
136500,-49.091137,455,,,
136955,-50.701013,455,0.9658326506614685,7.60175319314003,1.2232585594058036
137410,-45.689304,455,,,
137865,-59.650418,455,,,
138320,-45.911158,455,,,
138775,-45.205454,455,,,
139230,-45.552931,455,0.9940111637115479,7.62034353017807,0.09337471700273454
139685,-46.407736,455,,,
140140,-44.615396,455,,,
140595,-45.833823,455,,,
141050,-54.19945,455,0.9809705018997192,7.661566817760468,0.43138761557638644
141505,-57.666735,455,,,
141960,-49.095588,455,,,
142415,-46.294056,455,,,
142870,-51.420988,455,,,
143325,-45.237067,455,0.9815660715103149,7.690824872255325,0.48008022010326384
143780,-53.821334,455,,,
144235,-44.644374,455,,,
144690,-58.623338,455,,,
145145,-52.803856,455,0.9701425433158875,7.716406017541885,0.8795562006533146
145600,-44.241812,455,,,
146055,-46.498326,455,,,
146510,-53.042432,455,,,
146965,-42.420676,455,,,
147420,-51.323954,455,0.9694353342056274,7.732201308012009,1.0048257447779179
147875,-42.522689,455,,,
148330,-51.221909,455,,,
148785,-49.478905,455,,,
149240,-42.234273,455,0.9811412692070007,7.753407329320908,0.6553924605250359
149695,-58.699755,455,,,
150150,-60.700622,455,,,
150605,-43.071972,455,,,
151060,-60.672374,455,,,
151515,-41.828275,455,0.9752498865127563,7.771027743816376,0.855461411550641
151970,-55.734543,455,,,
152425,-53.996254,455,,,
152880,-40.309809,455,,,
153335,-41.420322,455,0.9718368649482727,7.815659278631211,0.8888641364872456
153790,-40.539599,455,,,
154245,-63.531915,455,,,
154700,-37.937834,455,,,
155155,-52.437086,455,,,
155610,-42.255518,455,0.9752037525177002,7.868020862340927,0.6549267254769802
156065,-42.699027,455,,,
156520,-41.617442,455,,,
156975,-41.551219,455,,,
157430,-57.468126,455,0.9777663946151733,7.903035551309586,0.7344859968870878
157885,-60.893295,455,,,
158340,-37.409999,455,,,
158795,-53.488327,455,,,
159250,-41.208425,455,,,
159705,-38.253501,455,0.9798733592033386,7.9294245600700375,0.4625233821570873
160160,-46.596637,455,,,
160615,-40.655458,455,,,
161070,-39.537696,455,,,
