timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-16.498773,455,,,
910,-49.461736,455,,,
1365,-50.549829,455,,,
1820,-48.721775,455,,,
2275,-35.029795,455,,,
2730,-36.602684,455,,,
3185,-40.27093,455,,,
3640,-56.798848,455,,,
4095,-17.776857,455,-0.0021522045135498047,6.403661912679672,7.579356306791306
4550,-9.279889,455,,,
5005,-24.195892,455,,,
5460,-54.448281,455,,,
5915,-37.130551,455,0.12931740283966064,6.422939151525497,3.298412802815437
6370,-51.315931,455,,,
6825,-45.433585,455,,,
7280,-53.657942,455,,,
7735,-21.818534,455,,,
8190,-23.047054,455,0.30673134326934814,6.42727615237236,6.019033932685852
8645,-47.747349,455,,,
9100,-56.937743,455,,,
9555,-45.250013,455,,,
10010,-53.696386,455,0.18102961778640747,6.448872154951095,5.69044799208641
10465,-28.099888,455,,,
10920,-15.318189,455,,,
11375,-24.870318,455,,,
11830,-54.93728,455,,,
12285,-11.939564,455,0.2331368327140808,6.459298670291901,8.12038978934288
12740,-32.657943,455,,,
13195,-8.325867,455,,,
13650,-17.672288,455,,,
14105,-31.647163,455,0.6328678727149963,6.456326860189438,3.324798732995987
14560,-59.669747,455,,,
15015,-46.599423,455,,,
15470,-6.955989,455,,,
15925,-22.153106,455,,,
16380,-43.911498,455,0.6435609459877014,6.461084306240082,2.145377795398235
16835,-51.914235,455,,,
17290,-3.019996,455,,,
17745,-25.420304,455,,,
18200,-56.49519,455,0.7136247158050537,6.476968991756439,5.005403864383697
18655,-35.655802,455,,,
19110,-49.31443,455,,,
19565,-42.3023,455,,,
20020,-46.123752,455,,,
20475,-48.622447,455,0.8446121215820312,6.498411482572555,3.697085577249527
20930,-30.427806,455,,,
21385,-53.628191,455,,,
21840,-27.089965,455,,,
22295,-51.070785,455,0.7688193917274475,6.514645206928253,3.781294432282448
22750,-26.437926,455,,,
23205,-34.154607,455,,,
23660,-42.29324,455,,,
24115,-34.602158,455,,,
24570,-55.362442,455,0.7934318780899048,6.5138361811637875,3.2071855843067167
25025,-51.187024,455,,,
25480,-50.271682,455,,,
25935,-50.089866,455,,,
26390,-47.054815,455,0.8071475028991699,6.511599373817444,2.9679926127195357
26845,-50.608227,455,,,
27300,-45.208589,455,,,
27755,-41.280056,455,,,
28210,-48.096176,455,,,
28665,-41.477259,455,0.7524290680885315,6.532796573638916,4.010526779294014
29120,-47.841368,455,,,
29575,-50.337732,455,,,
30030,-24.913246,455,,,
30485,-56.844926,455,0.7684969902038574,6.551758652925491,4.313615959882736
30940,-36.870736,455,,,
31395,-48.034619,455,,,
31850,-50.407892,455,,,
32305,-9.750148,455,,,
32760,-42.212039,455,0.7335591316223145,6.561699056625367,3.0479152351617813
33215,-48.552455,455,,,
33670,-18.683728,455,,,
34125,-48.278929,455,,,
34580,-57.552276,455,0.7303638458251953,6.5676219940185545,2.71215443611145
35035,-13.13794,455,,,
35490,-38.539971,455,,,
35945,-20.936923,455,,,
36400,-48.012225,455,,,
36855,-5.255742,455,0.7083051204681396,6.580929398536682,3.322603425383568
37310,-54.327772,455,,,
37765,-25.521756,455,,,
38220,-27.774088,455,,,
38675,-46.491991,455,0.7594665884971619,6.586906224489212,2.389562250673771
39130,-20.226096,455,,,
39585,-33.986265,455,,,
40040,-30.684092,455,,,
40495,-45.02971,455,,,
40950,-37.110568,455,0.8478383421897888,6.596008586883545,2.8391445517539977
41405,-37.08508,455,,,
41860,-28.297826,455,,,
42315,-42.280313,455,,,
42770,-36.975292,455,0.879170298576355,6.606849908828735,2.2753024235367776
43225,-29.285691,455,,,
43680,-21.609334,455,,,
44135,-57.810231,455,,,
44590,-9.180627,455,,,
45045,1.926959,455,0.7896777391433716,6.619076502323151,2.3825822308659554
45500,-34.617934,455,,,
45955,-54.254344,455,,,
46410,-37.796277,455,,,
46865,-27.101993,455,0.8694524765014648,6.632395648956299,2.23903299421072
47320,-12.725333,455,,,
47775,-50.216886,455,,,
48230,-22.872778,455,,,
48685,-53.161371,455,,,
49140,-32.67348,455,0.8411031365394592,6.638410609960556,2.620858220756054
49595,-55.005198,455,,,
50050,-38.980915,455,,,
50505,-11.362909,455,,,
50960,-55.895355,455,0.9074156284332275,6.631197899580002,2.5080450028181076
51415,-29.075668,455,,,
51870,-59.760226,455,,,
52325,-11.700666,455,,,
52780,-13.876584,455,,,
53235,-22.610638,455,0.885832667350769,6.65192095041275,2.4662706419825553
53690,-57.139504,455,,,
54145,-21.601066,455,,,
54600,-40.745339,455,,,
55055,-57.993422,455,0.8681531548500061,6.661040771007538,2.3380276247859
55510,-48.95336,455,,,
55965,-25.728011,455,,,
56420,-18.326771,455,,,
56875,-51.641576,455,,,
57330,-58.023984,455,0.8523658514022827,6.666476833820343,2.490916629135609
57785,-4.146948,455,,,
58240,-51.140147,455,,,
58695,-54.681085,455,,,
59150,-43.633014,455,0.868047297000885,6.684192657470703,2.483152502775192
59605,-34.098396,455,,,
60060,-23.349406,455,,,
60515,-5.196811,455,,,
60970,-38.779645,455,,,
61425,-50.140014,455,0.9203565120697021,6.699667978286743,2.4828803703188895
61880,-54.067104,455,,,
62335,-25.194275,455,,,
62790,-18.527089,455,,,
63245,-26.625485,455,0.7760888934135437,6.699492073059082,2.0856247678399087
63700,-51.232531,455,,,
64155,-25.536369,455,,,
64610,-11.576332,455,,,
65065,-37.927226,455,,,
65520,-51.750385,455,0.9014562964439392,6.715205299854278,1.8330588236451149
65975,-49.610096,455,,,
66430,-27.773285,455,,,
66885,-46.990383,455,,,
67340,-35.293036,455,0.8908008337020874,6.721275907754898,2.25743111371994
67795,-52.573197,455,,,
68250,-12.219479,455,,,
68705,-49.550586,455,,,
69160,-52.512476,455,,,
69615,-50.358973,455,0.8167918920516968,6.727026551961899,2.1962345629930495
70070,-16.943264,455,,,
70525,-53.030396,455,,,
70980,-20.517073,455,,,
71435,-28.159704,455,0.9190624356269836,6.733995896577835,2.6670840218663217
71890,-56.412621,455,,,
72345,-28.115687,455,,,
72800,-60.352651,455,,,
73255,-42.101256,455,,,
73710,-49.420142,455,0.8800519704818726,6.731085568666458,2.1264219880104065
74165,-31.44976,455,,,
74620,-28.342697,455,,,
75075,-48.864072,455,,,
75530,-44.492437,455,0.8827124834060669,6.739912259578705,2.7178486183285715
75985,-41.277255,455,,,
76440,-30.850073,455,,,
76895,-36.852887,455,,,
77350,-28.929317,455,,,
77805,-45.315343,455,0.8867042660713196,6.751032549142837,1.9100239768624305
78260,-37.59827,455,,,
78715,-44.090656,455,,,
79170,-45.038457,455,,,
79625,-34.56443,455,0.7944644093513489,6.763652271032333,2.288595178723335
80080,-28.555118,455,,,
80535,-26.642226,455,,,
80990,-25.215165,455,,,
81445,-35.48941,455,,,
81900,-30.928541,455,0.8140696883201599,6.783027881383896,2.040962578356266
82355,-48.497504,455,,,
82810,-50.089372,455,,,
83265,-47.49766,455,,,
83720,-22.920676,455,0.8581700325012207,6.813614267110824,1.5572071120142936
84175,-30.149517,455,,,
84630,-46.010656,455,,,
85085,-49.717692,455,,,
85540,-20.405823,455,,,
