timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.983291,455,,,
910,-31.266361,455,,,
1365,-24.177499,455,,,
1820,-33.134878,455,,,
2275,-63.349358,455,,,
2730,-64.51297,455,,,
3185,-58.841988,455,,,
3640,-62.355852,455,,,
4095,-60.883487,455,0.007421553134918213,6.400760543346405,10.527240884304046
4550,-59.413717,455,,,
5005,-63.017358,455,,,
5460,-30.178527,455,,,
5915,-64.662027,455,0.2433297038078308,6.415366297960281,10.679500514268875
6370,-10.564344,455,,,
6825,-61.412816,455,,,
7280,-21.45853,455,,,
7735,-59.689401,455,,,
8190,-62.512612,455,0.5566004514694214,6.405437725782394,8.546563935279845
8645,-25.864638,455,,,
9100,-34.499943,455,,,
9555,-23.66527,455,,,
10010,-23.882569,455,0.7299846410751343,6.3967115640640255,6.3112113118171695
10465,-60.645627,455,,,
10920,-58.671335,455,,,
11375,-62.933782,455,,,
11830,-24.783672,455,,,
12285,-62.184871,455,0.6873512268066406,6.396321684122086,5.860499450564385
12740,-63.12063,455,,,
13195,-58.158893,455,,,
13650,-61.989046,455,,,
14105,-61.33944,455,0.7803571820259094,6.402342355251312,5.328165173530579
14560,-42.467052,455,,,
15015,-31.637748,455,,,
15470,-62.340121,455,,,
15925,-62.661455,455,,,
16380,-36.06164,455,0.8560564517974854,6.403003019094467,4.334838873147964
16835,-38.507041,455,,,
17290,-57.936912,455,,,
17745,-63.240545,455,,,
18200,-21.713578,455,0.8645834922790527,6.397683882713318,4.449635970592499
18655,-58.694224,455,,,
19110,-23.688876,455,,,
19565,-54.428492,455,,,
20020,-30.65436,455,,,
20475,-42.047029,455,0.8986566662788391,6.404021632671356,3.9029272139072417
20930,-55.803323,455,,,
21385,-35.25415,455,,,
21840,-58.700979,455,,,
22295,-44.79904,455,0.8720347285270691,6.420643711090088,3.8416398733854296
22750,-56.03974,455,,,
23205,-56.713439,455,,,
23660,-13.332775,455,,,
24115,-55.450162,455,,,
24570,-28.220472,455,0.9303880333900452,6.42511237859726,2.8547426149249078
25025,-33.569369,455,,,
25480,-27.498142,455,,,
25935,-30.016007,455,,,
26390,-55.586033,455,0.9329720139503479,6.43259956240654,2.9016758307814596
26845,-27.656865,455,,,
27300,-34.61546,455,,,
27755,-38.613916,455,,,
28210,-33.770468,455,,,
28665,-27.402354,455,0.9062035083770752,6.44890004992485,3.043040157854557
29120,-53.888993,455,,,
29575,-27.086682,455,,,
30030,-58.78524,455,,,
30485,-18.960115,455,0.8405171036720276,6.459431141614914,3.3253534615039824
30940,-55.280223,455,,,
31395,-33.234707,455,,,
31850,-19.412385,455,,,
32305,-56.431941,455,,,
32760,-53.427732,455,0.9276804327964783,6.47486714720726,2.693143607676029
33215,-19.492704,455,,,
33670,-54.983152,455,,,
34125,-22.978778,455,,,
34580,-23.127781,455,0.9406734108924866,6.4909533858299255,2.33833579570055
35035,-54.346674,455,,,
35490,-54.051644,455,,,
35945,-54.810407,455,,,
36400,-24.221026,455,,,
36855,-57.172388,455,0.9350360035896301,6.501443773508072,2.4558923289179804
37310,-30.744564,455,,,
37765,-57.765264,455,,,
38220,-53.961755,455,,,
38675,-29.530258,455,0.9604970216751099,6.520366060733795,1.9343965977430344
39130,-52.772249,455,,,
39585,-54.585753,455,,,
40040,-54.406537,455,,,
40495,-42.751709,455,,,
40950,-48.01328,455,0.9521503448486328,6.531713372468948,2.45343716442585
41405,-52.022025,455,,,
41860,-55.088694,455,,,
42315,-33.13107,455,,,
42770,-52.93658,455,0.9694064855575562,6.546454232931137,1.825301292538643
43225,-57.998238,455,,,
43680,-55.541347,455,,,
44135,-29.467857,455,,,
44590,-53.265087,455,,,
45045,-49.878639,455,0.9693137407302856,6.577883869409561,1.7142925813794136
45500,-54.368115,455,,,
45955,-33.492268,455,,,
46410,-19.092863,455,,,
46865,-52.394852,455,0.9734289646148682,6.61212409734726,1.4696646273136138
47320,-53.072469,455,,,
47775,-31.350689,455,,,
48230,-51.546355,455,,,
48685,-26.031809,455,,,
49140,-52.269413,455,0.9576315879821777,6.6271375715732574,1.9597461372613907
49595,-20.370432,455,,,
50050,-51.732673,455,,,
50505,-49.980628,455,,,
50960,-32.656942,455,0.9679285883903503,6.640332072973251,2.1534582272171976
51415,-52.9182,455,,,
51870,-11.134389,455,,,
52325,-51.29558,455,,,
52780,-49.646251,455,,,
53235,-45.357635,455,0.9664831161499023,6.644443845748901,2.2047054335474967
53690,-20.960002,455,,,
54145,-53.560679,455,,,
54600,-14.1127,455,,,
55055,-31.821945,455,0.9800199866294861,6.652630579471588,1.5677172258496284
55510,-21.47995,455,,,
55965,-50.956137,455,,,
56420,-48.057264,455,,,
56875,-16.471947,455,,,
57330,-23.506293,455,0.9359444379806519,6.667913240194321,2.6796109706163405
57785,-45.295829,455,,,
58240,-27.300136,455,,,
58695,-24.940723,455,,,
59150,-26.880511,455,0.9637372493743896,6.703581392765045,1.7648527562618255
59605,-48.547303,455,,,
60060,-48.311018,455,,,
60515,-49.401445,455,,,
60970,-52.274509,455,,,
61425,-20.61872,455,0.9525823593139648,6.719587868452072,2.4660570710897445
61880,-19.93041,455,,,
62335,-47.433765,455,,,
62790,-49.632982,455,,,
63245,-44.517296,455,0.9844346642494202,6.735419654846192,1.1626002959907056
63700,-24.052304,455,,,
64155,-42.830936,455,,,
64610,-43.781976,455,,,
65065,-43.591752,455,,,
65520,-28.963477,455,0.9808472394943237,6.750331205129624,1.6082271486520767
65975,-19.856768,455,,,
66430,-45.16444,455,,,
66885,-21.873238,455,,,
67340,-45.361926,455,0.9814220666885376,6.7687356770038605,1.1365830041468143
67795,-23.965157,455,,,
68250,-43.250745,455,,,
68705,-32.59648,455,,,
69160,-21.053494,455,,,
69615,-23.507068,455,0.969042181968689,6.7917393982410434,2.2344058394432067
70070,-47.029594,455,,,
70525,-21.274778,455,,,
70980,-44.68596,455,,,
71435,-46.841649,455,0.9423202276229858,6.795665544271469,3.175510708987713
71890,-20.081657,455,,,
72345,-40.344838,455,,,
72800,-24.596815,455,,,
73255,-19.236404,455,,,
73710,-25.457031,455,0.981850802898407,6.811051213741303,1.1663330793380737
74165,-17.823975,455,,,
74620,-41.000835,455,,,
75075,-39.010374,455,,,
75530,-38.56163,455,0.9449119567871094,6.8273364245891575,2.4056536719202994
75985,-25.610853,455,,,
76440,-45.980489,455,,,
76895,-44.085019,455,,,
77350,-42.144191,455,,,
77805,-23.503772,455,0.9704626798629761,6.842264324426651,1.801355217397213
78260,-35.564723,455,,,
78715,-14.885105,455,,,
79170,-31.777538,455,,,
79625,-44.98167,455,0.9852429628372192,6.85924808382988,1.1301815174520016
80080,-36.017351,455,,,
80535,-39.353417,455,,,
80990,-34.781379,455,,,
81445,-37.81144,455,,,
81900,-33.750466,455,0.9764503240585327,6.870952755212784,1.665498784184456
82355,-33.398569,455,,,
82810,-16.089132,455,,,
83265,-14.572344,455,,,
83720,-33.227321,455,0.9952204823493958,6.885182505846023,0.9945228960365057
84175,-41.095583,455,,,
84630,-28.790772,455,,,
85085,-12.69199,455,,,
85540,-34.276645,455,,,
85995,-36.360897,455,0.9760753512382507,6.89491553902626,1.7588817566633224
86450,-36.722869,455,,,
86905,-18.624294,455,,,
87360,-39.288167,455,,,
87815,-37.259602,455,0.9783275723457336,6.914735108613968,1.8702060244977474
88270,-25.27103,455,,,
88725,-35.364303,455,,,
89180,-37.234712,455,,,
89635,-29.9739,455,,,
90090,-35.147904,455,0.984173059463501,6.934430801868439,1.206459502875805
90545,-36.995881,455,,,
91000,-31.548947,455,,,
91455,-20.38135,455,,,
91910,-34.556402,455,0.9854716658592224,6.938289088010788,1.3467488028109074
92365,-31.954096,455,,,
92820,-21.697937,455,,,
93275,-27.638652,455,,,
93730,-30.119937,455,,,
94185,-28.980269,455,0.977879524230957,6.958388602733612,1.5136597193777561
94640,-17.785372,455,,,
95095,-16.057401,455,,,
95550,-31.913692,455,,,
96005,-21.197097,455,0.9897323250770569,6.98219655752182,0.9032940238714218
96460,-24.978455,455,,,
96915,-16.300171,455,,,
97370,-34.950661,455,,,
97825,-15.353896,455,,,
98280,-18.112517,455,0.9496778249740601,7.021856415271759,2.284728008508682
98735,-27.277075,455,,,
99190,-24.174515,455,,,
99645,-26.68427,455,,,
100100,-25.420503,455,0.9530933499336243,7.059856933355332,2.1084583207964895
100555,-29.739367,455,,,
101010,-31.955068,455,,,
101465,-22.231045,455,,,
101920,-24.963886,455,,,
102375,-30.329922,455,0.9902243614196777,7.0879104197025296,0.7672064404934644
102830,-29.351407,455,,,
103285,-32.663754,455,,,
103740,-11.903425,455,,,
104195,-22.941279,455,0.9627044796943665,7.125401985645294,1.9834268122911454
104650,-12.866015,455,,,
105105,-22.390587,455,,,
105560,-13.909609,455,,,
106015,-27.232257,455,,,
106470,-25.296725,455,0.9744344353675842,7.137771850824356,1.608181755244732
106925,-19.686363,455,,,
107380,-22.640029,455,,,
107835,-25.168301,455,,,
108290,-27.172989,455,0.9871997833251953,7.148476225137711,1.4426058024168014
108745,-13.194144,455,,,
109200,-25.654908,455,,,
