timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-98.174035,455,,,
910,-69.661508,455,,,
1365,-72.261437,455,,,
1820,-78.301208,455,,,
2275,-83.13882,455,,,
2730,-97.882829,455,,,
3185,-82.675881,455,,,
3640,-99.756934,455,,,
4095,-86.371237,455,-0.015377998352050781,6.41712686419487,9.00978001356125
4550,-94.125954,455,,,
5005,-88.730536,455,,,
5460,-74.555899,455,,,
5915,-87.591836,455,0.034697532653808594,6.443427383899689,8.987563979625701
6370,-67.436536,455,,,
6825,-92.892661,455,,,
7280,-72.075371,455,,,
7735,-76.690098,455,,,
8190,-104.189194,455,0.09532660245895386,6.4605851650238035,10.191235840320587
8645,-69.585307,455,,,
9100,-65.322075,455,,,
9555,-57.406104,455,,,
10010,-75.754877,455,0.1541661024093628,6.497747296094895,9.989589941501617
10465,-104.070158,455,,,
10920,-72.460273,455,,,
11375,-105.763295,455,,,
11830,-81.219541,455,,,
12285,-93.014512,455,0.11443626880645752,6.521302884817123,10.709378409385682
12740,-93.927748,455,,,
13195,-79.719056,455,,,
13650,-102.871681,455,,,
14105,-88.756624,455,0.44233906269073486,6.5303697228431705,7.3902581334114075
14560,-68.419437,455,,,
15015,-74.846399,455,,,
15470,-94.158569,455,,,
15925,-64.224486,455,,,
16380,-68.556412,455,0.3769978880882263,6.550164419412613,6.5363070368766785
16835,-80.945555,455,,,
17290,-103.061828,455,,,
17745,-86.806887,455,,,
18200,-85.736026,455,0.2909618020057678,6.57811912894249,9.469334155321121
18655,-97.743043,455,,,
19110,-76.859233,455,,,
19565,-94.61827,455,,,
20020,-62.90725,455,,,
20475,-70.04745,455,0.4348476529121399,6.5801720261573795,7.940337312221527
20930,-73.517929,455,,,
21385,-66.508021,455,,,
21840,-103.512845,455,,,
22295,-91.285248,455,0.6253483295440674,6.591346168518067,7.371742784976959
22750,-94.098398,455,,,
23205,-84.822648,455,,,
23660,-64.66342,455,,,
24115,-90.919331,455,,,
24570,-81.486815,455,0.8188411593437195,6.602968436479569,5.955604219436646
25025,-75.243542,455,,,
25480,-73.3212,455,,,
25935,-72.335847,455,,,
26390,-91.380016,455,0.6290223598480225,6.612429302930832,8.416056257486343
26845,-74.058957,455,,,
27300,-69.689884,455,,,
27755,-68.548267,455,,,
28210,-77.33839,455,,,
28665,-63.029134,455,0.8240530490875244,6.61986335515976,6.0905117869377134
29120,-102.478762,455,,,
29575,-64.679278,455,,,
30030,-95.018405,455,,,
30485,-69.613435,455,0.8747281432151794,6.626285725831986,5.813979661464691
30940,-100.523812,455,,,
31395,-69.261582,455,,,
31850,-72.307023,455,,,
32305,-100.950629,455,,,
32760,-82.312292,455,0.8655107021331787,6.637931329011917,4.816204836964607
33215,-70.983629,455,,,
33670,-94.554564,455,,,
34125,-65.46111,455,,,
34580,-74.385113,455,0.8434735536575317,6.655797094106674,5.9488262116909025
35035,-111.861325,455,,,
35490,-76.648925,455,,,
35945,-98.472022,455,,,
36400,-72.069158,455,,,
36855,-81.864849,455,0.8841450214385986,6.676482456922531,4.669092950224877
37310,-65.239884,455,,,
37765,-103.901898,455,,,
38220,-90.510494,455,,,
38675,-69.876453,455,0.868742823600769,6.685690855979919,5.53516856431961
39130,-110.348421,455,,,
39585,-75.946331,455,,,
40040,-96.631643,455,,,
40495,-67.992163,455,,,
40950,-88.672587,455,0.8442851901054382,6.691059494018555,4.324930113554001
41405,-98.139078,455,,,
41860,-75.232289,455,,,
42315,-66.767653,455,,,
42770,-79.722709,455,0.8504418730735779,6.687585943937302,4.448753669857979
43225,-99.46474,455,,,
43680,-105.181413,455,,,
44135,-73.944547,455,,,
44590,-95.634823,455,,,
45045,-103.399069,455,0.8496988415718079,6.684023201465607,3.509279102087021
45500,-123.886254,455,,,
45955,-63.196061,455,,,
46410,-71.249252,455,,,
46865,-95.601322,455,0.8604849576950073,6.696386307477951,4.731141147017479
47320,-75.931807,455,,,
47775,-70.761843,455,,,
48230,-87.445462,455,,,
48685,-62.17638,455,,,
49140,-86.403847,455,0.8352490663528442,6.704713904857636,4.006051474809647
49595,-69.787444,455,,,
50050,-108.870992,455,,,
50505,-94.928932,455,,,
50960,-72.099544,455,0.7861509919166565,6.69908989071846,5.273793303966523
51415,-94.508807,455,,,
51870,-58.691178,455,,,
52325,-100.099036,455,,,
