timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-23.323326,455,,,
910,-49.761226,455,,,
1365,-50.66971,455,,,
1820,-48.837557,455,,,
2275,-23.596667,455,,,
2730,-20.775294,455,,,
3185,-19.421772,455,,,
3640,-21.524183,455,,,
4095,-21.883921,455,-0.008849501609802246,6.38811446428299,9.687600773572921
4550,-17.082543,455,,,
5005,-21.757397,455,,,
5460,-54.128848,455,,,
5915,-20.652266,455,0.09484177827835083,6.402493292093277,7.096526420116424
6370,-51.34649,455,,,
6825,-23.946955,455,,,
7280,-53.608549,455,,,
7735,-18.03808,455,,,
8190,-20.56595,455,0.26778262853622437,6.417935466766357,6.6451567828655245
8645,-48.032004,455,,,
9100,-57.350534,455,,,
9555,-46.177008,455,,,
10010,-54.690581,455,0.5415433645248413,6.423264425992966,5.492009994387627
10465,-19.722777,455,,,
10920,-14.804368,455,,,
11375,-17.62285,455,,,
11830,-56.20327,455,,,
12285,-22.336601,455,0.5047303438186646,6.418129354715347,6.215944349765778
12740,-19.416064,455,,,
13195,-23.50194,455,,,
13650,-20.316902,455,,,
14105,-20.598781,455,0.7731903791427612,6.413626158237458,3.574885642528534
14560,-60.2045,455,,,
15015,-47.26204,455,,,
15470,-20.420538,455,,,
15925,-22.025248,455,,,
16380,-44.639,455,0.8479040861129761,6.4143250465393065,2.5211390927433968
16835,-52.77172,455,,,
17290,-21.80237,455,,,
17745,-20.41432,455,,,
18200,-57.666251,455,0.7912864089012146,6.41769015789032,3.9763365030288695
18655,-23.972546,455,,,
19110,-49.642448,455,,,
19565,-16.813736,455,,,
20020,-47.086549,455,,,
20475,-49.957657,455,0.8492156863212585,6.425483572483063,3.1696910172700883
20930,-19.288898,455,,,
21385,-53.473241,455,,,
21840,-23.176163,455,,,
22295,-51.227537,455,0.8524160385131836,6.43794339299202,3.077739563584328
22750,-16.598902,455,,,
23205,-23.327026,455,,,
23660,-42.608043,455,,,
24115,-18.325451,455,,,
24570,-56.924984,455,0.8868184089660645,6.4518928825855255,2.8498280376195906
25025,-50.874496,455,,,
25480,-50.933676,455,,,
25935,-50.56541,455,,,
26390,-19.717963,455,0.8866820335388184,6.452452659606934,2.4242806792259217
