timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-18.349628,455,,,
910,-30.691478,455,,,
1365,-23.597177,455,,,
1820,-32.588748,455,,,
2275,-17.441313,455,,,
2730,-33.182224,455,,,
3185,-13.994476,455,,,
3640,-25.991406,455,,,
4095,-6.585329,455,-0.010996818542480469,6.401789897680283,8.090414160490036
4550,3.101734,455,,,
5005,-7.766302,455,,,
5460,-29.78312,455,,,
5915,10.594854,455,-0.0006307363510131836,6.433867728710174,4.877309915423393
6370,-10.466231,455,,,
6825,-27.850568,455,,,
7280,-21.807033,455,,,
7735,-21.691515,455,,,
8190,-8.801788,455,0.19122451543807983,6.444652956724167,6.874223446846008
8645,-25.478403,455,,,
9100,-34.541522,455,,,
9555,-23.815449,455,,,
10010,-24.051986,455,0.12528842687606812,6.422174167633057,6.310739535093307
10465,-13.983183,455,,,
10920,9.283222,455,,,
11375,-12.422795,455,,,
11830,-25.365195,455,,,
12285,-7.553809,455,0.12063103914260864,6.408899044990539,8.933019322156905
12740,-30.752542,455,,,
13195,-22.915211,455,,,
13650,-20.68738,455,,,
14105,-3.039078,455,0.2736635208129883,6.437289220094681,4.844741874933243
14560,-42.137449,455,,,
15015,-31.31128,455,,,
15470,11.861606,455,,,
15925,-24.538711,455,,,
16380,-35.968327,455,0.427756130695343,6.466036760807038,4.21289843916893
16835,-38.978547,455,,,
17290,-6.64345,455,,,
17745,-1.215709,455,,,
18200,-21.894288,455,0.690893828868866,6.466419076919555,4.936863186955452
18655,-17.170553,455,,,
19110,-24.017203,455,,,
19565,-12.441914,455,,,
20020,-31.430609,455,,,
20475,-42.518574,455,0.659971296787262,6.468872672319412,4.701721319556237
20930,-21.288788,455,,,
21385,-36.394699,455,,,
21840,-9.905325,455,,,
22295,-45.842045,455,0.6984567642211914,6.488319772481918,5.141631910204888
22750,-10.343975,455,,,
23205,-25.377276,455,,,
23660,-14.063916,455,,,
24115,-16.47431,455,,,
24570,-29.238349,455,0.8443885445594788,6.498342841863632,4.068297642469406
25025,-33.929094,455,,,
25480,-28.612588,455,,,
25935,-30.899956,455,,,
26390,-32.278696,455,0.6211228370666504,6.507797569036484,3.8857696294784545
26845,-29.230706,455,,,
27300,-35.675173,455,,,
27755,-39.112778,455,,,
28210,-34.936351,455,,,
28665,-29.011981,455,0.7230044007301331,6.515807640552521,4.3065514206886295
29120,-29.174885,455,,,
29575,-28.347355,455,,,
30030,-13.505271,455,,,
30485,-20.153553,455,0.733678936958313,6.518596279621124,4.6125541746616365
30940,-23.36755,455,,,
31395,-34.322093,455,,,
31850,-20.954012,455,,,
32305,-27.491295,455,,,
32760,-5.12885,455,0.7684060335159302,6.525566023588181,3.750196227431297
33215,-21.008584,455,,,
33670,-13.41234,455,,,
34125,-24.27707,455,,,
34580,-24.881623,455,0.8317651748657227,6.5249187588691715,3.2800294160842896
35035,-19.156646,455,,,
35490,-22.677058,455,,,
35945,-13.289067,455,,,
36400,-25.91653,455,,,
36855,-28.774583,455,0.7331582307815552,6.524593091011047,3.5339768916368484
37310,-31.001831,455,,,
37765,-6.764438,455,,,
38220,-2.115041,455,,,
38675,-30.312012,455,0.7084314823150635,6.532376599311829,3.5903407871723174
39130,-5.256455,455,,,
39585,-29.725888,455,,,
40040,-18.056408,455,,,
40495,-44.408418,455,,,
