timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-68.241765,455,,,
910,-45.302537,455,,,
1365,-41.154771,455,,,
1820,-40.203261,455,,,
2275,-69.016381,455,,,
2730,-68.727707,455,,,
3185,-65.289803,455,,,
3640,-68.834093,455,,,
4095,-66.432867,455,0.004894852638244629,6.387058931589126,10.086389112472535
4550,-63.698565,455,,,
5005,-68.359251,455,,,
5460,-37.747914,455,,,
5915,-67.630137,455,0.19502055644989014,6.392348843812942,7.073940849304199
6370,-30.327705,455,,,
6825,-66.965025,455,,,
7280,-31.221381,455,,,
7735,-64.971117,455,,,
8190,-67.747378,455,0.4269755482673645,6.389745098352432,6.618992215394973
8645,-28.226061,455,,,
9100,-50.472369,455,,,
9555,-34.249904,455,,,
10010,-49.507842,455,0.6634511947631836,6.392931407690048,5.984493604302406
10465,-69.194561,455,,,
10920,-65.689495,455,,,
11375,-67.602408,455,,,
11830,-33.252606,455,,,
12285,-66.787737,455,0.6253355741500854,6.406687915325165,6.5580410182476045
12740,-67.206376,455,,,
13195,-68.487857,455,,,
13650,-67.800071,455,,,
14105,-68.448716,455,0.8153007626533508,6.415411186218262,3.6447063863277434
14560,-36.450439,455,,,
15015,-25.421694,455,,,
15470,-66.294033,455,,,
15925,-67.230218,455,,,
16380,-32.287884,455,0.9044678807258606,6.414069813489914,2.4025139272212983
16835,-28.677465,455,,,
17290,-68.326869,455,,,
17745,-65.522802,455,,,
18200,-35.707632,455,0.8701798319816589,6.415015375614166,3.994061899185181
18655,-66.5569,455,,,
19110,-39.314248,455,,,
19565,-62.500207,455,,,
20020,-35.78307,455,,,
20475,-37.704806,455,0.9125760793685913,6.432174479961395,3.3218878656625748
20930,-64.372137,455,,,
21385,-40.689294,455,,,
21840,-65.216306,455,,,
22295,-35.053377,455,0.8848692178726196,6.4464174032211305,3.5889702409505846
22750,-66.779815,455,,,
23205,-64.865512,455,,,
23660,-28.533734,455,,,
24115,-62.42066,455,,,
24570,-37.590737,455,0.9246245622634888,6.453612905740738,2.834119626879692
25025,-40.028491,455,,,
25480,-45.760374,455,,,
25935,-40.980792,455,,,
26390,-65.156065,455,0.9369715452194214,6.463941776752472,2.509683185815811
26845,-34.859036,455,,,
27300,-42.151288,455,,,
27755,-33.660595,455,,,
28210,-26.135588,455,,,
28665,-37.892432,455,0.9057272672653198,6.470317769050598,3.028366592526436
29120,-60.31444,455,,,
29575,-43.341767,455,,,
30030,-65.306606,455,,,
30485,-40.749452,455,0.8340714573860168,6.475055688619614,3.5610098212957384
30940,-66.30754,455,,,
31395,-35.810211,455,,,
31850,-39.282746,455,,,
32305,-65.696101,455,,,
32760,-65.975029,455,0.9422588348388672,6.46903890967369,2.0885646760463716
33215,-34.571218,455,,,
33670,-65.661384,455,,,
34125,-39.182324,455,,,
34580,-35.803125,455,0.9382427930831909,6.475260299444199,2.099373970925808
35035,-63.37495,455,,,
35490,-62.694653,455,,,
35945,-62.699106,455,,,
36400,-30.826772,455,,,
36855,-63.755437,455,0.9291558265686035,6.492644780874253,2.6478564500808717
37310,-34.903385,455,,,
37765,-63.034751,455,,,
38220,-64.901725,455,,,
38675,-35.527435,455,0.9693630337715149,6.503015542030335,1.2467000149190426
39130,-65.180148,455,,,
39585,-67.287514,455,,,
40040,-61.960984,455,,,
40495,-36.440952,455,,,
40950,-64.330173,455,0.961198627948761,6.520484280586243,1.5351867869496345
41405,-63.102314,455,,,
41860,-64.359103,455,,,
42315,-28.903488,455,,,
42770,-60.385826,455,0.9799076914787292,6.558074516057968,0.9835039563477039
43225,-59.518288,455,,,
43680,-66.308337,455,,,
44135,-29.630348,455,,,
44590,-58.781187,455,,,
45045,-60.346915,455,0.9764355421066284,6.572542649507523,1.1113586574792862
45500,-60.198236,455,,,
45955,-22.75008,455,,,
46410,-23.885718,455,,,
46865,-60.143588,455,0.9788100123405457,6.577925550937652,1.0164645172655582
47320,-62.438561,455,,,
47775,-31.9442,455,,,
48230,-61.422799,455,,,
48685,-38.514669,455,,,
49140,-62.311231,455,0.9678380489349365,6.593686747550964,1.602381020784378
49595,-33.221023,455,,,
50050,-59.787153,455,,,
50505,-61.436352,455,,,
50960,-33.907291,455,0.9671801924705505,6.604831176996231,1.5508174642920494
51415,-61.627346,455,,,
51870,-29.168797,455,,,
52325,-56.865597,455,,,
52780,-60.797977,455,,,
53235,-59.639455,455,0.9714930653572083,6.60026308298111,1.4978378474712373
53690,-23.390259,455,,,
54145,-60.655847,455,,,
54600,-26.905241,455,,,
55055,-38.595735,455,0.9843436479568481,6.6072551012039185,0.927428311854601
55510,-30.417517,455,,,
55965,-58.857386,455,,,
56420,-53.369033,455,,,
56875,-43.004451,455,,,
57330,-25.960021,455,0.940220832824707,6.612091070413589,2.206884413957596
57785,-56.799588,455,,,
58240,-30.289547,455,,,
58695,-38.584874,455,,,
59150,-33.716382,455,0.9650320410728455,6.625310653448105,1.7776065975427628
59605,-54.914902,455,,,
60060,-58.251013,455,,,
60515,-56.149447,455,,,
60970,-57.832237,455,,,
61425,-29.715225,455,0.9594035744667053,6.644572824239731,1.7526781365275383
61880,-28.871564,455,,,
62335,-54.746901,455,,,
62790,-58.810968,455,,,
63245,-57.205479,455,0.9856081604957581,6.650085812807083,1.0711770184338092
63700,-33.07974,455,,,
64155,-56.842002,455,,,
64610,-56.342992,455,,,
65065,-55.200569,455,,,
65520,-40.801561,455,0.9823417663574219,6.665962946414948,0.9312458865344524
65975,-31.42571,455,,,
66430,-55.589856,455,,,
66885,-27.516178,455,,,
67340,-54.5649,455,0.9808600544929504,6.694602316617965,1.1027284920215608
67795,-16.365913,455,,,
68250,-56.311555,455,,,
68705,-28.803831,455,,,
69160,-27.423497,455,,,
69615,-38.871855,455,0.9688453078269958,6.714028686285019,1.5441868729889392
70070,-54.493772,455,,,
70525,-32.487286,455,,,
70980,-56.370951,455,,,
71435,-57.660085,455,0.947160005569458,6.737182569503784,2.2917549058794977
71890,-28.137812,455,,,
72345,-54.820557,455,,,
72800,-46.583374,455,,,
73255,-23.960301,455,,,
73710,-26.739397,455,0.9833046793937683,6.756184720993042,0.9466794297099114
74165,-23.288807,455,,,
74620,-54.096416,455,,,
75075,-53.204076,455,,,
75530,-19.022094,455,0.9426661729812622,6.767481940984726,2.1086822122335436
75985,-22.394811,455,,,
76440,-52.782469,455,,,
76895,-53.014338,455,,,
77350,-51.899983,455,,,
77805,-20.730181,455,0.9722520112991333,6.778826427459717,1.3151609547436238
78260,-53.680807,455,,,
78715,-28.3607,455,,,
79170,-30.41118,455,,,
79625,-54.08836,455,0.9818636775016785,6.809061193466187,0.9505162224173546
80080,-51.830348,455,,,
80535,-55.565097,455,,,
80990,-50.678256,455,,,
81445,-53.340985,455,,,
81900,-53.140552,455,0.978998064994812,6.837407124042511,1.1494638256728649
82355,-51.032045,455,,,
82810,-28.705723,455,,,
83265,-22.796623,455,,,
83720,-50.998841,455,0.997654378414154,6.866526466608048,0.2734493810683489
84175,-51.169327,455,,,
84630,-34.886383,455,,,
85085,-39.346488,455,,,
85540,-51.1115,455,,,
85995,-51.305963,455,0.978553295135498,6.89642500281334,1.1822584606707096
86450,-52.513467,455,,,
86905,-37.106227,455,,,
87360,-50.999665,455,,,
87815,-54.668727,455,0.9768816828727722,6.904871845245362,1.1291967935860157
88270,-29.480057,455,,,
88725,-50.970944,455,,,
89180,-51.947204,455,,,
89635,-19.675372,455,,,
90090,-47.866256,455,0.9835697412490845,6.916718369722366,0.8530350964516401
90545,-48.066075,455,,,
91000,-49.037739,455,,,
91455,-21.442448,455,,,
91910,-19.525941,455,0.9843427538871765,6.949228185415268,0.8935982070863246
92365,-48.36635,455,,,
92820,-31.068405,455,,,
93275,-49.612372,455,,,
93730,-51.879416,455,,,
94185,-48.839028,455,0.97681725025177,6.988854229450226,1.1607873164117337
94640,-31.347762,455,,,
95095,-12.515682,455,,,
95550,-48.880485,455,,,
