timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-64.582473,455,,,
910,-84.019495,455,,,
1365,-67.765971,455,,,
1820,-73.623803,455,,,
2275,-65.755684,455,,,
2730,-67.639522,455,,,
3185,-62.206852,455,,,
3640,-71.183716,455,,,
4095,-66.950556,455,0.03827410936355591,6.395680916309357,9.089161145687104
4550,-69.767778,455,,,
5005,-66.051147,455,,,
5460,-70.935666,455,,,
5915,-71.469952,455,0.3131403923034668,6.4164457499980925,5.738042253255844
6370,-67.446631,455,,,
6825,-63.707626,455,,,
7280,-65.539331,455,,,
7735,-62.459794,455,,,
8190,-66.744692,455,0.5694446563720703,6.426128816604614,6.7392805278301235
8645,-65.472359,455,,,
9100,-79.362151,455,,,
9555,-63.357656,455,,,
10010,-76.878338,455,0.6759241223335266,6.411898189783097,5.960463923215866
10465,-67.467221,455,,,
10920,-61.535874,455,,,
11375,-62.718622,455,,,
11830,-72.355154,455,,,
12285,-62.693965,455,0.5193912982940674,6.4268708527088165,6.9403396368026735
12740,-63.188422,455,,,
13195,-66.611043,455,,,
13650,-67.444797,455,,,
14105,-69.077889,455,0.6407954692840576,6.453665983676911,5.651808360219002
14560,-66.485196,455,,,
15015,-83.2215,455,,,
15470,-66.980322,455,,,
15925,-61.941544,455,,,
16380,-77.059023,455,0.8144803047180176,6.470913606882095,4.1276416152715685
16835,-74.790504,455,,,
17290,-65.714107,455,,,
17745,-63.627384,455,,,
18200,-75.480973,455,0.8513166308403015,6.478430670499802,4.045671531558037
18655,-64.217621,455,,,
19110,-68.980592,455,,,
19565,-62.163692,455,,,
20020,-73.017689,455,,,
20475,-65.174326,455,0.886353611946106,6.484954708814621,3.5554190248250963
20930,-60.111636,455,,,
21385,-68.080764,455,,,
21840,-57.836278,455,,,
22295,-64.816556,455,0.8507652282714844,6.487504309415817,4.323510298132897
22750,-65.890606,455,,,
23205,-60.414845,455,,,
23660,-78.486601,455,,,
24115,-56.600093,455,,,
24570,-76.678931,455,0.9057989716529846,6.496855753660202,3.225354164838791
25025,-76.110538,455,,,
25480,-67.69509,455,,,
25935,-86.870288,455,,,
26390,-61.302749,455,0.8943595886230469,6.506020563840866,3.4826292872428892
26845,-70.460354,455,,,
27300,-62.194583,455,,,
27755,-76.141483,455,,,
28210,-63.023108,455,,,
28665,-69.885364,455,0.8676832914352417,6.5079246163368225,4.415412622690201
29120,-61.253158,455,,,
29575,-75.775329,455,,,
30030,-66.253413,455,,,
30485,-67.470378,455,0.8612125515937805,6.5191770732402805,4.198617568612098
30940,-60.108253,455,,,
31395,-66.898847,455,,,
31850,-70.910768,455,,,
32305,-60.221416,455,,,
32760,-59.32963,455,0.9311469197273254,6.5251555144786835,2.619111952185631
33215,-71.666266,455,,,
33670,-59.285538,455,,,
34125,-63.17935,455,,,
34580,-80.905866,455,0.926643967628479,6.542961192131043,2.2859264105558394
35035,-55.313739,455,,,
35490,-61.333903,455,,,
35945,-61.418974,455,,,
36400,-59.989867,455,,,
36855,-58.593745,455,0.921987771987915,6.5801599502563475,3.1150442391633986
37310,-72.946134,455,,,
37765,-59.393172,455,,,
38220,-56.828787,455,,,
38675,-78.729125,455,0.9326933026313782,6.59525318145752,1.7072883069515228
39130,-57.957599,455,,,
39585,-56.996956,455,,,
40040,-58.088858,455,,,
40495,-78.877611,455,,,
40950,-54.948285,455,0.9289941787719727,6.597808682918549,2.332599425315857
41405,-55.188554,455,,,
41860,-55.725871,455,,,
42315,-65.693576,455,,,
42770,-55.475202,455,0.9457268118858337,6.591570043563843,1.62257027477026
43225,-58.861634,455,,,
43680,-62.708062,455,,,
44135,-68.857671,455,,,
44590,-54.281927,455,,,
45045,-55.164817,455,0.9508935213088989,6.595801413059235,1.6079106271266936
45500,-54.348047,455,,,
45955,-68.04237,455,,,
46410,-71.339385,455,,,
46865,-56.692896,455,0.9531192779541016,6.612639945745468,1.5702366203069686
47320,-62.999284,455,,,
47775,-63.634042,455,,,
48230,-55.568464,455,,,
48685,-63.964876,455,,,
49140,-58.8462,455,0.944605827331543,6.631541907787323,2.160526750981808
49595,-72.483143,455,,,
50050,-59.252334,455,,,
50505,-61.440564,455,,,
50960,-74.489881,455,0.943792462348938,6.656758338212967,2.068054309487343
51415,-57.011264,455,,,
51870,-66.57588,455,,,
52325,-54.960472,455,,,
52780,-56.562163,455,,,
53235,-56.638626,455,0.9373791217803955,6.684491169452667,2.071485532820225
53690,-73.764022,455,,,
54145,-57.381075,455,,,
54600,-66.067698,455,,,
55055,-76.113594,455,0.9425753951072693,6.708515995740891,1.4395421259105206
55510,-71.316927,455,,,
55965,-56.152754,455,,,
56420,-55.566213,455,,,
56875,-62.089002,455,,,
57330,-69.309154,455,0.9313284158706665,6.735029137134552,2.760341563820839
57785,-49.764749,455,,,
58240,-70.661537,455,,,
58695,-64.550399,455,,,
59150,-69.549345,455,0.9437463879585266,6.754191678762436,1.9072042524814605
59605,-56.762968,455,,,
60060,-59.251464,455,,,
60515,-49.20277,455,,,
60970,-53.91392,455,,,
61425,-74.656306,455,0.9495006203651428,6.775428599119186,2.1078729957342146
61880,-68.295994,455,,,
62335,-58.228652,455,,,
62790,-56.417229,455,,,
63245,-53.806603,455,0.9413609504699707,6.788326913118363,1.5334773540496827
63700,-74.207745,455,,,
64155,-52.717668,455,,,
64610,-49.490209,455,,,
65065,-55.492428,455,,,
65520,-72.036421,455,0.9525028467178345,6.793597042560577,1.5638856008648871
65975,-66.922848,455,,,
66430,-52.582241,455,,,
66885,-63.598772,455,,,
67340,-55.242419,455,0.9528008699417114,6.806777918338776,1.393110640347004
67795,-75.461797,455,,,
68250,-52.667159,455,,,
68705,-56.296159,455,,,
69160,-69.188815,455,,,
69615,-79.126857,455,0.9467413425445557,6.829565370082856,1.9088038608431817
70070,-48.692096,455,,,
70525,-68.225602,455,,,
70980,-49.373056,455,,,
71435,-54.88681,455,0.9539062976837158,6.857204109430313,2.0268435403704643
71890,-64.563837,455,,,
72345,-49.324083,455,,,
72800,-65.608782,455,,,
73255,-66.253695,455,,,
73710,-79.577664,455,0.9548178911209106,6.8711767315864565,1.4957772269845009
74165,-64.389552,455,,,
74620,-53.4345,455,,,
75075,-53.689877,455,,,
75530,-72.092486,455,0.9539757966995239,6.885179102420807,2.011846196651459
75985,-74.354338,455,,,
76440,-49.515693,455,,,
76895,-48.072463,455,,,
77350,-52.029403,455,,,
77805,-65.557181,455,0.9601529836654663,6.900051385164261,1.8377417549490929
78260,-51.055105,455,,,
78715,-66.685561,455,,,
79170,-73.565211,455,,,
79625,-46.442763,455,0.9583115577697754,6.933821386098861,1.1898824550211429
80080,-51.54007,455,,,
80535,-56.332807,455,,,
80990,-48.15343,455,,,
81445,-50.576415,455,,,
81900,-47.111724,455,0.9613065123558044,6.955001503229141,1.563297228515148
82355,-49.791507,455,,,
82810,-67.954552,455,,,
83265,-75.214317,455,,,
83720,-54.979542,455,0.9599186778068542,6.964417123794556,0.8750438041985035
84175,-49.381034,455,,,
84630,-53.396612,455,,,
85085,-63.878534,455,,,
85540,-49.497954,455,,,
85995,-51.302817,455,0.9623287916183472,6.992920488119125,1.53589109480381
86450,-48.792245,455,,,
86905,-58.026309,455,,,
87360,-47.601181,455,,,
87815,-54.550031,455,0.9557474851608276,7.019970905780792,1.4673898451030254
88270,-62.295024,455,,,
88725,-44.99114,455,,,
89180,-45.665534,455,,,
89635,-60.88229,455,,,
90090,-43.86807,455,0.956046462059021,7.045631617307663,1.3462987497448922
90545,-48.279112,455,,,
91000,-46.91025,455,,,
91455,-63.633541,455,,,
91910,-48.868822,455,0.9560072422027588,7.064683371782303,1.158208854496479
92365,-44.138981,455,,,
92820,-58.477569,455,,,
93275,-42.986256,455,,,
93730,-49.610112,455,,,
94185,-41.566484,455,0.9577450752258301,7.057894378900528,1.395153971016407
94640,-62.865911,455,,,
95095,-56.414206,455,,,
95550,-47.550441,455,,,
96005,-48.641607,455,0.9616246223449707,7.063092452287674,1.1437472954392434
96460,-61.843347,455,,,
96915,-61.222168,455,,,
97370,-45.524231,455,,,
97825,-59.429767,455,,,
98280,-66.621298,455,0.941487193107605,7.072583317756653,2.009859159588814
98735,-51.13309,455,,,
99190,-57.01471,455,,,
99645,-46.120357,455,,,
100100,-46.015782,455,0.9444438219070435,7.070297175645829,1.8112621009349823
100555,-49.401171,455,,,
101010,-63.648977,455,,,
101465,-63.441211,455,,,
101920,-65.956469,455,,,
102375,-48.416325,455,0.9535191655158997,7.090986233949661,1.1734085008502007
102830,-44.649302,455,,,
103285,-66.233599,455,,,
103740,-50.588069,455,,,
104195,-46.780533,455,0.950235903263092,7.125622969865799,1.7282113909721375
104650,-62.839838,455,,,
105105,-41.659952,455,,,
105560,-61.329584,455,,,
106015,-51.202908,455,,,
106470,-44.603297,455,0.9607934355735779,7.146783840656281,1.763064804673195
106925,-66.655947,455,,,
107380,-40.921141,455,,,
107835,-60.335288,455,,,
108290,-45.785878,455,0.958981990814209,7.15486815571785,1.1803571663796901
108745,-48.966388,455,,,
109200,-40.448765,455,,,
109655,-66.26982,455,,,
110110,-36.962195,455,,,
110565,-44.727423,455,0.9561484456062317,7.188884341716767,1.5425561785697937
111020,-65.011344,455,,,
111475,-39.426354,455,,,
111930,-45.937589,455,,,
112385,-44.118101,455,0.9654346704483032,7.214049130678177,1.0611530676484109
112840,-43.715656,455,,,
113295,-49.912957,455,,,
113750,-40.40615,455,,,
114205,-68.795245,455,,,
114660,-66.526273,455,0.9685636162757874,7.218982774019241,0.9369027331471443
115115,-42.484275,455,,,
115570,-44.230193,455,,,
116025,-57.783234,455,,,
116480,-52.524958,455,0.9493029713630676,7.225657361745834,1.6809684336185455
116935,-43.47994,455,,,
117390,-54.527709,455,,,
117845,-40.231036,455,,,
118300,-41.567655,455,,,
118755,-42.509421,455,0.9644713401794434,7.2440616428852085,1.4497427180409432
119210,-53.332749,455,,,
119665,-39.278197,455,,,
120120,-47.210266,455,,,
120575,-54.104077,455,0.9610252380371094,7.271130573749542,0.888527562469244
