timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-68.24834,455,,,
910,-45.302807,455,,,
1365,-41.154714,455,,,
1820,-40.20321,455,,,
2275,-69.019155,455,,,
2730,-68.674176,455,,,
3185,-65.219729,455,,,
3640,-68.787003,455,,,
4095,-66.387161,455,0.004890322685241699,6.386537510156631,10.090264821052552
4550,-63.67317,455,,,
5005,-68.357567,455,,,
5460,-37.785296,455,,,
5915,-67.623187,455,0.1947423815727234,6.390595263242721,7.0865792512893675
6370,-30.331553,455,,,
6825,-66.925647,455,,,
7280,-31.209119,455,,,
7735,-64.943733,455,,,
8190,-67.73023,455,0.4267258644104004,6.3873276829719545,6.632455545663833
8645,-28.352371,455,,,
9100,-50.767581,455,,,
9555,-34.282776,455,,,
10010,-49.347138,455,0.6619089841842651,6.389018553495407,6.032646474242211
10465,-69.032856,455,,,
10920,-65.438321,455,,,
11375,-67.442952,455,,,
11830,-32.686122,455,,,
12285,-66.535874,455,0.6195161938667297,6.404355531930923,6.422736847400666
12740,-66.965847,455,,,
13195,-68.249541,455,,,
13650,-67.534942,455,,,
14105,-68.193719,455,0.7870021462440491,6.420614528656006,3.6026836067438124
14560,-36.796424,455,,,
15015,-26.222005,455,,,
15470,-66.841361,455,,,
15925,-67.735792,455,,,
16380,-33.306986,455,0.8894445300102234,6.422897577285767,2.250736598670483
16835,-29.087849,455,,,
17290,-69.396837,455,,,
17745,-66.381976,455,,,
18200,-36.188527,455,0.8694385886192322,6.422652804851532,3.9728546351194383
18655,-67.726624,455,,,
19110,-39.743876,455,,,
19565,-63.712383,455,,,
20020,-36.756321,455,,,
20475,-38.38189,455,0.9129459857940674,6.4385251760482785,3.1221919298171996
20930,-65.156835,455,,,
21385,-41.576128,455,,,
21840,-66.091357,455,,,
22295,-35.877175,455,0.8899825215339661,6.4509096384048465,3.411560669541359
22750,-67.486078,455,,,
23205,-65.5663,455,,,
23660,-30.079869,455,,,
24115,-63.155337,455,,,
24570,-38.112822,455,0.9294430017471313,6.459673804044724,2.8352307587862016
25025,-40.865052,455,,,
25480,-46.717619,455,,,
25935,-42.425632,455,,,
26390,-66.008794,455,0.9384166598320007,6.46529056429863,2.45895389765501
26845,-36.060217,455,,,
27300,-42.201296,455,,,
27755,-33.261414,455,,,
28210,-25.705821,455,,,
