timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-39.720312,455,,,
910,-37.397869,455,,,
1365,-28.925062,455,,,
1820,-40.129221,455,,,
2275,-12.030535,455,,,
2730,-34.932978,455,,,
3185,-21.7921,455,,,
3640,-10.793736,455,,,
4095,9.989743,455,-0.009147047996520996,6.400543391704559,8.259937173128128
4550,-21.896715,455,,,
5005,-22.488926,455,,,
5460,-40.79141,455,,,
5915,-21.419134,455,-0.13173317909240723,6.4294837534427645,3.8024507492780684
6370,-35.472651,455,,,
6825,-23.392079,455,,,
7280,-38.539206,455,,,
7735,-42.96574,455,,,
8190,-15.238195,455,0.20038098096847534,6.445431786775589,6.684872829914093
8645,-47.315747,455,,,
9100,-43.551708,455,,,
9555,-44.924072,455,,,
10010,-36.831749,455,0.3718327283859253,6.449573791027069,4.637482559680938
10465,-20.54917,455,,,
10920,-31.117132,455,,,
11375,-57.05669,455,,,
11830,-49.735476,455,,,
12285,-19.043719,455,0.023095786571502686,6.46467354297638,9.723147654533387
12740,-10.823767,455,,,
13195,-21.937258,455,,,
13650,-0.246471,455,,,
14105,-20.54795,455,0.4787610173225403,6.47450390458107,4.695542547106743
14560,-35.872341,455,,,
15015,-45.66106,455,,,
15470,-10.430287,455,,,
15925,-11.254701,455,,,
16380,-36.544722,455,0.3808395266532898,6.502813601493836,5.019416329264641
16835,-41.825236,455,,,
17290,-16.272266,455,,,
17745,-21.811696,455,,,
18200,-40.477681,455,0.36778199672698975,6.5244714438915254,5.87461616396904
18655,-16.33938,455,,,
19110,-36.533233,455,,,
19565,-24.809904,455,,,
20020,-30.95247,455,,,
20475,-37.724833,455,0.5535373687744141,6.5282471656799315,4.898632627725601
20930,-17.965446,455,,,
21385,-48.11842,455,,,
21840,-35.28645,455,,,
22295,-42.277258,455,0.4238588213920593,6.5374133586883545,5.315564379096031
22750,-24.357268,455,,,
23205,-35.314324,455,,,
23660,-38.213839,455,,,
24115,-38.13817,455,,,
24570,-40.865836,455,0.76518714427948,6.553227972984314,3.905797851085663
25025,-24.500183,455,,,
25480,-37.970613,455,,,
25935,-47.809897,455,,,
26390,-21.400973,455,0.6126105785369873,6.576191574335098,4.788485181331635
26845,-30.672351,455,,,
27300,-35.180547,455,,,
27755,-43.104474,455,,,
28210,-35.141683,455,,,
28665,-39.187271,455,0.6393816471099854,6.585839396715164,5.412432023882866
29120,-12.636473,455,,,
29575,-32.949861,455,,,
30030,-21.45156,455,,,
30485,-48.787878,455,0.666851282119751,6.599218165874481,4.419079321622848
30940,-45.379141,455,,,
31395,-23.178486,455,,,
31850,-33.395001,455,,,
32305,-26.703147,455,,,
32760,-33.66312,455,0.7732044458389282,6.614533227682114,3.3223035275936126
33215,-32.674301,455,,,
33670,-38.26626,455,,,
34125,-43.739468,455,,,
34580,-26.916234,455,0.7454825043678284,6.62201834321022,3.916487357020378
35035,-29.249059,455,,,
35490,8.916925,455,,,
35945,-21.191022,455,,,
36400,-28.508955,455,,,
36855,-23.541128,455,0.7778124213218689,6.627483195066452,3.475903517007828
37310,-34.681562,455,,,
37765,-13.219914,455,,,
38220,-32.081682,455,,,
38675,-38.878874,455,0.7395206093788147,6.636434996128083,3.7790862411260604
39130,-23.188641,455,,,
39585,3.637716,455,,,
40040,-15.958793,455,,,
40495,-49.656335,455,,,
40950,-20.052293,455,0.7908583879470825,6.655092990398407,2.9875338315963744
41405,-40.063798,455,,,
41860,-22.754961,455,,,
42315,-43.02464,455,,,
42770,-33.298341,455,0.6785509586334229,6.652985799312591,4.047758612036705
43225,-2.388395,455,,,
43680,-38.51657,455,,,
44135,-41.013448,455,,,
44590,-7.489199,455,,,
45045,-29.126165,455,0.7728224992752075,6.645495980978012,3.209651103615761
45500,-22.174752,455,,,
45955,-32.787747,455,,,
46410,-43.396862,455,,,
46865,-23.255175,455,0.6923376321792603,6.637918215990067,3.2867874532938
47320,-30.356816,455,,,
47775,-17.224294,455,,,
48230,-29.893856,455,,,
48685,-39.481206,455,,,
49140,-22.999037,455,0.8150455355644226,6.651818943023682,3.2438186943531035
49595,-37.178932,455,,,
50050,-15.246686,455,,,
50505,-16.632794,455,,,
50960,-34.698918,455,0.731392502784729,6.663950830698013,3.379884493350983
