timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-25.39091,455,,,
910,-30.758118,455,,,
1365,-23.655473,455,,,
1820,-32.643929,455,,,
2275,-10.84684,455,,,
2730,-9.732351,455,,,
3185,5.913788,455,,,
3640,-12.156098,455,,,
4095,2.659479,455,-0.00243377685546875,6.399040800333023,7.87857066988945
4550,-11.532839,455,,,
5005,-26.00746,455,,,
5460,-29.427083,455,,,
5915,-36.941769,455,-0.011748313903808594,6.4294533967971805,3.6561869740486146
6370,-10.300464,455,,,
6825,-22.985241,455,,,
7280,-22.016573,455,,,
7735,-11.087929,455,,,
8190,-8.579386,455,0.06275409460067749,6.454153430461884,6.3635215103626255
8645,-25.341501,455,,,
9100,-33.563146,455,,,
9555,-23.552338,455,,,
10010,-24.023467,455,0.2307063341140747,6.443250846862793,4.843749433755875
10465,-36.26122,455,,,
10920,-4.742519,455,,,
11375,4.012483,455,,,
11830,-25.432258,455,,,
12285,-25.038386,455,0.13189220428466797,6.431437706947326,8.15871752500534
12740,-13.670539,455,,,
13195,-24.939917,455,,,
13650,-7.763063,455,,,
14105,-15.231372,455,0.4578983187675476,6.457742011547088,4.530995765328408
14560,-41.701719,455,,,
15015,-31.49119,455,,,
15470,2.354344,455,,,
15925,-24.503365,455,,,
16380,-35.534128,455,0.47027093172073364,6.479428660869599,3.65682393014431
16835,-39.015297,455,,,
17290,-36.478563,455,,,
17745,-8.507694,455,,,
18200,-20.962527,455,0.546826958656311,6.468320655822754,4.356376299262047
18655,-25.137015,455,,,
19110,-24.718881,455,,,
19565,-4.288994,455,,,
20020,-30.611195,455,,,
20475,-42.447789,455,0.6607288122177124,6.458145940303803,4.215756863355637
20930,1.810336,455,,,
21385,-35.660579,455,,,
21840,-17.024376,455,,,
22295,-43.857228,455,0.750348687171936,6.463918203115464,4.649952036142349
22750,-10.817881,455,,,
23205,-17.483039,455,,,
23660,-13.988233,455,,,
24115,-2.491965,455,,,
24570,-29.203243,455,0.7678050398826599,6.4642740249633786,3.9399104535579683
25025,-33.333792,455,,,
25480,-28.52888,455,,,
25935,-29.977463,455,,,
26390,3.058359,455,0.7621874213218689,6.460277843475342,4.23898791372776
26845,-28.802352,455,,,
27300,-35.416195,455,,,
27755,-38.327609,455,,,
28210,-34.471295,455,,,
28665,-27.939463,455,0.6984028816223145,6.472161793708802,4.410107287764549
29120,-0.912701,455,,,
29575,-26.57704,455,,,
30030,-33.964885,455,,,
