timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-91.052939,455,,,
910,-63.527606,455,,,
1365,-61.112976,455,,,
1820,-62.106906,455,,,
2275,-87.364628,455,,,
2730,-91.721871,455,,,
3185,-88.918161,455,,,
3640,-90.709236,455,,,
4095,-86.198211,455,-0.017275691032409668,6.404663944244385,7.30119833946228
4550,-90.670779,455,,,
5005,-93.606325,455,,,
5460,-67.554848,455,,,
5915,-89.702128,455,0.11341458559036255,6.424203127622604,9.993022668361665
6370,-69.706737,455,,,
6825,-86.22146,455,,,
7280,-66.705879,455,,,
7735,-92.026367,455,,,
8190,-83.906467,455,0.35240817070007324,6.4467226505279545,7.873828744888305
8645,-67.53312,455,,,
9100,-71.7592,455,,,
9555,-64.109629,455,,,
10010,-67.807108,455,0.5358652472496033,6.475111728906631,8.072580713033677
10465,-85.739002,455,,,
10920,-84.694198,455,,,
11375,-85.322148,455,,,
11830,-55.214686,455,,,
12285,-90.261432,455,0.33545345067977905,6.485181272029877,6.418263685703278
12740,-91.846684,455,,,
13195,-92.135986,455,,,
13650,-84.902677,455,,,
14105,-86.013735,455,0.7766045331954956,6.498600083589554,5.525376242399216
14560,-67.668011,455,,,
15015,-69.493733,455,,,
15470,-86.961957,455,,,
15925,-91.913114,455,,,
16380,-68.592108,455,0.82230544090271,6.5148310422897335,5.98896712064743
16835,-77.384781,455,,,
17290,-91.174293,455,,,
17745,-91.421869,455,,,
18200,-64.794191,455,0.7997585535049438,6.530734431743622,4.882489049434662
18655,-86.165362,455,,,
19110,-68.442498,455,,,
19565,-86.593796,455,,,
20020,-55.612064,455,,,
20475,-66.393285,455,0.8078674674034119,6.533833110332489,4.744672882556915
20930,-84.5493,455,,,
21385,-60.536492,455,,,
21840,-85.989459,455,,,
22295,-66.342476,455,0.8583929538726807,6.5315921902656555,3.5858091711997986
22750,-84.877511,455,,,
23205,-84.810792,455,,,
23660,-62.083549,455,,,
24115,-85.459961,455,,,
24570,-60.691665,455,0.8642033338546753,6.525917744636535,4.02549606859684
25025,-71.32697,455,,,
25480,-60.926783,455,,,
25935,-69.481424,455,,,
26390,-82.525184,455,0.8984376788139343,6.529963833093643,3.4250872999429705
26845,-47.221886,455,,,
27300,-68.213356,455,,,
27755,-57.708621,455,,,
28210,-77.761848,455,,,
28665,-59.904241,455,0.8540451526641846,6.538189733028412,3.607298621535301
29120,-77.673921,455,,,
29575,-65.828137,455,,,
30030,-86.320607,455,,,
30485,-56.593408,455,0.8518255352973938,6.55533555150032,2.919767713546753
30940,-86.004846,455,,,
31395,-68.5713,455,,,
31850,-69.057827,455,,,
32305,-81.544485,455,,,
32760,-85.176949,455,0.8883848786354065,6.587239903211594,3.648446226119995
33215,-66.343528,455,,,
33670,-79.033305,455,,,
34125,-73.939252,455,,,
34580,-66.688773,455,0.9272596836090088,6.604475802183151,2.9527080565690995
35035,-79.512334,455,,,
35490,-83.111959,455,,,
35945,-83.671816,455,,,
36400,-71.488927,455,,,
36855,-84.221427,455,0.8810497522354126,6.6067014336586,2.6788333266973496
37310,-69.500977,455,,,
37765,-87.259747,455,,,
38220,-84.161994,455,,,
38675,-59.441997,455,0.9350123405456543,6.623604476451874,2.909575793147087
39130,-82.412179,455,,,
39585,-86.788771,455,,,
40040,-83.784501,455,,,
40495,-62.732268,455,,,
40950,-83.188202,455,0.9193764925003052,6.644911414384842,2.638904148340225
41405,-80.604732,455,,,
41860,-77.855539,455,,,
42315,-63.317337,455,,,
42770,-80.997573,455,0.9464102983474731,6.667311656475067,2.663616716861725
43225,-86.495391,455,,,
43680,-87.850448,455,,,
44135,-56.765973,455,,,
44590,-83.615727,455,,,
45045,-82.959346,455,0.9024813175201416,6.694727510213852,3.4832492023706436
45500,-85.45668,455,,,
45955,-70.458442,455,,,
46410,-77.714706,455,,,
46865,-85.209545,455,0.9492842555046082,6.730769389867783,2.0303263530135154
47320,-88.037501,455,,,
47775,-64.766238,455,,,
48230,-82.876299,455,,,
48685,-62.939759,455,,,
49140,-88.828388,455,0.937217116355896,6.7564674615859985,2.1819840028882025
49595,-52.184399,455,,,
50050,-85.281323,455,,,
50505,-82.419833,455,,,
50960,-71.460835,455,0.9511303901672363,6.772381299734116,2.060890670120716
51415,-80.877721,455,,,
51870,-52.157863,455,,,
52325,-78.549278,455,,,
52780,-82.386692,455,,,
53235,-77.121804,455,0.9496789574623108,6.7879388451576235,2.096814689040184
53690,-57.218999,455,,,
54145,-84.37884,455,,,
54600,-60.584988,455,,,
55055,-51.994447,455,0.9517707824707031,6.791536617279053,1.9339454919099808
55510,-67.507447,455,,,
55965,-84.644317,455,,,
56420,-82.759708,455,,,
56875,-55.349375,455,,,
57330,-63.930666,455,0.9200156927108765,6.795968055725098,2.2370976716279984
57785,-84.680613,455,,,
58240,-51.145947,455,,,
58695,-54.277042,455,,,
59150,-53.068484,455,0.9506953954696655,6.8137551009654995,1.9997236847877502
59605,-82.975872,455,,,
60060,-83.64848,455,,,
60515,-82.72672,455,,,
60970,-82.442237,455,,,
61425,-62.153669,455,0.9338540434837341,6.826251876354218,1.8411441043019294
61880,-58.054616,455,,,
62335,-79.362478,455,,,
62790,-81.694508,455,,,
63245,-86.851036,455,0.958438515663147,6.836021608114242,2.2095023676753045
63700,-53.12232,455,,,
64155,-77.551494,455,,,
64610,-85.984464,455,,,
65065,-84.833492,455,,,
65520,-62.114556,455,0.9625945687294006,6.85199403166771,1.7185732543468475
65975,-57.227177,455,,,
66430,-74.855449,455,,,
66885,-51.461604,455,,,
67340,-87.346092,455,0.9545764923095703,6.857332992553711,2.26979528516531
67795,-57.265596,455,,,
68250,-84.641434,455,,,
68705,-58.434116,455,,,
69160,-56.228956,455,,,
69615,-51.122905,455,0.9548085331916809,6.857603198289871,1.6383687406778336
70070,-79.00013,455,,,
70525,-56.430811,455,,,
70980,-77.784717,455,,,
71435,-83.388732,455,0.9369884729385376,6.867638796567917,2.0027966782450677
71890,-58.201031,455,,,
72345,-82.74202,455,,,
72800,-63.668573,455,,,
73255,-54.091183,455,,,
73710,-61.429937,455,0.9707345962524414,6.883577257394791,1.3991208761930465
74165,-60.760239,455,,,
74620,-84.84756,455,,,
75075,-76.923752,455,,,
75530,-53.011371,455,0.927987277507782,6.8928734958171844,1.6492427796125413
75985,-49.730688,455,,,
76440,-85.890375,455,,,
76895,-81.072463,455,,,
77350,-84.386014,455,,,
77805,-54.349929,455,0.9583532810211182,6.898789024353027,1.4916845247149468
78260,-82.744937,455,,,
78715,-57.662374,455,,,
79170,-57.901146,455,,,
79625,-81.465879,455,0.9605138301849365,6.891058057546616,1.8330852106213569
80080,-87.433426,455,,,
80535,-82.981307,455,,,
80990,-78.011485,455,,,
81445,-82.495584,455,,,
81900,-83.409406,455,0.962273120880127,6.884782058000565,1.5402265802025794
82355,-80.299648,455,,,
82810,-57.269721,455,,,
83265,-52.874685,455,,,
83720,-81.382852,455,0.9822161793708801,6.905285364389419,1.0030703507363796
84175,-82.193586,455,,,
84630,-59.472039,455,,,
85085,-56.52009,455,,,
85540,-75.844917,455,,,
85995,-79.492029,455,0.9663283824920654,6.9224033653736115,1.4228557124733925
86450,-77.880187,455,,,
86905,-55.879733,455,,,
87360,-72.27298,455,,,
87815,-82.155509,455,0.9650130271911621,6.930351251363755,1.353174814581871
88270,-59.412405,455,,,
88725,-83.483422,455,,,
89180,-80.827995,455,,,
89635,-55.787734,455,,,
90090,-75.431167,455,0.9702292680740356,6.939637637138366,1.3441123709082603
90545,-74.815668,455,,,
91000,-76.810438,455,,,
91455,-57.679279,455,,,
91910,-51.39091,455,0.9766461253166199,6.960081440210343,1.1361795663833618
92365,-75.974705,455,,,
92820,-60.011972,455,,,
93275,-74.109968,455,,,
93730,-78.705714,455,,,
94185,-77.472209,455,0.9697249531745911,6.9905862510204315,1.2393270283937454
94640,-48.749218,455,,,
95095,-57.521201,455,,,
95550,-76.54224,455,,,
96005,-48.325692,455,0.9791280031204224,7.013000875711441,1.0601391844451427
96460,-46.663271,455,,,
96915,-50.446932,455,,,
97370,-77.209252,455,,,
97825,-64.597518,455,,,
98280,-51.149773,455,0.9513400793075562,7.0207799077034,1.3116468757390976
98735,-79.223587,455,,,
99190,-53.602501,455,,,
99645,-74.776071,455,,,
100100,-69.578128,455,0.9487061500549316,7.044634860754013,1.4431114956736564
100555,-75.151166,455,,,
101010,-62.143235,455,,,
101465,-63.977956,455,,,
101920,-66.954118,455,,,
102375,-69.067072,455,0.9783244729042053,7.067160725593567,0.9873610615730286
102830,-74.615144,455,,,
103285,-51.57767,455,,,
103740,-49.954866,455,,,
104195,-79.810395,455,0.9507842659950256,7.068806266784668,1.2221063069999218
104650,-53.567128,455,,,
105105,-69.279352,455,,,
105560,-59.642663,455,,,
106015,-78.92287,455,,,
106470,-74.455731,455,0.9651031494140625,7.075538152456284,1.170124364644289
106925,-51.567548,455,,,
107380,-74.735671,455,,,
107835,-63.193196,455,,,
108290,-78.090161,455,0.9732832312583923,7.099850672483444,1.1683467656373978
108745,-62.474166,455,,,
109200,-80.104414,455,,,
109655,-53.899601,455,,,
110110,-74.632896,455,,,
110565,-73.952956,455,0.9677609205245972,7.144779592752457,1.0710263498127461
111020,-60.279652,455,,,
111475,-73.924559,455,,,
111930,-74.588405,455,,,
112385,-74.909725,455,0.9699135422706604,7.1696331858634945,1.1697600416839122
112840,-75.557947,455,,,
113295,-52.272029,455,,,
113750,-80.155102,455,,,
114205,-48.530086,455,,,
114660,-60.323567,455,0.9794822931289673,7.182464492321015,0.9271585702896118
115115,-77.869058,455,,,
115570,-76.704889,455,,,
116025,-61.978496,455,,,
116480,-45.238627,455,0.9604132175445557,7.201810866594315,1.2245715528726577
116935,-69.374784,455,,,
117390,-55.837385,455,,,
117845,-70.342654,455,,,
118300,-76.099005,455,,,
118755,-75.906743,455,0.9766227602958679,7.2220162630081175,1.0227920591831208
119210,-49.48488,455,,,
119665,-68.295999,455,,,
120120,-45.427165,455,,,
120575,-55.603439,455,0.9857854843139648,7.2439642429351805,0.8261097125709057
121030,-51.220555,455,,,
121485,-76.194268,455,,,
121940,-47.607384,455,,,
122395,-44.542913,455,,,
122850,-62.225757,455,0.9413008093833923,7.264052611589432,1.3295811772346497
123305,-68.683258,455,,,
123760,-73.110752,455,,,
124215,-47.485657,455,,,
124670,-68.651214,455,0.947480320930481,7.272806578874588,1.207405972480774
125125,-72.868549,455,,,
125580,-68.323737,455,,,
126035,-69.31267,455,,,
126490,-55.618511,455,,,
126945,-70.833196,455,0.9798426628112793,7.298853278160095,0.9579553127288818
127400,-64.845692,455,,,
127855,-72.176813,455,,,
128310,-73.201581,455,,,
128765,-74.122293,455,0.9828391671180725,7.339687991142273,0.8252998486161232
129220,-48.560365,455,,,
129675,-71.473167,455,,,
130130,-71.118907,455,,,
130585,-58.292926,455,,,
131040,-73.326179,455,0.9851470589637756,7.372447514533997,0.8274326615035534
131495,-68.423172,455,,,
131950,-47.690397,455,,,
132405,-51.476643,455,,,
132860,-50.716546,455,0.9737103581428528,7.386234152317047,1.1953064069151877
133315,-57.865521,455,,,
133770,-58.927509,455,,,
134225,-57.877613,455,,,
134680,-68.421225,455,,,
135135,-47.347043,455,0.960974931716919,7.384556919336319,1.1007742196321488
135590,-69.912144,455,,,
136045,-67.636628,455,,,
136500,-72.976208,455,,,
136955,-73.233965,455,0.9485083222389221,7.400614225864411,1.366719151288271
137410,-72.24232,455,,,
137865,-51.670821,455,,,
138320,-69.072364,455,,,
138775,-66.308514,455,,,
139230,-64.913634,455,0.9852962493896484,7.405024528503418,0.7644888132810592
139685,-59.856577,455,,,
140140,-65.580941,455,,,
140595,-66.8068,455,,,
141050,-59.735037,455,0.9820903539657593,7.422647619247437,0.8475760497152806
141505,-49.191249,455,,,
141960,-59.288781,455,,,
142415,-69.418121,455,,,
142870,-50.889095,455,,,
143325,-71.324558,455,0.9771642088890076,7.437635463476181,0.8710674673318863
143780,-50.083642,455,,,
144235,-65.708471,455,,,
144690,-53.443575,455,,,
145145,-50.677893,455,0.9659243822097778,7.4524313569068905,1.09594481959939
145600,-62.313249,455,,,
146055,-71.234116,455,,,
146510,-58.508637,455,,,
146965,-66.195649,455,,,
147420,-47.335775,455,0.9641135334968567,7.4877779424190525,1.1536031402647495
147875,-64.630979,455,,,
148330,-52.942494,455,,,
148785,-54.265143,455,,,
149240,-68.534952,455,0.9718523621559143,7.5172958970069885,0.9938610769808293
149695,-58.219987,455,,,
150150,-45.376234,455,,,
150605,-64.959196,455,,,
151060,-52.600064,455,,,
151515,-63.503591,455,0.976992666721344,7.530647081136704,0.8104486793279648
151970,-52.223673,455,,,
152425,-48.596796,455,,,
152880,-66.620264,455,,,
153335,-64.374765,455,0.9761059880256653,7.5539502739906315,0.9846869617700577
153790,-64.689578,455,,,
154245,-48.786801,455,,,
154700,-68.005471,455,,,
155155,-59.788412,455,,,
155610,-69.194286,455,0.980401337146759,7.579711425304413,0.9041423738002777
156065,-66.825716,455,,,
156520,-65.402632,455,,,
156975,-63.949123,455,,,
157430,-42.528167,455,0.9728173613548279,7.603601211309433,1.0577041268348695
157885,-55.471863,455,,,
158340,-66.443104,455,,,
158795,-48.43348,455,,,
159250,-67.570237,455,,,
159705,-65.768291,455,0.9820685386657715,7.636230087280273,0.7765817493200302
160160,-45.413437,455,,,
160615,-62.463574,455,,,
161070,-66.749526,455,,,
161525,-40.863792,455,0.9828264713287354,7.676646256446839,0.8110089488327503
161980,-46.365435,455,,,
162435,-67.415567,455,,,
162890,-61.184811,455,,,
163345,-42.934916,455,,,
163800,-52.450828,455,0.9741191864013672,7.710618710517883,0.8888168722391129
164255,-63.68875,455,,,
164710,-64.815586,455,,,
165165,-48.173545,455,,,
165620,-43.873936,455,0.9712628722190857,7.744680804014206,0.9413124442100524
166075,-46.35913,455,,,
166530,-47.967022,455,,,
166985,-64.962274,455,,,
167440,-47.690424,455,,,
167895,-64.690554,455,0.9703090190887451,7.799468010663986,0.9061484523117542
168350,-47.469355,455,,,
168805,-38.736221,455,,,
169260,-39.669324,455,,,
169715,-56.799616,455,0.9721157550811768,7.82313894033432,0.8646495267748833
170170,-66.343445,455,,,
170625,-65.082124,455,,,
171080,-63.047872,455,,,
171535,-41.748431,455,,,
171990,-47.861988,455,0.9326760768890381,7.823762381076813,1.3377663746476174
172445,-64.285113,455,,,
172900,-41.747099,455,,,
173355,-51.979063,455,,,
173810,-47.137004,455,0.9744836688041687,7.830008614063263,0.8248827956616879
174265,-67.80795,455,,,
174720,-52.827421,455,,,
175175,-61.464583,455,,,
175630,-70.298011,455,,,
176085,-45.252766,455,0.9637225866317749,7.830922931432724,1.067466666549444
176540,-47.503546,455,,,
176995,-62.888218,455,,,
177450,-66.901281,455,,,
177905,-63.348314,455,0.9712198376655579,7.838339531421662,0.9008276157081128
178360,-61.56252,455,,,
178815,-62.193068,455,,,
179270,-61.257679,455,,,
179725,-69.448533,455,,,
180180,-48.196212,455,0.9797974228858948,7.848990100622177,0.7770782232284545
180635,-65.801814,455,,,
181090,-50.466426,455,,,
181545,-50.887653,455,,,
182000,-52.05245,455,0.9824297428131104,7.872215843200683,0.7767494052648545
182455,-39.699737,455,,,
182910,-57.655682,455,,,
183365,-39.865724,455,,,
183820,-52.693049,455,,,
184275,-46.477687,455,0.9508272409439087,7.898852229118347,1.1717777237296105
184730,-63.293799,455,,,
185185,-50.657767,455,,,
185640,-61.495107,455,,,
186095,-46.557213,455,0.9602053761482239,7.927182197570801,1.0820602364838123
186550,-55.911104,455,,,
187005,-61.784668,455,,,
187460,-63.38451,455,,,
187915,-62.208205,455,,,
188370,-58.517776,455,0.9742662906646729,7.965909278392791,1.0246889561414718
188825,-58.847734,455,,,
189280,-62.088515,455,,,
189735,-57.705543,455,,,
190190,-60.578242,455,0.9905037879943848,7.994851964712143,0.6043689250946045
190645,-58.481451,455,,,
191100,-54.971523,455,,,
191555,-59.927453,455,,,
192010,-43.343219,455,,,
192465,-56.604635,455,0.9883999228477478,8.023243641853332,0.6403976611793041
192920,-48.68122,455,,,
193375,-61.124499,455,,,
193830,-57.243069,455,,,
194285,-60.382958,455,0.9755210876464844,8.049152255058289,0.9078957788646221
194740,-57.689135,455,,,
195195,-45.863915,455,,,
195650,-56.951764,455,,,
196105,-44.95113,455,,,
196560,-58.063258,455,0.9861699938774109,8.05224688053131,0.7459883831441403
197015,-58.771617,455,,,
197470,-58.214944,455,,,
197925,-58.398993,455,,,
198380,-61.016502,455,0.9796242117881775,8.05859341621399,0.8912969544529915
198835,-49.957527,455,,,
199290,-41.850151,455,,,
199745,-43.390413,455,,,
200200,-58.728638,455,,,
200655,-62.937042,455,0.9888925552368164,8.093488562107087,0.6132190108299256
