timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-85.594085,455,,,
910,-76.968949,455,,,
1365,-83.880666,455,,,
1820,-70.792964,455,,,
2275,-100.873049,455,,,
2730,-109.675407,455,,,
3185,-74.293641,455,,,
3640,-52.61933,455,,,
4095,-92.09011,455,-7.319450378417969e-05,6.406457507610321,6.41487957239151
4550,-120.275546,455,,,
5005,-101.547991,455,,,
5460,-74.257683,455,,,
5915,-94.803395,455,0.029575765132904053,6.426268017292022,6.984856516122818
6370,-73.392689,455,,,
6825,-70.042278,455,,,
7280,-72.625787,455,,,
7735,-81.01583,455,,,
8190,-91.456869,455,0.06799376010894775,6.439666670560837,5.808328086137772
8645,-73.340971,455,,,
9100,-78.519075,455,,,
9555,-69.191078,455,,,
10010,-79.940287,455,0.049466848373413086,6.4563534498214725,7.0998779237270355
10465,-87.616937,455,,,
10920,-84.168034,455,,,
11375,-90.910216,455,,,
11830,-71.859408,455,,,
12285,-85.10543,455,0.01589679718017578,6.476540189981461,6.587479376792908
12740,-93.864045,455,,,
13195,-88.951251,455,,,
13650,-84.207825,455,,,
14105,-73.355593,455,0.030141890048980713,6.522948586940766,5.6891929596662525
14560,-63.641187,455,,,
15015,-76.012775,455,,,
15470,-91.778858,455,,,
15925,-93.597777,455,,,
16380,-73.612512,455,0.08872699737548828,6.561363697052002,4.702609443664551
16835,-75.224017,455,,,
17290,-109.850003,455,,,
17745,-103.034569,455,,,
18200,-78.950217,455,0.16930341720581055,6.5691921472549435,6.490430718660354
18655,-90.3424,455,,,
19110,-80.43592,455,,,
19565,-73.747376,455,,,
20020,-71.46397,455,,,
20475,-79.476504,455,0.24976801872253418,6.593940210342407,7.0142227709293365
20930,-78.275985,455,,,
21385,-78.722274,455,,,
21840,-93.00033,455,,,
22295,-80.087062,455,0.31594741344451904,6.615748327970505,8.047803342342377
22750,-77.280244,455,,,
23205,-91.443345,455,,,
23660,-75.682985,455,,,
24115,-75.933225,455,,,
24570,-76.572055,455,0.3336285352706909,6.6226346611976625,6.664127159118652
25025,-85.105094,455,,,
25480,-83.746803,455,,,
25935,-85.305842,455,,,
26390,-92.38215,455,0.3817547559738159,6.636297005414963,7.345229208469391
26845,-76.134812,455,,,
27300,-82.060579,455,,,
27755,-73.228728,455,,,
28210,-77.836444,455,,,
28665,-79.619586,455,0.4668656587600708,6.663620752096176,7.013878297805786
29120,-79.243523,455,,,
29575,-67.017908,455,,,
30030,-100.1018,455,,,
30485,-74.489455,455,0.4689563512802124,6.699999076128006,8.131799054145812
30940,-96.270402,455,,,
31395,-70.567391,455,,,
31850,-68.432187,455,,,
32305,-88.615111,455,,,
32760,-97.929129,455,0.3961533308029175,6.718482881784439,6.670264261960983
33215,-86.1185,455,,,
33670,-76.134968,455,,,
34125,-64.822716,455,,,
34580,-61.780685,455,0.49926096200942993,6.732044291496277,7.155956965684891
35035,-98.836359,455,,,
35490,-65.260133,455,,,
35945,-92.524545,455,,,
36400,-71.447535,455,,,
36855,-100.795211,455,0.5210362672805786,6.740734434127807,5.408393889665604
37310,-66.886656,455,,,
37765,-101.433736,455,,,
38220,-84.140929,455,,,
38675,-74.082954,455,0.43300992250442505,6.742399942874909,6.5268410384655
39130,-99.399214,455,,,
39585,-77.426967,455,,,
40040,-108.517835,455,,,
40495,-66.009426,455,,,
40950,-59.844129,455,0.6400012969970703,6.759564733505249,4.9484307825565335
41405,-94.490415,455,,,
41860,-103.936359,455,,,
42315,-74.79005,455,,,
42770,-80.038797,455,0.5788207650184631,6.77414578795433,6.1753805488348
43225,-88.187321,455,,,
43680,-95.592623,455,,,
44135,-85.697966,455,,,
44590,-68.804836,455,,,
45045,-107.003135,455,0.6161279678344727,6.792923146486283,3.391968646645546
45500,-87.139193,455,,,
45955,-74.913679,455,,,
46410,-67.253077,455,,,
46865,-88.780461,455,0.583966851234436,6.81482806801796,6.233863458037376
47320,-80.112453,455,,,
47775,-67.752248,455,,,
48230,-83.10121,455,,,
48685,-69.220929,455,,,
49140,-93.488313,455,0.6737408638000488,6.822320914268493,3.8256746530532837
49595,-66.698976,455,,,
50050,-79.92496,455,,,
50505,-84.188624,455,,,
50960,-69.821476,455,0.7776499390602112,6.831886196136475,3.7506911754608154
51415,-76.322894,455,,,
51870,-59.067947,455,,,
52325,-105.002755,455,,,
52780,-85.953123,455,,,
53235,-89.732983,455,0.700317919254303,6.846195244789124,3.1405976742506025
53690,-77.395642,455,,,
54145,-69.574621,455,,,
54600,-69.191612,455,,,
55055,-72.341775,455,0.6049616932868958,6.8521743476390835,3.9206618547439573
55510,-68.068299,455,,,
55965,-84.36419,455,,,
56420,-88.421312,455,,,
56875,-77.841787,455,,,
57330,-76.74513,455,0.8090946078300476,6.854115480184555,3.093389403820038
57785,-65.478296,455,,,
58240,-83.970361,455,,,
58695,-82.979704,455,,,
