timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-74.662959,455,,,
910,-30.983956,455,,,
1365,-23.807467,455,,,
1820,-32.874044,455,,,
2275,-78.121218,455,,,
2730,-80.549094,455,,,
3185,-77.614184,455,,,
3640,-77.620682,455,,,
4095,-78.446449,455,-0.006677508354187012,6.394915616512298,10.353157526254654
4550,-75.27728,455,,,
5005,-81.807488,455,,,
5460,-30.31719,455,,,
5915,-77.470522,455,0.13293707370758057,6.4115678608417515,10.481243675947189
6370,-10.882618,455,,,
6825,-78.303708,455,,,
7280,-21.592256,455,,,
7735,-76.115833,455,,,
8190,-74.368373,455,0.3157452344894409,6.426714479923248,10.342293965816499
8645,-26.158481,455,,,
9100,-34.874634,455,,,
9555,-24.486731,455,,,
10010,-24.312455,455,0.4942432641983032,6.429803413152695,8.436266797780991
10465,-72.824231,455,,,
10920,-74.997354,455,,,
11375,-78.35452,455,,,
11830,-25.1695,455,,,
12285,-79.257677,455,0.35335707664489746,6.440119898319244,7.133855837583542
12740,-76.271883,455,,,
13195,-75.43656,455,,,
13650,-79.549399,455,,,
14105,-72.397348,455,0.66283118724823,6.462756472826004,6.239177721738815
14560,-43.2703,455,,,
15015,-32.98438,455,,,
15470,-69.986981,455,,,
15925,-68.799427,455,,,
16380,-36.887404,455,0.7957640886306763,6.480052661895752,4.936284339427948
16835,-38.178234,455,,,
17290,-74.744592,455,,,
17745,-76.16259,455,,,
18200,-21.687433,455,0.7192224264144897,6.46970351934433,5.159510982036591
18655,-72.581189,455,,,
19110,-24.985707,455,,,
19565,-67.995025,455,,,
20020,-31.798477,455,,,
20475,-42.523359,455,0.7712025046348572,6.464433538913727,5.085511627793312
20930,-72.41231,455,,,
21385,-36.332552,455,,,
21840,-76.479669,455,,,
22295,-46.886962,455,0.7741785645484924,6.476948773860931,4.874131059646606
22750,-74.474253,455,,,
23205,-67.766264,455,,,
23660,-14.47748,455,,,
24115,-72.837973,455,,,
24570,-29.095375,455,0.8470346331596375,6.499476051330566,3.9526429951190947
25025,-33.943884,455,,,
25480,-27.832836,455,,,
25935,-29.838226,455,,,
26390,-75.822577,455,0.8290481567382812,6.511614370346069,3.744507926702499
26845,-29.409857,455,,,
27300,-35.715029,455,,,
27755,-38.943026,455,,,
28210,-36.062339,455,,,
28665,-29.566532,455,0.8171533942222595,6.517249369621277,3.9983899146318436
29120,-68.224604,455,,,
29575,-27.66124,455,,,
30030,-69.580814,455,,,
30485,-20.034472,455,0.7911653518676758,6.526282393932343,3.6420298486948015
30940,-77.044435,455,,,
31395,-34.304988,455,,,
31850,-20.811032,455,,,
32305,-66.40263,455,,,
32760,-63.07246,455,0.8621162176132202,6.537823891639709,3.1657168537378313
33215,-21.408776,455,,,
33670,-69.362564,455,,,
34125,-24.2822,455,,,
34580,-24.671759,455,0.8894720673561096,6.538076335191727,2.6705504581332207
35035,-67.445036,455,,,
35490,-66.298153,455,,,
35945,-65.396243,455,,,
36400,-26.456621,455,,,
36855,-67.606408,455,0.8940741419792175,6.531578779220581,2.953292378783226
37310,-30.565673,455,,,
37765,-69.882188,455,,,
38220,-66.504153,455,,,
38675,-30.85242,455,0.9161282777786255,6.543263441324234,2.3850634723901747
39130,-67.124282,455,,,
39585,-74.653528,455,,,
40040,-66.385934,455,,,
40495,-44.291109,455,,,
40950,-70.996385,455,0.9115574359893799,6.558938729763031,2.399868792295456
41405,-67.643884,455,,,
41860,-69.43861,455,,,
42315,-36.303362,455,,,
42770,-65.097449,455,0.9310118556022644,6.5583388090133665,1.9066272720694541
43225,-72.524262,455,,,
43680,-66.440433,455,,,
44135,-31.599036,455,,,
44590,-63.020335,455,,,
45045,-63.698457,455,0.9418096542358398,6.573399472236633,1.807250502705574
45500,-64.378548,455,,,
45955,-34.704085,455,,,
46410,-20.308235,455,,,
46865,-68.560893,455,0.942526638507843,6.6008635520935055,1.8555154278874397
47320,-65.731805,455,,,
47775,-31.552296,455,,,
48230,-63.902552,455,,,
48685,-27.337189,455,,,
49140,-66.120571,455,0.930921733379364,6.61581318974495,2.1752370283007623
49595,-22.266141,455,,,
50050,-69.183789,455,,,
50505,-65.141906,455,,,
50960,-33.498485,455,0.9369801878929138,6.630614221096039,2.274601775407791
51415,-68.687143,455,,,
51870,-11.183701,455,,,
52325,-65.946856,455,,,
52780,-70.879699,455,,,
53235,-59.262793,455,0.93314129114151,6.644445264339447,2.1542335882782937
53690,-24.418663,455,,,
54145,-64.553527,455,,,
54600,-16.452797,455,,,
55055,-34.176993,455,0.9468822479248047,6.663290458917618,1.7682629346847534
55510,-24.138505,455,,,
55965,-71.554846,455,,,
56420,-60.642899,455,,,
56875,-19.362729,455,,,
57330,-25.033532,455,0.9145327806472778,6.68624838590622,2.6216087222099302
57785,-60.723597,455,,,
58240,-29.575745,455,,,
58695,-28.493697,455,,,
59150,-29.278569,455,0.9505292177200317,6.713619065284729,1.8823368191719054
59605,-61.355081,455,,,
60060,-64.396531,455,,,
60515,-64.875163,455,,,
60970,-63.568325,455,,,
61425,-22.519224,455,0.9323690533638,6.740817046165466,2.1423907175660135
61880,-21.951246,455,,,
62335,-67.720874,455,,,
62790,-68.246674,455,,,
63245,-67.146,455,0.9604766964912415,6.750628781318665,1.4405254155397416
63700,-26.582265,455,,,
64155,-64.328764,455,,,
64610,-65.096851,455,,,
65065,-63.337775,455,,,
65520,-32.476105,455,0.9513364434242249,6.759412616491318,1.9618321478366851
65975,-23.946984,455,,,
66430,-58.609334,455,,,
66885,-26.349674,455,,,
67340,-61.957801,455,0.9592387676239014,6.784240287542343,1.6061167255043984
67795,-27.228704,455,,,
68250,-59.105889,455,,,
68705,-35.171753,455,,,
69160,-28.410085,455,,,
69615,-30.287257,455,0.9551223516464233,6.8011899292469025,1.9146184295415878
70070,-59.805297,455,,,
70525,-24.64645,455,,,
70980,-65.008993,455,,,
71435,-65.894045,455,0.9403777718544006,6.80342510342598,2.2127453446388246
71890,-26.081953,455,,,
72345,-56.994979,455,,,
72800,-31.09386,455,,,
73255,-23.538381,455,,,
73710,-30.880062,455,0.9550093412399292,6.810503929853439,1.5668130114674568
74165,-20.900572,455,,,
74620,-60.387974,455,,,
75075,-58.122141,455,,,
75530,-41.094927,455,0.9292466640472412,6.816034591197967,2.46680134832859
75985,-32.312434,455,,,
76440,-53.332888,455,,,
76895,-52.735546,455,,,
77350,-60.988067,455,,,
77805,-27.120527,455,0.953099250793457,6.830176079273224,1.8099180907011032
78260,-60.455333,455,,,
78715,-17.427995,455,,,
79170,-35.173726,455,,,
79625,-54.19914,455,0.9606372117996216,6.839425158500672,1.454749907553196
80080,-60.304733,455,,,
80535,-63.359612,455,,,
80990,-54.789061,455,,,
81445,-49.911233,455,,,
81900,-52.445587,455,0.9568558931350708,6.843521803617477,1.738004532456398
82355,-55.044659,455,,,
82810,-19.093982,455,,,
83265,-18.772384,455,,,
83720,-49.600196,455,0.9729264378547668,6.86493216753006,0.7969101630151272
84175,-56.598592,455,,,
84630,-31.676752,455,,,
85085,-15.229116,455,,,
85540,-55.633951,455,,,
85995,-61.804436,455,0.9561744332313538,6.883592045307159,1.5074520349502563
86450,-51.327253,455,,,
86905,-20.984671,455,,,
87360,-53.016998,455,,,
87815,-56.336678,455,0.9615697264671326,6.896783322095871,1.5498854473233223
88270,-27.375763,455,,,
88725,-51.822556,455,,,
89180,-52.160329,455,,,
89635,-33.937171,455,,,
90090,-52.534543,455,0.961908221244812,6.91951532959938,1.4214124530553818
90545,-50.162219,455,,,
91000,-46.503238,455,,,
91455,-25.153773,455,,,
91910,-37.391108,455,0.969690203666687,6.923865896463394,1.2125118143856526
92365,-47.45659,455,,,
92820,-27.005348,455,,,
93275,-57.216302,455,,,
93730,-44.407078,455,,,
