timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-65.363508,455,,,
910,-36.837761,455,,,
1365,-24.030735,455,,,
1820,-39.611776,455,,,
2275,-64.967004,455,,,
2730,-68.341918,455,,,
3185,-66.44646,455,,,
3640,-66.16927,455,,,
4095,-66.518248,455,0.007156848907470703,6.392778342962265,10.284340596199035
4550,-66.538854,455,,,
5005,-67.431429,455,,,
5460,-23.796553,455,,,
5915,-67.138105,455,0.18456602096557617,6.38565827012062,6.991390633583069
6370,-30.914109,455,,,
6825,-62.924677,455,,,
7280,-25.70334,455,,,
7735,-65.921008,455,,,
8190,-63.861658,455,0.5723221302032471,6.398282593488693,6.127270495891571
8645,-35.144498,455,,,
9100,-26.637575,455,,,
9555,-31.806376,455,,,
10010,-32.903936,455,0.732205331325531,6.42601523399353,6.817958876490593
10465,-65.220121,455,,,
10920,-66.615161,455,,,
11375,-66.522629,455,,,
11830,-28.832058,455,,,
12285,-66.359034,455,0.6756433248519897,6.434639829397201,7.003037846088409
12740,-65.86876,455,,,
13195,-66.18214,455,,,
13650,-66.713142,455,,,
14105,-65.003956,455,0.8297321796417236,6.4422005891799925,4.051823124289513
14560,-29.81256,455,,,
15015,-45.22624,455,,,
15470,-64.537084,455,,,
15925,-66.42377,455,,,
16380,-44.440507,455,0.8936886787414551,6.46477535367012,2.7773960545659064
16835,-25.513496,455,,,
17290,-67.069251,455,,,
17745,-67.490315,455,,,
18200,-39.639608,455,0.8913251757621765,6.483835297822952,4.5188941150903705
18655,-65.655963,455,,,
19110,-26.320615,455,,,
19565,-62.891838,455,,,
20020,-28.894872,455,,,
20475,-49.583148,455,0.9187638163566589,6.50048525929451,3.508361300826073
20930,-62.255085,455,,,
21385,-29.838509,455,,,
21840,-66.30033,455,,,
22295,-34.336514,455,0.9160106182098389,6.515945845842362,3.468318283557892
22750,-62.107427,455,,,
23205,-63.010769,455,,,
23660,-16.722638,455,,,
24115,-61.881714,455,,,
24570,-40.536002,455,0.9411757588386536,6.534825426340103,2.9526366591453552
25025,-23.664999,455,,,
25480,-21.388919,455,,,
25935,-31.382218,455,,,
26390,-63.632355,455,0.9461008310317993,6.553215670585632,2.84185776412487
26845,-24.034813,455,,,
27300,-23.221933,455,,,
27755,-28.123327,455,,,
28210,-34.455581,455,,,
28665,-22.953977,455,0.9206893444061279,6.563972163200378,2.981035178899765
29120,-62.975007,455,,,
29575,-20.017294,455,,,
30030,-65.949441,455,,,
30485,-35.208044,455,0.860103964805603,6.571365350484848,3.399731603264809
30940,-64.725672,455,,,
31395,-22.125725,455,,,
31850,-22.165664,455,,,
32305,-62.350425,455,,,
32760,-66.12323,455,0.9523417949676514,6.594387352466583,2.5609393611550333
33215,-31.707316,455,,,
33670,-63.793369,455,,,
34125,-34.610837,455,,,
34580,-28.129248,455,0.9630363583564758,6.613497823476791,2.2593406811356544
35035,-61.697514,455,,,
35490,-63.646155,455,,,
35945,-63.677136,455,,,
36400,-26.891562,455,,,
36855,-61.4633,455,0.943352997303009,6.615776300430298,2.831761214137077
37310,-36.566433,455,,,
37765,-64.764913,455,,,
38220,-65.73892,455,,,
38675,-26.681811,455,0.9767714142799377,6.6350513935089115,1.6860728129744529
39130,-62.591037,455,,,
39585,-66.081742,455,,,
40040,-65.455523,455,,,
40495,-32.876708,455,,,
40950,-62.256476,455,0.9679527878761292,6.657849979400635,2.0876761436462403
41405,-60.71298,455,,,
41860,-64.104531,455,,,
42315,-22.636029,455,,,
42770,-60.587179,455,0.9818543195724487,6.687564462423325,1.2766178101301193
43225,-59.639615,455,,,
43680,-64.712164,455,,,
44135,-29.869768,455,,,
44590,-60.569484,455,,,
45045,-59.058212,455,0.9797629714012146,6.722672456502915,1.4146323822438718
45500,-59.509608,455,,,
45955,-23.702221,455,,,
46410,-36.092738,455,,,
46865,-59.371161,455,0.9852485656738281,6.756481009721756,1.0990198872983457
47320,-62.495343,455,,,
47775,-27.973494,455,,,
48230,-58.787206,455,,,
48685,-33.807085,455,,,
49140,-60.573092,455,0.9741085171699524,6.7708038806915285,1.7148824781179428
49595,-22.295036,455,,,
50050,-62.400278,455,,,
50505,-61.332505,455,,,
50960,-39.885121,455,0.9752567410469055,6.77803602218628,1.6204720228910445
51415,-59.210119,455,,,
51870,-36.62741,455,,,
52325,-59.705253,455,,,
52780,-60.466012,455,,,
53235,-57.383529,455,0.9743881821632385,6.783247917890549,1.679072006046772
53690,-21.791961,455,,,
54145,-60.106244,455,,,
54600,-32.731772,455,,,
55055,-23.179167,455,0.9877555966377258,6.790438961982727,1.2456913001835346
55510,-36.72726,455,,,
55965,-62.485911,455,,,
56420,-56.953529,455,,,
56875,-25.93912,455,,,
57330,-29.763068,455,0.9487414360046387,6.806324249505996,2.3080306947231293
57785,-54.78945,455,,,
58240,-21.366997,455,,,
58695,-27.690519,455,,,
59150,-20.23252,455,0.970174252986908,6.8290226519107815,1.9965018525719642
59605,-58.890396,455,,,
60060,-59.326399,455,,,
60515,-59.122048,455,,,
60970,-58.381505,455,,,
61425,-33.109704,455,0.9622876048088074,6.838633453845977,2.1263059258460997
61880,-38.08232,455,,,
62335,-57.418637,455,,,
62790,-59.635077,455,,,
63245,-57.167898,455,0.9865468740463257,6.8373635649681095,1.0204428113996982
63700,-28.339482,455,,,
64155,-51.649358,455,,,
64610,-55.474648,455,,,
65065,-55.711836,455,,,
65520,-35.189936,455,0.9854923486709595,6.846934634447098,0.9580671541392803
65975,-15.517564,455,,,
66430,-54.513456,455,,,
66885,-29.916829,455,,,
67340,-57.750423,455,0.9840362071990967,6.868518108129502,1.2668290585279465
67795,-15.340445,455,,,
68250,-54.82244,455,,,
68705,-23.276181,455,,,
69160,-28.639477,455,,,
69615,-21.504805,455,0.9713451862335205,6.8800212919712065,1.6432020217180252
70070,-54.060316,455,,,
70525,-22.969985,455,,,
70980,-50.880443,455,,,
71435,-55.016009,455,0.9588054418563843,6.8861071228981015,2.111034232378006
71890,-26.528451,455,,,
72345,-52.57355,455,,,
72800,-25.016058,455,,,
73255,-29.97778,455,,,
73710,-19.938703,455,0.9875273704528809,6.901572632789612,0.9053081952035427
74165,-35.388213,455,,,
74620,-54.489016,455,,,
75075,-52.966994,455,,,
75530,-24.622599,455,0.9488502740859985,6.91440641283989,2.2708193182945253
75985,-30.703466,455,,,
76440,-56.116267,455,,,
76895,-53.181989,455,,,
77350,-50.423567,455,,,
77805,-28.933147,455,0.9764969348907471,6.922496742010116,1.422673910856247
78260,-49.264274,455,,,
78715,-33.643188,455,,,
79170,-34.769301,455,,,
79625,-51.490389,455,0.9858618378639221,6.922323054075241,1.1539206847548484
80080,-51.305683,455,,,
80535,-49.428917,455,,,
80990,-50.806609,455,,,
81445,-53.135046,455,,,
81900,-50.079369,455,0.9812088012695312,6.922483408451081,1.297889954596758
82355,-45.800889,455,,,
82810,-24.391248,455,,,
83265,-30.603665,455,,,
83720,-48.199712,455,0.9980327486991882,6.9341198086738585,0.3426394937559962
84175,-48.971302,455,,,
84630,-21.282915,455,,,
85085,-30.377281,455,,,
85540,-48.456143,455,,,
85995,-48.848629,455,0.9810653328895569,6.953921377658844,1.3341712839901447
86450,-48.456518,455,,,
86905,-26.21543,455,,,
87360,-47.597034,455,,,
87815,-50.433533,455,0.9844197630882263,6.967004013061524,1.2448984384536743
88270,-22.713089,455,,,
88725,-48.231327,455,,,
89180,-49.841972,455,,,
89635,-19.636072,455,,,
90090,-46.191485,455,0.9877057671546936,6.977395719289779,1.035317450016737
90545,-44.777663,455,,,
91000,-48.038474,455,,,
91455,-22.841528,455,,,
91910,-21.951509,455,0.9864041805267334,6.986719352006912,1.2319016344845295
92365,-43.485329,455,,,
92820,-17.02094,455,,,
93275,-43.751517,455,,,
93730,-46.186924,455,,,
94185,-44.39552,455,0.9833213686943054,6.995179963111878,1.2574834428727626
94640,-27.222673,455,,,
95095,-22.684919,455,,,
95550,-46.225806,455,,,
96005,-24.891428,455,0.9923831820487976,7.002307504415512,0.8168238256126642
96460,-16.025453,455,,,
96915,-24.438533,455,,,
97370,-46.221,455,,,
97825,-21.058711,455,,,
98280,-21.46597,455,0.9610880613327026,7.003126680850983,2.02114692479372
98735,-42.946316,455,,,
99190,-27.325626,455,,,
99645,-44.708231,455,,,
100100,-44.206354,455,0.960944652557373,7.024530810117722,2.32373760342598
100555,-46.414052,455,,,
101010,-16.771344,455,,,
101465,-19.830367,455,,,
101920,-20.272862,455,,,
102375,-46.546241,455,0.9918228983879089,7.0472377181053165,0.7954797592014075
102830,-42.630438,455,,,
103285,-16.938754,455,,,
103740,-32.024875,455,,,
104195,-44.325434,455,0.9735713601112366,7.079760771989823,1.6395929500460624
104650,-15.96645,455,,,
105105,-43.618434,455,,,
105560,-25.466109,455,,,
106015,-43.091858,455,,,
106470,-43.972881,455,0.9750449061393738,7.100478523969651,1.6979837350547313
106925,-18.29013,455,,,
107380,-40.834672,455,,,
107835,-16.388645,455,,,
108290,-45.849328,455,0.9876516461372375,7.100524437427521,1.1553096435964108
108745,-15.343158,455,,,
109200,-40.648859,455,,,
109655,-6.984032,455,,,
110110,-40.585961,455,,,
110565,-42.715845,455,0.9798662066459656,7.105120623111725,1.3542852722108365
111020,-25.941352,455,,,
111475,-42.079409,455,,,
111930,-42.371937,455,,,
112385,-42.124258,455,0.9871842861175537,7.128470402956009,1.1982090555131435
112840,-39.747198,455,,,
113295,-18.431951,455,,,
113750,-44.488726,455,,,
114205,-26.690754,455,,,
114660,-28.745808,455,0.9933044910430908,7.152925491333008,0.655338079854846
115115,-42.59165,455,,,
115570,-39.83623,455,,,
116025,-20.853645,455,,,
116480,-18.411323,455,0.9715062975883484,7.166924303770065,1.6889246478676796
116935,-40.847705,455,,,
117390,-18.184909,455,,,
117845,-40.984408,455,,,
118300,-38.839193,455,,,
118755,-41.622762,455,0.9827290177345276,7.18548092842102,1.187987381964922
119210,-9.960824,455,,,
119665,-36.179378,455,,,
120120,-20.581691,455,,,
120575,-8.864242,455,0.9925811886787415,7.207506716251373,0.7447535041719675
121030,-24.686977,455,,,
121485,-36.524519,455,,,
121940,-21.327153,455,,,
122395,-21.485927,455,,,
122850,-17.890915,455,0.9549750685691833,7.225768738985062,2.116761702299118
123305,-38.463864,455,,,
123760,-36.892124,455,,,
124215,-11.526056,455,,,
124670,-39.032726,455,0.9604561924934387,7.241067183017731,2.087142989039421
125125,-36.58793,455,,,
125580,-35.744694,455,,,
126035,-38.188351,455,,,
126490,-23.33793,455,,,
126945,-37.441121,455,0.992662787437439,7.261143857240677,0.6253853030502796
127400,-33.084047,455,,,
127855,-36.176937,455,,,
128310,-36.024414,455,,,
128765,-35.957143,455,0.9927544593811035,7.281320405006409,0.7134309984743595
129220,-28.232067,455,,,
129675,-34.482152,455,,,
130130,-34.684545,455,,,
130585,-19.607708,455,,,
131040,-33.766497,455,0.9964152574539185,7.31139053106308,0.37359354831278324
131495,-31.680417,455,,,
131950,-34.219427,455,,,
132405,-30.45518,455,,,
132860,-21.943487,455,0.9868727326393127,7.362053483724594,1.061626560240984
133315,-21.76154,455,,,
133770,-19.702567,455,,,
134225,-15.086994,455,,,
134680,-34.613457,455,,,
135135,-21.355489,455,0.958908200263977,7.376241207122803,1.8462999522686006
135590,-33.763098,455,,,
136045,-33.918359,455,,,
136500,-31.425788,455,,,
136955,-34.791587,455,0.9638216495513916,7.38855812549591,1.9307983592152596
137410,-31.885616,455,,,
137865,-22.42344,455,,,
138320,-31.823603,455,,,
138775,-33.634772,455,,,
