timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-86.881315,455,,,
910,-63.67978,455,,,
1365,-61.450076,455,,,
1820,-62.199697,455,,,
2275,-63.687896,455,,,
2730,-82.891134,455,,,
3185,-71.793866,455,,,
3640,-73.955687,455,,,
4095,-54.974651,455,-0.03246915340423584,6.393016916513443,5.153017625212669
4550,-63.749385,455,,,
5005,-66.42361,455,,,
5460,-67.851407,455,,,
5915,-67.981423,455,0.026015937328338623,6.405492877960205,4.729947978258133
6370,-69.513682,455,,,
6825,-72.124208,455,,,
7280,-67.4505,455,,,
7735,-84.013438,455,,,
8190,-60.93894,455,0.13920307159423828,6.419829428195953,4.744654202461243
8645,-68.025906,455,,,
9100,-72.588647,455,,,
9555,-64.572055,455,,,
10010,-68.476,455,0.08934140205383301,6.435329627990723,5.42786979675293
10465,-77.368444,455,,,
10920,-58.720029,455,,,
11375,-67.924029,455,,,
11830,-56.006875,455,,,
12285,-66.554873,455,0.1327006220817566,6.455962377786636,6.464522516727447
12740,-60.582149,455,,,
13195,-67.988904,455,,,
13650,-56.198583,455,,,
14105,-72.877675,455,0.1565401554107666,6.4652970969676975,4.967293220758438
14560,-69.546802,455,,,
15015,-70.532566,455,,,
15470,-67.303012,455,,,
15925,-53.400329,455,,,
16380,-70.25464,455,0.12175512313842773,6.469549757242203,4.026775762438774
16835,-80.613133,455,,,
17290,-68.791596,455,,,
17745,-59.672381,455,,,
18200,-68.360122,455,0.20201236009597778,6.467640429735184,5.509023422002793
18655,-61.435228,455,,,
19110,-71.264435,455,,,
19565,-66.107031,455,,,
20020,-57.040783,455,,,
20475,-68.795624,455,0.2836337089538574,6.462341791391372,5.473813593387604
20930,-57.310491,455,,,
21385,-63.878553,455,,,
21840,-80.736453,455,,,
22295,-69.044948,455,0.40234601497650146,6.480791682004929,5.200653666257859
22750,-83.2018,455,,,
23205,-68.870805,455,,,
23660,-66.216974,455,,,
24115,-77.754337,455,,,
24570,-64.445273,455,0.558841347694397,6.486062288284302,3.8814500898122786
25025,-76.542948,455,,,
25480,-64.78414,455,,,
25935,-72.85067,455,,,
26390,-76.385368,455,0.6106033325195312,6.4912753164768215,4.193325182795524
26845,-50.822325,455,,,
27300,-72.958271,455,,,
27755,-60.897834,455,,,
28210,-82.593847,455,,,
28665,-63.683596,455,0.7094939351081848,6.507988232374191,4.157689023017883
29120,-59.50724,455,,,
29575,-70.528295,455,,,
30030,-80.514164,455,,,
30485,-61.550285,455,0.7605687975883484,6.519290745258331,4.116139599680901
30940,-58.024963,455,,,
31395,-71.757912,455,,,
31850,-74.279258,455,,,
32305,-59.910789,455,,,
32760,-77.73628,455,0.7396447062492371,6.544403755664826,3.801606723666191
33215,-70.100199,455,,,
33670,-83.745449,455,,,
34125,-78.686604,455,,,
34580,-70.477095,455,0.6969262957572937,6.567315632104874,3.688892421126366
35035,-87.371974,455,,,
35490,-58.721116,455,,,
35945,-60.682566,455,,,
36400,-74.702563,455,,,
36855,-84.296694,455,0.7869662642478943,6.584906673431396,3.225661137700081
37310,-74.356212,455,,,
37765,-65.827157,455,,,
38220,-89.172671,455,,,
38675,-63.870961,455,0.706659197807312,6.602874076366424,3.4523380249738693
39130,-69.724912,455,,,
39585,-75.769357,455,,,
40040,-61.358602,455,,,
40495,-68.033919,455,,,
40950,-66.336005,455,0.7321264743804932,6.61524201631546,2.921141266822815
41405,-69.508983,455,,,
41860,-77.879962,455,,,
42315,-68.070322,455,,,
42770,-81.003786,455,0.6877458095550537,6.618537586927414,3.4165308982133866
43225,-43.325347,455,,,
43680,-102.306425,455,,,
44135,-60.04544,455,,,
44590,-48.050152,455,,,
45045,-73.643881,455,0.6223277449607849,6.615440303087235,3.4547190934419634
45500,-66.347243,455,,,
45955,-74.3712,455,,,
46410,-84.754134,455,,,
46865,-69.422659,455,0.7750551104545593,6.627819830179215,3.4720063537359236
47320,-60.777023,455,,,
47775,-69.383416,455,,,
48230,-61.218206,455,,,
48685,-66.644623,455,,,
49140,-64.581426,455,0.8441770076751709,6.6435966968536375,2.9043588817119597
49595,-53.500268,455,,,
50050,-83.276585,455,,,
50505,-62.058526,455,,,
50960,-75.118554,455,0.8287948369979858,6.65186618566513,2.936880388855934
51415,-74.631821,455,,,
51870,-54.118888,455,,,
52325,-79.246938,455,,,
52780,-82.293876,455,,,
53235,-72.314011,455,0.847332239151001,6.670639699697494,3.057875895500183
53690,-59.326647,455,,,
54145,-66.93136,455,,,
54600,-63.603302,455,,,
