timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-52.427918,455,,,
910,-59.301069,455,,,
1365,-54.740751,455,,,
1820,-51.929902,455,,,
2275,-51.462205,455,,,
2730,-52.143433,455,,,
3185,-51.693774,455,,,
3640,-54.959342,455,,,
4095,-49.013658,455,0.01408851146697998,6.407952398061752,6.246832412481308
4550,-48.724798,455,,,
5005,-54.289218,455,,,
5460,-64.401216,455,,,
5915,-52.84581,455,0.22736448049545288,6.420466488599777,2.2490425199270248
6370,-66.94822,455,,,
6825,-51.482938,455,,,
7280,-54.1281,455,,,
7735,-50.707187,455,,,
8190,-50.832121,455,0.4075440764427185,6.41099728345871,4.412768223881722
8645,-61.38592,455,,,
9100,-59.215297,455,,,
9555,-54.599078,455,,,
10010,-52.551209,455,0.6870173811912537,6.408143478631973,3.0162769943475722
10465,-51.773058,455,,,
10920,-48.76312,455,,,
11375,-50.639853,455,,,
11830,-49.906098,455,,,
12285,-52.677453,455,0.6763495802879333,6.4081412851810455,5.637740671634674
12740,-50.866073,455,,,
13195,-51.671233,455,,,
13650,-52.298067,455,,,
14105,-48.949827,455,0.8088181018829346,6.429903590679169,2.5151637881994247
14560,-59.606066,455,,,
15015,-57.900785,455,,,
15470,-50.483693,455,,,
15925,-51.329832,455,,,
16380,-58.632533,455,0.8786824941635132,6.451502805948257,1.962438939511776
16835,-55.730202,455,,,
17290,-48.755416,455,,,
17745,-50.348938,455,,,
18200,-54.393619,455,0.8395510911941528,6.465819668769837,3.179758942127228
18655,-51.163106,455,,,
19110,-54.125412,455,,,
19565,-45.917507,455,,,
20020,-64.867838,455,,,
20475,-54.318146,455,0.8772808909416199,6.472893559932709,2.810059916973114
20930,-47.949308,455,,,
21385,-45.582994,455,,,
21840,-49.186687,455,,,
22295,-56.268284,455,0.8341971039772034,6.489867919683457,3.726184290647507
22750,-47.748615,455,,,
23205,-48.012051,455,,,
23660,-65.117549,455,,,
24115,-46.900772,455,,,
24570,-55.826115,455,0.8870725035667419,6.506498736143112,2.7176266267895697
25025,-57.398097,455,,,
25480,-57.798082,455,,,
25935,-48.606033,455,,,
26390,-48.116796,455,0.8940763473510742,6.528963875770569,2.508152702450752
26845,-47.085788,455,,,
27300,-49.875083,455,,,
27755,-48.296167,455,,,
28210,-59.929088,455,,,
28665,-43.766589,455,0.8904310464859009,6.5353528439998625,3.4538942843675615
29120,-45.818229,455,,,
