timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.979176,455,,,
910,-31.266492,455,,,
1365,-24.177983,455,,,
1820,-33.135013,455,,,
2275,-63.459486,455,,,
2730,-64.61362,455,,,
3185,-58.903218,455,,,
3640,-62.440391,455,,,
4095,-61.025419,455,0.007454335689544678,6.39954137802124,10.526592165231705
4550,-59.715799,455,,,
5005,-63.331344,455,,,
5460,-30.384277,455,,,
5915,-64.996086,455,0.24466776847839355,6.411556875705719,10.653548544645309
6370,-10.827258,455,,,
6825,-61.573627,455,,,
7280,-22.00695,455,,,
7735,-59.817839,455,,,
8190,-62.63698,455,0.5575197339057922,6.403350150585174,8.60845569372177
8645,-26.168367,455,,,
9100,-34.907068,455,,,
9555,-24.074377,455,,,
10010,-24.430495,455,0.7468980550765991,6.398155236244202,6.085863149166107
10465,-61.039112,455,,,
10920,-59.219809,455,,,
11375,-63.465096,455,,,
11830,-26.089373,455,,,
12285,-62.801243,455,0.6859683990478516,6.400358372926712,5.9828463852405545
12740,-63.678131,455,,,
13195,-58.717835,455,,,
13650,-62.682981,455,,,
14105,-61.94535,455,0.7951798439025879,6.408016967773437,5.262744748592377
14560,-42.480886,455,,,
15015,-32.375752,455,,,
15470,-63.62567,455,,,
15925,-63.975677,455,,,
16380,-36.861858,455,0.8433710932731628,6.410295611619949,4.553042903542519
16835,-38.952939,455,,,
17290,-58.498419,455,,,
17745,-64.052345,455,,,
18200,-22.575762,455,0.8683542013168335,6.40163813829422,4.474427643418312
18655,-59.286904,455,,,
19110,-24.479192,455,,,
19565,-55.451455,455,,,
20020,-31.564935,455,,,
20475,-42.401043,455,0.9053794741630554,6.406004703044891,4.134416052699089
20930,-58.382822,455,,,
21385,-37.403978,455,,,
21840,-60.930431,455,,,
22295,-46.403731,455,0.8777667284011841,6.416928291320801,4.01790460050106
22750,-58.495382,455,,,
23205,-58.472454,455,,,
23660,-15.010115,455,,,
24115,-57.116663,455,,,
24570,-28.441486,455,0.9326736330986023,6.422251814603806,3.148573765158653
25025,-34.976989,455,,,
25480,-28.93423,455,,,
25935,-30.742436,455,,,
26390,-57.253331,455,0.9203429222106934,6.428644442558289,3.238962459564209
26845,-28.808534,455,,,
27300,-35.229339,455,,,
27755,-40.160698,455,,,
28210,-35.283584,455,,,
28665,-29.230566,455,0.9034507274627686,6.440149986743927,3.199736937880516
29120,-55.427841,455,,,
29575,-28.991744,455,,,
30030,-60.918654,455,,,
30485,-20.508886,455,0.837635338306427,6.443059253692627,3.496586963534355
30940,-56.777053,455,,,
31395,-34.232492,455,,,
31850,-20.742713,455,,,
32305,-57.871624,455,,,
32760,-55.168985,455,0.9256700873374939,6.455037081241608,2.815954954922199
33215,-20.381808,455,,,
33670,-57.352672,455,,,
34125,-24.908383,455,,,
34580,-24.662813,455,0.9435670375823975,6.470152425765991,2.577754667401314
35035,-56.586224,455,,,
35490,-56.174703,455,,,
35945,-57.091143,455,,,
36400,-24.49266,455,,,
36855,-59.824894,455,0.9348618388175964,6.478235608339309,2.747792001068592
37310,-32.564957,455,,,
37765,-60.10913,455,,,
38220,-56.208351,455,,,
38675,-30.072889,455,0.9626563787460327,6.50077331662178,2.0725891530513763
39130,-55.825801,455,,,
39585,-58.17567,455,,,
40040,-57.26592,455,,,
40495,-44.453051,455,,,
40950,-50.993323,455,0.9454962015151978,6.514384531974793,2.806661406159401
41405,-54.285776,455,,,
41860,-57.186016,455,,,
42315,-34.17832,455,,,
42770,-55.113776,455,0.9691223502159119,6.527326142787933,1.9373148664832116
43225,-60.412668,455,,,
43680,-57.780464,455,,,
44135,-31.004061,455,,,
44590,-55.290998,455,,,
45045,-52.264197,455,0.9694886207580566,6.549828124046326,1.8335915222764014
45500,-56.21714,455,,,
45955,-34.361582,455,,,
46410,-19.612899,455,,,
46865,-54.580682,455,0.9742958545684814,6.571337437629699,2.260295069217682
47320,-55.599019,455,,,
47775,-32.254132,455,,,
48230,-54.118184,455,,,
48685,-27.218161,455,,,
49140,-54.405692,455,0.9599325060844421,6.580900979042053,2.2739237666130068
49595,-21.230281,455,,,
50050,-53.531051,455,,,
50505,-51.61927,455,,,
50960,-34.497131,455,0.9685805439949036,6.598114037513733,1.9400399670004844
51415,-54.023536,455,,,
51870,-11.678665,455,,,
52325,-52.368268,455,,,
52780,-50.247921,455,,,
53235,-46.227284,455,0.9689026474952698,6.606779915094376,1.9576155588030815
53690,-22.622209,455,,,
54145,-55.039946,455,,,
54600,-15.343868,455,,,
55055,-32.642831,455,0.9819329380989075,6.620024681091309,1.4601559475064279
55510,-23.185534,455,,,
55965,-52.421883,455,,,
56420,-49.241666,455,,,
56875,-18.259677,455,,,
57330,-25.725249,455,0.9381256699562073,6.640906637907028,2.820934922993183
57785,-44.922539,455,,,
58240,-28.305219,455,,,
58695,-27.246412,455,,,
59150,-28.16027,455,0.9665168523788452,6.666498398780822,2.02630528062582
59605,-48.868456,455,,,
60060,-49.38348,455,,,
60515,-50.673489,455,,,
60970,-53.613827,455,,,
61425,-22.134872,455,0.9547967314720154,6.680428606271744,2.4167358919978144
61880,-21.275663,455,,,
62335,-47.931828,455,,,
62790,-50.151729,455,,,
63245,-43.921265,455,0.9846850037574768,6.695511531829834,1.3341929085552693
63700,-25.239349,455,,,
64155,-42.349476,455,,,
64610,-43.011773,455,,,
65065,-42.716974,455,,,
65520,-30.17579,455,0.979946494102478,6.7145396828651425,1.4253072991967202
65975,-21.077221,455,,,
66430,-44.56598,455,,,
66885,-23.167355,455,,,
67340,-45.929468,455,0.9818418025970459,6.730903136730194,1.2959544628858566
67795,-25.766057,455,,,
68250,-44.415206,455,,,
68705,-33.599321,455,,,
69160,-23.156535,455,,,
69615,-25.899108,455,0.970737636089325,6.745928335189819,2.424084897339344
70070,-47.118772,455,,,
70525,-22.338819,455,,,
70980,-46.095365,455,,,
71435,-47.221779,455,0.9474532604217529,6.744924306869507,2.503035216033459
71890,-21.368404,455,,,
72345,-40.491441,455,,,
72800,-26.108054,455,,,
73255,-20.924996,455,,,
