timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-67.317487,455,,,
910,-84.023944,455,,,
1365,-67.765455,455,,,
1820,-73.606004,455,,,
2275,-64.376829,455,,,
2730,-68.59192,455,,,
3185,-63.334811,455,,,
3640,-66.613521,455,,,
4095,-73.742531,455,0.03848695755004883,6.3958504617214205,8.960668164491654
4550,-71.598618,455,,,
5005,-68.087809,455,,,
5460,-70.213118,455,,,
5915,-68.598928,455,0.2843394875526428,6.41624790430069,5.881998753547668
6370,-67.624024,455,,,
6825,-60.924518,455,,,
7280,-65.204403,455,,,
7735,-64.734387,455,,,
8190,-67.586387,455,0.5378872156143188,6.425843644142151,7.014011669158935
8645,-65.483795,455,,,
9100,-78.918297,455,,,
9555,-62.814129,455,,,
10010,-76.730688,455,0.5990118980407715,6.409026610851288,6.012672656774521
10465,-65.965073,455,,,
10920,-62.505256,455,,,
11375,-60.255625,455,,,
11830,-71.791874,455,,,
12285,-62.809342,455,0.48679935932159424,6.4256984949111935,7.070462083816528
12740,-65.936394,455,,,
13195,-64.02639,455,,,
13650,-65.278882,455,,,
14105,-70.657897,455,0.8404098749160767,6.455641615390777,4.055671894550324
14560,-65.623654,455,,,
15015,-82.766995,455,,,
15470,-68.614582,455,,,
15925,-62.713493,455,,,
16380,-76.156461,455,0.8672932386398315,6.473869860172272,3.8700413048267364
16835,-73.950713,455,,,
17290,-63.510611,455,,,
17745,-62.600988,455,,,
18200,-75.230115,455,0.8583368062973022,6.482637214660644,4.1310555905103685
18655,-68.649138,455,,,
19110,-68.689582,455,,,
19565,-63.756624,455,,,
20020,-72.525751,455,,,
20475,-64.478305,455,0.8917434811592102,6.493014633655548,3.6564496576786043
20930,-63.236126,455,,,
21385,-67.700188,455,,,
21840,-57.40602,455,,,
22295,-65.108285,455,0.821549654006958,6.499593335390091,4.493360263109207
22750,-67.712141,455,,,
23205,-61.743876,455,,,
23660,-77.795814,455,,,
24115,-57.6615,455,,,
24570,-76.737331,455,0.91811603307724,6.510430216789246,3.310906320810318
25025,-75.794776,455,,,
25480,-66.867555,455,,,
25935,-86.25055,455,,,
26390,-62.250755,455,0.9100691080093384,6.526205992698669,3.222521385550499
26845,-70.367753,455,,,
27300,-61.954839,455,,,
27755,-76.40418,455,,,
28210,-62.478256,455,,,
28665,-70.178681,455,0.89451003074646,6.528153496980667,4.31667300760746
29120,-59.556201,455,,,
29575,-75.853655,455,,,
30030,-65.405721,455,,,
30485,-67.332554,455,0.8647274374961853,6.537297564744949,4.199964115023613
30940,-59.518343,455,,,
31395,-66.739555,455,,,
31850,-70.835257,455,,,
32305,-54.371962,455,,,
32760,-61.022324,455,0.9155732989311218,6.536479645967484,2.716110348701477
33215,-71.773472,455,,,
33670,-59.235757,455,,,
34125,-63.395035,455,,,
34580,-79.613351,455,0.9284569621086121,6.551847165822982,2.2294714346528055
35035,-55.126346,455,,,
35490,-59.694577,455,,,
35945,-58.146722,455,,,
36400,-59.911518,455,,,
36855,-63.586784,455,0.9208299517631531,6.583596664667129,3.0080341577529905
37310,-72.994363,455,,,
37765,-60.979407,455,,,
38220,-59.855887,455,,,
38675,-77.651675,455,0.9360765814781189,6.5980394124984745,1.8053200155496598
39130,-55.45013,455,,,
39585,-57.198681,455,,,
40040,-57.548053,455,,,
40495,-77.877085,455,,,
40950,-55.761467,455,0.9410006403923035,6.598878693580628,2.3426091581583024
41405,-54.065082,455,,,
41860,-56.525341,455,,,
42315,-64.002887,455,,,
42770,-56.334591,455,0.9521360993385315,6.600399094820022,1.5449671804904939
43225,-59.541008,455,,,
43680,-64.642904,455,,,
44135,-68.562121,455,,,
44590,-52.776167,455,,,
45045,-54.179216,455,0.9181300401687622,6.619295811653137,1.8165716543793677
45500,-49.488023,455,,,
45955,-66.832551,455,,,
46410,-70.48809,455,,,
46865,-55.383629,455,0.9484372138977051,6.644994467496872,1.633010020852089
47320,-62.114961,455,,,
47775,-63.820411,455,,,
48230,-53.206582,455,,,
48685,-62.557197,455,,,
49140,-56.781657,455,0.9371455311775208,6.6604226410388945,2.183639732003212
49595,-72.394197,455,,,
50050,-52.521541,455,,,
50505,-58.372485,455,,,
50960,-74.238857,455,0.9336923360824585,6.680723732709884,2.1407714754343035
