timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.226971,455,,,
910,-70.518654,455,,,
1365,-70.841987,455,,,
1820,-71.335672,455,,,
2275,-61.235795,455,,,
2730,-62.626209,455,,,
3185,-56.766524,455,,,
3640,-63.880596,455,,,
4095,-61.938263,455,0.03223228454589844,6.404526925086975,7.850884956121445
4550,-63.787329,455,,,
5005,-64.105142,455,,,
5460,-78.950721,455,,,
5915,-58.353878,455,0.2621343731880188,6.414620399475098,5.74228610098362
6370,-68.607564,455,,,
6825,-64.309384,455,,,
7280,-83.402634,455,,,
7735,-61.931311,455,,,
8190,-63.076635,455,0.5880903005599976,6.412314659357071,5.708526241779327
8645,-72.765261,455,,,
9100,-77.830722,455,,,
9555,-70.338458,455,,,
10010,-76.010853,455,0.6229655742645264,6.411877983808518,6.629301607608795
10465,-58.4838,455,,,
10920,-58.24724,455,,,
11375,-61.226156,455,,,
11830,-63.755224,455,,,
12285,-61.556394,455,0.3032006025314331,6.424787533283234,7.718543654680252
12740,-61.099241,455,,,
13195,-54.835052,455,,,
13650,-65.320142,455,,,
14105,-57.054746,455,0.8404895663261414,6.454508727788925,4.396525907516479
14560,-76.216922,455,,,
15015,-78.26631,455,,,
15470,-55.982778,455,,,
15925,-67.025812,455,,,
16380,-69.274607,455,0.8589428663253784,6.469042205810547,3.369856408238411
16835,-73.566791,455,,,
17290,-58.553389,455,,,
17745,-58.706862,455,,,
18200,-76.923752,455,0.6843423843383789,6.467902648448944,5.005898797512055
18655,-59.123566,455,,,
19110,-78.441227,455,,,
19565,-52.964676,455,,,
20020,-75.40247,455,,,
20475,-67.123251,455,0.8621679544448853,6.466668552160263,4.272932675480843
20930,-58.452305,455,,,
21385,-83.591033,455,,,
21840,-59.810464,455,,,
22295,-71.496467,455,0.8726506233215332,6.478082424402237,4.037979537248612
22750,-57.844766,455,,,
23205,-58.234412,455,,,
23660,-67.531774,455,,,
24115,-51.785463,455,,,
24570,-72.538245,455,0.8850458860397339,6.489172703027725,3.7388868272304534
25025,-73.323665,455,,,
25480,-68.998501,455,,,
25935,-71.229675,455,,,
26390,-51.417748,455,0.8452037572860718,6.514156198501587,3.557680919766426
26845,-67.123058,455,,,
27300,-63.979393,455,,,
27755,-74.777516,455,,,
28210,-73.284199,455,,,
28665,-59.207193,455,0.8836047649383545,6.542741531133652,4.708767497539521
29120,-57.6564,455,,,
29575,-73.504057,455,,,
30030,-57.029254,455,,,
30485,-68.037672,455,0.8827580809593201,6.563240551948548,4.492988878488541
30940,-61.17121,455,,,
31395,-75.076304,455,,,
31850,-86.57531,455,,,
32305,-50.43205,455,,,
32760,-58.632351,455,0.9267913103103638,6.577986806631088,2.7584290713071824
33215,-66.844868,455,,,
33670,-56.604058,455,,,
34125,-69.113592,455,,,
34580,-81.209138,455,0.926007866859436,6.585739660263061,3.168560412526131
35035,-52.314382,455,,,
35490,-47.750018,455,,,
35945,-54.618525,455,,,
36400,-70.530354,455,,,
36855,-56.377854,455,0.9233224391937256,6.597608017921448,3.210587751865387
37310,-65.807688,455,,,
37765,-52.143139,455,,,
38220,-57.118565,455,,,
38675,-65.486616,455,0.9556901454925537,6.608486711978912,1.8687205463647842
39130,-52.802068,455,,,
39585,-56.028961,455,,,
40040,-57.002112,455,,,
40495,-64.099982,455,,,
40950,-54.995436,455,0.9229958653450012,6.618702262639999,2.8026146054267884
41405,-58.900959,455,,,
41860,-52.571698,455,,,
42315,-69.989356,455,,,
42770,-53.222097,455,0.9558064937591553,6.631153333187103,1.6588285997509957
43225,-61.217748,455,,,
43680,-55.01253,455,,,
44135,-70.333675,455,,,
44590,-52.092186,455,,,
45045,-52.945693,455,0.9584877490997314,6.65669966340065,1.6679506286978723
45500,-54.778832,455,,,
45955,-88.576684,455,,,
46410,-67.786242,455,,,
46865,-52.79029,455,0.9556460380554199,6.687586933374405,1.6495247930288315
47320,-57.694792,455,,,
47775,-62.445086,455,,,
48230,-54.006098,455,,,
48685,-84.368511,455,,,
49140,-52.429833,455,0.950527012348175,6.696949189901352,2.2534479036927224
49595,-75.72152,455,,,
50050,-51.821413,455,,,
50505,-56.076066,455,,,
50960,-73.306356,455,0.9515894055366516,6.69839238524437,2.1228976786136626
51415,-49.325057,455,,,
51870,-67.422137,455,,,
52325,-54.341577,455,,,
52780,-52.807448,455,,,
53235,-51.095248,455,0.9498213529586792,6.713864284753799,1.9749090924859047
53690,-75.828253,455,,,
54145,-50.714015,455,,,
54600,-67.254904,455,,,
55055,-65.660614,455,0.9605556726455688,6.731639117002487,1.3610949650406838
55510,-65.046755,455,,,
55965,-52.498778,455,,,
56420,-50.89167,455,,,
56875,-67.461952,455,,,
57330,-73.293414,455,0.9383699297904968,6.748839551210404,2.593416780233383
57785,-50.004402,455,,,
58240,-67.319966,455,,,
58695,-60.503436,455,,,
59150,-67.304119,455,0.9574704766273499,6.780609327554703,1.8603383049368858
59605,-52.749249,455,,,
60060,-52.363638,455,,,
60515,-50.841004,455,,,
60970,-52.241598,455,,,
61425,-68.944607,455,0.9528089165687561,6.803030073642731,2.0990621954202653
61880,-70.165677,455,,,
62335,-52.925876,455,,,
62790,-53.601351,455,,,
63245,-49.782029,455,0.9644851088523865,6.810424929857254,1.244142124056816
63700,-65.646427,455,,,
64155,-49.865743,455,,,
64610,-47.521944,455,,,
65065,-48.912595,455,,,
65520,-72.597415,455,0.9591389894485474,6.802120888233185,1.7568641126155853
65975,-68.259021,455,,,
66430,-49.913565,455,,,
66885,-69.492552,455,,,
67340,-49.894291,455,0.9657964110374451,6.8083026826381685,1.3670561134815216
67795,-65.624794,455,,,
68250,-50.988509,455,,,
68705,-69.075242,455,,,
69160,-68.836963,455,,,
69615,-72.650903,455,0.9672215580940247,6.829334449768067,1.7873200595378875
70070,-55.219994,455,,,
70525,-73.954519,455,,,
70980,-49.100642,455,,,
71435,-53.388333,455,0.954685389995575,6.845400923490525,2.247986249625683
71890,-64.092503,455,,,
72345,-48.290109,455,,,
72800,-72.547974,455,,,
73255,-69.016214,455,,,
73710,-54.264721,455,0.9705678820610046,6.86099209189415,1.4012083813548089
74165,-68.618111,455,,,
74620,-49.711643,455,,,
75075,-49.016196,455,,,
75530,-64.400369,455,0.9553453922271729,6.881878644227982,2.4152917355298995
75985,-58.062232,455,,,
76440,-48.769268,455,,,
76895,-42.226433,455,,,
77350,-47.127012,455,,,
77805,-67.477088,455,0.9640884399414062,6.891004210710525,1.879694363474846
78260,-45.638007,455,,,
78715,-55.420145,455,,,
79170,-68.776204,455,,,
79625,-46.17674,455,0.9677478075027466,6.905579423904419,1.3031099021434784
80080,-46.499765,455,,,
80535,-49.69572,455,,,
80990,-40.996266,455,,,
81445,-52.323658,455,,,
81900,-51.505219,455,0.9649198055267334,6.921736270189285,1.5525695249438285
82355,-42.53985,455,,,
82810,-66.731468,455,,,
83265,-69.611736,455,,,
83720,-48.562824,455,0.9758286476135254,6.931855547428131,0.7534492135047912
84175,-46.489825,455,,,
84630,-69.715122,455,,,
85085,-67.438757,455,,,
85540,-46.61978,455,,,
85995,-51.307276,455,0.9632860422134399,6.942071741819381,1.589145828783512
86450,-49.337278,455,,,
86905,-70.577214,455,,,
87360,-40.473426,455,,,
87815,-47.500072,455,0.9664726257324219,6.955174261331559,1.4029560655355453
88270,-59.969689,455,,,
88725,-48.791942,455,,,
89180,-48.335717,455,,,
89635,-56.421934,455,,,
90090,-47.841435,455,0.9702259302139282,6.966610383987427,1.33750824034214
90545,-42.930891,455,,,
91000,-45.933908,455,,,
91455,-74.963316,455,,,
91910,-70.672236,455,0.9698929190635681,6.98082937002182,1.1402886264026164
92365,-46.190793,455,,,
92820,-69.45823,455,,,
93275,-39.625632,455,,,
93730,-41.318918,455,,,
94185,-44.193471,455,0.9676036238670349,7.008392858505249,1.4087388664484024
94640,-80.328841,455,,,
95095,-59.082654,455,,,
95550,-48.60332,455,,,
96005,-57.918263,455,0.9714245796203613,7.023219192028046,1.1576762467622757
96460,-69.978188,455,,,
96915,-61.343296,455,,,
97370,-41.351645,455,,,
97825,-64.092467,455,,,
98280,-61.617437,455,0.9627184271812439,7.024546146392822,1.9881967172026633
98735,-43.75312,455,,,
99190,-64.693722,455,,,
99645,-43.280492,455,,,
100100,-39.046357,455,0.963472306728363,7.0453114867210385,1.9526267811655997
100555,-50.910611,455,,,
101010,-69.473503,455,,,
101465,-60.501603,455,,,
101920,-65.319271,455,,,
102375,-39.526099,455,0.9699454307556152,7.065299618244171,1.1021464832127095
102830,-40.846785,455,,,
103285,-68.019332,455,,,
103740,-63.333655,455,,,
104195,-46.19003,455,0.9670981168746948,7.081241947412491,1.6924083784222603
104650,-57.464801,455,,,
105105,-40.5458,455,,,
105560,-67.625619,455,,,
106015,-44.001555,455,,,
106470,-51.39605,455,0.968438982963562,7.087352907657623,1.53570097386837
106925,-72.789834,455,,,
107380,-40.138248,455,,,
107835,-70.941064,455,,,
108290,-40.696139,455,0.9692463278770447,7.087030845880508,1.1512172862887382
108745,-55.000714,455,,,
109200,-35.542118,455,,,
109655,-68.990652,455,,,
110110,-40.807528,455,,,
110565,-37.891496,455,0.9671889543533325,7.093746227025986,1.6299005940556526
111020,-69.787414,455,,,
111475,-41.044013,455,,,
111930,-42.979646,455,,,
112385,-44.42236,455,0.9713490009307861,7.101563948392868,1.0183256842195987
112840,-37.598527,455,,,
113295,-58.041273,455,,,
113750,-46.365499,455,,,
114205,-66.148707,455,,,
114660,-67.027855,455,0.9736537933349609,7.111801117658615,1.1788311429321765
115115,-43.420303,455,,,
115570,-38.041473,455,,,
116025,-64.554227,455,,,
116480,-55.058427,455,0.9579822421073914,7.129493999481201,1.842224545776844
116935,-44.540823,455,,,
