timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-52.426825,455,,,
910,-59.301333,455,,,
1365,-54.740735,455,,,
1820,-51.929892,455,,,
2275,-51.383857,455,,,
2730,-52.080888,455,,,
3185,-51.624102,455,,,
3640,-54.893953,455,,,
4095,-48.953117,455,0.01412290334701538,6.409650313854217,6.246796375513076
4550,-48.624637,455,,,
5005,-54.192108,455,,,
5460,-64.191085,455,,,
5915,-52.73989,455,0.22744548320770264,6.421974754333496,2.2522446125745774
6370,-66.860756,455,,,
6825,-51.274749,455,,,
7280,-53.985102,455,,,
7735,-50.538269,455,,,
8190,-50.66564,455,0.40735894441604614,6.412841230630875,4.434175971150398
8645,-61.477251,455,,,
9100,-59.285122,455,,,
9555,-54.582528,455,,,
10010,-52.825076,455,0.6892576217651367,6.411357522010803,3.024180147051811
10465,-51.938615,455,,,
10920,-49.008084,455,,,
11375,-50.78436,455,,,
11830,-50.144157,455,,,
12285,-52.878485,455,0.6733253002166748,6.410243719816208,5.680365127325058
12740,-51.152032,455,,,
13195,-51.883197,455,,,
13650,-52.595239,455,,,
14105,-49.176417,455,0.7995789051055908,6.429924309253693,2.5231587842106817
14560,-59.486351,455,,,
15015,-57.908732,455,,,
15470,-50.636387,455,,,
15925,-51.589411,455,,,
16380,-58.511804,455,0.8724427819252014,6.454097867012024,1.9379757732152938
16835,-54.895322,455,,,
17290,-49.174668,455,,,
17745,-50.708459,455,,,
18200,-54.875646,455,0.845108687877655,6.4693556189537045,3.2492485105991364
18655,-51.122193,455,,,
19110,-53.972902,455,,,
19565,-46.052855,455,,,
20020,-64.276486,455,,,
20475,-54.576277,455,0.8774061799049377,6.47990009188652,2.753724494576454
20930,-47.848341,455,,,
21385,-44.829585,455,,,
21840,-48.980377,455,,,
22295,-55.940784,455,0.8349090218544006,6.498533397912979,3.738603401184082
22750,-47.392766,455,,,
23205,-47.966658,455,,,
23660,-64.88677,455,,,
24115,-46.779413,455,,,
24570,-55.362378,455,0.8910716772079468,6.5155560851097105,2.546122868359089
25025,-56.450816,455,,,
25480,-56.904879,455,,,
25935,-47.371495,455,,,
26390,-47.859838,455,0.8948774337768555,6.5397004842758175,2.4108103632926943
26845,-45.972,455,,,
27300,-50.001819,455,,,
27755,-48.207257,455,,,
28210,-59.796688,455,,,
28665,-43.217836,455,0.899649441242218,6.549065482616425,3.278632867336273
29120,-45.766171,455,,,
29575,-47.837495,455,,,
30030,-46.599382,455,,,
